Dong,화재_장소별화재발생_Autonomous Gu_Autonomous Gu,화재_장소별화재발생_Total_Total,화재_장소별화재발생_Hou-sing_Detached dwelling,화재_장소별화재발생_Hou-sing_공동주택,화재_장소별화재발생_Hou-sing_기타주택,화재_장소별화재발생_비주거_학교,화재_장소별화재발생_비주거_일반업무,화재_장소별화재발생_비주거_판매시설,화재_장소별화재발생_비주거_숙박시설,화재_장소별화재발생_비주거_종교시설,화재_장소별화재발생_비주거_의료시설,화재_장소별화재발생_비주거_공장 및 창고,화재_장소별화재발생_비주거_작업장,화재_장소별화재발생_비주거_위락오락시설,화재_장소별화재발생_비주거_음식점,화재_장소별화재발생_비주거_일반서비스시설,화재_장소별화재발생_비주거_Others,"화재_장소별화재발생_위험물(가스, 제조소 등)_위험물(가스, 제조소 등)","화재_장소별화재발생_운송(차량, 철도 등)_운송(차량, 철도 등)",화재_장소별화재발생_임야_임야,화재_장소별화재발생_Others_Others
Imun 1(il)-dong,Dongdaemun-gu,7.0,4,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
Imun 2(i)-dong,Dongdaemun-gu,8.0,2,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3
Myeonmok 2(i)-dong,Jungnang-gu,11.0,2,-,1,-,-,-,-,-,-,-,2,2,-,1,3,-,-,-,-
Myeonmok 4(sa)-dong,Jungnang-gu,4.0,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-
Myeonmok 5(o)-dong,Jungnang-gu,2.0,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Myeonmok 7(chil)-dong,Jungnang-gu,6.0,2,-,-,-,-,1,-,-,-,-,-,-,2,1,-,-,-,-,-
Sangbong 1(il)-dong,Jungnang-gu,7.0,1,1,2,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-
Sangbong 2(i)-dong,Jungnang-gu,16.0,1,2,-,-,-,-,-,-,1,-,1,2,3,2,-,-,3,-,1
Junghwa 1(il)-dong,Jungnang-gu,6.0,3,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-
Junghwa 2(i)-dong,Jungnang-gu,17.0,5,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,7,-,2
Muk 1(il)-dong,Jungnang-gu,8.0,1,3,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,1
Muk 2(i)-dong,Jungnang-gu,9.0,2,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,3,-,-
Mangu 3(sam)-dong,Jungnang-gu,9.0,2,-,-,1,-,-,-,-,-,-,2,-,-,2,-,-,1,-,1
Sinnae 1(il)-dong,Jungnang-gu,12.0,2,3,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,2,2
Sinnae 2(i)-dong,Jungnang-gu,4.0,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1
Myeonmokbon-dong,Jungnang-gu,14.0,3,3,-,-,-,-,-,-,1,-,1,-,1,2,-,-,2,-,1
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,20.0,2,1,1,1,-,1,-,-,-,-,2,1,3,3,-,-,3,-,2
Mangubon-dong,Jungnang-gu,13.0,3,1,2,-,-,-,-,-,-,1,-,1,1,2,1,-,1,-,-
Donam 1(il)-dong,Seongbuk-gu,4.0,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1
Donam 2(i)-dong,Seongbuk-gu,7.0,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
Anam-dong,Seongbuk-gu,12.0,4,2,-,1,-,-,-,-,-,-,1,-,1,1,-,-,1,-,1
Bomun-dong,Seongbuk-gu,9.0,2,1,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,2
Jeongneung 1(il)-dong,Seongbuk-gu,5.0,1,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-
Jeongneung 2(i)-dong,Seongbuk-gu,7.0,-,2,-,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,1
Jeongneung 3(sam)-dong,Seongbuk-gu,4.0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Jeongneung 4(sa)-dong,Seongbuk-gu,12.0,2,4,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,-,2
Gireum 1(il)-dong,Seongbuk-gu,7.0,2,1,-,-,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-
Gireum 2(i)-dong,Seongbuk-gu,13.0,3,5,-,-,-,-,-,-,-,-,-,-,-,2,1,-,2,-,-
Wolgok 1(il)-dong,Seongbuk-gu,10.0,3,3,1,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-
Wolgok 2(i)-dong,Seongbuk-gu,11.0,2,3,-,-,1,-,-,-,-,-,-,1,-,-,-,-,2,-,2
Jangwi 1(il)-dong,Seongbuk-gu,13.0,8,1,-,-,-,-,-,-,-,-,-,1,-,3,-,-,-,-,-
Jangwi 2(i)-dong,Seongbuk-gu,9.0,3,2,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,1
Jangwi 3(sam)-dong,Seongbuk-gu,12.0,6,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,-,1
Seongbuk-dong,Seongbuk-gu,10.0,2,2,-,-,1,-,-,-,-,1,-,-,2,1,-,-,1,-,-
Samseon-dong,Seongbuk-gu,10.0,1,3,-,-,-,2,-,-,-,-,-,-,1,-,1,-,1,-,1
Dongseon-dong,Seongbuk-gu,17.0,2,3,-,-,1,-,-,-,-,-,-,1,5,-,2,-,-,-,3
Jongam-dong,Seongbuk-gu,19.0,4,3,-,-,-,-,-,1,-,-,2,-,1,3,1,-,2,-,2
Seokgwan-dong,Seongbuk-gu,13.0,6,2,-,-,-,-,-,-,-,-,-,-,4,-,-,-,1,-,-
Beon 1(il)-dong,Gangbuk-gu,25.0,5,2,1,-,4,1,-,-,-,-,-,1,5,-,1,-,2,-,3
Beon 2(i)-dong,Gangbuk-gu,12.0,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1
Beon 3(sam)-dong,Gangbuk-gu,7.0,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
Suyu 1(il)-dong,Gangbuk-gu,18.0,7,3,-,-,-,1,-,-,-,-,-,-,1,-,1,-,2,-,3
Suyu 2(i)-dong,Gangbuk-gu,14.0,2,2,-,-,-,-,-,-,-,-,-,-,4,1,1,-,1,-,3
Suyu 3(sam)-dong,Gangbuk-gu,26.0,7,3,-,-,1,-,1,1,-,-,-,4,2,-,2,-,2,-,3
Samyang-dong,Gangbuk-gu,19.0,9,7,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1
Mia-dong,Gangbuk-gu,18.0,3,4,-,1,-,1,-,1,-,-,-,-,2,1,-,-,2,-,3
Songjung-dong,Gangbuk-gu,25.0,5,7,-,-,-,-,-,-,-,1,-,1,3,2,-,-,3,-,3
Songcheon-dong,Gangbuk-gu,27.0,6,6,-,-,-,-,-,-,1,1,2,-,4,1,-,-,1,-,5
Samgaksan-dong,Gangbuk-gu,9.0,-,6,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1
Ui-dong,Gangbuk-gu,14.0,1,4,-,-,-,-,1,-,-,-,-,-,2,-,1,-,1,2,2
Insu-dong,Gangbuk-gu,15.0,5,5,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,2
Ssangmun 1(il)-dong,Dobong-gu,13.0,2,6,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2
Ssangmun 2(i)-dong,Dobong-gu,19.0,4,6,-,-,1,2,-,-,-,-,-,1,-,-,1,-,1,-,3
Ssangmun 3(sam)-dong,Dobong-gu,9.0,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3
Ssangmun 4(sa)-dong,Dobong-gu,4.0,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Banghak 1(il)-dong,Dobong-gu,18.0,2,4,-,-,3,-,-,-,-,-,-,2,3,-,1,-,-,1,2
Banghak 2(i)-dong,Dobong-gu,21.0,4,11,-,-,-,2,-,-,-,1,2,-,-,-,-,-,-,-,1
Banghak 3(sam)-dong,Dobong-gu,18.0,-,13,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,2
Chang 1(il)-dong,Dobong-gu,14.0,3,6,-,-,1,1,-,-,-,-,-,-,-,-,-,-,2,1,-
Chang 2(i)-dong,Dobong-gu,15.0,3,7,-,-,-,1,-,-,-,-,1,-,1,-,-,-,1,-,1
Chang 3(sam)-dong,Dobong-gu,15.0,5,6,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2
Chang 4(sa)-dong,Dobong-gu,13.0,-,9,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Chang 5(o)-dong,Dobong-gu,13.0,2,3,-,-,-,2,-,-,-,1,-,-,1,-,1,-,1,-,2
Dobong 1(il)-dong,Dobong-gu,25.0,1,10,-,-,-,-,-,2,-,-,-,1,1,1,-,-,-,4,5
Dobong 2(i)-dong,Dobong-gu,21.0,2,10,-,-,1,-,-,-,-,-,-,-,1,1,1,-,1,-,4
Wolgye 1(il)-dong,Nowon-gu,14.0,-,4,-,1,-,-,-,-,-,1,-,-,2,1,-,-,-,1,4
Wolgye 2(i)-dong,Nowon-gu,9.0,1,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,2
Wolgye 3(sam)-dong,Nowon-gu,10.0,-,7,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2
Gongneung 2(i)-dong,Nowon-gu,13.0,-,4,-,1,-,-,-,-,-,-,-,-,1,2,2,-,1,-,2
Hagye 1(il)-dong,Nowon-gu,14.0,-,8,-,-,-,-,-,-,-,-,-,-,1,-,1,-,4,-,-
Hagye 2(i)-dong,Nowon-gu,9.0,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
Junggyebon-dong,Nowon-gu,18.0,4,8,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1,-,2
Junggye 1(il)-dong,Nowon-gu,8.0,-,6,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-
Junggye 4(sa)-dong,Nowon-gu,10.0,1,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
Sanggye 1(il)-dong,Nowon-gu,24.0,4,8,-,-,-,1,-,1,-,-,-,-,3,-,-,-,2,1,4
Sanggye 2(i)-dong,Nowon-gu,17.0,2,5,-,-,-,3,-,1,-,-,-,3,-,-,-,-,1,-,2
Sanggye 5(o)-dong,Nowon-gu,15.0,1,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,4
Sanggye 8(pal)-dong,Nowon-gu,8.0,-,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-
Sanggye 9(gu)-dong,Nowon-gu,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Sanggye 10(sip)-dong,Nowon-gu,7.0,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Sanggye 3.4(sam.sa)-dong,Nowon-gu,30.0,6,13,-,-,1,-,-,1,-,2,-,-,-,1,-,-,1,1,4
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,12.0,-,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,4
Junggye 2.3(i.sam)-dong,Nowon-gu,17.0,-,12,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,1
Gongneung 1(il)-dong,Nowon-gu,24.0,4,10,-,-,-,-,-,-,-,-,-,-,6,-,-,-,1,1,2
Nokbeon-dong,Eunpyeong-gu,19.0,2,7,-,-,-,-,-,-,2,-,-,-,1,1,-,-,2,-,4
Bulgwang 1(il)-dong,Eunpyeong-gu,8.0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1
Galhyeon 1(il)-dong,Eunpyeong-gu,15.0,3,4,-,-,1,-,-,-,-,-,-,2,-,1,1,-,1,-,2
Galhyeon 2(i)-dong,Eunpyeong-gu,17.0,3,3,1,-,-,3,-,-,-,-,-,-,2,-,2,-,1,-,2
Gusan-dong,Eunpyeong-gu,11.0,1,4,-,-,-,-,-,-,1,1,-,-,1,-,-,1,1,1,-
Daejo-dong,Eunpyeong-gu,22.0,1,6,-,-,-,2,1,-,-,-,1,1,2,1,2,-,2,-,3
Eungam 1(il)-dong,Eunpyeong-gu,17.0,4,4,-,-,2,-,-,1,-,-,1,-,-,-,2,-,2,-,1
Eungam 2(i)-dong,Eunpyeong-gu,7.0,2,-,1,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,1
Sinsa 1(il)-dong,Eunpyeong-gu,14.0,2,4,-,-,-,-,-,1,-,-,-,-,4,-,-,-,1,-,2
Sinsa 2(i)-dong,Eunpyeong-gu,2.0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Jeungsan-dong,Eunpyeong-gu,10.0,1,2,-,-,-,-,-,-,-,-,1,-,2,-,1,-,-,-,3
Susaek-dong,Eunpyeong-gu,12.0,5,3,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,1
Jingwan-dong,Eunpyeong-gu,13.0,-,2,-,-,-,-,-,1,-,-,-,-,2,-,1,-,3,1,3
Bulgwang 2(i)-dong,Eunpyeong-gu,7.0,1,3,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-
Eungam 3(sam)-dong,Eunpyeong-gu,21.0,6,6,-,1,-,2,-,-,-,1,1,1,1,-,1,-,1,-,-
Yeokchon-dong,Eunpyeong-gu,16.0,1,5,-,-,1,-,-,-,1,-,-,-,1,-,2,-,2,-,3
Cheonyeon-dong,Seodaemun-gu,10.0,1,2,-,-,-,1,-,-,-,-,-,-,2,-,-,-,2,1,1
Hongje 1(il)-dong,Seodaemun-gu,15.0,1,4,-,-,1,-,-,-,-,-,-,-,-,-,1,-,2,-,6
Hongje 3(sam)-dong,Seodaemun-gu,16.0,2,3,-,-,-,1,-,-,-,-,-,-,-,-,1,-,2,-,7
Hongje 2(i)-dong,Seodaemun-gu,6.0,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,1
Hongeun 1(il)-dong,Seodaemun-gu,17.0,4,3,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,2,4
