Dong,화재_화재현황_Autonomous Gu_Autonomous Gu,화재_화재현황_No. of fire Incidents_Total,화재_화재현황_No. of fire Incidents_Accident,화재_화재현황_No. of fire Incidents_Arson,화재_화재현황_No. of fire Incidents_Others,화재_화재현황_Burnt_No. of  buildings,화재_화재현황_Burnt_No. of house-holds,화재_화재현황_Burnt_Area Burnt,화재_화재현황_Value of damages_Total,화재_화재현황_Value of damages_Immovable property,화재_화재현황_Value of damages_Movable property,화재_화재현황_Reduction amount of property damaged_Reduction amount of property damaged,화재_화재현황_Casualties_Total,화재_화재현황_Casualties_Death,화재_화재현황_Casualties_Injury,화재_화재현황_No. of victims_No. of victims,화재_화재현황_No. of therescued_No. of therescued
Sanggye 5(o)-dong,Nowon-gu,15.0,12.0,2,1,-,-,10,5319,291,5028,2402,-,-,-,-,-
Sanggye 8(pal)-dong,Nowon-gu,8.0,7.0,1,-,1,-,-,788,202,586,394276,-,-,-,-,-
Sanggye 9(gu)-dong,Nowon-gu,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sanggye 10(sip)-dong,Nowon-gu,7.0,7.0,-,-,1,-,-,2885,486,2399,419714,1,-,1,-,-
Sanggye 3.4(sam.sa)-dong,Nowon-gu,30.0,25.0,2,3,5,3,251,77848,32414,45434,1008313,-,-,-,7,-
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,12.0,12.0,-,-,-,-,-,915,29,886,1716,-,-,-,-,-
Junggye 2.3(i.sam)-dong,Nowon-gu,17.0,16.0,1,-,1,-,-,7259,2644,4615,1942450,-,-,-,-,4
Gongneung 1(il)-dong,Nowon-gu,24.0,24.0,-,-,2,1,924,30969,24156,6813,13744193,2,-,2,2,1
Nokbeon-dong,Eunpyeong-gu,19.0,16.0,-,3,5,-,178,62519,21986,40533,379024,2,-,2,-,2
Bulgwang 1(il)-dong,Eunpyeong-gu,8.0,7.0,1,-,1,-,21,28025,2165,25860,2376,-,-,-,-,-
