Dong,화재_화재현황_Autonomous Gu_Autonomous Gu,화재_화재현황_No. of fire Incidents_Total,화재_화재현황_No. of fire Incidents_Accident,화재_화재현황_No. of fire Incidents_Arson,화재_화재현황_No. of fire Incidents_Others,화재_화재현황_Burnt_No. of  buildings,화재_화재현황_Burnt_No. of house-holds,화재_화재현황_Burnt_Area Burnt,화재_화재현황_Value of damages_Total,화재_화재현황_Value of damages_Immovable property,화재_화재현황_Value of damages_Movable property,화재_화재현황_Reduction amount of property damaged_Reduction amount of property damaged,화재_화재현황_Casualties_Total,화재_화재현황_Casualties_Death,화재_화재현황_Casualties_Injury,화재_화재현황_No. of victims_No. of victims,화재_화재현황_No. of therescued_No. of therescued
Sadang 3(sam)-dong,Dongjak-gu,5.0,5.0,-,-,-,-,-,33,-,33,-,-,-,-,-,-
Sadang 4(sa)-dong,Dongjak-gu,4.0,4.0,-,-,1,-,1,360,133,227,55597,-,-,-,-,-
Sadang 5(o)-dong,Dongjak-gu,5.0,5.0,-,-,2,-,4,523,284,239,15685,-,-,-,-,-
Daebang-dong,Dongjak-gu,20.0,19.0,1,-,2,1,23,20102,5694,14408,278017,-,-,-,1,-
Sindaebang 1(il)-dong,Dongjak-gu,7.0,7.0,-,-,2,-,13,6854,4203,2651,87781,-,-,-,-,-
Sindaebang 2(i)-dong,Dongjak-gu,3.0,3.0,-,-,-,-,-,133,-,133,-,-,-,-,-,-
Heukseok-dong,Dongjak-gu,16.0,14.0,1,1,2,-,10,47207,1843,45364,135777,-,-,-,-,-
Noryangjin 1(il)-dong,Dongjak-gu,19.0,18.0,-,1,6,-,36,16123,3720,12403,1748994,-,-,-,-,-
Sadang 2(i)-dong,Dongjak-gu,17.0,16.0,1,-,4,1,36,36398,17339,19059,1705242,2,-,2,3,4
Boramae-dong,Gwanak-gu,19.0,19.0,-,-,3,-,41,28250,13712,14538,402058,-,-,-,-,-
Cheongnim-dong,Gwanak-gu,5.0,5.0,-,-,-,-,-,710,-,710,38140,-,-,-,-,1
Haengun-dong,Gwanak-gu,10.0,9.0,-,1,1,-,15,19270,9897,9373,310892,1,-,1,-,2
Nagseongdae-dong,Gwanak-gu,16.0,15.0,-,1,1,-,6,9850,3238,6612,599760,1,-,1,-,-
Jungang-dong,Gwanak-gu,12.0,11.0,-,1,1,-,3,4329,667,3662,236790,-,-,-,-,-
Inheon-dong,Gwanak-gu,12.0,12.0,-,-,-,-,-,1374,671,703,-,-,-,-,-,-
Namhyeon-dong,Gwanak-gu,14.0,13.0,1,-,4,-,15,36778,2412,34366,266332,-,-,-,-,1
Sewon-dong,Gwanak-gu,20.0,19.0,1,-,2,-,14,15079,9940,5139,3107298,-,-,-,-,1
Sinwon-dong,Gwanak-gu,10.0,9.0,1,-,-,-,-,1111,-,1111,12513,-,-,-,-,-
Serim-dong,Gwanak-gu,16.0,15.0,1,-,3,-,105,71128,35176,35952,606171,1,-,1,-,2
Sinsa-dong,Gwanak-gu,16.0,15.0,1,-,-,-,-,2118,405,1713,-,1,-,1,-,-
Sillim-dong,Gwanak-gu,18.0,18.0,-,-,1,-,5,18724,3019,15705,1006271,-,-,-,-,1
Nanhyang-dong,Gwanak-gu,4.0,3.0,1,-,-,-,-,1050,499,551,-,-,-,-,-,1
Jowon-dong,Gwanak-gu,16.0,14.0,1,1,2,-,107,36802,24535,12267,264284,-,-,-,-,1
Daehak-dong,Gwanak-gu,14.0,12.0,1,1,3,-,35,58164,33426,24738,2363832,2,-,2,-,9
Euncheon-dong,Gwanak-gu,12.0,9.0,2,1,1,-,5,8767,2145,6622,25155,-,-,-,-,-
Seonghyeon-dong,Gwanak-gu,11.0,10.0,-,1,4,-,30,17576,10638,6938,954620,1,-,1,-,-
Cheongnyong-dong,Gwanak-gu,19.0,16.0,1,2,3,-,176,57501,32613,24888,1617481,1,-,1,-,1
Nangok-dong,Gwanak-gu,21.0,20.0,1,-,3,-,87,22878,12335,10543,324265,-,-,-,-,2
Samseong-dong,Gwanak-gu,15.0,13.0,2,-,2,-,106,6829,4209,2620,328068,-,-,-,-,4
Miseong-dong,Gwanak-gu,19.0,17.0,2,-,3,-,10,19428,8808,10620,350596,-,-,-,-,-
Seocho 1(il)-dong,Seocho-gu,6.0,6.0,-,-,1,-,5,4913,3673,1240,255235,-,-,-,-,-
Seocho 2(i)-dong,Seocho-gu,18.0,13.0,-,5,6,-,57,38229,21162,17067,2721383,-,-,-,-,4
Seocho 3(sam)-dong,Seocho-gu,21.0,20.0,-,1,3,-,19,24537,12347,12190,2384385,-,-,-,-,-
Seocho 4(sa)-dong,Seocho-gu,17.0,15.0,1,1,3,-,49,41668,13481,28187,986830,-,-,-,-,-
Jamwon-dong,Seocho-gu,15.0,13.0,1,1,4,-,55,33753,11314,22439,345514,2,-,2,-,-
Banpobon-dong,Seocho-gu,5.0,4.0,1,-,-,-,-,1501,332,1169,195804,-,-,-,-,-
Banpo 1(il)-dong,Seocho-gu,16.0,15.0,1,-,2,-,82,54043,33773,20270,3164231,-,-,-,-,-
Banpo 2(i)-dong,Seocho-gu,2.0,2.0,-,-,1,-,15,7786,6356,1430,9110,-,-,-,-,-
Banpo 3(sam)-dong,Seocho-gu,4.0,4.0,-,-,-,-,-,1447,431,1016,1909338,-,-,-,-,-
Banpo 4(sa)-dong,Seocho-gu,10.0,10.0,-,-,-,-,495,4344,1985,2359,482655,2,-,2,-,-
Bangbaebon-dong,Seocho-gu,7.0,5.0,-,2,3,1,75,55217,34350,20867,694960,1,-,1,1,1
Bangbae 1(il)-dong,Seocho-gu,9.0,8.0,-,1,2,-,18,26711,11064,15647,1183481,-,-,-,-,-
Bangbae 2(i)-dong,Seocho-gu,10.0,10.0,-,-,3,-,32,24926,9777,15149,644283,-,-,-,-,-
Bangbae 3(sam)-dong,Seocho-gu,10.0,8.0,-,2,4,1,44,25047,14374,10673,727361,-,-,-,1,-
Bangbae 4(sa)-dong,Seocho-gu,5.0,5.0,-,-,-,-,-,1057,349,708,62941,-,-,-,-,-
Yangjae 1(il)-dong,Seocho-gu,25.0,24.0,1,-,6,-,112,64140,36765,27375,3617697,-,-,-,-,-
Yangjae 2(i)-dong,Seocho-gu,23.0,23.0,-,-,2,-,64,82898,65556,17342,4069382,-,-,-,-,-
Naegok-dong,Seocho-gu,13.0,7.0,1,5,11,5,4049,428475,178899,249576,499444,-,-,-,14,-
Sinsa-dong,Gangnam-gu,29.0,29.0,-,-,2,-,45,66444,13575,52869,492205,1,-,1,-,-
Nonhyeon 1(il)-dong,Gangnam-gu,42.0,39.0,1,2,6,-,94,63788,22523,41265,2539344,2,-,2,-,1
Nonhyeon 2(i)-dong,Gangnam-gu,33.0,28.0,1,4,7,-,66,61186,24397,36789,1327164,4,-,4,-,5
Samseong 1(il)-dong,Gangnam-gu,10.0,9.0,-,1,-,-,10,39031,1613,37418,2092753,-,-,-,-,-
Samseong 2(i)-dong,Gangnam-gu,16.0,14.0,1,1,3,-,638,1222244,322585,899659,1295167,2,-,2,-,2
Daechi 1(il)-dong,Gangnam-gu,7.0,6.0,-,1,1,-,2,5233,1724,3509,363442,-,-,-,-,-
Daechi 4(sa)-dong,Gangnam-gu,21.0,21.0,-,-,2,-,20,11692,6838,4854,1036886,-,-,-,-,1
Yeoksam 1(il)-dong,Gangnam-gu,56.0,51.0,2,3,2,-,62,153741,60042,93699,3513405,-,-,-,-,-
Yeoksam 2(i)-dong,Gangnam-gu,16.0,15.0,-,1,2,-,40,42916,23828,19088,1266640,1,-,1,-,-
Dogok 1(il)-dong,Gangnam-gu,12.0,10.0,1,1,1,-,51,55284,35898,19386,411835,-,-,-,-,-
Dogok 2(i)-dong,Gangnam-gu,8.0,6.0,-,2,2,-,155,38196,31681,6515,10805807,-,-,-,-,2
Gaepo 1(il)-dong,Gangnam-gu,15.0,15.0,-,-,2,-,54,29816,11105,18711,308705,1,-,1,-,-
Gaepo 4(sa)-dong,Gangnam-gu,20.0,18.0,-,2,-,-,26,17215,6990,10225,583440,3,-,3,-,-
Irwonbon-dong,Gangnam-gu,6.0,5.0,-,1,-,-,-,2832,-,2832,2000,-,-,-,-,-
Irwon 1(il)-dong,Gangnam-gu,9.0,9.0,-,-,2,-,60,39219,20006,19213,84136,2,-,2,-,-
Irwon 2(i)-dong,Gangnam-gu,5.0,5.0,-,-,-,-,10,3759,1712,2047,369790,-,-,-,-,-
Suseo-dong,Gangnam-gu,9.0,6.0,3,-,1,-,37,15412,8668,6744,625687,-,-,-,-,-
Segok-dong,Gangnam-gu,13.0,12.0,-,1,2,-,70,20459,3312,17147,82733,-,-,-,-,-
Apgujeong -dong,Gangnam-gu,32.0,31.0,1,-,5,-,114,130144,49008,81136,1282816,-,-,-,-,-
Cheongdam -dong,Gangnam-gu,29.0,29.0,-,-,4,-,137,191351,57081,134270,2241201,3,-,3,-,2
Daechi 2(i)-dong,Gangnam-gu,20.0,19.0,-,1,3,-,42,31556,15387,16169,1911261,1,-,1,-,-
Gaepo 2(i)-dong,Gangnam-gu,13.0,12.0,-,1,2,-,167,20417,9021,11396,470073,1,-,1,-,-
Pungnap 1(il)-dong,Songpa-gu,8.0,5.0,2,1,1,-,17,7854,3771,4083,122866,-,-,-,-,-
Pungnap 2(i)-dong,Songpa-gu,18.0,17.0,-,1,1,-,20,37674,7503,30171,121017,1,-,1,-,-
Geoyeo 1(il)-dong,Songpa-gu,9.0,9.0,-,-,-,-,7,5143,1346,3797,736400,-,-,-,-,-
Geoyeo 2(i)-dong,Songpa-gu,12.0,10.0,2,-,1,-,20,5805,4284,1521,63408,-,-,-,-,-
Macheon 1(il)-dong,Songpa-gu,8.0,5.0,1,2,2,-,42,27355,20371,6984,175336,-,-,-,-,1
Macheon 2(i)-dong,Songpa-gu,13.0,12.0,1,-,-,-,1510,1978,83,1895,184800,-,-,-,-,-
Bangi 1(il)-dong,Songpa-gu,4.0,4.0,-,-,2,-,3,5381,2974,2407,409199,-,-,-,-,-
Bangi 2(i)-dong,Songpa-gu,22.0,20.0,1,1,1,-,41,48339,27903,20436,3591090,3,1,2,-,3
Oryun-dong,Songpa-gu,6.0,5.0,-,1,-,-,425,20854,12448,8406,238255,-,-,-,-,-
Ogeum-dong,Songpa-gu,17.0,15.0,2,-,1,-,15,14391,7017,7374,582935,1,-,1,-,-
Songpa 1(il)-dong,Songpa-gu,14.0,12.0,-,2,1,-,26,53261,24908,28353,1907093,-,-,-,-,-
Songpa 2(i)-dong,Songpa-gu,4.0,3.0,-,1,-,-,5,1996,634,1362,55739,-,-,-,-,-
Seokchon-dong,Songpa-gu,27.0,25.0,-,2,1,-,81,58506,21149,37357,546172,4,-,4,-,-
Samjeon-dong,Songpa-gu,11.0,9.0,1,1,1,-,20,12020,2145,9875,1980,-,-,-,-,-
Garakbon-dong,Songpa-gu,19.0,16.0,-,3,1,-,103,9451,4337,5114,211446,1,-,1,-,-
Garak 1(il)-dong,Songpa-gu,12.0,9.0,-,3,-,-,71,86654,19221,67433,2779562,1,-,1,-,-
Garak 2(i)-dong,Songpa-gu,15.0,13.0,2,-,4,-,136,146957,66551,80406,718113,1,-,1,-,4
Munjeong 1(il)-dong,Songpa-gu,11.0,11.0,-,-,1,-,16,7734,3026,4708,103654,-,-,-,-,-
Munjeong 2(i)-dong,Songpa-gu,12.0,11.0,1,-,-,-,-,71444,115,71329,49821,-,-,-,-,-
Jangji-dong,Songpa-gu,15.0,13.0,1,1,1,-,22,8697,3737,4960,224112,-,-,-,-,-
Jamsilbon-dong,Songpa-gu,25.0,22.0,3,-,-,-,48,32899,14061,18838,830555,3,-,3,-,23
Jamsil 4(sa)-dong,Songpa-gu,3.0,2.0,-,1,-,-,-,476,163,313,-,-,-,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,5.0,4.0,-,1,-,-,13,19233,2469,16764,1194281,-,-,-,-,6
Jamsil 7(chil)-dong,Songpa-gu,1.0,1.0,-,-,-,-,-,301,136,165,-,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,7.0,6.0,1,-,1,-,-,12907,892,12015,212826,-,-,-,-,-
Jamsil 3(sam)-dong,Songpa-gu,6.0,6.0,-,-,2,-,3,1576,524,1052,-,-,-,-,-,-
Gangil-dong,Gangdong-gu,11.0,9.0,1,1,4,1,17,35718,8214,27504,1213114,-,-,-,3,-
Sangil-dong,Gangdong-gu,8.0,8.0,-,-,-,-,-,6517,245,6272,68398,-,-,-,-,-
Myeongil 1(il)-dong,Gangdong-gu,16.0,15.0,-,1,3,-,22,27581,15074,12507,230473,-,-,-,3,2
Myeongil 2(i)-dong,Gangdong-gu,4.0,3.0,-,1,3,1,33,30556,18021,12535,3148233,1,-,1,2,-
Godeok 1(il)-dong,Gangdong-gu,6.0,5.0,1,-,6,3,3,28281,10424,17857,422689,-,-,-,10,7
Godeok 2(i)-dong,Gangdong-gu,3.0,2.0,1,-,3,-,26,8069,2050,6019,42463,-,-,-,-,-
Amsa 2(i)-dong,Gangdong-gu,6.0,6.0,-,-,-,-,-,16682,1047,15635,141677,-,-,-,-,-
Amsa 3(sam)-dong,Gangdong-gu,5.0,5.0,-,-,1,-,303,11243,4924,6319,1041121,-,-,-,-,-
Cheonho 1(il)-dong,Gangdong-gu,10.0,8.0,1,1,4,-,20,40216,8929,31287,655184,-,-,-,-,8
Cheonho 3(sam)-dong,Gangdong-gu,20.0,20.0,-,-,3,-,3,5387,1160,4227,289649,-,-,-,-,-
Seongnae 1(il)-dong,Gangdong-gu,12.0,12.0,-,-,1,-,-,2077,746,1331,371568,-,-,-,-,-
Seongnae 2(i)-dong,Gangdong-gu,15.0,15.0,-,-,3,-,1,2545,715,1830,133228,-,-,-,-,1
Seongnae 3(sam)-dong,Gangdong-gu,17.0,14.0,-,3,5,1,19,43958,17158,26800,853444,-,-,-,3,2
Dunchon 2(i)-dong,Gangdong-gu,20.0,19.0,-,1,5,1,33,16538,7285,9253,1107143,2,-,2,1,-
Amsa 1(il)-dong,Gangdong-gu,16.0,15.0,1,-,5,1,68,25320,11537,13783,529102,2,1,1,2,-
Cheonho 2(i)-dong,Gangdong-gu,29.0,26.0,2,1,10,3,49,42745,19312,23433,2347255,-,-,-,10,6
Gil-dong,Gangdong-gu,27.0,26.0,1,-,9,2,90,47218,24038,23180,3941533,1,-,1,4,-
