Dong,복지_독거노인현황성별_Gu_Gu,복지_독거노인현황성별_Total_Total,복지_독거노인현황성별_Total_Male,복지_독거노인현황성별_Total_Female,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Total,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Male,복지_독거노인현황성별_ Basic Livelihood Security law Recipients_Female,복지_독거노인현황성별_ Low-income seniors_Total,복지_독거노인현황성별_ Low-income seniors_Male,복지_독거노인현황성별_ Low-income seniors_Female,복지_독거노인현황성별_ General_Total,복지_독거노인현황성별_ General_Male,복지_독거노인현황성별_ General_Female
Sangdo 4(sa)-dong,동작구,750.0,218.0,532.0,92,23,69,51,12,39,607.0,183.0,424.0
Sadang 1(il)-dong,동작구,553.0,180.0,373.0,95,27,68,44,17,27,414.0,136.0,278.0
Sadang 3(sam)-dong,동작구,602.0,187.0,415.0,54,14,40,34,13,21,514.0,160.0,354.0
Sadang 4(sa)-dong,동작구,429.0,125.0,304.0,70,17,53,30,5,25,329.0,103.0,226.0
Sadang 5(o)-dong,동작구,349.0,254.0,95.0,57,12,45,18,2,16,274.0,240.0,34.0
Daebang-dong,동작구,848.0,213.0,635.0,135,32,103,41,2,39,672.0,179.0,493.0
Sindaebang 1(il)-dong,동작구,556.0,159.0,397.0,87,31,56,59,16,43,410.0,112.0,298.0
Sindaebang 2(i)-dong,동작구,472.0,169.0,303.0,62,29,33,22,4,18,388.0,136.0,252.0
Heukseok-dong,동작구,1323.0,337.0,986.0,133,39,94,34,9,25,1156.0,289.0,867.0
Noryangjin 1(il)-dong,동작구,1015.0,253.0,762.0,174,47,127,106,32,74,735.0,174.0,561.0
Sadang 2(i)-dong,동작구,782.0,267.0,515.0,103,31,72,97,39,58,582.0,197.0,385.0
Boramae-dong,관악구,703.0,195.0,508.0,68,23,45,198,57,141,437.0,115.0,322.0
Cheongnim-dong,관악구,445.0,116.0,329.0,95,24,71,167,41,126,183.0,51.0,132.0
Haengun-dong,관악구,727.0,229.0,498.0,134,40,94,281,73,208,312.0,116.0,196.0
Nagseongdae-dong,관악구,398.0,127.0,271.0,38,11,27,147,34,113,213.0,82.0,131.0
Jungang-dong,관악구,433.0,131.0,302.0,68,22,46,202,56,146,163.0,53.0,110.0
Inheon-dong,관악구,553.0,169.0,384.0,49,18,31,170,53,117,334.0,98.0,236.0
Namhyeon-dong,관악구,345.0,119.0,226.0,23,3,20,69,25,44,253.0,91.0,162.0
Sewon-dong,관악구,480.0,146.0,334.0,65,17,48,253,93,160,162.0,36.0,126.0
Sinwon-dong,관악구,573.0,156.0,417.0,104,25,79,263,65,198,206.0,66.0,140.0
Serim-dong,관악구,486.0,140.0,346.0,62,20,42,184,48,136,240.0,72.0,168.0
Sinsa-dong,관악구,595.0,181.0,414.0,113,33,80,143,45,98,339.0,103.0,236.0
Sillim-dong,관악구,371.0,147.0,224.0,43,19,24,130,46,84,198.0,82.0,116.0
Nanhyang-dong,관악구,355.0,90.0,265.0,80,19,61,177,46,131,98.0,25.0,73.0
Jowon-dong,관악구,489.0,178.0,311.0,66,25,41,152,58,94,271.0,95.0,176.0
Daehak-dong,관악구,418.0,125.0,293.0,33,12,21,183,54,129,202.0,59.0,143.0
Euncheon-dong,관악구,789.0,239.0,550.0,169,46,123,305,71,234,315.0,122.0,193.0
Seonghyeon-dong,관악구,798.0,195.0,603.0,229,59,170,296,74,222,273.0,62.0,211.0
Cheongnyong-dong,관악구,836.0,300.0,536.0,108,40,68,380,128,252,348.0,132.0,216.0
Nangok-dong,관악구,863.0,264.0,599.0,185,52,133,424,115,309,254.0,97.0,157.0
Samseong-dong,관악구,1033.0,298.0,735.0,224,70,154,471,132,339,338.0,96.0,242.0
Miseong-dong,관악구,745.0,232.0,513.0,114,29,85,356,90,266,275.0,113.0,162.0
Seocho 1(il)-dong,서초구,369.0,113.0,256.0,43,12,31,13,2,11,313.0,99.0,214.0
Seocho 2(i)-dong,서초구,309.0,99.0,210.0,12,4,8,6,2,4,291.0,93.0,198.0
Seocho 3(sam)-dong,서초구,445.0,137.0,308.0,33,8,25,9,5,4,403.0,124.0,279.0
Seocho 4(sa)-dong,서초구,361.0,88.0,273.0,2,-,2,4,1,3,355.0,87.0,268.0
Jamwon-dong,서초구,558.0,115.0,443.0,28,6,22,10,3,7,520.0,106.0,414.0
Banpobon-dong,서초구,204.0,42.0,162.0,-,-,-,8,-,8,196.0,42.0,154.0
Banpo 1(il)-dong,서초구,470.0,123.0,347.0,28,8,20,13,1,12,429.0,114.0,315.0
Banpo 2(i)-dong,서초구,254.0,57.0,197.0,-,-,-,1,-,1,253.0,57.0,196.0
Banpo 3(sam)-dong,서초구,383.0,71.0,312.0,5,-,5,2,1,1,376.0,70.0,306.0
Banpo 4(sa)-dong,서초구,295.0,95.0,200.0,9,-,9,4,1,3,282.0,94.0,188.0
Bangbaebon-dong,서초구,353.0,115.0,238.0,23,7,16,7,1,6,323.0,107.0,216.0
Bangbae 1(il)-dong,서초구,301.0,95.0,206.0,34,9,25,13,2,11,254.0,84.0,170.0
Bangbae 2(i)-dong,서초구,385.0,123.0,262.0,38,9,29,28,1,27,319.0,113.0,206.0
Bangbae 3(sam)-dong,서초구,483.0,140.0,343.0,29,4,25,38,13,25,416.0,123.0,293.0
Bangbae 4(sa)-dong,서초구,420.0,128.0,292.0,32,6,26,25,2,23,363.0,120.0,243.0
Yangjae 1(il)-dong,서초구,602.0,164.0,438.0,121,25,96,52,8,44,429.0,131.0,298.0
Yangjae 2(i)-dong,서초구,399.0,139.0,260.0,68,12,56,33,10,23,298.0,117.0,181.0
Naegok-dong,서초구,218.0,91.0,127.0,27,8,19,18,4,14,173.0,79.0,94.0
Sinsa-dong,강남구,432.0,120.0,312.0,31,7,24,7,1,6,394.0,112.0,282.0
Nonhyeon 1(il)-dong,강남구,500.0,188.0,312.0,60,17,43,6,-,6,434.0,171.0,263.0
Nonhyeon 2(i)-dong,강남구,426.0,145.0,281.0,50,12,38,7,2,5,369.0,131.0,238.0
Samseong 1(il)-dong,강남구,264.0,85.0,179.0,15,3,12,8,1,7,241.0,81.0,160.0
Samseong 2(i)-dong,강남구,479.0,141.0,338.0,37,7,30,8,2,6,434.0,132.0,302.0
Daechi 1(il)-dong,강남구,172.0,42.0,130.0,1,1,-,3,-,3,168.0,41.0,127.0
Daechi 4(sa)-dong,강남구,330.0,113.0,217.0,34,12,22,8,-,8,288.0,101.0,187.0
Yeoksam 1(il)-dong,강남구,623.0,260.0,363.0,66,24,42,13,5,8,544.0,231.0,313.0
Yeoksam 2(i)-dong,강남구,523.0,145.0,378.0,36,6,30,6,-,6,481.0,139.0,342.0
Dogok 1(il)-dong,강남구,397.0,110.0,287.0,20,6,14,7,-,7,370.0,104.0,266.0
Dogok 2(i)-dong,강남구,496.0,150.0,346.0,4,1,3,2,1,1,490.0,148.0,342.0
Gaepo 1(il)-dong,강남구,602.0,155.0,447.0,117,28,89,25,4,21,460.0,123.0,337.0
Gaepo 4(sa)-dong,강남구,416.0,135.0,281.0,90,17,73,27,7,20,299.0,111.0,188.0
Irwonbon-dong,강남구,328.0,63.0,265.0,13,1,12,3,3,-,312.0,59.0,253.0
Irwon 1(il)-dong,강남구,528.0,139.0,389.0,189,30,159,75,20,55,264.0,89.0,175.0
Irwon 2(i)-dong,강남구,484.0,100.0,384.0,171,39,132,68,7,61,245.0,54.0,191.0
Suseo-dong,강남구,856.0,195.0,661.0,472,117,355,87,15,72,297.0,63.0,234.0
Segok-dong,강남구,348.0,128.0,220.0,116,44,72,42,5,37,190.0,79.0,111.0
Apgujeong -dong,강남구,719.0,163.0,556.0,14,3,11,6,1,5,699.0,159.0,540.0
Cheongdam -dong,강남구,581.0,194.0,387.0,34,5,29,7,4,3,540.0,185.0,355.0
Daechi 2(i)-dong,강남구,488.0,133.0,355.0,25,5,20,8,3,5,455.0,125.0,330.0
Gaepo 2(i)-dong,강남구,527.0,127.0,400.0,48,14,34,17,3,14,462.0,110.0,352.0
Pungnap 1(il)-dong,송파구,495.0,145.0,350.0,89,28,61,8,2,6,398.0,115.0,283.0
Pungnap 2(i)-dong,송파구,418.0,114.0,304.0,48,16,32,4,-,4,366.0,98.0,268.0
Geoyeo 1(il)-dong,송파구,308.0,97.0,211.0,64,21,43,10,1,9,234.0,75.0,159.0
Geoyeo 2(i)-dong,송파구,694.0,200.0,494.0,127,38,89,28,6,22,539.0,156.0,383.0
Macheon 1(il)-dong,송파구,630.0,175.0,455.0,143,36,107,46,9,37,441.0,130.0,311.0
