Dong,복지_장애인현황장애유형별_Autonomous Gu_Autonomous Gu_Autonomous Gu,복지_장애인현황장애유형별_By Type of the disabled_total_total,복지_장애인현황장애유형별_By Type of the disabled_total_Man,복지_장애인현황장애유형별_By Type of the disabled_total_Female,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Physically disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_total,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Man,복지_장애인현황장애유형별_By Type of the disabled_Braindisorder_Female,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Visuallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_total,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Auditorily disabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_total,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Man,복지_장애인현황장애유형별_By Type of the disabled_Linguallydisabled_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalretardation_Female,복지_장애인현황장애유형별_By Type of the disabled_Autism_total,복지_장애인현황장애유형별_By Type of the disabled_Autism_Man,복지_장애인현황장애유형별_By Type of the disabled_Autism_Female,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_total,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Man,복지_장애인현황장애유형별_By Type of the disabled_Mentalillness_Female,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Kidneyfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_total,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Man,복지_장애인현황장애유형별_By Type of the disabled_Heartfailure_Female,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_total,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Man,복지_장애인현황장애유형별_By Type of the disabled_Respira tarydisease_Female,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_total,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Liver failure_Female,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_total,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Facial failure_Female,"복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_total","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Man","복지_장애인현황장애유형별_By Type of the disabled_Ostomy, urostomy_Female",복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_total,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Man,복지_장애인현황장애유형별_By Type of the disabled_Epliepsy failure_Female
Yangjae 1(il)-dong,Seocho-gu,1859.0,1046,813,909,507,402,247,144,103,178,104,74,173,89,84,10,4,6,111,62,49,26,19,7,78,35,43,77,48,29,7,5,2,11,8,3,13,11,2,3,2,1,10,5,5,6,3,3
Yangjae 2(i)-dong,Seocho-gu,693.0,422,271,360,221,139,98,58,40,71,42,29,63,35,28,4,4,-,30,22,8,7,5,2,17,8,9,30,20,10,2,-,2,4,2,2,3,3,-,-,-,-,3,2,1,1,-,1
Naegok-dong,Seocho-gu,419.0,293,126,161,94,67,35,23,12,37,21,16,23,15,8,-,-,-,118,111,7,14,12,2,9,5,4,6,2,4,3,2,1,7,3,4,3,2,1,-,-,-,2,2,-,1,1,-
Sinsa-dong,Gangnam-gu,401.0,220,181,209,104,105,39,20,19,40,26,14,39,24,15,3,3,-,13,7,6,4,4,-,12,5,7,25,17,8,2,1,1,1,-,1,7,4,3,-,-,-,6,5,1,1,-,1
Nonhyeon 1(il)-dong,Gangnam-gu,677.0,404,273,329,180,149,76,53,23,97,64,33,57,36,21,1,-,1,35,24,11,12,8,4,15,7,8,37,23,14,3,-,3,2,2,-,4,1,3,-,-,-,6,4,2,3,2,1
Nonhyeon 2(i)-dong,Gangnam-gu,559.0,340,219,267,152,115,66,45,21,56,35,21,60,38,22,2,1,1,27,17,10,8,5,3,19,12,7,32,14,18,2,2,-,2,2,-,15,14,1,-,-,-,2,2,-,1,1,-
Samseong 1(il)-dong,Gangnam-gu,364.0,221,143,200,119,81,48,30,18,29,20,9,24,17,7,4,4,-,15,6,9,10,8,2,6,-,6,20,12,8,1,-,1,2,2,-,3,2,1,1,1,-,-,-,-,1,-,1
Samseong 2(i)-dong,Gangnam-gu,648.0,374,274,341,196,145,68,40,28,70,39,31,49,28,21,2,2,-,32,25,7,14,11,3,21,9,12,27,10,17,4,-,4,3,2,1,9,7,2,-,-,-,7,4,3,1,1,-
Daechi 1(il)-dong,Gangnam-gu,246.0,143,103,103,56,47,33,16,17,35,22,13,25,12,13,-,-,-,11,8,3,13,12,1,4,3,1,9,4,5,-,-,-,1,-,1,8,6,2,-,-,-,4,4,-,-,-,-
Daechi 4(sa)-dong,Gangnam-gu,404.0,224,180,218,118,100,37,18,19,36,19,17,43,21,22,3,2,1,29,20,9,6,6,-,10,3,7,13,9,4,1,1,-,3,3,-,3,3,-,-,-,-,1,1,-,1,-,1
Yeoksam 1(il)-dong,Gangnam-gu,811.0,466,345,419,238,181,93,50,43,97,66,31,76,40,36,7,5,2,35,19,16,6,5,1,19,8,11,34,16,18,5,4,1,7,6,1,8,5,3,1,1,-,3,3,-,1,-,1
Yeoksam 2(i)-dong,Gangnam-gu,659.0,402,257,322,187,135,73,42,31,72,48,24,59,34,25,3,2,1,34,25,9,6,5,1,17,8,9,47,31,16,4,2,2,3,3,-,8,6,2,-,-,-,10,8,2,1,1,-
Dogok 1(il)-dong,Gangnam-gu,447.0,254,193,213,117,96,68,42,26,45,28,17,40,18,22,3,2,1,27,14,13,10,9,1,10,5,5,22,12,10,-,-,-,1,1,-,4,4,-,-,-,-,2,1,1,2,1,1
Dogok 2(i)-dong,Gangnam-gu,520.0,307,213,247,139,108,66,41,25,57,34,23,51,32,19,6,5,1,32,14,18,13,12,1,11,6,5,24,17,7,4,3,1,-,-,-,4,1,3,-,-,-,5,3,2,-,-,-
Gaepo 1(il)-dong,Gangnam-gu,672.0,384,288,313,170,143,89,49,40,64,39,25,67,35,32,4,2,2,45,27,18,15,15,-,22,12,10,29,21,8,2,1,1,4,4,-,6,2,4,2,-,2,6,3,3,4,4,-
Gaepo 4(sa)-dong,Gangnam-gu,662.0,376,286,304,166,138,83,49,34,66,41,25,72,37,35,8,6,2,41,25,16,16,14,2,28,12,16,24,15,9,5,1,4,6,3,3,3,3,-,1,-,1,4,3,1,1,1,-
Irwonbon-dong,Gangnam-gu,598.0,314,284,205,115,90,64,33,31,40,21,19,51,27,24,3,3,-,48,18,30,79,66,13,64,2,62,35,23,12,1,-,1,1,-,1,3,3,-,-,-,-,1,1,-,3,2,1
Irwon 1(il)-dong,Gangnam-gu,1104.0,618,486,476,254,222,130,75,55,100,62,38,110,41,69,9,5,4,62,36,26,43,35,8,91,56,35,50,31,19,2,2,-,12,8,4,4,3,1,3,2,1,8,6,2,4,2,2
Irwon 2(i)-dong,Gangnam-gu,1152.0,609,543,480,267,213,106,51,55,119,63,56,174,58,116,7,4,3,85,49,36,36,27,9,77,47,30,35,24,11,4,2,2,15,12,3,3,2,1,2,-,2,3,1,2,6,2,4
Suseo-dong,Gangnam-gu,2062.0,1127,935,939,507,432,199,122,77,200,102,98,181,87,94,15,9,6,152,84,68,24,22,2,216,113,103,77,42,35,10,6,4,22,15,7,2,1,1,3,2,1,4,4,-,18,11,7
Segok-dong,Gangnam-gu,1025.0,602,423,525,303,222,116,65,51,87,54,33,115,62,53,7,6,1,57,33,24,34,29,5,33,17,16,27,18,9,7,5,2,5,3,2,2,2,-,3,3,-,5,1,4,2,1,1
Apgujeong -dong,Gangnam-gu,536.0,302,234,248,138,110,65,37,28,55,35,20,58,22,36,2,2,-,27,14,13,14,14,-,14,4,10,34,21,13,5,5,-,2,2,-,7,6,1,-,-,-,5,2,3,-,-,-
Cheongdam -dong,Gangnam-gu,661.0,387,274,314,179,135,76,48,28,87,45,42,64,33,31,9,6,3,36,26,10,10,8,2,4,-,4,39,25,14,4,3,1,3,1,2,8,7,1,1,1,-,4,4,-,2,1,1
Daechi 2(i)-dong,Gangnam-gu,712.0,434,278,331,201,130,91,51,40,68,41,27,73,38,35,8,8,-,51,35,16,25,21,4,17,5,12,29,19,10,5,5,-,5,4,1,7,4,3,-,-,-,2,2,-,-,-,-
Gaepo 2(i)-dong,Gangnam-gu,787.0,438,349,384,221,163,89,41,48,85,37,48,84,42,42,5,2,3,37,25,12,35,30,5,23,12,11,20,11,9,7,5,2,4,3,1,7,6,1,-,-,-,4,2,2,3,1,2
Pungnap 1(il)-dong,Songpa-gu,777.0,463,314,401,224,177,99,64,35,82,55,27,78,42,36,5,3,2,38,28,10,13,12,1,20,8,12,25,16,9,1,1,-,4,4,-,3,1,2,1,-,1,4,3,1,3,2,1
Pungnap 2(i)-dong,Songpa-gu,864.0,528,336,412,234,178,100,66,34,97,57,40,78,57,21,11,7,4,45,31,14,15,14,1,28,21,7,50,24,26,3,2,1,5,3,2,7,6,1,1,-,1,6,3,3,6,3,3
Geoyeo 1(il)-dong,Songpa-gu,639.0,389,250,356,210,146,71,40,31,64,44,20,44,22,22,5,5,-,43,28,15,12,11,1,18,12,6,16,9,7,1,1,-,4,3,1,2,2,-,-,-,-,1,-,1,2,2,-
Geoyeo 2(i)-dong,Songpa-gu,1273.0,747,526,583,323,260,114,73,41,129,79,50,81,47,34,7,7,-,236,150,86,22,19,3,29,13,16,38,18,20,6,3,3,9,5,4,5,3,2,2,1,1,6,3,3,6,3,3
Macheon 1(il)-dong,Songpa-gu,1207.0,685,522,640,356,284,133,77,56,119,68,51,98,47,51,9,7,2,76,49,27,27,24,3,38,22,16,34,15,19,2,1,1,13,8,5,6,5,1,1,-,1,4,4,-,7,2,5
Macheon 2(i)-dong,Songpa-gu,1136.0,694,442,613,379,234,105,66,39,119,74,45,107,60,47,8,7,1,70,42,28,10,9,1,33,21,12,48,23,25,-,-,-,10,7,3,5,2,3,1,1,-,5,2,3,2,1,1
Bangi 1(il)-dong,Songpa-gu,463.0,275,188,219,139,80,53,26,27,50,32,18,45,21,24,3,2,1,29,15,14,14,12,2,12,7,5,23,13,10,2,-,2,2,1,1,8,4,4,-,-,-,3,3,-,-,-,-
Bangi 2(i)-dong,Songpa-gu,857.0,514,343,462,268,194,95,56,39,92,60,32,73,43,30,6,5,1,43,27,16,9,7,2,22,17,5,36,17,19,3,2,1,4,3,1,5,4,1,-,-,-,5,3,2,2,2,-
Oryun-dong,Songpa-gu,349.0,197,152,159,86,73,51,22,29,31,20,11,40,24,16,2,1,1,20,14,6,13,10,3,9,3,6,9,7,2,4,2,2,5,2,3,2,2,-,-,-,-,3,3,-,1,1,-
Ogeum-dong,Songpa-gu,1233.0,704,529,643,353,290,146,77,69,126,67,59,90,55,35,6,3,3,82,46,36,33,30,3,29,20,9,35,24,11,6,3,3,9,8,1,14,9,5,1,-,1,10,7,3,3,2,1
Songpa 1(il)-dong,Songpa-gu,761.0,446,315,392,235,157,89,52,37,101,62,39,70,34,36,3,2,1,31,16,15,7,4,3,18,12,6,29,16,13,2,2,-,4,2,2,5,5,-,3,2,1,6,2,4,1,-,1
Songpa 2(i)-dong,Songpa-gu,587.0,336,251,291,153,138,68,42,26,52,30,22,47,23,24,1,1,-,44,32,12,18,16,2,22,14,8,31,18,13,1,1,-,3,2,1,5,3,2,-,-,-,2,1,1,2,-,2
Seokchon-dong,Songpa-gu,1108.0,663,445,572,322,250,119,77,42,100,73,27,106,58,48,5,3,2,68,40,28,23,21,2,46,24,22,45,25,20,5,4,1,4,4,-,8,7,1,1,-,1,4,3,1,2,2,-
Samjeon-dong,Songpa-gu,1028.0,588,440,509,292,217,146,77,69,116,59,57,91,47,44,5,4,1,41,30,11,14,12,2,32,18,14,40,23,17,6,3,3,3,3,-,10,9,1,2,2,-,9,6,3,4,3,1
Garakbon-dong,Songpa-gu,809.0,491,318,409,232,177,92,51,41,73,54,19,71,42,29,2,2,-,55,36,19,21,18,3,28,21,7,39,21,18,-,-,-,9,7,2,4,2,2,-,-,-,4,3,1,2,2,-
Garak 1(il)-dong,Songpa-gu,42.0,28,14,23,15,8,5,3,2,5,3,2,4,3,1,-,-,-,1,1,-,1,1,-,1,1,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Garak 2(i)-dong,Songpa-gu,916.0,529,387,449,261,188,111,75,36,119,60,59,70,34,36,6,6,-,59,32,27,18,17,1,18,10,8,41,16,25,2,1,1,5,3,2,8,7,1,-,-,-,9,7,2,1,-,1
Munjeong 1(il)-dong,Songpa-gu,613.0,345,268,289,152,137,71,43,28,68,38,30,57,31,26,5,5,-,54,34,20,16,14,2,18,5,13,26,16,10,-,-,-,2,1,1,2,2,-,-,-,-,2,2,-,3,2,1
Munjeong 2(i)-dong,Songpa-gu,396.0,225,171,192,106,86,57,29,28,27,15,12,37,19,18,4,2,2,16,8,8,14,13,1,7,4,3,16,9,7,1,-,1,9,8,1,11,8,3,-,-,-,4,4,-,1,-,1
Jangji-dong,Songpa-gu,1625.0,964,661,767,445,322,179,98,81,160,103,57,163,88,75,5,4,1,161,98,63,59,52,7,42,20,22,48,31,17,6,5,1,7,5,2,3,3,-,1,1,-,16,7,9,8,4,4
Jamsilbon-dong,Songpa-gu,903.0,519,384,444,252,192,107,61,46,115,73,42,85,38,47,5,4,1,37,27,10,10,9,1,35,18,17,38,18,20,8,5,3,5,5,-,6,5,1,1,1,-,6,2,4,1,1,-
Jamsil 4(sa)-dong,Songpa-gu,648.0,372,276,307,174,133,85,47,38,62,34,28,68,39,29,2,2,-,30,17,13,19,17,2,22,13,9,36,18,18,2,1,1,2,-,2,7,6,1,-,-,-,4,3,1,2,1,1
Jamsil 6(yuk)-dong,Songpa-gu,374.0,222,152,179,92,87,40,22,18,34,23,11,42,28,14,1,1,-,23,17,6,9,9,-,10,6,4,19,14,5,3,1,2,2,1,1,3,3,-,-,-,-,9,5,4,-,-,-
Jamsil 7(chil)-dong,Songpa-gu,194.0,107,87,98,45,53,32,18,14,12,12,-,21,11,10,-,-,-,10,6,4,3,3,-,2,1,1,8,4,4,2,2,-,2,1,1,3,3,-,-,-,-,1,1,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,611.0,335,276,291,155,136,74,40,34,64,40,24,66,27,39,3,2,1,37,24,13,18,11,7,11,5,6,31,19,12,2,2,-,4,3,1,4,4,-,1,-,1,2,2,-,3,1,2
Jamsil 3(sam)-dong,Songpa-gu,746.0,437,309,362,195,167,87,49,38,84,60,24,74,42,32,3,2,1,36,21,15,19,17,2,20,9,11,33,22,11,8,5,3,3,2,1,12,10,2,-,-,-,3,2,1,2,1,1
Gangil-dong,Gangdong-gu,1514.0,881,633,760,420,340,185,118,67,168,96,72,145,81,64,15,8,7,88,57,31,28,26,2,24,12,12,59,31,28,6,2,4,10,9,1,9,8,1,1,-,1,9,7,2,7,6,1
Sangil-dong,Gangdong-gu,985.0,581,404,482,280,202,143,81,62,90,60,30,96,49,47,8,7,1,75,46,29,26,25,1,16,8,8,30,17,13,4,1,3,2,1,1,4,4,-,-,-,-,8,2,6,1,-,1
Myeongil 1(il)-dong,Gangdong-gu,826.0,459,367,400,210,190,91,46,45,85,52,33,80,42,38,4,3,1,73,41,32,18,18,-,21,12,9,29,20,9,1,1,-,3,3,-,8,5,3,1,1,-,8,4,4,4,1,3
Myeongil 2(i)-dong,Gangdong-gu,501.0,287,214,231,130,101,57,32,25,68,43,25,46,25,21,6,2,4,35,21,14,10,9,1,11,4,7,20,11,9,5,2,3,1,1,-,6,5,1,-,-,-,5,2,3,-,-,-
Godeok 1(il)-dong,Gangdong-gu,587.0,346,241,302,180,122,65,33,32,54,35,19,60,28,32,8,5,3,41,30,11,16,14,2,10,3,7,13,6,7,3,1,2,1,-,1,5,4,1,-,-,-,5,4,1,4,3,1
Godeok 2(i)-dong,Gangdong-gu,932.0,566,366,393,224,169,97,52,45,89,49,40,59,32,27,8,7,1,190,140,50,12,11,1,43,25,18,19,9,10,8,6,2,5,4,1,3,3,-,-,-,-,3,2,1,3,2,1
Amsa 2(i)-dong,Gangdong-gu,499.0,313,186,249,155,94,67,44,23,55,32,23,48,32,16,4,4,-,26,16,10,9,8,1,8,4,4,20,11,9,1,-,1,5,3,2,1,-,1,1,1,-,3,2,1,2,1,1
Amsa 3(sam)-dong,Gangdong-gu,554.0,331,223,283,161,122,83,49,34,37,26,11,37,21,16,9,7,2,60,34,26,12,10,2,9,6,3,8,5,3,3,1,2,3,3,-,5,3,2,-,-,-,3,3,-,2,2,-
Cheonho 1(il)-dong,Gangdong-gu,1373.0,826,547,702,406,296,164,104,60,143,97,46,118,64,54,12,11,1,79,46,33,21,19,2,48,29,19,46,27,19,4,1,3,10,7,3,7,4,3,-,-,-,10,7,3,9,4,5
Cheonho 3(sam)-dong,Gangdong-gu,1303.0,776,527,702,402,300,151,97,54,140,88,52,114,71,43,12,9,3,65,44,21,8,6,2,42,15,27,41,25,16,7,6,1,5,3,2,5,4,1,3,-,3,5,4,1,3,2,1
Seongnae 1(il)-dong,Gangdong-gu,573.0,345,228,297,178,119,74,44,30,57,29,28,43,26,17,6,4,2,29,20,9,16,13,3,15,9,6,23,13,10,1,-,1,3,3,-,6,5,1,-,-,-,2,-,2,1,1,-
Seongnae 2(i)-dong,Gangdong-gu,1163.0,698,465,609,356,253,118,73,45,115,78,37,121,75,46,6,3,3,62,36,26,14,12,2,46,19,27,38,24,14,5,4,1,10,9,1,9,4,5,2,1,1,5,4,1,3,-,3
Seongnae 3(sam)-dong,Gangdong-gu,892.0,542,350,463,279,184,98,62,36,94,62,32,78,43,35,5,4,1,48,32,16,13,11,2,22,14,8,45,19,26,2,1,1,7,5,2,8,5,3,1,-,1,5,4,1,3,1,2
Dunchon 1(il)-dong,Gangdong-gu,442.0,248,194,211,120,91,52,20,32,35,20,15,53,27,26,8,5,3,25,18,7,14,12,2,10,4,6,19,12,7,5,4,1,3,2,1,3,1,2,1,1,-,3,2,1,-,-,-
Dunchon 2(i)-dong,Gangdong-gu,962.0,566,396,490,283,207,107,55,52,100,62,38,96,56,40,5,3,2,55,37,18,22,17,5,26,14,12,42,24,18,3,3,-,5,5,-,6,5,1,1,-,1,4,2,2,-,-,-
Amsa 1(il)-dong,Gangdong-gu,1599.0,950,649,846,514,332,171,95,76,161,103,58,147,75,72,6,4,2,89,52,37,18,14,4,58,24,34,56,36,20,12,7,5,10,9,1,7,6,1,4,4,-,7,4,3,7,3,4
Cheonho 2(i)-dong,Gangdong-gu,1798.0,1097,701,930,568,362,200,131,69,207,133,74,167,96,71,17,12,5,100,53,47,25,21,4,54,28,26,54,28,26,7,6,1,5,3,2,6,3,3,4,2,2,8,4,4,14,9,5
Gil-dong,Gangdong-gu,1958.0,1197,761,1049,613,436,203,124,79,215,141,74,157,97,60,12,8,4,102,69,33,28,26,2,71,45,26,81,47,34,5,4,1,10,5,5,6,6,-,2,-,2,15,10,5,2,2,-
