Dong,복지_부양비및노령화지수_Period,복지_부양비및노령화지수_Autonomous Gu,복지_부양비및노령화지수_ Youth dependency ratio,복지_부양비및노령화지수_ Dependency ratio(Aged),복지_부양비및노령화지수_ Aging index
Samjeon-dong,2013.0,Songpa-gu,14.3,9.5,66.9
Garakbon-dong,2013.0,Songpa-gu,15.0,10.3,68.6
Garak 1(il)-dong,2013.0,Songpa-gu,10.8,14.6,135.1
Garak 2(i)-dong,2013.0,Songpa-gu,20.1,9.5,47.3
Munjeong 1(il)-dong,2013.0,Songpa-gu,15.3,10.9,71.0
Munjeong 2(i)-dong,2013.0,Songpa-gu,13.9,16.4,117.8
Jangji-dong,2013.0,Songpa-gu,22.9,10.8,47.3
Jamsilbon-dong,2013.0,Songpa-gu,12.5,10.3,82.1
Jamsil 4(sa)-dong,2013.0,Songpa-gu,24.2,11.7,48.5
Jamsil 6(yuk)-dong,2013.0,Songpa-gu,18.7,13.2,70.7
Jamsil 7(chil)-dong,2013.0,Songpa-gu,18.9,19.3,102.3
Jamsil 2(i)-dong,2013.0,Songpa-gu,32.0,8.7,27.3
Jamsil 3(sam)-dong,2013.0,Songpa-gu,21.5,13.0,60.2
Gangil-dong,2013.0,Gangdong-gu,30.3,14.4,47.4
Sangil-dong,2013.0,Gangdong-gu,15.8,11.0,69.4
Myeongil 1(il)-dong,2013.0,Gangdong-gu,19.4,11.5,59.3
Myeongil 2(i)-dong,2013.0,Gangdong-gu,16.4,10.1,61.4
Godeok 1(il)-dong,2013.0,Gangdong-gu,21.9,11.2,51.4
Godeok 2(i)-dong,2013.0,Gangdong-gu,13.5,13.2,97.9
Amsa 2(i)-dong,2013.0,Gangdong-gu,22.4,11.9,53.0
Amsa 3(sam)-dong,2013.0,Gangdong-gu,23.5,10.5,44.9
Cheonho 1(il)-dong,2013.0,Gangdong-gu,14.0,14.6,104.3
Cheonho 3(sam)-dong,2013.0,Gangdong-gu,11.6,15.5,134.3
Seongnae 1(il)-dong,2013.0,Gangdong-gu,18.7,12.2,64.9
Seongnae 2(i)-dong,2013.0,Gangdong-gu,12.3,14.3,116.3
Seongnae 3(sam)-dong,2013.0,Gangdong-gu,15.0,12.2,81.6
Dunchon 1(il)-dong,2013.0,Gangdong-gu,14.3,8.5,59.6
Dunchon 2(i)-dong,2013.0,Gangdong-gu,17.1,12.3,71.5
Amsa 1(il)-dong,2013.0,Gangdong-gu,16.0,13.5,84.0
Cheonho 2(i)-dong,2013.0,Gangdong-gu,13.4,14.6,108.7
Gil-dong,2013.0,Gangdong-gu,15.4,12.5,81.2
