Dong,복지_독거노인현황연령별_Gu_Gu,복지_독거노인현황연령별_Total_Total,복지_독거노인현황연령별_Total_65~79 years old,복지_독거노인현황연령별_Total_80 years old and over,복지_독거노인현황연령별_Basic Livelihood Security law Recipients_Total,복지_독거노인현황연령별_Basic Livelihood Security law Recipients_65~79 years old,복지_독거노인현황연령별_Basic Livelihood Security law Recipients_80 years old and over,복지_독거노인현황연령별_An old person of small income an old person_Total,복지_독거노인현황연령별_An old person of small income an old person_65~79 years old,복지_독거노인현황연령별_An old person of small income an old person_80 years old and over,복지_독거노인현황연령별_The public_Total,복지_독거노인현황연령별_The public_65~79 years old,복지_독거노인현황연령별_The public_80 years old and over
Hwagok 4(sa)-dong,Gangseo-gu,809.0,639.0,170.0,120,93,27,39,29,10,650.0,517.0,133.0
Hwagok 6(yuk)-dong,Gangseo-gu,541.0,368.0,173.0,79,26,53,33,5,28,429.0,337.0,92.0
Hwagok 8(pal)-dong,Gangseo-gu,610.0,501.0,109.0,110,78,32,8,7,1,492.0,416.0,76.0
Gayang 1(il)-dong,Gangseo-gu,369.0,295.0,74.0,14,12,2,8,4,4,347.0,279.0,68.0
Gayang 2(i)-dong,Gangseo-gu,951.0,710.0,241.0,505,349,156,109,75,34,337.0,286.0,51.0
Gayang 3(sam)-dong,Gangseo-gu,736.0,565.0,171.0,330,241,89,62,47,15,344.0,277.0,67.0
Balsan 1(il)-dong,Gangseo-gu,551.0,453.0,98.0,83,52,31,43,27,16,425.0,374.0,51.0
Gonghang-dong,Gangseo-gu,1281.0,1136.0,145.0,112,91,21,88,44,44,1081.0,1001.0,80.0
Banghwa 1(il)-dong,Gangseo-gu,886.0,718.0,168.0,136,102,34,72,49,23,678.0,567.0,111.0
Banghwa 2(i)-dong,Gangseo-gu,980.0,771.0,209.0,245,200,45,48,38,10,687.0,533.0,154.0
Banghwa 3(sam)-dong,Gangseo-gu,990.0,762.0,228.0,312,225,87,80,60,20,598.0,477.0,121.0
Hwagok 1(il)-dong,Gangseo-gu,993.0,843.0,150.0,215,168,47,67,46,21,711.0,629.0,82.0
Ujangsan-dong,Gangseo-gu,659.0,533.0,126.0,68,19,49,27,15,12,564.0,499.0,65.0
Sindorim-dong,Guro-gu,485.0,352.0,133.0,22,17,5,13,7,6,450.0,328.0,122.0
Guro 1(il)-dong,Guro-gu,258.0,171.0,87.0,8,5,3,8,5,3,242.0,161.0,81.0
Guro 3(sam)-dong,Guro-gu,631.0,470.0,161.0,68,49,19,34,15,19,529.0,406.0,123.0
Guro 4(sa)-dong,Guro-gu,983.0,737.0,246.0,172,123,49,60,37,23,751.0,577.0,174.0
Guro 5(o)-dong,Guro-gu,700.0,516.0,184.0,79,56,23,35,24,11,586.0,436.0,150.0
Gocheok 1(il)-dong,Guro-gu,620.0,453.0,167.0,60,36,24,27,18,9,533.0,399.0,134.0
Gocheok 2(i)-dong,Guro-gu,808.0,600.0,208.0,118,88,30,64,40,24,626.0,472.0,154.0
Gaebong 2(i)-dong,Guro-gu,750.0,591.0,159.0,118,97,21,26,20,6,606.0,474.0,132.0
Gaebong 3(sam)-dong,Guro-gu,553.0,400.0,153.0,97,74,23,45,32,13,411.0,294.0,117.0
Oryu 1(il)-dong,Guro-gu,661.0,507.0,154.0,148,112,36,44,36,8,469.0,359.0,110.0
Oryu 2(i)-dong,Guro-gu,937.0,742.0,195.0,150,111,39,76,55,21,711.0,576.0,135.0
Sugung-dong,Guro-gu,667.0,521.0,146.0,79,54,25,41,25,16,547.0,442.0,105.0
Garibong-dong,Guro-gu,829.0,602.0,227.0,193,154,39,63,42,21,573.0,406.0,167.0
Guro 2(i)-dong,Guro-gu,1344.0,1008.0,336.0,190,141,49,89,58,31,1065.0,809.0,256.0
Gaebong 1(il)-dong,Guro-gu,1039.0,789.0,250.0,174,123,51,78,48,30,787.0,618.0,169.0
Gasan-dong,Geumcheon-gu,607.0,506.0,101.0,125,98,27,31,18,13,451.0,390.0,61.0
Doksan 1(il)-dong,Geumcheon-gu,818.0,658.0,160.0,56,38,18,59,53,6,703.0,567.0,136.0
Doksan 2(i)-dong,Geumcheon-gu,731.0,591.0,140.0,155,109,46,60,40,20,516.0,442.0,74.0
Doksan 3(sam)-dong,Geumcheon-gu,960.0,755.0,205.0,181,129,52,40,29,11,739.0,597.0,142.0
Doksan 4(sa)-dong,Geumcheon-gu,524.0,423.0,101.0,100,74,26,45,37,8,379.0,312.0,67.0
Siheung 1(il)-dong,Geumcheon-gu,1231.0,992.0,239.0,230,167,63,133,98,35,868.0,727.0,141.0
Siheung 2(i)-dong,Geumcheon-gu,658.0,484.0,174.0,187,131,56,45,31,14,426.0,322.0,104.0
Siheung 3(sam)-dong,Geumcheon-gu,407.0,321.0,86.0,53,39,14,33,20,13,321.0,262.0,59.0
Siheung 4(sa)-dong,Geumcheon-gu,708.0,567.0,141.0,125,99,26,56,36,20,527.0,432.0,95.0
Siheung 5(o)-dong,Geumcheon-gu,1016.0,770.0,246.0,210,149,61,79,53,26,727.0,568.0,159.0
Yeouido-dong,Yeongdeungpo-gu,940.0,595.0,345.0,30,5,25,8,1,7,902.0,589.0,313.0
Dangsan 1(il)-dong,Yeongdeungpo-gu,656.0,490.0,166.0,79,73,6,10,10,-,567.0,407.0,160.0
Dangsan2(i)-dong,Yeongdeungpo-gu,654.0,462.0,192.0,67,38,29,7,3,4,580.0,421.0,159.0
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,501.0,366.0,135.0,62,50,12,1,1,-,438.0,315.0,123.0
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,400.0,306.0,94.0,70,22,48,18,10,8,312.0,274.0,38.0
Singil 1(il)-dong,Yeongdeungpo-gu,950.0,710.0,240.0,182,149,33,25,20,5,743.0,541.0,202.0
Singil 3(sam)-dong,Yeongdeungpo-gu,635.0,465.0,170.0,140,115,25,22,16,6,473.0,334.0,139.0
Singil 4(sa)-dong,Yeongdeungpo-gu,510.0,378.0,132.0,102,78,24,27,19,8,381.0,281.0,100.0
Singil 5(o)-dong,Yeongdeungpo-gu,591.0,447.0,144.0,91,71,20,18,10,8,482.0,366.0,116.0
Singil 6(yuk)-dong,Yeongdeungpo-gu,694.0,510.0,184.0,94,56,38,23,12,11,577.0,442.0,135.0
Singil 7(chil)-dong,Yeongdeungpo-gu,308.0,206.0,102.0,70,70,-,9,9,-,229.0,127.0,102.0
Daerim 1(il)-dong,Yeongdeungpo-gu,628.0,489.0,139.0,117,76,41,18,10,8,493.0,403.0,90.0
Daerim 2(i)-dong,Yeongdeungpo-gu,642.0,484.0,158.0,104,73,31,10,6,4,528.0,405.0,123.0
Daerim 3(sam)-dong,Yeongdeungpo-gu,682.0,523.0,159.0,1,1,-,1,1,-,680.0,521.0,159.0
Yeongdeungpobon-dong,Yeongdeungpo-gu,927.0,710.0,217.0,177,135,42,10,8,2,740.0,567.0,173.0
Yeongdeungpo-dong,Yeongdeungpo-gu,1119.0,878.0,241.0,311,272,39,10,7,3,798.0,599.0,199.0
Dorim-dong,Yeongdeungpo-gu,748.0,549.0,199.0,97,84,13,5,4,1,646.0,461.0,185.0
Mullae-dong,Yeongdeungpo-gu,762.0,537.0,225.0,99,81,18,11,7,4,652.0,449.0,203.0
Noryangjin 2(i)-dong,Dongjak-gu,1046.0,798.0,248.0,169,118,51,80,50,30,797.0,630.0,167.0
Sangdo 1(il)-dong,Dongjak-gu,997.0,762.0,235.0,162,128,34,84,42,42,751.0,592.0,159.0
Sangdo 2(i)-dong,Dongjak-gu,1023.0,801.0,222.0,124,99,25,118,79,39,781.0,623.0,158.0
Sangdo 3(sam)-dong,Dongjak-gu,557.0,190.0,367.0,117,101,16,72,43,29,368.0,46.0,322.0
Sangdo 4(sa)-dong,Dongjak-gu,1098.0,822.0,276.0,181,118,63,76,48,28,841.0,656.0,185.0
Sadang 1(il)-dong,Dongjak-gu,580.0,497.0,83.0,93,78,15,24,20,4,463.0,399.0,64.0
Sadang 3(sam)-dong,Dongjak-gu,585.0,456.0,129.0,44,31,13,25,13,12,516.0,412.0,104.0
Sadang 4(sa)-dong,Dongjak-gu,486.0,383.0,103.0,88,44,44,17,11,6,381.0,328.0,53.0
Sadang 5(o)-dong,Dongjak-gu,392.0,292.0,100.0,35,26,9,27,12,15,330.0,254.0,76.0
Daebang-dong,Dongjak-gu,746.0,585.0,161.0,175,123,52,50,32,18,521.0,430.0,91.0
Sindaebang 1(il)-dong,Dongjak-gu,662.0,507.0,155.0,75,54,21,30,24,6,557.0,429.0,128.0
Sindaebang 2(i)-dong,Dongjak-gu,447.0,356.0,91.0,74,57,17,20,9,11,353.0,290.0,63.0
Heukseok-dong,Dongjak-gu,1313.0,992.0,321.0,159,111,48,55,37,18,1099.0,844.0,255.0
Noryangjin 1(il)-dong,Dongjak-gu,947.0,707.0,240.0,179,126,53,82,46,36,686.0,535.0,151.0
Sadang 2(i)-dong,Dongjak-gu,890.0,677.0,213.0,97,80,17,40,22,18,753.0,575.0,178.0
Boramae-dong,Gwanak-gu,821.0,589.0,232.0,134,99,35,37,24,13,650.0,466.0,184.0
Cheongnim-dong,Gwanak-gu,552.0,367.0,185.0,113,75,38,32,22,10,407.0,270.0,137.0
Haengun-dong,Gwanak-gu,890.0,658.0,232.0,170,128,42,53,32,21,667.0,498.0,169.0
Nagseongdae-dong,Gwanak-gu,477.0,360.0,117.0,66,52,14,16,12,4,395.0,296.0,99.0
Jungang-dong,Gwanak-gu,535.0,409.0,126.0,76,64,12,29,20,9,430.0,325.0,105.0
Inheon-dong,Gwanak-gu,683.0,531.0,152.0,68,53,15,31,23,8,584.0,455.0,129.0
Namhyeon-dong,Gwanak-gu,404.0,276.0,128.0,36,25,11,16,10,6,352.0,241.0,111.0
Sewon-dong,Gwanak-gu,601.0,458.0,143.0,82,64,18,32,18,14,487.0,376.0,111.0
Sinwon-dong,Gwanak-gu,658.0,489.0,169.0,105,78,27,36,25,11,517.0,386.0,131.0
Serim-dong,Gwanak-gu,595.0,419.0,176.0,86,59,27,20,14,6,489.0,346.0,143.0
Sinsa-dong,Gwanak-gu,659.0,491.0,168.0,124,80,44,34,21,13,501.0,390.0,111.0
Sillim-dong,Gwanak-gu,468.0,342.0,126.0,70,54,16,14,12,2,384.0,276.0,108.0
Nanhyang-dong,Gwanak-gu,462.0,329.0,133.0,85,59,26,28,18,10,349.0,252.0,97.0
Jowon-dong,Gwanak-gu,542.0,372.0,170.0,65,45,20,31,22,9,446.0,305.0,141.0
Daehak-dong,Gwanak-gu,497.0,360.0,137.0,58,48,10,17,10,7,422.0,302.0,120.0
Euncheon-dong,Gwanak-gu,997.0,714.0,283.0,207,151,56,61,42,19,729.0,521.0,208.0
Seonghyeon-dong,Gwanak-gu,1011.0,730.0,281.0,226,155,71,74,39,35,711.0,536.0,175.0
Cheongnyong-dong,Gwanak-gu,914.0,704.0,210.0,121,94,27,30,18,12,763.0,592.0,171.0
Nangok-dong,Gwanak-gu,1028.0,764.0,264.0,206,152,54,58,41,17,764.0,571.0,193.0
Samseong-dong,Gwanak-gu,1268.0,894.0,374.0,255,168,87,78,47,31,935.0,679.0,256.0
Miseong-dong,Gwanak-gu,912.0,686.0,226.0,145,110,35,58,42,16,709.0,534.0,175.0
Seocho 1(il)-dong,Seocho-gu,442.0,296.0,146.0,49,34,15,13,8,5,380.0,254.0,126.0
Seocho 2(i)-dong,Seocho-gu,406.0,247.0,159.0,15,11,4,7,5,2,384.0,231.0,153.0
Seocho 3(sam)-dong,Seocho-gu,611.0,425.0,186.0,40,27,13,18,10,8,553.0,388.0,165.0
Seocho 4(sa)-dong,Seocho-gu,425.0,263.0,162.0,9,8,1,5,2,3,411.0,253.0,158.0
Jamwon-dong,Seocho-gu,696.0,401.0,295.0,38,26,12,15,8,7,643.0,367.0,276.0
Banpobon-dong,Seocho-gu,247.0,147.0,100.0,-,-,-,2,2,-,245.0,145.0,100.0
Banpo 1(il)-dong,Seocho-gu,595.0,417.0,178.0,45,39,6,10,7,3,540.0,371.0,169.0
Banpo 2(i)-dong,Seocho-gu,312.0,194.0,118.0,2,-,2,-,-,-,310.0,194.0,116.0
Banpo 3(sam)-dong,Seocho-gu,448.0,258.0,190.0,6,5,1,2,2,-,440.0,251.0,189.0
Banpo 4(sa)-dong,Seocho-gu,354.0,226.0,128.0,12,7,5,2,2,-,340.0,217.0,123.0
Bangbaebon-dong,Seocho-gu,408.0,264.0,144.0,16,11,5,6,4,2,386.0,249.0,137.0
Bangbae 1(il)-dong,Seocho-gu,374.0,232.0,142.0,47,31,16,15,10,5,312.0,191.0,121.0
Bangbae 2(i)-dong,Seocho-gu,662.0,478.0,184.0,68,48,20,36,25,11,558.0,405.0,153.0
Bangbae 3(sam)-dong,Seocho-gu,551.0,341.0,210.0,40,29,11,31,22,9,480.0,290.0,190.0
Bangbae 4(sa)-dong,Seocho-gu,498.0,331.0,167.0,36,27,9,13,8,5,449.0,296.0,153.0
Yangjae 1(il)-dong,Seocho-gu,814.0,581.0,233.0,167,123,44,57,30,27,590.0,428.0,162.0
Yangjae 2(i)-dong,Seocho-gu,469.0,341.0,128.0,63,42,21,25,15,10,381.0,284.0,97.0
Naegok-dong,Seocho-gu,372.0,273.0,99.0,55,34,21,22,16,6,295.0,223.0,72.0
Sinsa-dong,Gangnam-gu,388.0,280.0,108.0,32,20,12,2,1,1,354.0,259.0,95.0
Nonhyeon 1(il)-dong,Gangnam-gu,491.0,411.0,80.0,53,50,3,8,7,1,430.0,354.0,76.0
Nonhyeon 2(i)-dong,Gangnam-gu,405.0,321.0,84.0,41,31,10,3,3,-,361.0,287.0,74.0
Samseong 1(il)-dong,Gangnam-gu,238.0,188.0,50.0,13,7,6,4,4,-,221.0,177.0,44.0
Samseong 2(i)-dong,Gangnam-gu,463.0,357.0,106.0,45,36,9,2,1,1,416.0,320.0,96.0
Daechi 1(il)-dong,Gangnam-gu,135.0,93.0,42.0,2,1,1,1,1,-,132.0,91.0,41.0
Daechi 4(sa)-dong,Gangnam-gu,331.0,277.0,54.0,34,30,4,6,5,1,291.0,242.0,49.0
Yeoksam 1(il)-dong,Gangnam-gu,650.0,526.0,124.0,48,44,4,8,7,1,594.0,475.0,119.0
Yeoksam 2(i)-dong,Gangnam-gu,457.0,338.0,119.0,28,20,8,6,1,5,423.0,317.0,106.0
Dogok 1(il)-dong,Gangnam-gu,346.0,256.0,90.0,16,11,5,4,2,2,326.0,243.0,83.0
Dogok 2(i)-dong,Gangnam-gu,479.0,351.0,128.0,3,3,-,2,2,-,474.0,346.0,128.0
Gaepo 1(il)-dong,Gangnam-gu,589.0,436.0,153.0,82,64,18,21,18,3,486.0,354.0,132.0
Gaepo 4(sa)-dong,Gangnam-gu,412.0,312.0,100.0,70,45,25,22,17,5,320.0,250.0,70.0
Irwonbon-dong,Gangnam-gu,388.0,227.0,161.0,11,8,3,2,1,1,375.0,218.0,157.0
Irwon 1(il)-dong,Gangnam-gu,550.0,423.0,127.0,163,115,48,65,62,3,322.0,246.0,76.0
Irwon 2(i)-dong,Gangnam-gu,583.0,492.0,91.0,163,131,32,95,70,25,325.0,291.0,34.0
Suseo-dong,Gangnam-gu,984.0,754.0,230.0,412,301,111,98,69,29,474.0,384.0,90.0
Segok-dong,Gangnam-gu,748.0,531.0,217.0,148,123,25,47,27,20,553.0,381.0,172.0
Apgujeong -dong,Gangnam-gu,682.0,462.0,220.0,13,9,4,6,6,-,663.0,447.0,216.0
Cheongdam -dong,Gangnam-gu,502.0,382.0,120.0,21,13,8,6,5,1,475.0,364.0,111.0
Daechi 2(i)-dong,Gangnam-gu,426.0,310.0,116.0,20,15,5,7,4,3,399.0,291.0,108.0
Gaepo 2(i)-dong,Gangnam-gu,463.0,353.0,110.0,32,22,10,10,7,3,421.0,324.0,97.0
Pungnap 1(il)-dong,Songpa-gu,457.0,390.0,67.0,70,51,19,36,24,12,351.0,315.0,36.0
Pungnap 2(i)-dong,Songpa-gu,448.0,350.0,98.0,50,40,10,26,16,10,372.0,294.0,78.0
Geoyeo 1(il)-dong,Songpa-gu,342.0,282.0,60.0,75,52,23,29,17,12,238.0,213.0,25.0
Geoyeo 2(i)-dong,Songpa-gu,717.0,569.0,148.0,123,92,31,38,29,9,556.0,448.0,108.0
Macheon 1(il)-dong,Songpa-gu,800.0,661.0,139.0,203,150,53,74,48,26,523.0,463.0,60.0
Macheon 2(i)-dong,Songpa-gu,535.0,450.0,85.0,150,111,39,54,36,18,331.0,303.0,28.0
Bangi 1(il)-dong,Songpa-gu,243.0,182.0,61.0,16,12,4,13,5,8,214.0,165.0,49.0
Bangi 2(i)-dong,Songpa-gu,526.0,427.0,99.0,61,41,20,27,16,11,438.0,370.0,68.0
Oryun-dong,Songpa-gu,194.0,121.0,73.0,1,-,1,4,2,2,189.0,119.0,70.0
Ogeum-dong,Songpa-gu,769.0,586.0,183.0,83,57,26,34,18,16,652.0,511.0,141.0
Songpa 1(il)-dong,Songpa-gu,471.0,395.0,76.0,51,42,9,20,14,6,400.0,339.0,61.0
Songpa 2(i)-dong,Songpa-gu,282.0,202.0,80.0,30,22,8,9,3,6,243.0,177.0,66.0
Seokchon-dong,Songpa-gu,672.0,576.0,96.0,110,90,20,36,23,13,526.0,463.0,63.0
Samjeon-dong,Songpa-gu,534.0,446.0,88.0,119,81,38,28,19,9,387.0,346.0,41.0
Garakbon-dong,Songpa-gu,495.0,397.0,98.0,56,44,12,23,17,6,416.0,336.0,80.0
Garak 1(il)-dong,Songpa-gu,20.0,16.0,4.0,-,-,-,1,1,-,19.0,15.0,4.0
Garak 2(i)-dong,Songpa-gu,412.0,312.0,100.0,34,23,11,25,14,11,353.0,275.0,78.0
Munjeong 1(il)-dong,Songpa-gu,286.0,237.0,49.0,32,22,10,14,10,4,240.0,205.0,35.0
Munjeong 2(i)-dong,Songpa-gu,279.0,196.0,83.0,14,12,2,7,4,3,258.0,180.0,78.0
Jangji-dong,Songpa-gu,712.0,549.0,163.0,98,74,24,29,18,11,585.0,457.0,128.0
wirye-dong,Songpa-gu,113.0,90.0,23.0,1,-,1,4,4,-,108.0,86.0,22.0
Jamsilbon-dong,Songpa-gu,578.0,478.0,100.0,72,57,15,36,26,10,470.0,395.0,75.0
Jamsil 4(sa)-dong,Songpa-gu,395.0,298.0,97.0,11,7,4,4,1,3,380.0,290.0,90.0
Jamsil 6(yuk)-dong,Songpa-gu,258.0,193.0,65.0,3,3,-,3,1,2,252.0,189.0,63.0
Jamsil 7(chil)-dong,Songpa-gu,209.0,131.0,78.0,1,1,-,-,-,-,208.0,130.0,78.0
Jamsil 2(i)-dong,Songpa-gu,358.0,295.0,63.0,5,4,1,4,2,2,349.0,289.0,60.0
Jamsil 3(sam)-dong,Songpa-gu,503.0,402.0,101.0,11,8,3,6,2,4,486.0,392.0,94.0
Gangil-dong,Gangdong-gu,428.0,329.0,99.0,71,47,24,68,39,29,289.0,243.0,46.0
Sangil-dong,Gangdong-gu,450.0,327.0,123.0,51,34,17,15,7,8,384.0,286.0,98.0
Myeongil 1(il)-dong,Gangdong-gu,522.0,368.0,154.0,48,33,15,21,13,8,453.0,322.0,131.0
Myeongil 2(i)-dong,Gangdong-gu,263.0,177.0,86.0,17,14,3,24,11,13,222.0,152.0,70.0
Godeok 1(il)-dong,Gangdong-gu,264.0,182.0,82.0,55,34,21,20,15,5,189.0,133.0,56.0
Godeok 2(i)-dong,Gangdong-gu,406.0,277.0,129.0,99,57,42,42,26,16,265.0,194.0,71.0
Amsa 2(i)-dong,Gangdong-gu,314.0,234.0,80.0,27,17,10,14,7,7,273.0,210.0,63.0
Amsa 3(sam)-dong,Gangdong-gu,228.0,175.0,53.0,15,10,5,12,5,7,201.0,160.0,41.0
Cheonho 1(il)-dong,Gangdong-gu,976.0,750.0,226.0,176,136,40,55,36,19,745.0,578.0,167.0
Cheonho 3(sam)-dong,Gangdong-gu,993.0,802.0,191.0,224,175,49,78,62,16,691.0,565.0,126.0
Seongnae 1(il)-dong,Gangdong-gu,335.0,255.0,80.0,21,13,8,6,2,4,308.0,240.0,68.0
Seongnae 2(i)-dong,Gangdong-gu,812.0,661.0,151.0,161,129,32,50,30,20,601.0,502.0,99.0
Seongnae 3(sam)-dong,Gangdong-gu,599.0,472.0,127.0,74,58,16,39,28,11,486.0,386.0,100.0
Dunchon 1(il)-dong,Gangdong-gu,238.0,159.0,79.0,11,4,7,10,7,3,217.0,148.0,69.0
Dunchon 2(i)-dong,Gangdong-gu,665.0,495.0,170.0,78,47,31,41,26,15,546.0,422.0,124.0
Amsa 1(il)-dong,Gangdong-gu,1109.0,881.0,228.0,230,171,59,71,41,30,808.0,669.0,139.0
Cheonho 2(i)-dong,Gangdong-gu,1309.0,1064.0,245.0,273,208,65,65,44,21,971.0,812.0,159.0
Gil-dong,Gangdong-gu,1073.0,836.0,237.0,154,117,37,51,34,17,868.0,685.0,183.0
