Dong,楳舛_爽託舌_Gu_Gu_Gu_Gu,楳舛_爽託舌_Total_Total_Total_Number,楳舛_爽託舌_Total_Total_Total_Space,楳舛_爽託舌_Total_Public_Public_Number,楳舛_爽託舌_Total_Public_Public_Space,楳舛_爽託舌_Total_Private_Private_Number,楳舛_爽託舌_Total_Private_Private_Space,楳舛_爽託舌_Street parking_Total_Total_Number,楳舛_爽託舌_Street parking_Total_Total_Space,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_政戟_Space,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Number,楳舛_爽託舌_Street parking_推榎採引紺_巷戟_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_獣慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_姥慎_Space,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Number,楳舛_爽託舌_Street parking_錘慎爽端紺_暗爽切酔識_Space,楳舛_爽託舌_Non-Street parking_Total_Total_Number,楳舛_爽託舌_Non-Street parking_Total_Total_Space,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Number,楳舛_爽託舌_Non-Street parking_獣慎_獣慎_Space,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Number,楳舛_爽託舌_Non-Street parking_姥慎_姥慎_Space,楳舛_爽託舌_Non-Street parking_Private_Private_Number,楳舛_爽託舌_Non-Street parking_Private_Private_Space,楳舛_爽託舌_Attached to buildings_Total_Total_Number,楳舛_爽託舌_Attached to buildings_Total_Total_Space,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Number,楳舛_爽託舌_Attached to buildings_析鋼爽澱_析鋼爽澱_Space,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Number,楳舛_爽託舌_Attached to buildings_因疑爽澱_因疑爽澱_Space,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Number,楳舛_爽託舌_Attached to buildings_析鋼闇逐弘_析鋼闇逐弘_Space
Eungbong-dong,Seongdong-gu,93,4076,9,251,84,3825,8,178,8,178,-,-,-,-,8,178,-,-,1,73,-,-,1,73,-,-,84,3825,38,69,35,3581,11,175
Geumho 1(il)-ga-dong,Seongdong-gu,80,3832,5,141,75,3691,5,141,5,141,-,-,-,-,5,141,-,-,-,-,-,-,-,-,-,-,75,3691,18,39,14,3338,43,314
Geumho 4(sa)-ga-dong,Seongdong-gu,150,4916,4,179,146,4737,3,89,3,89,-,-,-,-,3,89,-,-,3,109,-,-,1,90,2,19,144,4718,42,96,38,4150,64,472
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,413,6527,19,644,394,5883,17,440,17,440,-,-,-,-,17,440,-,-,3,206,-,-,2,204,1,2,393,5881,130,288,89,3877,174,1716
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,652,7269,29,680,623,6589,28,659,28,659,-,-,-,-,28,659,-,-,1,21,-,-,1,21,-,-,623,6589,332,703,50,2473,241,3413
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,626,8116,36,918,590,7198,35,753,35,753,-,-,-,-,35,753,-,-,4,216,-,-,1,165,3,51,587,7147,259,588,79,2685,249,3874
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,705,14210,52,1665,653,12545,51,1467,51,1467,-,-,-,-,51,1467,-,-,6,453,-,-,1,198,5,255,648,12290,120,260,39,2795,489,9235
Songjeong-dong,Seongdong-gu,366,2336,13,355,353,1981,12,233,12,233,-,-,-,-,12,233,-,-,3,155,-,-,1,122,2,33,351,1948,251,395,25,947,75,606
Yongdap-dong,Seongdong-gu,494,6828,24,1108,470,5720,23,940,23,940,-,-,-,-,23,940,-,-,9,458,-,-,1,168,8,290,462,5430,214,527,36,265,212,4638
WangsimniDoseon-dong,Seongdong-gu,350,7224,20,554,330,6670,18,283,18,283,-,-,-,-,18,283,-,-,7,333,-,-,2,271,5,62,325,6608,89,248,24,4223,212,2137
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,326,5396,8,299,318,5097,7,174,7,174,-,-,-,-,7,174,-,-,6,171,-,-,1,125,5,46,313,5051,109,198,125,4324,79,529
Oksu-dong,Seongdong-gu,164,8305,6,130,158,8175,6,130,6,130,-,-,1,41,5,89,-,-,-,-,-,-,-,-,-,-,158,8175,41,108,47,7375,70,692
Hwayang-dong,Gwangjin-gu,958,4377,3,216,955,4161,1,203,1,203,-,-,-,-,1,203,-,-,7,335,-,-,2,13,5,322,950,3839,694,2057,146,972,110,810
Gunja-dong,Gwangjin-gu,1209,5196,3,300,1206,4896,2,285,2,285,-,-,-,-,2,285,-,-,3,52,-,-,1,15,2,37,1204,4859,872,2631,222,1418,110,810
Junggok 1(il)-dong,Gwangjin-gu,839,3628,4,419,835,3209,1,270,1,270,-,-,-,-,1,270,-,-,3,149,-,-,3,149,-,-,835,3209,624,1545,140,1042,71,622
Junggok 2(i)-dong,Gwangjin-gu,1556,7238,6,644,1550,6594,2,541,2,541,-,-,-,-,2,541,-,-,4,103,-,-,4,103,-,-,1550,6594,1061,2969,404,2769,85,856
Junggok 3(sam)-dong,Gwangjin-gu,739,4929,3,373,736,4556,1,300,1,300,-,-,-,-,1,300,-,-,7,165,-,-,2,73,5,92,731,4464,604,2303,65,441,62,1720
Junggok 4(sa)-dong,Gwangjin-gu,1283,5713,5,343,1278,5370,1,131,1,131,-,-,-,-,1,131,-,-,9,315,-,-,4,212,5,103,1273,5267,960,2725,229,1469,84,1073
Neung-dong,Gwangjin-gu,1176,6252,4,466,1172,5786,1,331,1,331,-,-,-,-,1,331,-,-,4,158,-,-,3,135,1,23,1171,5763,659,2187,421,2811,91,765
Guui 1(il)-dong,Gwangjin-gu,802,13635,4,403,798,13232,3,272,3,272,-,-,1,18,2,254,-,-,1,131,-,-,1,131,-,-,798,13232,480,1203,191,7768,127,4261
Guui 2(i)-dong,Gwangjin-gu,332,13409,4,301,328,13108,1,228,1,228,-,-,-,-,1,228,-,-,4,92,-,-,3,73,1,19,327,13089,166,1126,66,7709,95,4254
Guui 3(sam)-dong,Gwangjin-gu,1211,5237,2,130,1209,5107,1,88,1,88,-,-,-,-,1,88,-,-,6,164,-,-,1,42,5,122,1204,4985,884,2246,221,1616,99,1123
Gwangjang-dong,Gwangjin-gu,1031,8112,4,800,1027,7312,1,503,1,503,-,-,-,-,1,503,-,-,10,444,-,-,3,297,7,147,1020,7165,706,2128,240,3648,74,1389
Jayang 1(il)-dong,Gwangjin-gu,412,13271,2,450,410,12821,2,450,2,450,-,-,-,-,2,450,-,-,-,-,-,-,-,-,-,-,410,12821,268,731,90,6282,52,5808
Jayang 2(i)-dong,Gwangjin-gu,805,4001,4,527,801,3474,1,219,1,219,-,-,-,-,1,219,-,-,3,308,-,-,3,308,-,-,801,3474,630,1405,71,1319,100,750
Jayang 3(sam)-dong,Gwangjin-gu,1125,8071,4,259,1121,7812,1,189,1,189,-,-,-,-,1,189,-,-,4,92,-,-,3,70,1,22,1120,7790,838,2565,108,1002,174,4223
