Dong,青沥_青沥备开_Autonomous Gu_Autonomous Gu,青沥_青沥备开_Area(km2)_Area(km2),青沥_青沥备开_Area(km2)_Composition,青沥_青沥备开_Dong_Administraci？n,青沥_青沥备开_Dong_Court ,青沥_青沥备开_Tong_Tong,青沥_青沥备开_Ban_Ban
Insu-dong,Gangbuk-gu,2.93,0.48,1.0,-,32.0,278.0
Ssangmun 1(il)-dong,Dobong-gu,1.24,0.2,1.0,1,25.0,193.0
Ssangmun 2(i)-dong,Dobong-gu,0.54,0.09,1.0,-,21.0,175.0
Ssangmun 3(sam)-dong,Dobong-gu,0.5,0.08,1.0,-,20.0,138.0
Ssangmun 4(sa)-dong,Dobong-gu,0.52,0.09,1.0,-,23.0,167.0
Banghak 1(il)-dong,Dobong-gu,0.69,0.11,1.0,1,35.0,269.0
Banghak 2(i)-dong,Dobong-gu,0.74,0.12,1.0,-,28.0,211.0
Banghak 3(sam)-dong,Dobong-gu,2.64,0.44,1.0,-,33.0,248.0
Chang 1(il)-dong,Dobong-gu,0.88,0.15,1.0,1,30.0,219.0
Chang 2(i)-dong,Dobong-gu,1.07,0.18,1.0,-,31.0,227.0
Chang 3(sam)-dong,Dobong-gu,0.67,0.11,1.0,-,17.0,130.0
Chang 4(sa)-dong,Dobong-gu,0.96,0.16,1.0,-,35.0,253.0
Chang 5(o)-dong,Dobong-gu,0.7,0.12,1.0,-,25.0,214.0
Dobong 1(il)-dong,Dobong-gu,8.72,1.44,1.0,1,28.0,195.0
Dobong 2(i)-dong,Dobong-gu,0.83,0.14,1.0,-,34.0,293.0
Wolgye 1(il)-dong,Nowon-gu,1.16,0.19,1.0,1,27.0,239.0
Wolgye 2(i)-dong,Nowon-gu,1.94,0.32,1.0,-,43.0,353.0
Wolgye 3(sam)-dong,Nowon-gu,1.17,0.19,1.0,-,45.0,435.0
Gongneung 2(i)-dong,Nowon-gu,6.82,1.13,1.0,-,43.0,404.0
Hagye 1(il)-dong,Nowon-gu,1.55,0.26,1.0,1,38.0,298.0
Hagye 2(i)-dong,Nowon-gu,0.51,0.08,1.0,-,26.0,219.0
Junggyebon-dong,Nowon-gu,1.97,0.33,1.0,-,32.0,289.0
Junggye 1(il)-dong,Nowon-gu,0.63,0.1,1.0,1,26.0,241.0
Junggye 4(sa)-dong,Nowon-gu,1.7,0.28,1.0,-,42.0,238.0
Sanggye 1(il)-dong,Nowon-gu,5.62,0.93,1.0,1,46.0,387.0
Sanggye 2(i)-dong,Nowon-gu,0.61,0.1,1.0,-,28.0,220.0
Sanggye 5(o)-dong,Nowon-gu,0.44,0.07,1.0,-,30.0,249.0
Sanggye 8(pal)-dong,Nowon-gu,0.67,0.11,1.0,-,28.0,226.0
Sanggye 9(gu)-dong,Nowon-gu,0.81,0.13,1.0,-,27.0,268.0
Sanggye 10(sip)-dong,Nowon-gu,0.8,0.13,1.0,-,25.0,211.0
Sanggye 3.4(sam.sa)-dong,Nowon-gu,5.62,0.93,1.0,-,59.0,479.0
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1.11,0.18,1.0,-,46.0,427.0
Junggye 2.3(i.sam)-dong,Nowon-gu,0.9,0.15,1.0,-,26.0,416.0
Gongneung 1(il)-dong,Nowon-gu,1.41,0.23,1.0,1,45.0,410.0
Nokbeon-dong,Eunpyeong-gu,1.79,0.3,1.0,1,36.0,295.0
Bulgwang 1(il)-dong,Eunpyeong-gu,3.13,0.52,1.0,1,50.0,370.0
Galhyeon 1(il)-dong,Eunpyeong-gu,0.97,0.16,1.0,1,27.0,233.0
Galhyeon 2(i)-dong,Eunpyeong-gu,0.96,0.16,1.0,-,30.0,194.0
Gusan-dong,Eunpyeong-gu,1.38,0.23,1.0,1,34.0,256.0
Daejo-dong,Eunpyeong-gu,0.85,0.14,1.0,1,33.0,242.0
Eungam 1(il)-dong,Eunpyeong-gu,1.2,0.2,1.0,1,33.0,241.0
Eungam 2(i)-dong,Eunpyeong-gu,0.78,0.13,1.0,-,33.0,209.0
Sinsa 1(il)-dong,Eunpyeong-gu,0.84,0.14,1.0,1,29.0,225.0
Sinsa 2(i)-dong,Eunpyeong-gu,1.0,0.17,1.0,-,28.0,204.0
Jeungsan-dong,Eunpyeong-gu,0.81,0.13,1.0,1,28.0,214.0
Susaek-dong,Eunpyeong-gu,1.29,0.21,1.0,1,28.0,230.0
Jingwan-dong,Eunpyeong-gu,11.52,1.9,1.0,1,47.0,360.0
Bulgwang 2(i)-dong,Eunpyeong-gu,1.38,0.23,1.0,-,34.0,254.0
Eungam 3(sam)-dong,Eunpyeong-gu,0.63,0.1,1.0,-,37.0,248.0
Yeokchon-dong,Eunpyeong-gu,1.16,0.19,1.0,1,45.0,337.0
Cheonyeon-dong,Seodaemun-gu,0.97,0.16,1.0,5,36.0,279.0
Hongje 1(il)-dong,Seodaemun-gu,1.23,0.2,1.0,1,47.0,347.0
Hongje 3(sam)-dong,Seodaemun-gu,0.81,0.13,1.0,-,36.0,276.0
Hongje 2(i)-dong,Seodaemun-gu,1.05,0.17,1.0,-,24.0,193.0
Hongeun 1(il)-dong,Seodaemun-gu,1.58,0.26,1.0,1,54.0,360.0
Hongeun 2(i)-dong,Seodaemun-gu,2.06,0.34,1.0,-,38.0,344.0
Namgajwa 1(il)-dong,Seodaemun-gu,0.48,0.08,1.0,1,33.0,263.0
Namgajwa 2(i)-dong,Seodaemun-gu,0.79,0.13,1.0,-,41.0,351.0
Bukgajwa 1(il)-dong,Seodaemun-gu,0.53,0.09,1.0,1,23.0,183.0
Bukgajwa 2(i)-dong,Seodaemun-gu,0.84,0.14,1.0,-,39.0,359.0
Chunghyeon-dong,Seodaemun-gu,1.12,0.19,1.0,4,42.0,317.0
Bugahyeon-dong,Seodaemun-gu,0.46,0.08,1.0,1,33.0,257.0
Sinchon-dong,Seodaemun-gu,2.63,0.43,1.0,5,37.0,237.0
Yeonhui-dong,Seodaemun-gu,3.05,0.5,1.0,1,57.0,473.0
Yonggang-dong,Mapo-gu,0.84,0.14,1.0,2,20.0,207.0
Daeheung-dong,Mapo-gu,0.88,0.15,1.0,2,22.0,172.0
Yeomni-dong,Mapo-gu,0.43,0.07,1.0,1,20.0,164.0
Sinsu-dong,Mapo-gu,0.78,0.13,1.0,4,22.0,167.0
Seogyo-dong,Mapo-gu,1.63,0.27,1.0,2,38.0,284.0
Hapjeong-dong,Mapo-gu,1.71,0.28,1.0,1,23.0,185.0
Mangwon 1(il)-dong,Mapo-gu,1.14,0.19,1.0,1,24.0,206.0
Mangwon 2(i)-dong,Mapo-gu,0.67,0.11,1.0,-,21.0,197.0
Yeonnam-dong,Mapo-gu,0.65,0.11,1.0,1,22.0,168.0
Seongsan 1(il)-dong,Mapo-gu,0.8,0.13,1.0,1,21.0,147.0
Seongsan 2(i)-dong,Mapo-gu,2.07,0.34,1.0,1,35.0,281.0
Sangam-dong,Mapo-gu,8.4,1.39,1.0,1,25.0,180.0
Dohwa-dong,Mapo-gu,0.62,0.1,1.0,2,21.0,196.0
Seogang-dong,Mapo-gu,1.45,0.24,1.0,4,29.0,217.0
gongdeok-dong,Mapo-gu,1.01,0.17,1.0,1,43.0,296.0
Ahyeon-dong,Mapo-gu,0.76,0.13,1.0,2,20.0,124.0
Mok 1(il)-dong,Yangcheon-gu,1.41,0.23,1.0,1,32.0,277.0
Mok 2(i)-dong,Yangcheon-gu,1.03,0.17,1.0,-,33.0,250.0
Mok 3(sam)-dong,Yangcheon-gu,0.53,0.09,1.0,-,27.0,214.0
Mok 4(sa)-dong,Yangcheon-gu,0.57,0.09,1.0,-,27.0,225.0
Sinwol 1(il)-dong,Yangcheon-gu,0.65,0.11,1.0,1,29.0,224.0
Sinwol 2(i)-dong,Yangcheon-gu,0.61,0.1,1.0,-,26.0,218.0
Sinwol 3(sam)-dong,Yangcheon-gu,0.87,0.14,1.0,-,24.0,191.0
Sinwol 4(sa)-dong,Yangcheon-gu,0.52,0.09,1.0,-,18.0,150.0
Sinwol 5(o)-dong,Yangcheon-gu,0.69,0.11,1.0,-,18.0,147.0
Sinwol 6(yuk)-dong,Yangcheon-gu,0.41,0.07,1.0,-,18.0,152.0
Sinwol 7(chil)-dong,Yangcheon-gu,1.19,0.2,1.0,-,34.0,257.0
Sinjeong 1(il)-dong,Yangcheon-gu,0.7,0.12,1.0,1,28.0,235.0
Sinjeong 2(i)-dong,Yangcheon-gu,0.52,0.09,1.0,-,22.0,189.0
Sinjeong 3(sam)-dong,Yangcheon-gu,2.72,0.45,1.0,-,70.0,553.0
Sinjeong 6(yuk)-dong,Yangcheon-gu,0.96,0.16,1.0,-,28.0,226.0
Sinjeong 7(chil)-dong,Yangcheon-gu,1.21,0.2,1.0,-,36.0,338.0
Mok 5(o)-dong,Yangcheon-gu,1.81,0.3,1.0,-,48.0,377.0
Sinjeong 4(sa)-dong,Yangcheon-gu,1.01,0.17,1.0,-,40.0,327.0
Yeomchang-dong,Gangseo-gu,1.74,0.29,1.0,1,37.0,346.0
Deungchon 1(il)-dong,Gangseo-gu,0.59,0.1,1.0,1,22.0,168.0
Deungchon 2(i)-dong,Gangseo-gu,0.92,0.15,1.0,-,20.0,149.0
Deungchon 3(sam)-dong,Gangseo-gu,0.79,0.13,1.0,-,45.0,359.0
Hwagokbon-dong,Gangseo-gu,1.11,0.18,1.0,1,36.0,258.0
Hwagok 2(i)-dong,Gangseo-gu,0.47,0.08,1.0,-,20.0,157.0
Hwagok 3(sam)-dong,Gangseo-gu,0.51,0.08,1.0,-,21.0,150.0
Hwagok 4(sa)-dong,Gangseo-gu,0.82,0.14,1.0,-,24.0,169.0
Hwagok 6(yuk)-dong,Gangseo-gu,1.12,0.19,1.0,-,24.0,173.0
Hwagok 8(pal)-dong,Gangseo-gu,0.53,0.09,1.0,-,24.0,168.0
Gayang 1(il)-dong,Gangseo-gu,4.7,0.78,1.0,2,26.0,220.0
Gayang 2(i)-dong,Gangseo-gu,1.0,0.17,1.0,-,26.0,194.0
Gayang 3(sam)-dong,Gangseo-gu,0.99,0.16,1.0,-,24.0,189.0
Balsan 1(il)-dong,Gangseo-gu,2.96,0.49,1.0,1,25.0,227.0
Gonghang-dong,Gangseo-gu,10.87,1.8,1.0,4,29.0,217.0
Banghwa 1(il)-dong,Gangseo-gu,1.04,0.17,1.0,1,31.0,237.0
Banghwa 2(i)-dong,Gangseo-gu,6.41,1.06,1.0,1,32.0,252.0
Banghwa 3(sam)-dong,Gangseo-gu,2.38,0.39,1.0,-,37.0,277.0
Hwagok 1(il)-dong,Gangseo-gu,1.12,0.19,1.0,-,52.0,407.0
Ujangsan-dong,Gangseo-gu,1.36,0.22,1.0,1,46.0,346.0
Sindorim-dong,Guro-gu,1.47,0.24,1.0,1,40.0,328.0
Guro 1(il)-dong,Guro-gu,1.02,0.17,1.0,1,33.0,166.0
Guro 3(sam)-dong,Guro-gu,1.02,0.17,1.0,-,37.0,293.0
Guro 4(sa)-dong,Guro-gu,0.46,0.08,1.0,-,50.0,367.0
Guro 5(o)-dong,Guro-gu,1.03,0.17,1.0,-,39.0,350.0
Gocheok 1(il)-dong,Guro-gu,1.16,0.19,1.0,1,33.0,241.0
Gocheok 2(i)-dong,Guro-gu,1.02,0.17,1.0,-,35.0,295.0
Gaebong 2(i)-dong,Guro-gu,0.8,0.13,1.0,-,39.0,305.0
Gaebong 3(sam)-dong,Guro-gu,0.81,0.13,1.0,-,27.0,224.0
Oryu 1(il)-dong,Guro-gu,0.59,0.1,1.0,1,32.0,230.0
Oryu 2(i)-dong,Guro-gu,4.6,0.76,1.0,2,47.0,380.0
Sugung-dong,Guro-gu,2.67,0.44,1.0,2,31.0,277.0
Garibong-dong,Guro-gu,0.4,0.07,1.0,1,39.0,299.0
Guro 2(i)-dong,Guro-gu,1.76,0.29,1.0,-,59.0,484.0
Gaebong 1(il)-dong,Guro-gu,1.31,0.22,1.0,1,47.0,358.0
Gasan-dong,Geumcheon-gu,2.5,0.41,1.0,1,31.0,255.0
Doksan 1(il)-dong,Geumcheon-gu,2.08,0.34,1.0,1,38.0,296.0
Doksan 2(i)-dong,Geumcheon-gu,0.61,0.1,1.0,-,33.0,263.0
Doksan 3(sam)-dong,Geumcheon-gu,0.92,0.15,1.0,-,46.0,395.0
Doksan 4(sa)-dong,Geumcheon-gu,0.59,0.1,1.0,-,28.0,229.0
Siheung 1(il)-dong,Geumcheon-gu,1.71,0.28,1.0,1,56.0,535.0
Siheung 2(i)-dong,Geumcheon-gu,1.26,0.21,1.0,-,33.0,233.0
Siheung 3(sam)-dong,Geumcheon-gu,1.07,0.18,1.0,-,22.0,190.0
Siheung 4(sa)-dong,Geumcheon-gu,0.87,0.14,1.0,-,34.0,253.0
Siheung 5(o)-dong,Geumcheon-gu,1.39,0.23,1.0,-,41.0,313.0
Yeouido-dong,Yeongdeungpo-gu,8.41,1.39,1.0,1,43.0,361.0
Dangsan 1(il)-dong,Yeongdeungpo-gu,0.75,0.12,1.0,3,31.0,245.0
Dangsan2(i)-dong,Yeongdeungpo-gu,1.55,0.26,1.0,4,36.0,339.0
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,0.88,0.15,1.0,4,23.0,188.0
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,3.0,0.5,1.0,4,28.0,219.0
Singil 1(il)-dong,Yeongdeungpo-gu,0.66,0.11,1.0,1,33.0,309.0
Singil 3(sam)-dong,Yeongdeungpo-gu,0.48,0.08,1.0,-,30.0,248.0
Singil 4(sa)-dong,Yeongdeungpo-gu,0.35,0.06,1.0,-,22.0,169.0
Singil 5(o)-dong,Yeongdeungpo-gu,0.47,0.08,1.0,-,30.0,254.0
Singil 6(yuk)-dong,Yeongdeungpo-gu,0.68,0.11,1.0,-,35.0,296.0
Singil 7(chil)-dong,Yeongdeungpo-gu,0.64,0.11,1.0,-,25.0,194.0
Daerim 1(il)-dong,Yeongdeungpo-gu,0.49,0.08,1.0,1,25.0,228.0
Daerim 2(i)-dong,Yeongdeungpo-gu,0.55,0.09,1.0,-,30.0,263.0
Daerim 3(sam)-dong,Yeongdeungpo-gu,1.0,0.17,1.0,-,39.0,335.0
Yeongdeungpobon-dong,Yeongdeungpo-gu,1.02,0.17,1.0,1,39.0,323.0
Yeongdeungpo-dong,Yeongdeungpo-gu,1.26,0.21,1.0,8,30.0,232.0
Dorim-dong,Yeongdeungpo-gu,0.89,0.15,1.0,1,38.0,309.0
Mullae-dong,Yeongdeungpo-gu,1.49,0.25,1.0,6,38.0,325.0
Noryangjin 2(i)-dong,Dongjak-gu,0.65,0.11,1.0,-,24.0,157.0
Sangdo 1(il)-dong,Dongjak-gu,1.51,0.25,1.0,2,45.0,360.0
