Dong,행정_도시가스이용현황_Gu_Gu_Gu,행정_도시가스이용현황_도시가스이용가구(용도별)_Total_Total,행정_도시가스이용현황_도시가스이용가구(용도별)_Home use_Sub-total,행정_도시가스이용현황_도시가스이용가구(용도별)_Home use_Cooking use,행정_도시가스이용현황_도시가스이용가구(용도별)_General use_General use,행정_도시가스이용현황_도시가스이용가구(용도별)_Office use_Office use,행정_도시가스이용현황_도시가스이용가구(용도별)_Industry use_Industry use,행정_도시가스이용현황_도시가스이용가구(용도별)_열병합_열병합,행정_도시가스이용현황_도시가스이용가구(용도별)_Transport_Transport
Bangbae 2(i)-dong,Seocho-gu,10764.0,9881.0,497,419,463,-,-,1
Bangbae 3(sam)-dong,Seocho-gu,9000.0,8435.0,1931,199,366,-,-,-
Bangbae 4(sa)-dong,Seocho-gu,10525.0,9304.0,77,449,772,-,-,-
Yangjae 1(il)-dong,Seocho-gu,18554.0,16501.0,2972,919,1129,1,4,-
Yangjae 2(i)-dong,Seocho-gu,11140.0,9089.0,47,1102,942,4,3,-
Naegok-dong,Seocho-gu,1929.0,1746.0,17,78,102,-,2,1
Sinsa-dong,Gangnam-gu,11266.0,8817.0,3463,1410,1039,-,-,-
Nonhyeon 1(il)-dong,Gangnam-gu,19502.0,16621.0,410,1635,1246,-,-,-
Nonhyeon 2(i)-dong,Gangnam-gu,14772.0,11648.0,798,1631,1490,-,3,-
Samseong 1(il)-dong,Gangnam-gu,7460.0,5947.0,1984,846,659,-,8,-
Samseong 2(i)-dong,Gangnam-gu,15874.0,14192.0,5005,894,788,-,-,-
Daechi 1(il)-dong,Gangnam-gu,4022.0,3615.0,3318,273,114,-,20,-
Daechi 4(sa)-dong,Gangnam-gu,14245.0,12147.0,467,1295,803,-,-,-
Yeoksam 1(il)-dong,Gangnam-gu,31047.0,25028.0,657,3698,2296,-,25,-
Yeoksam 2(i)-dong,Gangnam-gu,16680.0,15090.0,6668,793,797,-,-,-
Dogok 1(il)-dong,Gangnam-gu,9070.0,8213.0,4218,453,404,-,-,-
Dogok 2(i)-dong,Gangnam-gu,13228.0,12282.0,11280,498,448,-,-,-
Gaepo 1(il)-dong,Gangnam-gu,7055.0,7001.0,1830,17,37,-,-,-
Gaepo 4(sa)-dong,Gangnam-gu,10222.0,8934.0,710,601,687,-,-,-
Irwonbon-dong,Gangnam-gu,7387.0,7150.0,6716,158,65,-,14,-
Irwon 1(il)-dong,Gangnam-gu,5183.0,4596.0,60,364,223,-,-,-
Irwon 2(i)-dong,Gangnam-gu,3252.0,3077.0,3072,148,27,-,-,-
Suseo-dong,Gangnam-gu,9511.0,9183.0,9034,265,55,8,-,-
Segok-dong,Gangnam-gu,7016.0,6762.0,2866,86,165,-,3,-
Apgujeong -dong,Gangnam-gu,13439.0,10497.0,7695,1880,1062,-,-,-
Cheongdam -dong,Gangnam-gu,14555.0,11661.0,2796,1757,1137,-,-,-
Daechi 2(i)-dong,Gangnam-gu,15189.0,13545.0,9692,986,658,-,-,-
Gaepo 2(i)-dong,Gangnam-gu,12288.0,11914.0,6475,249,124,-,-,1
Pungnap 1(il)-dong,Songpa-gu,8809.0,8494.0,292,252,60,3,-,-
Pungnap 2(i)-dong,Songpa-gu,11680.0,10951.0,3500,448,278,3,-,-
Geoyeo 1(il)-dong,Songpa-gu,5812.0,5462.0,581,234,116,-,-,-
Geoyeo 2(i)-dong,Songpa-gu,8815.0,8385.0,3274,311,119,-,-,-
Macheon 1(il)-dong,Songpa-gu,8006.0,7660.0,46,236,107,3,-,-
Macheon 2(i)-dong,Songpa-gu,9205.0,8719.0,52,323,163,-,-,-
Bangi 1(il)-dong,Songpa-gu,6569.0,5892.0,1708,432,245,-,-,-
Bangi 2(i)-dong,Songpa-gu,13577.0,12139.0,737,1036,383,-,19,-
Oryun-dong,Songpa-gu,6369.0,6212.0,6195,113,44,-,-,-
Ogeum-dong,Songpa-gu,14447.0,13346.0,3744,624,475,2,-,-
Songpa 1(il)-dong,Songpa-gu,12916.0,11997.0,788,597,322,-,-,-
Songpa 2(i)-dong,Songpa-gu,6961.0,6616.0,3547,204,141,-,-,-
Seokchon-dong,Songpa-gu,17961.0,16742.0,72,804,413,2,-,-
Samjeon-dong,Songpa-gu,17597.0,16588.0,72,675,334,-,-,-
Garakbon-dong,Songpa-gu,13129.0,11481.0,3675,1065,579,1,3,-
Garak 1(il)-dong,Songpa-gu,7996.0,7016.0,4,98,878,4,-,-
Garak 2(i)-dong,Songpa-gu,12548.0,11622.0,5507,513,409,-,4,-
Munjeong 1(il)-dong,Songpa-gu,8663.0,8044.0,2520,373,244,2,-,-
Munjeong 2(i)-dong,Songpa-gu,5289.0,5047.0,5043,178,64,-,-,-
Jangji-dong,Songpa-gu,8955.0,8320.0,2117,412,213,5,2,3
Jamsilbon-dong,Songpa-gu,16799.0,15114.0,1076,1247,438,-,-,-
Jamsil 4(sa)-dong,Songpa-gu,11089.0,10949.0,10936,113,27,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,3725.0,3171.0,2078,415,109,-,30,-
Jamsil 7(chil)-dong,Songpa-gu,3616.0,3585.0,3581,25,6,-,-,-
Jamsil 2(i)-dong,Songpa-gu,12764.0,12615.0,12614,110,39,-,-,-
Jamsil 3(sam)-dong,Songpa-gu,13364.0,13202.0,13199,120,40,-,2,-
Gangil-dong,Gangdong-gu,11592.0,11380.0,11205,161,38,13,-,-
Sangil-dong,Gangdong-gu,6288.0,5877.0,888,265,145,-,-,1
Myeongil 1(il)-dong,Gangdong-gu,9371.0,8684.0,4443,462,219,-,6,-
Myeongil 2(i)-dong,Gangdong-gu,4568.0,3966.0,2379,446,156,-,-,-
Godeok 1(il)-dong,Gangdong-gu,6325.0,6046.0,1799,169,110,-,-,-
Godeok 2(i)-dong,Gangdong-gu,7716.0,7438.0,33,169,103,6,-,-
Amsa 2(i)-dong,Gangdong-gu,6416.0,6067.0,14,227,122,-,-,-
Amsa 3(sam)-dong,Gangdong-gu,6341.0,6168.0,15,104,60,-,9,-
Cheonho 1(il)-dong,Gangdong-gu,13791.0,13211.0,55,363,216,1,-,-
Cheonho 3(sam)-dong,Gangdong-gu,12971.0,12285.0,426,506,180,-,-,-
Seongnae 1(il)-dong,Gangdong-gu,8472.0,7440.0,1418,529,495,2,6,-
Seongnae 2(i)-dong,Gangdong-gu,13785.0,12885.0,80,606,292,2,-,-
Seongnae 3(sam)-dong,Gangdong-gu,11511.0,10393.0,109,780,338,-,-,-
Dunchon 1(il)-dong,Gangdong-gu,4948.0,4918.0,743,19,11,-,-,-
Dunchon 2(i)-dong,Gangdong-gu,11176.0,10445.0,44,428,295,8,-,-
Amsa 1(il)-dong,Gangdong-gu,17058.0,16356.0,59,494,206,2,-,-
Cheonho 2(i)-dong,Gangdong-gu,18593.0,17264.0,85,974,355,-,-,-
Gil-dong,Gangdong-gu,21463.0,19787.0,1179,1163,512,1,-,-
