Dong,인구_인구이동_Autonomous Gu_Autonomous Gu_Autonomous Gu,인구_인구이동_Classification_ Total in migrants (⑦=①+③+⑤)_ Total in migrants (⑦=①+③+⑤),인구_인구이동_Classification_ Out-migrants(⑧=②+④+⑥)_ Out-migrants(⑧=②+④+⑥),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(①),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(②),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(③),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(④),인구_인구이동_Classification_ Migration between City and province_ In-migrants(⑤),인구_인구이동_Classification_ Migration between City and province_ Out-migrants(⑥)
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,4762.0,5410.0,1456.0,1801.0,1826.0,1743.0,1480.0,1866.0
Junggye 2.3(i.sam)-dong,Nowon-gu,4268.0,4806.0,1480.0,1577.0,1725.0,1618.0,1063.0,1611.0
Gongneung 1(il)-dong,Nowon-gu,5850.0,5986.0,1505.0,1479.0,2269.0,2085.0,2076.0,2422.0
Nokbeon-dong,Eunpyeong-gu,5000.0,5658.0,1765.0,2316.0,1838.0,1415.0,1397.0,1927.0
Bulgwang 1(il)-dong,Eunpyeong-gu,7205.0,6423.0,2674.0,2203.0,2636.0,1701.0,1895.0,2519.0
Galhyeon 1(il)-dong,Eunpyeong-gu,3950.0,4169.0,1721.0,1655.0,1026.0,827.0,1203.0,1687.0
Galhyeon 2(i)-dong,Eunpyeong-gu,4985.0,4660.0,2464.0,2161.0,1326.0,812.0,1195.0,1687.0
Gusan-dong,Eunpyeong-gu,4829.0,5300.0,2272.0,2182.0,1286.0,1116.0,1271.0,2002.0
Daejo-dong,Eunpyeong-gu,5824.0,5516.0,2370.0,2344.0,1772.0,1240.0,1682.0,1932.0
Eungam 1(il)-dong,Eunpyeong-gu,5335.0,4979.0,2227.0,1984.0,1875.0,1314.0,1233.0,1681.0
Eungam 2(i)-dong,Eunpyeong-gu,4310.0,4100.0,1395.0,1663.0,1976.0,1133.0,939.0,1304.0
Sinsa 1(il)-dong,Eunpyeong-gu,4434.0,4406.0,1977.0,1983.0,1413.0,994.0,1044.0,1429.0
Sinsa 2(i)-dong,Eunpyeong-gu,2999.0,3625.0,1122.0,1503.0,1052.0,887.0,825.0,1235.0
Jeungsan-dong,Eunpyeong-gu,2497.0,3044.0,619.0,764.0,1243.0,1212.0,635.0,1068.0
Susaek-dong,Eunpyeong-gu,2123.0,2625.0,440.0,510.0,982.0,974.0,701.0,1141.0
Jingwan-dong,Eunpyeong-gu,7371.0,5610.0,1590.0,1083.0,3337.0,1657.0,2444.0,2870.0
Bulgwang 2(i)-dong,Eunpyeong-gu,3947.0,4675.0,1581.0,1909.0,1171.0,957.0,1195.0,1809.0
Eungam 3(sam)-dong,Eunpyeong-gu,4448.0,4660.0,1573.0,1743.0,1757.0,1455.0,1118.0,1462.0
Yeokchon-dong,Eunpyeong-gu,8170.0,7861.0,3828.0,3615.0,2478.0,1631.0,1864.0,2615.0
Cheonyeon-dong,Seodaemun-gu,3034.0,3188.0,402.0,524.0,1785.0,1718.0,847.0,946.0
Hongje 1(il)-dong,Seodaemun-gu,3563.0,4499.0,1038.0,1360.0,1593.0,1800.0,932.0,1339.0
Hongje 3(sam)-dong,Seodaemun-gu,2692.0,2991.0,959.0,908.0,1092.0,1126.0,641.0,957.0
Hongje 2(i)-dong,Seodaemun-gu,2041.0,2274.0,639.0,541.0,915.0,986.0,487.0,747.0
Hongeun 1(il)-dong,Seodaemun-gu,2651.0,3145.0,747.0,764.0,1167.0,1235.0,737.0,1146.0
Hongeun 2(i)-dong,Seodaemun-gu,4665.0,4644.0,1762.0,1289.0,1740.0,1883.0,1163.0,1472.0
Namgajwa 1(il)-dong,Seodaemun-gu,444.0,556.0,131.0,216.0,213.0,177.0,100.0,163.0
Namgajwa 2(i)-dong,Seodaemun-gu,3998.0,4601.0,1343.0,1456.0,1440.0,1662.0,1215.0,1483.0
