Dong,인구_인구이동_Autonomous Gu_Autonomous Gu_Autonomous Gu,인구_인구이동_Classification_ Total in migrants (⑦=①+③+⑤)_ Total in migrants (⑦=①+③+⑤),인구_인구이동_Classification_ Out-migrants(⑧=②+④+⑥)_ Out-migrants(⑧=②+④+⑥),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(①),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(②),인구_인구이동_Classification_ Intra-gu migration_ In-migrants(③),인구_인구이동_Classification_ Intra-gu migration_ Out-migrants(④),인구_인구이동_Classification_ Migration between City and province_ In-migrants(⑤),인구_인구이동_Classification_ Migration between City and province_ Out-migrants(⑥)
Cheongnim-dong,Gwanak-gu,2286.0,2755.0,655.0,609.0,1033.0,1282.0,598.0,864.0
Haengun-dong,Gwanak-gu,5929.0,6443.0,1479.0,1758.0,1931.0,2254.0,2519.0,2431.0
Nagseongdae-dong,Gwanak-gu,4239.0,4392.0,1066.0,1322.0,1177.0,1385.0,1996.0,1685.0
Jungang-dong,Gwanak-gu,3046.0,3140.0,1091.0,1103.0,756.0,973.0,1199.0,1064.0
Inheon-dong,Gwanak-gu,4874.0,5224.0,1203.0,1128.0,1602.0,2006.0,2069.0,2090.0
Namhyeon-dong,Gwanak-gu,4023.0,4152.0,330.0,368.0,1895.0,1804.0,1798.0,1980.0
Sewon-dong,Gwanak-gu,5079.0,5391.0,1590.0,1623.0,1346.0,1706.0,2143.0,2062.0
Sinwon-dong,Gwanak-gu,3016.0,3628.0,1043.0,1198.0,806.0,1050.0,1167.0,1380.0
Serim-dong,Gwanak-gu,5293.0,5567.0,1527.0,1576.0,1381.0,1613.0,2385.0,2378.0
Sinsa-dong,Gwanak-gu,4364.0,4861.0,1300.0,1312.0,1414.0,1801.0,1650.0,1748.0
Sillim-dong,Gwanak-gu,5694.0,5713.0,1152.0,1292.0,1440.0,1996.0,3102.0,2425.0
Nanhyang-dong,Gwanak-gu,2290.0,2675.0,795.0,659.0,783.0,896.0,712.0,1120.0
Jowon-dong,Gwanak-gu,3458.0,3511.0,838.0,659.0,1291.0,1508.0,1329.0,1344.0
Daehak-dong,Gwanak-gu,5455.0,5602.0,963.0,1232.0,1531.0,1625.0,2961.0,2745.0
Euncheon-dong,Gwanak-gu,5054.0,5545.0,1796.0,1440.0,1643.0,2042.0,1615.0,2063.0
Seonghyeon-dong,Gwanak-gu,3928.0,4415.0,1366.0,1069.0,1486.0,1775.0,1076.0,1571.0
Cheongnyong-dong,Gwanak-gu,6710.0,6977.0,1726.0,1855.0,1804.0,2411.0,3180.0,2711.0
Nangok-dong,Gwanak-gu,3952.0,4320.0,1686.0,1464.0,1175.0,1242.0,1091.0,1614.0
Samseong-dong,Gwanak-gu,2817.0,3493.0,1066.0,1086.0,857.0,1036.0,894.0,1371.0
Miseong-dong,Gwanak-gu,4328.0,5086.0,1698.0,1635.0,1281.0,1641.0,1349.0,1810.0
Seocho 1(il)-dong,Seocho-gu,3938.0,4291.0,1124.0,1266.0,1366.0,1488.0,1448.0,1537.0
Seocho 2(i)-dong,Seocho-gu,3654.0,3831.0,952.0,1003.0,1521.0,1533.0,1181.0,1295.0
Seocho 3(sam)-dong,Seocho-gu,4961.0,5619.0,1241.0,1423.0,1946.0,2104.0,1774.0,2092.0
Seocho 4(sa)-dong,Seocho-gu,3819.0,5162.0,1066.0,1709.0,1602.0,2020.0,1151.0,1433.0
Jamwon-dong,Seocho-gu,4839.0,6313.0,1089.0,1518.0,2258.0,2935.0,1492.0,1860.0
Banpobon-dong,Seocho-gu,1992.0,2210.0,734.0,701.0,910.0,1083.0,348.0,426.0
Banpo 1(il)-dong,Seocho-gu,6387.0,6592.0,1623.0,1440.0,2738.0,2995.0,2026.0,2157.0
Banpo 2(i)-dong,Seocho-gu,2645.0,4636.0,918.0,1816.0,1122.0,1959.0,605.0,861.0
Banpo 3(sam)-dong,Seocho-gu,3308.0,3514.0,1216.0,1119.0,1293.0,1411.0,799.0,984.0
Banpo 4(sa)-dong,Seocho-gu,2995.0,3231.0,1118.0,1097.0,1056.0,1178.0,821.0,956.0
Bangbaebon-dong,Seocho-gu,3532.0,3562.0,1269.0,1132.0,1466.0,1488.0,797.0,942.0
Bangbae 1(il)-dong,Seocho-gu,3242.0,3277.0,1106.0,1010.0,1284.0,1345.0,852.0,922.0
Bangbae 2(i)-dong,Seocho-gu,4860.0,5003.0,1262.0,1284.0,2239.0,2107.0,1359.0,1612.0
Bangbae 3(sam)-dong,Seocho-gu,3531.0,3986.0,1070.0,1178.0,1448.0,1538.0,1013.0,1270.0
Bangbae 4(sa)-dong,Seocho-gu,4641.0,4931.0,1503.0,1597.0,1984.0,2096.0,1154.0,1238.0
Yangjae 1(il)-dong,Seocho-gu,16918.0,5046.0,3079.0,635.0,10553.0,2205.0,3286.0,2206.0
Yangjae 2(i)-dong,Seocho-gu,4095.0,4734.0,540.0,982.0,1844.0,1800.0,1711.0,1952.0
Naegok-dong,Seocho-gu,1205.0,1036.0,235.0,235.0,564.0,300.0,406.0,501.0
Sinsa-dong,Gangnam-gu,2973.0,3565.0,682.0,922.0,1287.0,1585.0,1004.0,1058.0
Nonhyeon 1(il)-dong,Gangnam-gu,5663.0,6132.0,1173.0,1221.0,2302.0,2636.0,2188.0,2275.0
Nonhyeon 2(i)-dong,Gangnam-gu,4446.0,4734.0,1473.0,1364.0,1573.0,1855.0,1400.0,1515.0
Samseong 1(il)-dong,Gangnam-gu,2631.0,2883.0,905.0,839.0,1019.0,1071.0,707.0,973.0
Samseong 2(i)-dong,Gangnam-gu,5920.0,6549.0,2038.0,2139.0,2201.0,2411.0,1681.0,1999.0
Daechi 1(il)-dong,Gangnam-gu,2931.0,2881.0,1107.0,1265.0,1073.0,941.0,751.0,675.0
Daechi 4(sa)-dong,Gangnam-gu,5501.0,5551.0,1557.0,1576.0,1656.0,1876.0,2288.0,2099.0
Yeoksam 1(il)-dong,Gangnam-gu,9354.0,9498.0,2042.0,2003.0,3524.0,3666.0,3788.0,3829.0
Yeoksam 2(i)-dong,Gangnam-gu,6478.0,7209.0,2057.0,2303.0,2271.0,2444.0,2150.0,2462.0
Dogok 1(il)-dong,Gangnam-gu,3373.0,3522.0,927.0,859.0,1400.0,1401.0,1046.0,1262.0
Dogok 2(i)-dong,Gangnam-gu,5915.0,4918.0,2141.0,1670.0,2222.0,1602.0,1552.0,1646.0
Gaepo 1(il)-dong,Gangnam-gu,3091.0,3651.0,1166.0,1166.0,1010.0,1195.0,915.0,1290.0
Gaepo 4(sa)-dong,Gangnam-gu,3487.0,4009.0,820.0,826.0,1424.0,1610.0,1243.0,1573.0
Irwonbon-dong,Gangnam-gu,2760.0,3066.0,752.0,801.0,1173.0,1154.0,835.0,1111.0
Irwon 1(il)-dong,Gangnam-gu,2129.0,2693.0,549.0,676.0,741.0,920.0,839.0,1097.0
Irwon 2(i)-dong,Gangnam-gu,2249.0,2774.0,730.0,894.0,807.0,896.0,712.0,984.0
Suseo-dong,Gangnam-gu,1927.0,2381.0,588.0,533.0,778.0,921.0,561.0,927.0
Segok-dong,Gangnam-gu,6462.0,1833.0,1359.0,253.0,3462.0,701.0,1641.0,879.0
Apgujeong -dong,Gangnam-gu,3519.0,4178.0,994.0,1135.0,1503.0,1813.0,1022.0,1230.0
Cheongdam -dong,Gangnam-gu,4741.0,5540.0,1647.0,1862.0,1762.0,2031.0,1332.0,1647.0
Daechi 2(i)-dong,Gangnam-gu,5764.0,6567.0,1523.0,1887.0,2390.0,2437.0,1851.0,2243.0
Gaepo 2(i)-dong,Gangnam-gu,4942.0,5886.0,1460.0,1496.0,1711.0,2015.0,1771.0,2375.0
Pungnap 1(il)-dong,Songpa-gu,2217.0,2786.0,538.0,559.0,964.0,1217.0,715.0,1010.0
Pungnap 2(i)-dong,Songpa-gu,3601.0,4369.0,877.0,936.0,1386.0,1821.0,1338.0,1612.0
Geoyeo 1(il)-dong,Songpa-gu,2186.0,2418.0,1134.0,1082.0,414.0,482.0,638.0,854.0
Geoyeo 2(i)-dong,Songpa-gu,3311.0,4102.0,1410.0,1535.0,800.0,1029.0,1101.0,1538.0
Macheon 1(il)-dong,Songpa-gu,2837.0,3635.0,1426.0,1427.0,700.0,916.0,711.0,1292.0
Macheon 2(i)-dong,Songpa-gu,2809.0,3106.0,1542.0,1443.0,534.0,655.0,733.0,1008.0
Bangi 1(il)-dong,Songpa-gu,2265.0,2814.0,1077.0,1182.0,612.0,770.0,576.0,862.0
Bangi 2(i)-dong,Songpa-gu,4398.0,4815.0,1701.0,1654.0,1288.0,1356.0,1409.0,1805.0
Oryun-dong,Songpa-gu,2320.0,2433.0,735.0,791.0,1040.0,990.0,545.0,652.0
Ogeum-dong,Songpa-gu,4862.0,5469.0,2204.0,2065.0,1298.0,1456.0,1360.0,1948.0
Songpa 1(il)-dong,Songpa-gu,4949.0,5143.0,2036.0,1820.0,1341.0,1413.0,1572.0,1910.0
Songpa 2(i)-dong,Songpa-gu,2816.0,3034.0,1324.0,1211.0,727.0,796.0,765.0,1027.0
Seokchon-dong,Songpa-gu,6337.0,6650.0,2696.0,2347.0,1673.0,1835.0,1968.0,2468.0
Samjeon-dong,Songpa-gu,6036.0,6316.0,2350.0,1816.0,1808.0,1912.0,1878.0,2588.0
Garakbon-dong,Songpa-gu,4404.0,4887.0,1755.0,1784.0,1346.0,1299.0,1303.0,1804.0
Garak 1(il)-dong,Songpa-gu,218.0,5007.0,102.0,3015.0,67.0,1087.0,49.0,905.0
Garak 2(i)-dong,Songpa-gu,4327.0,4861.0,2077.0,1801.0,1081.0,1332.0,1169.0,1728.0
Munjeong 1(il)-dong,Songpa-gu,3466.0,3687.0,1453.0,1428.0,913.0,847.0,1100.0,1412.0
Munjeong 2(i)-dong,Songpa-gu,3916.0,1818.0,960.0,455.0,1573.0,674.0,1383.0,689.0
Jangji-dong,Songpa-gu,8418.0,5904.0,2441.0,1641.0,3098.0,1675.0,2879.0,2588.0
Jamsilbon-dong,Songpa-gu,5444.0,5777.0,1546.0,1510.0,1974.0,2013.0,1924.0,2254.0
Jamsil 4(sa)-dong,Songpa-gu,4264.0,4830.0,1340.0,1555.0,1760.0,1688.0,1164.0,1587.0
Jamsil 6(yuk)-dong,Songpa-gu,2865.0,2429.0,957.0,805.0,1165.0,840.0,743.0,784.0
Jamsil 7(chil)-dong,Songpa-gu,1027.0,1216.0,304.0,310.0,463.0,561.0,260.0,345.0
Jamsil 2(i)-dong,Songpa-gu,5637.0,5818.0,1532.0,1605.0,2479.0,2407.0,1626.0,1806.0
Jamsil 3(sam)-dong,Songpa-gu,5023.0,5531.0,1952.0,1692.0,1839.0,2054.0,1232.0,1785.0
Gangil-dong,Gangdong-gu,3956.0,4287.0,1573.0,1171.0,1326.0,1402.0,1057.0,1714.0
Sangil-dong,Gangdong-gu,3428.0,4005.0,1612.0,1574.0,750.0,855.0,1066.0,1576.0
Myeongil 1(il)-dong,Gangdong-gu,3901.0,4259.0,2073.0,2120.0,812.0,855.0,1016.0,1284.0
Myeongil 2(i)-dong,Gangdong-gu,2429.0,2591.0,1235.0,1176.0,608.0,616.0,586.0,799.0
Godeok 1(il)-dong,Gangdong-gu,2436.0,2963.0,1002.0,1256.0,793.0,684.0,641.0,1023.0
Godeok 2(i)-dong,Gangdong-gu,2333.0,2759.0,1056.0,1130.0,544.0,621.0,733.0,1008.0
Amsa 2(i)-dong,Gangdong-gu,2525.0,2790.0,1029.0,1163.0,770.0,707.0,726.0,920.0
Amsa 3(sam)-dong,Gangdong-gu,2775.0,2771.0,1383.0,1185.0,742.0,731.0,650.0,855.0
Cheonho 1(il)-dong,Gangdong-gu,4567.0,5166.0,2430.0,2363.0,925.0,1036.0,1212.0,1767.0
Cheonho 3(sam)-dong,Gangdong-gu,3911.0,4549.0,1580.0,1783.0,1172.0,1218.0,1159.0,1548.0
Seongnae 1(il)-dong,Gangdong-gu,2922.0,3292.0,1054.0,1091.0,1098.0,1077.0,770.0,1124.0
Seongnae 2(i)-dong,Gangdong-gu,4276.0,4732.0,1428.0,1579.0,1474.0,1525.0,1374.0,1628.0
Seongnae 3(sam)-dong,Gangdong-gu,4259.0,4513.0,1686.0,1634.0,1354.0,1319.0,1219.0,1560.0
Dunchon 1(il)-dong,Gangdong-gu,2537.0,2950.0,693.0,895.0,1109.0,1103.0,735.0,952.0
Dunchon 2(i)-dong,Gangdong-gu,3847.0,4045.0,1618.0,1346.0,1102.0,1080.0,1127.0,1619.0
Amsa 1(il)-dong,Gangdong-gu,5577.0,6156.0,2739.0,2660.0,1441.0,1335.0,1397.0,2161.0
Cheonho 2(i)-dong,Gangdong-gu,5554.0,6166.0,2215.0,2334.0,1698.0,1684.0,1641.0,2148.0
Gil-dong,Gangdong-gu,7336.0,7514.0,2696.0,2642.0,2214.0,1957.0,2426.0,2915.0
