Dong,인구_인구밀도_Period,인구_인구밀도_Autonomous Gu,인구_인구밀도_Population,인구_인구밀도_Area,인구_인구밀도_Population density
Singil 6(yuk)-dong,2013.0,Yeongdeungpo-gu,24401.0,0.68,35884
Singil 7(chil)-dong,2013.0,Yeongdeungpo-gu,15495.0,0.64,24211
Daerim 1(il)-dong,2013.0,Yeongdeungpo-gu,19719.0,0.49,40243
Daerim 2(i)-dong,2013.0,Yeongdeungpo-gu,25020.0,0.55,45491
Daerim 3(sam)-dong,2013.0,Yeongdeungpo-gu,31750.0,1,31750
Yeongdeungpobon-dong,2013.0,Yeongdeungpo-gu,27452.0,1.02,26914
Yeongdeungpo-dong,2013.0,Yeongdeungpo-gu,20065.0,1.26,15925
Dorim-dong,2013.0,Yeongdeungpo-gu,21394.0,0.89,24038
Mullae-dong,2013.0,Yeongdeungpo-gu,32751.0,1.49,21981
Noryangjin 2(i)-dong,2013.0,Dongjak-gu,16045.0,0.65,24685
Sangdo 1(il)-dong,2013.0,Dongjak-gu,47416.0,1.51,31401
Sangdo 2(i)-dong,2013.0,Dongjak-gu,26190.0,0.97,27000
Sangdo 3(sam)-dong,2013.0,Dongjak-gu,25184.0,0.6,41973
Sangdo 4(sa)-dong,2013.0,Dongjak-gu,29897.0,0.75,39863
Sadang 1(il)-dong,2013.0,Dongjak-gu,24108.0,0.79,30516
Sadang 3(sam)-dong,2013.0,Dongjak-gu,26513.0,0.92,28818
Sadang 4(sa)-dong,2013.0,Dongjak-gu,15093.0,0.38,39718
Sadang 5(o)-dong,2013.0,Dongjak-gu,15405.0,0.57,27026
Daebang-dong,2013.0,Dongjak-gu,40651.0,1.55,26226
Sindaebang 1(il)-dong,2013.0,Dongjak-gu,28636.0,0.62,46187
Sindaebang 2(i)-dong,2013.0,Dongjak-gu,21520.0,1.03,20893
Heukseok-dong,2013.0,Dongjak-gu,38806.0,1.68,23099
Noryangjin 1(il)-dong,2013.0,Dongjak-gu,34380.0,1.58,21759
Sadang 2(i)-dong,2013.0,Dongjak-gu,31641.0,2.75,11506
Boramae-dong,2013.0,Gwanak-gu,27251.0,0.76,35857
Cheongnim-dong,2013.0,Gwanak-gu,16868.0,0.3,56227
Haengun-dong,2013.0,Gwanak-gu,30055.0,0.72,41743
Nagseongdae-dong,2013.0,Gwanak-gu,19202.0,2.27,8459
Jungang-dong,2013.0,Gwanak-gu,15233.0,0.39,39059
Inheon-dong,2013.0,Gwanak-gu,28610.0,1.08,26491
Namhyeon-dong,2013.0,Gwanak-gu,18359.0,3.27,5614
Sewon-dong,2013.0,Gwanak-gu,24159.0,0.65,37168
Sinwon-dong,2013.0,Gwanak-gu,20248.0,0.55,36815
Serim-dong,2013.0,Gwanak-gu,24850.0,0.99,25101
Sinsa-dong,2013.0,Gwanak-gu,26938.0,0.64,42091
Sillim-dong,2013.0,Gwanak-gu,21697.0,0.54,40180
Nanhyang-dong,2013.0,Gwanak-gu,17674.0,0.8,22093
Jowon-dong,2013.0,Gwanak-gu,20212.0,0.67,30167
Daehak-dong,2013.0,Gwanak-gu,23637.0,8.3,2848
Euncheon-dong,2013.0,Gwanak-gu,36822.0,0.78,47208
Seonghyeon-dong,2013.0,Gwanak-gu,34694.0,0.68,51021
Cheongnyong-dong,2013.0,Gwanak-gu,34409.0,1.18,29160
Nangok-dong,2013.0,Gwanak-gu,31026.0,0.96,32319
Samseong-dong,2013.0,Gwanak-gu,29071.0,2.66,10929
Miseong-dong,2013.0,Gwanak-gu,34113.0,1.38,24720
Seocho 1(il)-dong,2013.0,Seocho-gu,21675.0,1.42,15264
Seocho 2(i)-dong,2013.0,Seocho-gu,23868.0,1.24,19248
Seocho 3(sam)-dong,2013.0,Seocho-gu,30659.0,2.93,10464
Seocho 4(sa)-dong,2013.0,Seocho-gu,29773.0,0.88,33833
Jamwon-dong,2013.0,Seocho-gu,34751.0,1.76,19745
Banpobon-dong,2013.0,Seocho-gu,13487.0,1.01,13353
Banpo 1(il)-dong,2013.0,Seocho-gu,34335.0,1,34335
