Dong,인구_주민등록인구_내국인각세별_Autonomous Gu_Autonomous Gu,인구_주민등록인구_내국인각세별_Households_Households,인구_주민등록인구_내국인각세별_Total_Population ,인구_주민등록인구_내국인각세별_Total_Male,인구_주민등록인구_내국인각세별_Total_Female,인구_주민등록인구_내국인각세별_Korean_Population ,인구_주민등록인구_내국인각세별_Korean_Male,인구_주민등록인구_내국인각세별_Korean_Female,인구_주민등록인구_내국인각세별_Foreigner_Population ,인구_주민등록인구_내국인각세별_Foreigner_Male,인구_주민등록인구_내국인각세별_Foreigner_Female,인구_주민등록인구_내국인각세별_Persons per Households_Persons per Households,인구_주민등록인구_내국인각세별_Person 65 years and over_Person 65 years and over
Gaepo 2(i)-dong,Gangnam-gu,12768,34718.0,16716.0,18002,34626,16678,17948,92.0,38.0,54,2.71,2427
Pungnap 1(il)-dong,Songpa-gu,7822,19751.0,9759.0,9992,18820,9308,9512,931.0,451.0,480,2.41,2203
Pungnap 2(i)-dong,Songpa-gu,10889,28495.0,13740.0,14755,28337,13682,14655,158.0,58.0,100,2.6,2522
Geoyeo 1(il)-dong,Songpa-gu,5878,15937.0,8119.0,7818,15744,8048,7696,193.0,71.0,122,2.68,1521
Geoyeo 2(i)-dong,Songpa-gu,10955,28110.0,14252.0,13858,27969,14199,13770,141.0,53.0,88,2.55,2982
Macheon 1(il)-dong,Songpa-gu,9451,24171.0,12153.0,12018,23902,12067,11835,269.0,86.0,183,2.53,2868
Macheon 2(i)-dong,Songpa-gu,8645,22295.0,11362.0,10933,22072,11276,10796,223.0,86.0,137,2.55,2680
Bangi 1(il)-dong,Songpa-gu,6150,17135.0,8469.0,8666,16896,8342,8554,239.0,127.0,112,2.75,1426
Bangi 2(i)-dong,Songpa-gu,11620,26090.0,12873.0,13217,25706,12709,12997,384.0,164.0,220,2.21,2248
Oryun-dong,Songpa-gu,6078,20225.0,9918.0,10307,20197,9902,10295,28.0,16.0,12,3.32,1532
Ogeum-dong,Songpa-gu,14159,38555.0,19131.0,19424,38364,19047,19317,191.0,84.0,107,2.71,3627
Songpa 1(il)-dong,Songpa-gu,11840,27757.0,13194.0,14563,27241,12929,14312,516.0,265.0,251,2.3,2365
Songpa 2(i)-dong,Songpa-gu,7722,22926.0,11132.0,11794,22754,11046,11708,172.0,86.0,86,2.95,1853
Seokchon-dong,Songpa-gu,15724,36018.0,17495.0,18523,35256,17138,18118,762.0,357.0,405,2.24,3113
Samjeon-dong,Songpa-gu,15859,35310.0,16913.0,18397,34932,16747,18185,378.0,166.0,212,2.2,2629
Garakbon-dong,Songpa-gu,11556,29809.0,14952.0,14857,29408,14752,14656,401.0,200.0,201,2.54,2360
Garak 1(il)-dong,Songpa-gu,1223,2782.0,1423.0,1359,2699,1374,1325,83.0,49.0,34,2.21,350
Garak 2(i)-dong,Songpa-gu,12405,35946.0,17671.0,18275,35754,17578,18176,192.0,93.0,99,2.88,2537
Munjeong 1(il)-dong,Songpa-gu,8415,22764.0,11166.0,11598,22549,11068,11481,215.0,98.0,117,2.68,1896
Munjeong 2(i)-dong,Songpa-gu,5786,16493.0,8051.0,8442,16431,8014,8417,62.0,37.0,25,2.84,2189
Jangji-dong,Songpa-gu,13699,37695.0,18529.0,19166,37558,18477,19081,137.0,52.0,85,2.74,3043
Jamsilbon-dong,Songpa-gu,14335,31505.0,15095.0,16410,30761,14715,16046,744.0,380.0,364,2.15,2538
Jamsil 4(sa)-dong,Songpa-gu,10962,31435.0,15273.0,16162,31342,15223,16119,93.0,50.0,43,2.86,2661
Jamsil 6(yuk)-dong,Songpa-gu,5795,17487.0,8419.0,9068,17444,8392,9052,43.0,27.0,16,3.01,1756
Jamsil 7(chil)-dong,Songpa-gu,3495,10688.0,5014.0,5674,10671,5004,5667,17.0,10.0,7,3.05,1458
Jamsil 2(i)-dong,Songpa-gu,12594,37200.0,17829.0,19371,37070,17757,19313,130.0,72.0,58,2.94,2282
