Dong,인구_주민등록인구_내국인각세별_Autonomous Gu_Autonomous Gu,인구_주민등록인구_내국인각세별_Households_Households,인구_주민등록인구_내국인각세별_Total_Population ,인구_주민등록인구_내국인각세별_Total_Male,인구_주민등록인구_내국인각세별_Total_Female,인구_주민등록인구_내국인각세별_Korean_Population ,인구_주민등록인구_내국인각세별_Korean_Male,인구_주민등록인구_내국인각세별_Korean_Female,인구_주민등록인구_내국인각세별_Foreigner_Population ,인구_주민등록인구_내국인각세별_Foreigner_Male,인구_주민등록인구_내국인각세별_Foreigner_Female,인구_주민등록인구_내국인각세별_Persons per Households_Persons per Households,인구_주민등록인구_내국인각세별_Person 65 years and over_Person 65 years and over
Jamsil 3(sam)-dong,Songpa-gu,12623,37436.0,18019.0,19417,37306,17937,19369,130.0,82.0,48,2.96,3482
Gangil-dong,Gangdong-gu,10812,34468.0,16839.0,17629,34214,16703,17511,254.0,136.0,118,3.16,3335
Sangil-dong,Gangdong-gu,9608,27630.0,13825.0,13805,27442,13748,13694,188.0,77.0,111,2.86,2311
Myeongil 1(il)-dong,Gangdong-gu,10032,28450.0,13952.0,14498,28337,13912,14425,113.0,40.0,73,2.82,2443
Myeongil 2(i)-dong,Gangdong-gu,6021,18929.0,9491.0,9438,18902,9476,9426,27.0,15.0,12,3.14,1455
Godeok 1(il)-dong,Gangdong-gu,5792,17392.0,8822.0,8570,17272,8770,8502,120.0,52.0,68,2.98,1461
Godeok 2(i)-dong,Gangdong-gu,6925,17970.0,9238.0,8732,17871,9197,8674,99.0,41.0,58,2.58,1814
Amsa 2(i)-dong,Gangdong-gu,6249,16473.0,8136.0,8337,16424,8111,8313,49.0,25.0,24,2.63,1380
Amsa 3(sam)-dong,Gangdong-gu,6228,19293.0,9520.0,9773,19274,9507,9767,19.0,13.0,6,3.09,1474
Cheonho 1(il)-dong,Gangdong-gu,13035,31743.0,15919.0,15824,31183,15693,15490,560.0,226.0,334,2.39,3426
Cheonho 3(sam)-dong,Gangdong-gu,12297,26724.0,13510.0,13214,26269,13303,12966,455.0,207.0,248,2.14,3134
Seongnae 1(il)-dong,Gangdong-gu,7378,19946.0,9822.0,10124,19683,9706,9977,263.0,116.0,147,2.67,1808
Seongnae 2(i)-dong,Gangdong-gu,12055,27007.0,13450.0,13557,26411,13174,13237,596.0,276.0,320,2.19,2927
Seongnae 3(sam)-dong,Gangdong-gu,10367,25626.0,12806.0,12820,25395,12704,12691,231.0,102.0,129,2.45,2401
Dunchon 1(il)-dong,Gangdong-gu,6426,20087.0,10301.0,9786,20018,10270,9748,69.0,31.0,38,3.12,1345
Dunchon 2(i)-dong,Gangdong-gu,10711,29689.0,14799.0,14890,29561,14741,14820,128.0,58.0,70,2.76,2722
Amsa 1(il)-dong,Gangdong-gu,15826,39206.0,19529.0,19677,38771,19368,19403,435.0,161.0,274,2.45,3920
Cheonho 2(i)-dong,Gangdong-gu,17035,38307.0,19421.0,18886,37527,19046,18481,780.0,375.0,405,2.2,4248
Gil-dong,Gangdong-gu,19943,51400.0,25538.0,25862,51017,25395,25622,383.0,143.0,240,2.56,4855
