Dong,외국인_등록외국인현황체류자격별_Period,외국인_등록외국인현황체류자격별_Gu,외국인_등록외국인현황체류자격별_Total,외국인_등록외국인현황체류자격별_문화예술(D-1),외국인_등록외국인현황체류자격별_유학(D-2),외국인_등록외국인현황체류자격별_산업연수(D-3),외국인_등록외국인현황체류자격별_일반연수(D-4),외국인_등록외국인현황체류자격별_취재(D-5),외국인_등록외국인현황체류자격별_종교(D-6),외국인_등록외국인현황체류자격별_상사주재(D-7),외국인_등록외국인현황체류자격별_기업투자(D-8),외국인_등록외국인현황체류자격별_무역경영(D-9),외국인_등록외국인현황체류자격별_구직(D-10),외국인_등록외국인현황체류자격별_교수(E-1),외국인_등록외국인현황체류자격별_회화지도(E-2),외국인_등록외국인현황체류자격별_연구(E-3),외국인_등록외국인현황체류자격별_기술지도(E-4),외국인_등록외국인현황체류자격별_전문직업(E-5),외국인_등록외국인현황체류자격별_예술흥행(E-6),외국인_등록외국인현황체류자격별_특정활동(E-7),외국인_등록외국인현황체류자격별_비전문취업(E-9),외국인_등록외국인현황체류자격별_선원취업(E-10),외국인_등록외국인현황체류자격별_방문동거(F-1),외국인_등록외국인현황체류자격별_거주(F-2),외국인_등록외국인현황체류자격별_동반(F-3),외국인_등록외국인현황체류자격별_영주(F-5),외국인_등록외국인현황체류자격별_결혼이민(F-6),외국인_등록외국인현황체류자격별_기타(G-1),외국인_등록외국인현황체류자격별_관광취업(H-1),외국인_등록외국인현황체류자격별_방문취업(H-2)
Jangchung-dong,2014.1/4,Jung-gu,834.0,-,359,-,98,-,4,3,5,9,13,10,6,6,-,-,-,12,10,-,30,2,44,38,21,14,-,150
Gwanghui-dong ,2014.1/4,Jung-gu,737.0,-,73,-,34,-,1,10,20,12,17,1,2,-,-,-,2,37,21,-,34,25,41,91,24,18,1,273
Euljiro-dong,2014.1/4,Jung-gu,120.0,-,4,-,2,-,-,1,1,-,2,-,2,-,-,-,1,11,11,-,10,9,2,25,7,-,4,28
Sindang 5(o)-dong,2014.1/4,Jung-gu,296.0,-,12,-,4,-,-,-,2,1,1,-,-,-,-,-,-,7,18,-,17,13,8,54,31,1,-,127
Hwanghak-dong,2014.1/4,Jung-gu,809.0,-,20,-,7,-,-,2,3,3,1,-,6,-,-,-,-,6,20,-,44,64,6,174,72,1,2,378
Jungnim-dong,2014.1/4,Jung-gu,276.0,-,10,-,4,-,-,8,15,18,3,2,2,-,-,-,2,32,4,-,8,34,22,55,22,1,-,34
Sindang-dong,2014.1/4,Jung-gu,1288.0,-,46,-,10,-,-,1,6,8,12,2,2,-,-,-,-,11,79,-,89,59,22,194,103,4,2,638
Dasan-dong,2014.1/4,Jung-gu,393.0,-,56,-,13,-,7,3,11,4,9,3,3,1,-,-,-,6,12,-,23,14,25,60,42,-,-,101
Yaksu-dong,2014.1/4,Jung-gu,241.0,-,13,-,6,-,-,3,7,2,2,4,5,2,-,-,-,14,4,-,22,8,25,35,48,-,1,40
Cheonggu-dong,2014.1/4,Jung-gu,201.0,-,9,-,4,-,-,-,-,-,5,1,8,-,-,-,32,2,7,-,6,12,-,34,23,-,2,56
Donghwa-dong,2014.1/4,Jung-gu,176.0,-,4,-,-,-,6,-,-,-,-,1,-,-,-,-,-,2,12,-,13,15,-,44,23,-,1,55
Huam-dong,2014.1/4,Yongsan-gu,449.0,-,6,-,7,-,6,1,6,1,1,2,11,-,-,-,-,44,3,-,37,21,28,76,46,3,-,150
Yongsan 2-ga-dong,2014.1/4,Yongsan-gu,1109.0,-,44,-,22,-,3,2,49,44,25,35,355,-,-,-,14,84,3,-,69,30,105,61,87,39,16,22
Namyeong-dong,2014.1/4,Yongsan-gu,468.0,-,12,-,6,-,-,4,17,8,1,1,10,-,-,-,2,9,7,-,25,31,36,75,42,5,1,176
Wonhyoro 2(i)-dong,2014.1/4,Yongsan-gu,153.0,-,3,-,1,-,2,1,4,-,1,-,5,-,-,-,-,10,5,-,7,13,1,47,20,-,3,30
Hyochang-dong,2014.1/4,Yongsan-gu,143.0,-,15,-,7,-,4,1,3,-,-,1,8,-,-,-,-,2,4,-,6,11,10,21,22,1,1,26
Yongmun-dong,2014.1/4,Yongsan-gu,145.0,-,1,-,-,-,-,-,1,-,2,2,2,-,-,-,-,6,4,-,21,6,-,30,26,-,-,44
Ichon 1(il)-dong,2014.1/4,Yongsan-gu,1186.0,-,-,-,2,11,2,45,292,3,1,3,2,8,-,-,-,24,12,-,60,19,586,70,33,1,-,12
Ichon 2(i)-dong,2014.1/4,Yongsan-gu,66.0,-,1,-,-,-,1,-,3,-,2,-,1,-,-,-,-,4,-,-,5,4,5,18,19,-,-,3
Itaewon 1(il)-dong,2014.1/4,Yongsan-gu,1467.0,-,28,-,32,-,5,21,99,43,7,26,91,6,1,-,28,186,4,-,140,42,294,62,90,193,7,62
Itaewon 2(i)-dong,2014.1/4,Yongsan-gu,963.0,-,31,-,16,1,2,11,60,24,15,30,198,2,-,1,25,100,1,-,52,30,165,55,74,42,6,22
Seobinggo-dong,2014.1/4,Yongsan-gu,406.0,-,5,-,2,-,5,12,42,4,2,-,6,-,-,-,-,35,4,-,101,7,116,23,18,-,3,21
Bogwang-dong,2014.1/4,Yongsan-gu,888.0,-,23,-,12,-,3,6,50,42,7,3,9,-,-,-,1,39,-,-,68,41,135,104,94,91,-,160
Cheongpa-dong,2014.1/4,Yongsan-gu,925.0,1,309,-,31,-,3,-,4,-,14,13,18,3,-,-,-,25,10,-,35,37,6,119,67,17,5,208
Wonhyoro 1(il)-dong,2014.1/4,Yongsan-gu,305.0,-,14,1,11,-,-,4,17,-,-,4,7,-,-,-,1,21,10,-,27,16,34,55,29,1,3,50
Hangangno-dong,2014.1/4,Yongsan-gu,1217.0,-,8,1,16,10,5,47,210,12,2,6,24,5,-,-,7,53,69,-,60,29,434,88,42,1,3,85
Hannam-dong,2014.1/4,Yongsan-gu,2380.0,-,58,-,22,3,15,45,234,27,16,6,41,5,-,1,7,295,11,-,251,44,651,110,111,200,10,217
Wangsimni 2(i)-dong,2014.1/4,Seongdong-gu,275.0,-,14,-,8,-,-,-,-,-,5,4,3,2,-,-,-,10,3,-,24,16,2,56,39,-,3,86
Majang-dong,2014.1/4,Seongdong-gu,576.0,-,138,2,61,-,-,-,1,1,5,1,22,-,-,-,-,10,51,-,34,15,8,34,60,3,5,125
Sageun-dong,2014.1/4,Seongdong-gu,1256.0,-,824,-,172,-,-,-,-,1,29,9,27,13,-,-,-,22,8,-,8,12,19,35,24,6,12,35
Haengdang 1(il)-dong,2014.1/4,Seongdong-gu,436.0,-,109,-,36,-,-,-,-,-,6,2,11,1,-,-,-,4,4,-,15,22,-,60,41,3,6,116
Haengdang 2(i)-dong,2014.1/4,Seongdong-gu,95.0,-,5,-,-,-,-,1,2,-,1,-,1,-,-,-,-,1,1,-,21,5,2,21,23,-,-,11
Eungbong-dong,2014.1/4,Seongdong-gu,57.0,-,2,-,6,-,-,-,1,-,2,-,-,-,-,-,-,-,3,-,-,5,1,12,15,1,-,9
Geumho 1(il)-ga-dong,2014.1/4,Seongdong-gu,104.0,-,3,-,1,-,-,1,-,-,1,-,-,-,-,-,-,1,1,-,19,6,-,25,30,-,-,16
Geumho 4(sa)-ga-dong,2014.1/4,Seongdong-gu,170.0,-,1,-,2,-,1,-,5,-,-,-,3,-,-,-,-,4,4,-,13,12,9,25,31,-,-,60
Seongsu 1(il)-ga1(il)-dong,2014.1/4,Seongdong-gu,399.0,-,22,10,10,-,-,-,2,-,-,1,7,2,-,-,-,6,67,-,28,16,2,55,58,3,1,109
Seongsu 1(il)-ga2(i)-dong,2014.1/4,Seongdong-gu,391.0,-,37,3,15,-,-,1,-,-,4,-,-,1,-,-,-,3,46,-,24,12,9,64,38,1,-,133
Seongsu 2(i)-ga1(il)-dong,2014.1/4,Seongdong-gu,786.0,-,13,8,2,-,-,-,6,1,2,-,1,-,-,-,1,5,88,-,55,32,7,146,86,5,2,326
Seongsu 2(i)-ga 3(sam)-dong,2014.1/4,Seongdong-gu,422.0,-,8,17,7,-,-,-,-,-,4,-,-,-,-,-,-,10,99,-,13,16,5,53,20,2,-,168
Songjeong-dong,2014.1/4,Seongdong-gu,486.0,-,23,-,8,-,-,-,-,-,4,-,-,-,-,-,-,7,21,-,28,18,18,72,45,1,-,241
Yongdap-dong,2014.1/4,Seongdong-gu,954.0,-,50,-,12,-,1,-,6,4,5,7,2,-,-,-,-,-,9,-,64,39,25,177,102,8,1,442
WangsimniDoseon-dong,2014.1/4,Seongdong-gu,325.0,-,21,1,18,-,1,1,1,1,1,4,6,3,-,-,1,5,44,-,21,22,8,48,38,-,-,80
Geumho 2.3(i.sam)-ga-dong,2014.1/4,Seongdong-gu,211.0,-,12,-,2,-,-,-,3,-,1,-,1,-,-,-,-,11,4,-,15,17,1,46,46,-,2,50
Oksu-dong,2014.1/4,Seongdong-gu,237.0,-,4,-,6,-,4,2,17,-,1,-,10,1,-,1,-,13,9,-,32,9,31,38,30,1,-,28
Hwayang-dong,2014.1/4,Gwangjin-gu,2755.0,-,1279,-,392,-,-,-,4,4,105,26,38,36,-,-,1,61,18,-,31,63,38,164,56,8,18,413
Gunja-dong,2014.1/4,Gwangjin-gu,951.0,-,312,-,73,-,1,1,1,1,12,12,7,10,-,-,-,24,7,-,39,24,27,96,60,2,-,242
Junggok 1(il)-dong,2014.1/4,Gwangjin-gu,483.0,-,18,3,6,-,12,-,1,-,2,1,3,-,-,-,3,6,19,-,35,22,25,80,85,11,-,151
Junggok 2(i)-dong,2014.1/4,Gwangjin-gu,241.0,-,-,-,1,-,-,-,1,-,1,-,5,-,-,-,11,4,3,-,24,7,6,42,44,1,-,91
Junggok 3(sam)-dong,2014.1/4,Gwangjin-gu,217.0,-,1,-,1,-,-,-,-,-,4,-,-,-,-,-,-,-,3,-,26,11,-,47,44,3,-,77
Junggok 4(sa)-dong,2014.1/4,Gwangjin-gu,213.0,-,3,-,8,-,1,-,2,-,2,-,4,-,-,-,-,1,13,-,22,13,6,34,58,8,-,38
Neung-dong,2014.1/4,Gwangjin-gu,227.0,-,17,-,4,-,-,-,3,-,3,5,4,-,-,-,9,7,1,-,7,9,25,46,21,-,2,64
Guui 1(il)-dong,2014.1/4,Gwangjin-gu,737.0,-,26,-,13,-,-,1,1,-,1,-,16,-,-,-,2,10,16,-,56,51,13,167,72,-,3,289
Guui 2(i)-dong,2014.1/4,Gwangjin-gu,327.0,-,7,-,72,-,2,-,-,1,3,1,3,1,-,-,2,5,2,-,20,10,22,65,42,2,2,65
Guui 3(sam)-dong,2014.1/4,Gwangjin-gu,278.0,-,8,-,2,-,-,-,5,-,3,-,8,-,-,-,-,14,-,-,22,11,12,41,40,3,-,109
Gwangjang-dong,2014.1/4,Gwangjin-gu,177.0,1,29,-,3,-,1,3,1,1,2,1,7,-,-,-,10,23,4,-,5,8,18,27,15,3,-,15
Jayang 1(il)-dong,2014.1/4,Gwangjin-gu,1519.0,-,150,-,23,-,-,-,3,9,26,3,5,3,-,-,-,17,14,-,92,68,23,292,128,10,3,650
Jayang 2(i)-dong,2014.1/4,Gwangjin-gu,303.0,-,9,-,3,-,-,-,-,-,2,-,5,2,-,-,-,10,2,-,18,22,6,47,46,-,-,131
Jayang 3(sam)-dong,2014.1/4,Gwangjin-gu,363.0,-,54,-,4,-,2,-,5,1,5,-,4,1,-,-,-,9,8,-,27,16,4,68,47,-,-,108
Jayang 4(sa)-dong,2014.1/4,Gwangjin-gu,3901.0,-,273,1,84,-,2,-,4,2,47,-,5,1,-,-,-,41,24,-,206,165,14,669,175,11,3,2174
Hoegi-dong,2014.1/4,Dongdaemun-gu,1535.0,-,931,-,255,-,2,1,2,1,75,24,25,8,-,-,-,31,3,-,11,15,33,27,22,3,18,48
Hwigyeong 1(il)-dong,2014.1/4,Dongdaemun-gu,989.0,-,247,-,188,-,18,-,5,2,36,5,13,1,-,-,1,8,10,-,36,28,26,103,60,8,18,176
Hwigyeong 2(i)-dong,2014.1/4,Dongdaemun-gu,393.0,-,109,-,27,-,7,-,-,-,12,1,22,-,-,-,-,1,-,-,15,10,19,42,39,2,3,84
Cheongnyangni-dong,2014.1/4,Dongdaemun-gu,919.0,-,224,-,10,-,4,-,23,-,2,17,-,23,-,-,-,3,3,-,39,44,16,142,94,5,2,268
Yongsin-dong,2014.1/4,Dongdaemun-gu,1378.0,-,70,1,18,-,5,4,6,3,2,2,13,-,-,-,-,9,33,1,76,88,14,263,153,9,14,594
Jegi-dong,2014.1/4,Dongdaemun-gu,1523.0,-,580,-,223,-,1,-,13,3,32,3,7,1,-,-,-,18,4,-,47,49,13,164,80,9,12,264
Jeonnong 1(il)-dong,2014.1/4,Dongdaemun-gu,491.0,-,56,-,26,-,1,-,3,2,6,-,8,1,-,-,-,3,6,-,30,33,29,100,77,1,2,107
Jeonnong 2(i)-dong,2014.1/4,Dongdaemun-gu,337.0,2,241,-,8,-,1,-,-,-,1,3,3,1,-,-,-,3,3,-,3,3,6,6,25,2,3,23
Dapsimni 1(il)-dong,2014.1/4,Dongdaemun-gu,427.0,-,31,-,12,-,1,-,4,5,3,1,6,-,-,-,1,1,27,-,23,27,15,65,53,10,3,139
Dapsimni 2(i)-dong,2014.1/4,Dongdaemun-gu,283.0,-,4,-,3,-,-,-,4,7,2,1,2,-,-,-,-,-,3,-,10,10,14,48,60,33,-,82
Jangan 1(il)-dong,2014.1/4,Dongdaemun-gu,704.0,-,20,1,19,-,1,1,10,11,6,-,14,-,-,-,-,35,65,-,56,38,33,103,88,20,-,183
Jangan 2(i)-dong,2014.1/4,Dongdaemun-gu,242.0,-,6,2,5,-,-,-,2,2,2,-,23,-,-,-,-,3,29,-,16,9,2,37,44,11,1,48
Imun 1(il)-dong,2014.1/4,Dongdaemun-gu,2522.0,-,1288,-,387,-,1,1,2,5,98,46,21,2,-,-,-,44,10,-,53,46,50,144,96,7,28,193
Imun 2(i)-dong,2014.1/4,Dongdaemun-gu,399.0,-,86,-,29,-,-,-,-,1,18,3,5,-,-,-,-,5,5,-,21,13,11,53,52,3,6,88
Myeonmok 2(i)-dong,2014.1/4,Jungnang-gu,380.0,-,22,-,8,-,-,-,-,3,4,-,2,-,-,-,-,1,15,-,28,20,11,65,87,7,1,106
Myeonmok 4(sa)-dong,2014.1/4,Jungnang-gu,227.0,-,8,-,5,-,-,-,1,-,-,-,-,-,-,-,-,1,8,-,19,20,1,51,48,2,-,63
Myeonmok 5(o)-dong,2014.1/4,Jungnang-gu,150.0,-,6,-,-,-,-,-,1,-,2,-,-,1,-,-,-,1,7,-,13,10,2,19,38,5,-,45
Myeonmok 7(chil)-dong,2014.1/4,Jungnang-gu,234.0,-,7,-,4,-,-,-,1,2,4,-,-,-,-,-,-,1,3,-,18,9,8,37,56,8,1,75
Sangbong 1(il)-dong,2014.1/4,Jungnang-gu,230.0,-,5,-,1,-,-,-,-,1,1,-,4,-,-,-,-,2,9,-,15,11,4,43,43,-,-,91
Sangbong 2(i)-dong,2014.1/4,Jungnang-gu,289.0,-,7,-,7,-,-,-,-,1,-,1,6,-,-,-,-,7,6,-,14,16,6,48,45,3,1,121
Junghwa 1(il)-dong,2014.1/4,Jungnang-gu,239.0,-,7,-,5,-,-,-,-,-,4,-,-,-,-,-,-,4,6,-,16,17,2,43,44,1,-,90
Junghwa 2(i)-dong,2014.1/4,Jungnang-gu,546.0,-,7,-,7,-,-,-,-,-,3,-,-,-,-,-,-,2,8,-,41,36,3,98,107,3,-,231
Muk 1(il)-dong,2014.1/4,Jungnang-gu,212.0,-,8,-,27,-,-,-,-,-,-,-,3,-,-,-,-,1,3,-,16,10,-,57,55,-,-,32
Muk 2(i)-dong,2014.1/4,Jungnang-gu,146.0,-,5,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,11,12,3,36,36,1,-,39
Mangu 3(sam)-dong,2014.1/4,Jungnang-gu,159.0,-,15,-,2,-,-,-,-,-,3,-,1,-,-,-,-,1,7,-,10,5,6,18,51,2,1,37
Sinnae 1(il)-dong,2014.1/4,Jungnang-gu,150.0,-,2,-,1,-,-,-,2,-,-,-,8,-,-,-,-,-,23,-,13,10,4,31,43,2,-,11
Sinnae 2(i)-dong,2014.1/4,Jungnang-gu,87.0,-,-,-,-,-,-,-,-,-,-,1,16,-,-,-,-,1,-,-,14,3,-,12,25,-,-,15
Myeonmokbon-dong,2014.1/4,Jungnang-gu,708.0,-,29,2,20,-,3,-,5,2,7,-,1,-,-,-,-,3,14,-,60,57,25,133,134,2,-,211
Myeonmok 3.8(sam.pal)-dong,2014.1/4,Jungnang-gu,330.0,-,7,-,6,-,1,-,-,-,5,-,1,-,-,-,-,7,4,-,31,25,14,65,66,3,-,95
Mangubon-dong,2014.1/4,Jungnang-gu,368.0,-,10,-,6,-,1,-,2,1,3,1,5,1,-,-,-,4,18,-,34,32,9,65,89,3,-,84
Donam 1(il)-dong,2014.1/4,Seongbuk_gu,150.0,-,23,-,32,-,4,1,1,-,3,6,5,-,-,-,-,4,-,-,5,4,3,20,21,-,-,18
Donam 2(i)-dong,2014.1/4,Seongbuk_gu,67.0,-,1,-,3,-,2,-,1,-,-,-,3,-,-,-,-,-,3,-,7,7,2,21,14,-,-,3
Anam-dong,2014.1/4,Seongbuk_gu,1776.0,3,1049,-,243,-,1,-,3,2,36,48,30,11,-,-,-,47,4,-,22,28,52,60,44,13,23,57
Bomun-dong,2014.1/4,Seongbuk_gu,322.0,-,25,-,11,-,3,-,1,3,6,-,3,-,-,-,-,6,8,-,20,24,7,57,53,6,2,87
Jeongneung 1(il)-dong,2014.1/4,Seongbuk_gu,287.0,-,86,-,16,-,-,-,1,-,9,3,19,-,-,-,-,3,8,-,13,19,6,38,45,1,-,20
Jeongneung 2(i)-dong,2014.1/4,Seongbuk_gu,138.0,-,26,-,10,-,-,-,-,-,3,-,3,-,-,-,-,3,3,-,7,7,4,31,25,-,1,15
Jeongneung 3(sam)-dong,2014.1/4,Seongbuk_gu,957.0,1,675,-,153,-,1,-,2,1,22,4,3,1,-,-,-,3,2,-,5,1,10,15,25,1,5,27
Jeongneung 4(sa)-dong,2014.1/4,Seongbuk_gu,192.0,-,40,-,3,-,2,-,2,-,2,-,7,-,-,-,1,2,4,-,14,11,7,34,48,3,2,10
Gireum 1(il)-dong,2014.1/4,Seongbuk_gu,212.0,-,11,-,4,-,7,-,-,1,-,1,1,-,-,-,-,7,4,-,17,14,3,68,51,2,2,19
Gireum 2(i)-dong,2014.1/4,Seongbuk_gu,241.0,-,23,2,9,-,4,-,1,-,3,-,2,3,-,-,-,5,5,-,22,10,-,39,33,1,-,79
Wolgok 1(il)-dong,2014.1/4,Seongbuk_gu,285.0,-,46,1,7,-,-,-,-,-,-,-,3,27,-,-,-,5,22,-,20,16,10,33,51,1,-,43
Wolgok 2(i)-dong,2014.1/4,Seongbuk_gu,349.0,-,92,-,10,-,1,-,-,1,2,1,5,27,-,-,-,3,12,-,21,14,44,30,44,4,1,37
Jangwi 1(il)-dong,2014.1/4,Seongbuk_gu,248.0,-,8,1,6,-,2,-,1,1,2,1,2,-,-,-,-,1,20,-,17,25,6,44,75,-,1,35
Jangwi 2(i)-dong,2014.1/4,Seongbuk_gu,204.0,-,32,-,8,-,3,-,-,-,4,2,1,4,-,-,-,3,5,-,11,11,13,27,44,2,1,33
Jangwi 3(sam)-dong,2014.1/4,Seongbuk_gu,245.0,-,44,1,26,-,-,-,-,1,4,-,1,-,-,-,-,3,11,-,10,4,18,25,46,-,-,51
Seongbuk-dong,2014.1/4,Seongbuk_gu,524.0,-,20,-,5,-,17,9,37,-,2,-,24,1,-,-,2,22,6,-,112,19,115,38,54,2,1,38
Samseon-dong,2014.1/4,Seongbuk_gu,508.0,-,150,-,55,-,3,-,2,1,24,2,40,4,-,-,-,11,2,-,26,19,12,58,40,-,4,55
Dongseon-dong,2014.1/4,Seongbuk_gu,540.0,-,302,-,41,1,15,-,2,2,24,5,14,-,-,-,-,15,2,-,7,16,6,25,32,2,3,26
Jongam-dong,2014.1/4,Seongbuk_gu,900.0,-,432,1,103,-,-,-,4,3,24,7,8,1,-,-,-,18,35,-,24,14,16,65,70,5,7,63
Seokgwan-dong,2014.1/4,Seongbuk_gu,690.0,-,114,5,28,-,2,1,5,1,11,6,16,2,-,-,-,11,11,-,46,25,31,93,110,7,2,163
Beon 1(il)-dong,2014.1/4,Gangbuk-gu,333.0,-,16,2,8,-,-,-,-,-,1,-,6,-,-,-,-,13,4,-,25,17,2,78,66,1,3,91
Beon 2(i)-dong,2014.1/4,Gangbuk-gu,107.0,-,5,-,1,-,1,-,-,-,1,1,1,-,-,-,-,-,-,-,14,10,6,22,28,-,-,17
Beon 3(sam)-dong,2014.1/4,Gangbuk-gu,69.0,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,4,5,1,8,37,-,-,10
Suyu 1(il)-dong,2014.1/4,Gangbuk-gu,345.0,-,13,-,8,-,14,-,-,-,2,3,5,1,-,-,-,4,16,-,35,33,-,57,82,1,2,69
Suyu 2(i)-dong,2014.1/4,Gangbuk-gu,127.0,-,4,1,2,-,1,-,-,-,1,1,1,-,-,-,-,1,3,-,10,11,1,23,39,1,2,25
