,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Junggok 2-dong,113,178,147,11,16,252,22,20,71,74,63,81,52,39,76,114,47,93,86,33,70,47,308,290,25,28,24,67,25,143,37,142,86,23,330,70,49,15,128,49
Dangsan  2-dong,802,1036,895,118,120,1510,157,125,386,325,347,354,315,272,382,612,165,516,408,210,372,233,1960,1741,221,122,118,420,218,1015,205,658,516,194,1788,374,304,60,657,328
Sindaebang 2-dong,305,516,434,39,124,669,72,56,189,157,153,175,148,112,205,283,85,236,191,89,160,82,1081,765,64,51,46,158,66,432,102,310,230,68,1007,167,80,35,258,151
Myeonmok 2-dong,91,171,155,13,10,240,19,20,68,57,57,57,64,32,68,84,32,77,68,38,54,33,308,301,32,16,12,57,35,163,35,101,107,26,272,64,30,10,100,43
Jongno 1.2.3.4-ga-dong,3434,5307,4205,437,626,7051,895,865,2966,1577,1903,1794,2451,1057,2556,2713,949,2717,2082,854,1617,1154,8680,7904,801,20310,587,2146,884,4437,1053,2959,2395,914,8023,1712,873,415,3257,1648
Sangdo 4-dong,92,144,91,8,15,168,14,10,26,33,36,42,22,28,61,62,26,61,59,21,37,23,264,192,16,0,9,29,24,108,24,85,59,26,223,22,9,4,74,46
Sewon-dong,160,214,176,15,16,300,25,12,77,50,57,61,28,40,89,95,44,87,74,28,81,36,430,364,23,41,27,59,27,191,53,161,126,57,340,58,38,11,111,65
Sangdo 3-dong,158,175,130,12,54,300,24,18,62,74,61,77,38,44,41,142,32,86,83,28,66,54,337,278,42,19,28,62,48,170,32,129,96,38,274,64,37,10,88,48
Gasan-dong,1033,1271,984,89,143,1846,250,126,451,333,407,589,767,318,545,567,244,556,481,216,470,321,2177,2222,268,156,119,570,246,1232,281,743,605,228,2049,393,153,83,764,363
Deungchon 3-dong,226,289,267,27,30,484,50,33,106,85,102,121,55,70,117,199,57,170,172,63,87,60,521,531,53,50,74,111,54,241,65,208,158,40,478,102,42,21,195,92
Seongsu 1-ga2-dong,203,315,213,21,35,421,56,30,100,109,95,92,87,65,107,174,48,144,140,50,101,77,514,461,39,38,36,119,43,290,77,173,143,50,488,85,64,36,219,85
Hwagok 3-dong,52,110,88,9,3,133,24,4,28,33,30,24,32,22,34,52,12,42,42,11,28,10,197,163,17,23,9,37,13,102,12,59,52,18,161,26,24,3,53,29
Samcheong-dong,497,763,513,52,92,990,121,73,386,250,267,260,367,140,431,378,140,459,304,94,227,164,1195,1087,90,98,87,285,109,546,178,430,341,150,972,202,94,56,453,208
Irwonbon-dong,118,144,117,14,9,219,20,13,43,57,58,48,30,45,48,66,23,58,62,40,40,37,267,227,19,17,26,50,15,145,22,88,83,36,194,58,22,11,74,53
Suseo-dong,175,299,192,28,20,407,39,26,75,84,87,116,73,77,97,126,39,108,118,33,94,61,499,443,55,3,29,100,67,242,53,193,144,50,408,77,125,26,159,77
Mangwon 1-dong,292,411,327,34,35,557,74,52,120,128,132,167,100,113,137,214,65,194,167,75,134,110,715,622,69,59,39,132,52,366,71,269,185,76,688,161,85,22,268,153
Mok 3-dong,102,185,150,63,14,223,31,22,58,71,64,50,33,33,56,148,31,82,68,36,82,19,316,252,25,31,16,43,15,159,28,132,102,28,325,48,33,12,106,51
Hwanghak-dong,122,187,117,8,13,216,27,10,69,63,61,65,94,31,44,87,34,92,82,22,40,23,288,263,24,3,27,44,12,126,26,102,93,30,326,50,46,8,101,51
Ihwa-dong,817,831,744,88,57,1229,122,87,410,302,313,366,231,190,322,535,193,451,380,118,251,148,1441,1431,107,114,112,242,125,736,175,701,463,177,1222,288,155,46,523,262
Sangbong 2-dong,154,221,172,19,21,307,22,17,59,84,90,85,52,37,109,117,30,89,113,39,61,52,427,344,23,5,20,69,25,198,38,139,100,49,355,66,49,11,135,67
Haengun-dong,609,788,657,89,71,1154,142,80,230,258,272,344,204,194,329,393,155,405,335,136,238,190,1466,1458,139,139,97,276,142,686,159,427,378,155,1283,313,116,59,408,264
Jeongneung 3-dong,151,253,215,14,26,338,33,15,69,65,71,70,46,38,92,91,31,97,97,34,62,49,443,350,17,3,20,72,74,176,48,124,123,55,384,54,37,12,104,66
Jangji-dong,273,401,287,37,53,592,60,35,239,163,155,131,415,66,153,226,78,178,173,59,137,87,651,639,50,46,40,115,65,342,87,252,219,86,538,126,118,13,223,129
Singil 7-dong,157,171,126,19,19,229,22,35,41,52,66,102,36,74,51,54,28,59,91,28,41,51,306,340,44,0,25,55,72,179,39,112,81,21,203,33,25,8,92,61
Sanggye 3.4-dong,720,1045,845,100,71,1620,154,114,333,405,333,367,343,174,496,1464,197,513,499,187,341,219,2088,1665,165,107,118,303,169,878,217,610,510,235,2267,440,954,62,533,350
Junggok 3-dong,440,624,473,65,53,854,98,60,220,253,198,217,178,100,223,359,118,254,268,98,191,133,1120,883,72,107,76,206,99,485,111,371,343,130,1191,230,180,34,300,215
Junggok 1-dong,472,648,479,47,40,896,116,49,197,176,192,242,154,100,234,396,122,283,271,138,158,133,1184,1075,71,71,90,206,102,592,112,355,309,115,1002,226,177,46,327,205
Wangsimni 2-dong,1211,1230,963,54,43,1176,233,97,153,161,247,1653,123,269,278,411,175,494,431,149,251,194,2032,2106,103,33,100,284,185,1595,141,802,468,475,781,325,99,79,430,411
Sadang-dong,746,934,746,81,98,1292,157,95,286,297,315,362,229,227,315,487,170,437,420,151,272,230,1580,1490,163,125,106,267,161,830,168,492,411,199,1368,322,133,79,502,286
Seogyo-dong,4055,6425,5058,549,728,9049,1151,770,3634,2290,2210,2122,2419,1244,3651,3799,1203,4281,2579,1069,1988,1268,10423,9218,738,693,761,2377,894,5265,1273,3688,3221,1074,10237,2183,1171,480,4238,2015
Munjeong 2-dong,179,277,269,20,24,409,58,32,92,108,92,85,80,43,124,141,32,122,100,44,102,54,458,402,21,18,32,78,19,235,65,150,141,39,449,96,71,18,170,86
Jamwon-dong,669,988,716,75,108,1427,157,113,352,268,357,351,257,168,371,514,166,412,434,185,292,200,1783,1573,133,98,140,292,146,845,190,631,468,200,1593,312,183,57,571,304
Daerim 1-dong,113,204,178,23,18,302,33,22,136,65,70,65,64,46,77,146,61,105,94,46,65,79,396,338,35,30,40,55,37,191,28,116,108,41,358,109,42,16,138,81
Beon 1-dong,163,200,173,12,7,276,40,14,34,66,54,62,93,35,53,93,40,82,82,28,59,86,369,404,32,11,20,51,31,262,35,154,113,17,274,44,38,14,76,58
Jangan 1-dong,229,350,243,28,22,445,63,19,106,112,100,129,83,77,139,254,65,126,154,81,126,75,518,461,35,49,25,110,47,266,57,167,159,60,437,138,49,11,193,102
Sindang 6-dong,63,73,65,9,9,115,12,10,36,29,22,33,24,19,43,52,17,37,35,8,35,11,188,155,12,0,13,30,13,77,20,42,28,14,154,22,43,3,55,29
Sangdo 2-dong,420,585,497,66,104,926,101,66,151,187,207,236,167,144,191,455,106,276,314,121,172,141,1036,925,79,66,97,214,75,517,105,344,295,109,925,215,336,54,374,160
Ujangsan-dong,599,478,398,28,33,651,71,33,122,155,161,203,93,91,197,232,76,215,206,81,151,113,940,894,43,19,53,115,44,414,75,339,222,109,616,148,63,29,260,159
Jamsil 2-dong,1339,2281,1720,184,252,2935,366,233,1821,692,857,701,847,363,927,1282,408,1037,926,326,641,381,4027,3118,223,272,231,829,293,1910,432,1233,1054,378,4160,744,392,212,1458,620
Seongsan 2-dong,558,902,684,75,87,1183,123,89,457,262,335,299,289,169,330,497,129,410,376,161,274,163,1387,1340,179,79,110,332,179,731,151,479,447,179,1409,282,181,62,528,252
Suyu 2-dong,202,259,217,21,14,365,40,23,69,95,104,102,60,42,88,125,51,105,82,30,79,44,484,406,23,25,32,72,19,212,64,258,120,59,391,99,60,24,151,94
Jayang 3-dong,123,151,129,9,15,201,26,20,45,40,47,62,31,34,53,100,35,66,55,24,43,28,233,248,21,15,24,48,28,114,30,131,61,22,301,43,29,7,89,59
Amsa 1-dong,277,408,319,30,24,556,70,42,103,160,136,132,78,93,168,278,66,159,146,90,147,72,699,600,85,57,34,113,97,329,55,242,200,62,682,150,74,28,296,140
Banpo 4-dong,561,807,663,84,85,1111,128,103,341,274,259,249,267,134,325,403,154,400,377,145,258,218,1285,1280,104,42,130,249,135,595,152,482,381,127,1054,290,130,66,474,238
Sinwol 2-dong,128,208,161,18,1,356,34,18,47,64,123,78,31,38,69,87,38,102,93,48,76,59,323,423,22,11,12,47,31,193,29,77,85,23,270,52,33,11,170,63
Jangan 2-dong,241,395,277,25,36,580,67,27,129,105,159,157,81,82,127,201,78,159,172,57,94,93,661,670,59,30,50,97,88,336,65,245,146,74,604,135,65,22,188,123
Donam 1-dong,74,96,96,4,7,151,9,3,31,23,30,37,18,20,44,64,14,52,53,19,40,10,198,135,7,10,13,38,20,75,17,58,43,13,213,51,25,5,60,29
Sanggye 5-dong,77,106,80,7,8,149,16,16,29,33,49,44,17,38,36,53,14,44,54,11,24,19,164,155,25,7,21,26,24,89,16,72,47,6,138,32,15,10,50,43
Banghak 2-dong,282,364,269,30,19,427,63,43,86,101,97,181,54,206,109,190,63,143,153,76,91,101,598,647,139,26,45,97,115,391,65,228,164,73,453,94,97,24,156,101
Bangbae 1-dong,327,475,443,53,68,659,109,71,153,130,190,185,190,94,173,324,92,232,237,100,145,120,879,755,61,17,77,174,89,427,97,282,213,92,926,165,102,46,345,172
Hannam-dong,1707,2513,2039,224,264,3617,460,285,1243,840,923,885,991,466,1320,1315,482,1315,1082,493,734,499,4302,3903,332,242,302,874,372,2087,529,1509,1328,489,3886,853,389,199,1585,851
Sinwol 1-dong,119,230,202,20,14,303,46,25,66,81,64,49,49,34,80,154,21,88,117,50,73,36,371,268,22,6,30,86,23,165,35,118,119,39,384,83,86,17,130,74
Eungam 1-dong,146,196,150,23,28,274,35,11,53,67,46,67,51,32,68,131,34,88,85,35,51,32,433,294,18,15,17,51,19,176,33,121,113,37,381,72,52,24,102,59
Junggyebon-dong,155,161,122,12,11,189,25,16,35,30,68,84,38,45,66,86,21,61,62,29,47,30,262,255,17,23,7,41,31,149,13,89,71,30,274,52,56,12,55,42
Ichon 1-dong,87,130,85,17,20,169,19,15,51,32,46,52,50,31,51,80,20,62,46,15,49,21,236,226,35,12,11,60,21,112,32,71,59,13,180,49,13,4,102,34
Sinjeong 2-dong,43,43,40,3,4,47,5,2,19,10,7,19,11,4,19,64,9,18,37,8,11,17,85,92,9,2,6,17,13,30,5,28,20,10,167,22,42,2,28,13
