,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Banpo 1-dong,0.04122006492313346,0.05114227965945979,0.04189379555337784,0.006186072150425675,0.004409873216145036,0.07313039750107185,0.008146015802045692,0.004409873216145036,0.018435719973050775,0.017516996386353893,0.019415691798860782,0.022539351993630184,0.010044711214552582,0.008513505236724445,0.020579408342010167,0.030256630121883996,0.010105959453665707,0.02621424634041771,0.025234274514607705,0.010105959453665707,0.016782017516996386,0.009554725301647578,0.10038586390641269,0.07723402952165125,0.005267348563728793,0.00869724995406382,0.006492313345991303,0.01819072701659827,0.007227292215348809,0.04667115820420163,0.010289704171005084,0.03466650333802903,0.02743921112268022,0.010657193605683837,0.08678875482329883,0.015863293930299505,0.014822073865376371,0.0032461566729956514,0.03135909842592025,0.018864457646842653
Geoyeo 2-dong,0.03026841804683038,0.052541404911479156,0.04397487150199886,0.0034266133637921186,0.005139920045688178,0.058823529411764705,0.005139920045688178,0.0074243289548829245,0.013135351227869789,0.01770416904625928,0.014848657909765849,0.012564249000571102,0.006282124500285551,0.0074243289548829245,0.02227298686464877,0.0336950314106225,0.006853226727584237,0.019417475728155338,0.025128498001142203,0.010850942318675044,0.018846373500856654,0.010850942318675044,0.11764705882352941,0.0713877784123358,0.003997715591090805,0.0005711022272986865,0.009137635636778984,0.015419760137064534,0.0057110222729868645,0.03312392918332382,0.012564249000571102,0.03769274700171331,0.03312392918332382,0.014848657909765849,0.1519131924614506,0.014277555682467162,0.013706453455168474,0.0028555111364934323,0.022844089091947458,0.012564249000571102
Daebang-dong,0.03484848484848485,0.053282828282828286,0.04097222222222222,0.005492424242424242,0.007196969696969697,0.07689393939393939,0.006755050505050505,0.00404040404040404,0.029103535353535354,0.017045454545454544,0.01654040404040404,0.01950757575757576,0.01148989898989899,0.008964646464646465,0.01755050505050505,0.030113636363636363,0.010416666666666666,0.022285353535353537,0.02297979797979798,0.010606060606060607,0.018560606060606062,0.011742424242424242,0.10511363636363637,0.08333333333333333,0.005681818181818182,0.005113636363636364,0.006755050505050505,0.015845959595959597,0.008017676767676767,0.04210858585858586,0.008964646464646465,0.03143939393939394,0.02556818181818182,0.009406565656565656,0.09311868686868686,0.01698232323232323,0.013573232323232324,0.004356060606060606,0.030366161616161617,0.017866161616161617
Sinjeong 1-dong,0.04156107450582869,0.05195134313228586,0.040293968575772936,0.006082108464267613,0.006082108464267613,0.07526609224531171,0.0063355296502787635,0.00481500253421186,0.017232640648758235,0.016979219462747084,0.021287379624936646,0.016472377090724785,0.013938165230613279,0.00937658388241257,0.021540800810947794,0.030917384693360365,0.008109477952356817,0.024328433857070453,0.022047643182970096,0.011657374556512924,0.021540800810947794,0.009883426254434871,0.10238215914850482,0.08793715154586923,0.007095793208312215,0.002280790674100355,0.006588950836289914,0.012164216928535226,0.006082108464267613,0.05397871262037506,0.010897110998479472,0.031931069437404966,0.026355803345159655,0.008869741510390269,0.08210846426761277,0.017486061834769386,0.011403953370501775,0.003801317790167258,0.03319817536746072,0.017739483020780537
Gayang 2-dong,0.0323313293253173,0.05397461589846359,0.041549766199064794,0.004809619238476954,0.005344021376085505,0.07735470941883768,0.007214428857715431,0.004809619238476954,0.020574482297929193,0.02177688710754843,0.018704074816299265,0.02124248496993988,0.016833667334669337,0.008283233132932532,0.018704074816299265,0.03246492985971944,0.008016032064128256,0.023780895123580493,0.026586506346025385,0.009752839011356046,0.014161656646626587,0.010821643286573146,0.0877755511022044,0.07828991315965264,0.005477621910487642,0.0037408149632598532,0.006412825651302605,0.016833667334669337,0.008416833667334669,0.04809619238476954,0.009619238476953907,0.031663326653306616,0.02391449565798263,0.01229124916499666,0.10741482965931863,0.018169672678690716,0.010420841683366733,0.0028056112224448897,0.03420173680694723,0.015364061456245824
Itaewon 2-dong,0.03607451158564289,0.05479327578373466,0.04379827351203998,0.004997728305315766,0.009450249886415265,0.07478418900499773,0.009177646524307134,0.005452067242162653,0.026351658337119492,0.01753748296228987,0.018355293048614267,0.01635620172648796,0.019809177646524307,0.011267605633802818,0.03416628805088596,0.029986369831894594,0.010268059972739664,0.02571558382553385,0.022535211267605635,0.009268514311676511,0.017628350749659245,0.00963198546115402,0.08396183552930486,0.07523852794184462,0.005724670604270786,0.005452067242162653,0.006905951840072694,0.01753748296228987,0.0064516129032258064,0.043071331213084964,0.009904588823262154,0.03162199000454339,0.023534756928668788,0.009722853248523398,0.08105406633348478,0.020354384370740573,0.014629713766469786,0.004270786006360745,0.037346660608814176,0.015810995002271695
Jamsil 4-dong,0.03404899271729878,0.054856710488981365,0.04000756644282607,0.004066963019010688,0.0053910905135723065,0.0799205523503263,0.008039345502695545,0.005674832119549797,0.01759197957060437,0.014470821904851982,0.01844320438853684,0.01655159368202024,0.023550553296131656,0.010876761562470444,0.021753523124940888,0.025347583467322424,0.008417667643998865,0.026104227749929064,0.02165894258961506,0.008701409249976354,0.01872694599451433,0.013146694410290363,0.097890854062234,0.08531164286389861,0.006336895866830606,0.006431476402156436,0.005201929442920647,0.026198808285254893,0.006147734796178947,0.044263690532488416,0.009363472997257165,0.03461647592925376,0.026577130426558213,0.008701409249976354,0.08294712948075286,0.01806488224723352,0.008795989785302185,0.004256124089662348,0.03329234843469214,0.018254043317885178
Gaepo 4-dong,0.04221411192214112,0.05924574209245742,0.0402676399026764,0.00291970802919708,0.0030413625304136255,0.07664233576642336,0.007785888077858881,0.006447688564476885,0.012773722627737226,0.012773722627737226,0.01508515815085158,0.019221411192214113,0.010218978102189781,0.02396593673965937,0.015328467153284672,0.023236009732360098,0.008759124087591242,0.02141119221411192,0.022871046228710463,0.010097323600973237,0.013503649635036497,0.017396593673965937,0.10437956204379562,0.1132603406326034,0.01824817518248175,0.001338199513381995,0.005474452554744526,0.010583941605839416,0.01824817518248175,0.05924574209245742,0.00827250608272506,0.02737226277372263,0.022506082725060828,0.009732360097323601,0.07019464720194647,0.016666666666666666,0.006447688564476885,0.004257907542579075,0.024817518248175182,0.013746958637469586
Gaepo 1-dong,0.047372060857538034,0.051175656984785614,0.04495159059474412,0.004840940525587829,0.004840940525587829,0.07676348547717843,0.01037344398340249,0.005532503457814661,0.017980636237897647,0.014177040110650069,0.014177040110650069,0.021092669432918397,0.012102351313969572,0.019017980636237896,0.02351313969571231,0.024204702627939143,0.008990318118948824,0.019017980636237896,0.024204702627939143,0.011410788381742738,0.01590594744121715,0.012102351313969572,0.09266943291839558,0.09094052558782849,0.011065006915629323,0.004840940525587829,0.005878284923928077,0.015560165975103735,0.017980636237897647,0.04495159059474412,0.011756569847856155,0.023167358229598894,0.021438450899031812,0.008990318118948824,0.08056708160442601,0.019017980636237896,0.008990318118948824,0.0013831258644536654,0.03561549100968188,0.021438450899031812
Geoyeo 1-dong,0.03293256664924203,0.05593308938839519,0.052273915316257184,0.00575013068478829,0.0036591740721380033,0.06795608991113435,0.00836382645060115,0.0031364349189754314,0.018295870360690015,0.0167276529012023,0.020386826973340304,0.020909566126502875,0.012545739675901725,0.009932043910088865,0.009409304756926294,0.03554626241505489,0.007318348144276007,0.027182435964453737,0.030318870883429168,0.00836382645060115,0.020386826973340304,0.010454783063251438,0.10559330893883952,0.0799790904338735,0.006795608991113434,0.006272869837950863,0.006795608991113434,0.015159435441714584,0.00836382645060115,0.043387349712493466,0.00836382645060115,0.029273392577104027,0.027182435964453737,0.00836382645060115,0.07945635128071092,0.020386826973340304,0.01934134866701516,0.0031364349189754314,0.040250914793518035,0.014113957135389441
