dong,residential_population,out_traffic,in_traffic,tweet,employee
Jangwi 3-dong,19116,35949,36408,1420,4452
Seongbuk-dong,19549,183044,174785,5958,5115
Samseon-dong,28853,19573,29417,3108,9510
Dongseon-dong,17145,207691,196843,6279,10170
Jongam-dong,43890,127622,117308,2620,7550
Seokgwan-dong,37825,28769,27130,1667,8217
Beon 1-dong,21154,21791,24028,1043,8783
Beon 2-dong,19681,56670,48424,3572,3128
Beon 3-dong,21177,35823,33889,1363,2556
Suyu 1-dong,23250,32847,32470,1136,5125
Suyu 2-dong,23251,36503,33832,1640,4357
Suyu 3-dong,24394,301146,314257,1114,8413
Samyang-dong,31551,48750,35184,9038,3331
Mia-dong,24174,216427,190754,1526,6580
Songjung-dong,33516,280483,280844,3989,8463
Songcheon-dong,32079,47082,45930,2440,7272
Samgaksan-dong,35058,42195,39021,4504,2190
Ui-dong,21487,71860,69666,2609,3478
Insu-dong,33774,52306,51057,1437,5792
Ssangmun 1-dong,22300,45797,38679,8862,3803
Ssangmun 2-dong,21552,179957,169440,1460,4299
Ssangmun 3-dong,18577,49113,53958,1273,3182
Ssangmun 4-dong,21625,10796,10811,2243,1933
Banghak 1-dong,32394,79253,83376,2742,9931
Banghak 2-dong,23998,30170,22390,2102,2837
Banghak 3-dong,31897,69865,53257,2684,3161
Chang 1-dong,28695,12833,15992,2368,3390
Chang 2-dong,31651,28006,32029,551,4447
Chang 3-dong,16083,20421,17853,550,1939
Chang 4-dong,30786,211483,214275,1734,6738
Chang 5-dong,27772,13278,10388,1532,6654
Dobong 1-dong,24429,27743,24729,1575,5496
Dobong 2-dong,31103,132826,127608,4017,6126
Wolgye 1-dong,23203,44033,47203,1625,5506
Wolgye 2-dong,30313,71392,66648,1583,3592
Wolgye 3-dong,35897,250450,245540,2993,3746
Gongneung 2-dong,46816,172569,161196,7529,10912
Hagye 1-dong,30706,149007,150102,2727,6791
Hagye 2-dong,25791,12886,14953,1457,1064
Junggyebon-dong,29796,23832,26068,1057,5241
Junggye 1-dong,30500,38936,34120,6262,4012
Junggye 4-dong,22515,31155,33389,1762,3711
Sanggye 1-dong,44307,131532,121034,4256,7954
Sanggye 2-dong,22616,64110,58391,2268,8370
Sanggye 5-dong,24244,10063,9413,626,3319
Sanggye 8-dong,27162,4517,4363,1055,1885
Sanggye 9-dong,24694,114828,110204,1857,2360
Sanggye 10-dong,20557,280647,306101,1916,2139
Gongneung 1.3-dong,38835,211003,208274,4963,4773
Sanggye 3.4-dong,36934,222006,205882,9772,14042
Sanggye 6.7-dong,42085,133674,126942,3962,4835
Junggye 2.3-dong,40434,28687,26858,7550,10273
Nokbeon-dong,33455,201021,200320,3905,8097
Bulgwang 1-dong,42318,189496,207358,3743,6914
Galhyeon 1-dong,26469,20945,19620,2928,5136
Galhyeon 2-dong,29220,107211,85094,4772,5495
Gusan-dong,34123,16165,13304,1217,5389
Daejo-dong,32497,36692,43217,1249,7174
Eungam 1-dong,32144,40099,38778,1445,7074
Eungam 2-dong,26978,12165,9963,1290,2214
Sinsa 1-dong,28450,73661,68704,1200,3927
Sinsa 2-dong,22966,17246,21436,1619,2933
Jeungsan-dong,21046,151653,149625,1527,3825
Susaek-dong,19625,48516,36597,1987,3003
Jingwan-dong,51478,160569,127255,3971,5234
Bulgwang-dong,30403,269037,269928,2979,4088
Eungam 3-dong,27923,55717,49891,3271,5272
Yeokchon-dong,49670,170829,146141,3233,7428
Cheonyeon-dong,20489,10027,16221,888,2475
