Dong,산업_공중위생업현황_Autonomous Gu_Autonomous Gu,산업_공중위생업현황_Grand Total_Grand Total,산업_공중위생업현황_Public sanitary business_Total,산업_공중위생업현황_Public sanitary business_Accomodations ,산업_공중위생업현황_Public sanitary business_Barber shop,산업_공중위생업현황_Public sanitary business_Beauty shop,산업_공중위생업현황_Public sanitary business_Bath houses,산업_공중위생업현황_Public sanitary business_Laundry,산업_공중위생업현황_Public sanitary business_Sanitary management service,"산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Total","산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Sanitary cleaning industry","산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Solvent Cleaner munufacturing","산업_공중위생업현황_Sanitary cleaning, Solvent Cleaner, Sanitary  material manufacturings_Other manufacturing industry for sanitation"
Yangjae 1(il)-dong,Seocho-gu,134.0,134.0,1,8,58.0,4,22.0,41,-,-,-,-
Yangjae 2(i)-dong,Seocho-gu,130.0,129.0,1,9,41.0,6,15.0,57,1,-,-,1
Naegok-dong,Seocho-gu,8.0,8.0,-,2,2.0,-,2.0,2,-,-,-,-
Sinsa-dong,Gangnam-gu,325.0,325.0,5,7,272.0,6,22.0,13,-,-,-,-
Nonhyeon 1(il)-dong,Gangnam-gu,304.0,304.0,11,5,188.0,20,49.0,31,-,-,-,-
Nonhyeon 2(i)-dong,Gangnam-gu,136.0,136.0,8,6,61.0,13,23.0,25,-,-,-,-
Samseong 1(il)-dong,Gangnam-gu,168.0,168.0,8,12,81.0,5,25.0,37,-,-,-,-
Samseong 2(i)-dong,Gangnam-gu,130.0,130.0,19,4,68.0,7,18.0,14,-,-,-,-
Daechi 1(il)-dong,Gangnam-gu,129.0,129.0,-,7,84.0,5,23.0,10,-,-,-,-
Daechi 4(sa)-dong,Gangnam-gu,127.0,127.0,7,6,86.0,6,13.0,9,-,-,-,-
Yeoksam 1(il)-dong,Gangnam-gu,491.0,491.0,51,19,249.0,20,67.0,85,-,-,-,-
Yeoksam 2(i)-dong,Gangnam-gu,85.0,85.0,18,-,37.0,2,15.0,13,-,-,-,-
Dogok 1(il)-dong,Gangnam-gu,87.0,87.0,1,4,54.0,5,12.0,11,-,-,-,-
Dogok 2(i)-dong,Gangnam-gu,46.0,45.0,-,2,23.0,2,10.0,8,1,1,-,-
Gaepo 1(il)-dong,Gangnam-gu,62.0,62.0,-,7,25.0,1,18.0,11,-,-,-,-
Gaepo 4(sa)-dong,Gangnam-gu,67.0,67.0,-,4,29.0,2,18.0,14,-,-,-,-
Irwonbon-dong,Gangnam-gu,25.0,25.0,-,3,9.0,1,10.0,2,-,-,-,-
Irwon 1(il)-dong,Gangnam-gu,39.0,39.0,-,4,21.0,1,3.0,10,-,-,-,-
Irwon 2(i)-dong,Gangnam-gu,22.0,22.0,-,3,11.0,2,4.0,2,-,-,-,-
Suseo-dong,Gangnam-gu,42.0,42.0,-,1,24.0,1,5.0,11,-,-,-,-
Segok-dong,Gangnam-gu,15.0,15.0,-,2,7.0,1,4.0,1,-,-,-,-
Apgujeong -dong,Gangnam-gu,107.0,107.0,3,1,84.0,6,12.0,1,-,-,-,-
Cheongdam -dong,Gangnam-gu,278.0,278.0,7,6,217.0,9,25.0,14,-,-,-,-
Daechi 2(i)-dong,Gangnam-gu,103.0,103.0,1,7,59.0,8,9.0,19,-,-,-,-
Gaepo 2(i)-dong,Gangnam-gu,75.0,75.0,-,6,50.0,2,13.0,4,-,-,-,-
Pungnap 1(il)-dong,Songpa-gu,101.0,101.0,-,9,58.0,2,21.0,11,-,-,-,-
Pungnap 2(i)-dong,Songpa-gu,49.0,49.0,-,6,28.0,1,10.0,4,-,-,-,-
Geoyeo 1(il)-dong,Songpa-gu,119.0,119.0,3,11,68.0,3,22.0,12,-,-,-,-
Geoyeo 2(i)-dong,Songpa-gu,30.0,30.0,3,8,11.0,1,4.0,3,-,-,-,-
Macheon 1(il)-dong,Songpa-gu,102.0,102.0,3,8,64.0,2,17.0,8,-,-,-,-
Macheon 2(i)-dong,Songpa-gu,35.0,35.0,-,6,23.0,-,6.0,-,-,-,-,-
Bangi 1(il)-dong,Songpa-gu,189.0,189.0,24,11,96.0,4,27.0,27,-,-,-,-
Bangi 2(i)-dong,Songpa-gu,101.0,101.0,44,4,22.0,4,12.0,15,-,-,-,-
Oryun-dong,Songpa-gu,12.0,12.0,-,1,8.0,-,3.0,-,-,-,-,-
Ogeum-dong,Songpa-gu,128.0,128.0,-,11,64.0,3,32.0,18,-,-,-,-
Songpa 1(il)-dong,Songpa-gu,168.0,168.0,-,7,106.0,3,30.0,22,-,-,-,-
Songpa 2(i)-dong,Songpa-gu,30.0,30.0,-,2,19.0,1,4.0,4,-,-,-,-
Seokchon-dong,Songpa-gu,168.0,168.0,5,13,90.0,7,31.0,22,-,-,-,-
Samjeon-dong,Songpa-gu,158.0,158.0,7,8,95.0,3,30.0,15,-,-,-,-
Garakbon-dong,Songpa-gu,236.0,234.0,3,11,136.0,6,34.0,44,2,2,-,-
Garak 1(il)-dong,Songpa-gu,10.0,10.0,-,1,4.0,-,1.0,4,-,-,-,-
Garak 2(i)-dong,Songpa-gu,65.0,65.0,-,4,41.0,1,12.0,7,-,-,-,-
Munjeong 1(il)-dong,Songpa-gu,188.0,188.0,-,10,110.0,3,29.0,36,-,-,-,-
Munjeong 2(i)-dong,Songpa-gu,47.0,47.0,-,-,28.0,1,10.0,8,-,-,-,-
Jangji-dong,Songpa-gu,25.0,25.0,-,2,13.0,1,3.0,6,-,-,-,-
Jamsilbon-dong,Songpa-gu,281.0,281.0,28,13,167.0,5,42.0,26,-,-,-,-
Jamsil 4(sa)-dong,Songpa-gu,71.0,71.0,-,1,51.0,1,11.0,7,-,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,40.0,40.0,-,6,22.0,1,4.0,7,-,-,-,-
Jamsil 7(chil)-dong,Songpa-gu,13.0,13.0,-,2,7.0,1,3.0,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,36.0,36.0,-,1,28.0,-,6.0,1,-,-,-,-
Jamsil 3(sam)-dong,Songpa-gu,40.0,40.0,1,2,29.0,2,6.0,-,-,-,-,-
Gangil-dong,Gangdong-gu,28.0,28.0,-,1,17.0,-,8.0,2,-,-,-,-
Sangil-dong,Gangdong-gu,61.0,60.0,-,6,27.0,3,17.0,7,1,1,-,-
Myeongil 1(il)-dong,Gangdong-gu,138.0,138.0,3,7,95.0,4,15.0,14,-,-,-,-
Myeongil 2(i)-dong,Gangdong-gu,55.0,55.0,-,6,40.0,-,7.0,2,-,-,-,-
Godeok 1(il)-dong,Gangdong-gu,46.0,46.0,-,2,33.0,1,8.0,2,-,-,-,-
Godeok 2(i)-dong,Gangdong-gu,19.0,19.0,-,3,11.0,1,4.0,-,-,-,-,-
Amsa 2(i)-dong,Gangdong-gu,36.0,36.0,1,3,25.0,1,6.0,-,-,-,-,-
Amsa 3(sam)-dong,Gangdong-gu,33.0,33.0,-,1,26.0,-,5.0,1,-,-,-,-
Cheonho 1(il)-dong,Gangdong-gu,164.0,164.0,1,12,95.0,5,38.0,13,-,-,-,-
Cheonho 3(sam)-dong,Gangdong-gu,96.0,96.0,14,10,43.0,1,21.0,7,-,-,-,-
Seongnae 1(il)-dong,Gangdong-gu,109.0,109.0,-,10,63.0,1,23.0,12,-,-,-,-
Seongnae 2(i)-dong,Gangdong-gu,92.0,91.0,3,5,61.0,2,11.0,9,1,1,-,-
Seongnae 3(sam)-dong,Gangdong-gu,90.0,90.0,3,9,60.0,2,11.0,5,-,-,-,-
Dunchon 1(il)-dong,Gangdong-gu,40.0,40.0,2,2,25.0,3,7.0,1,-,-,-,-
Dunchon 2(i)-dong,Gangdong-gu,63.0,63.0,1,8,40.0,1,12.0,1,-,-,-,-
Amsa 1(il)-dong,Gangdong-gu,161.0,161.0,6,14,103.0,6,29.0,3,-,-,-,-
Cheonho 2(i)-dong,Gangdong-gu,195.0,194.0,54,14,86.0,3,21.0,16,1,1,-,-
Gil-dong,Gangdong-gu,240.0,240.0,38,12,134.0,6,32.0,18,-,-,-,-
