Dong,산업_출판인쇄및기록매체복제업_Gu_Gu,"산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Employees","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Employees",산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Establish-ments,산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Employees,산업_출판인쇄및기록매체복제업_Otherpublishing_Establish-ments,산업_출판인쇄및기록매체복제업_Otherpublishing_Employees,산업_출판인쇄및기록매체복제업_Printing_Establish-ments,산업_출판인쇄및기록매체복제업_Printing_Employees,산업_출판인쇄및기록매체복제업_Service activities related to printing_Establish-ments,산업_출판인쇄및기록매체복제업_Service activities related to printing_Employees,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Establish-ments,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Employees
Sogong-dong,Jung-gu,5,21,24,2491,-,-,-,-,7,72,2,51,-,-
Hoehyeon-dong,Jung-gu,1,11,-,-,-,-,1,3,13,29,2,4,-,-
Myeong-dong,Jung-gu,18,1034,39,1639,3,3,6,28,125,401,15,54,-,-
Pil-dong,Jung-gu,23,110,24,570,2,13,8,23,840,3612,168,643,1,1
Jangchung-dong,Jung-gu,11,51,3,230,2,19,1,5,47,177,9,36,-,-
Gwanghui-dong ,Jung-gu,24,89,15,105,3,3,4,9,1397,3447,504,1060,2,2
Euljiro-dong,Jung-gu,38,105,9,258,1,2,19,72,1870,4473,402,917,1,3
Sindang 5(o)-dong,Jung-gu,1,2,5,7,1,1,-,-,3,10,2,3,-,-
Hwanghak-dong,Jung-gu,-,-,-,-,-,-,-,-,2,3,-,-,-,-
Jungnim-dong,Jung-gu,10,267,5,679,-,-,-,-,1,5,2,3,-,-
Sindang-dong,Jung-gu,2,15,1,2,-,-,-,-,8,18,2,5,-,-
Dasan-dong,Jung-gu,9,118,6,32,-,-,-,-,5,19,2,7,-,-
Yaksu-dong,Jung-gu,1,1,-,-,-,-,-,-,1,1,-,-,1,1
Cheonggu-dong,Jung-gu,5,21,5,22,1,1,1,12,8,30,-,-,-,-
Donghwa-dong,Jung-gu,1,3,3,11,-,-,-,-,6,33,2,41,-,-
Huam-dong,Yongsan-gu,5,11,1,15,-,-,-,-,1,2,-,-,-,-
Yongsan 2-ga-dong,Yongsan-gu,-,-,1,1,-,-,-,-,-,-,-,-,-,-
Namyeong-dong,Yongsan-gu,15,45,9,52,-,-,1,1,4,11,1,18,-,-
Wonhyoro 2(i)-dong,Yongsan-gu,-,-,-,-,1,1,-,-,6,50,1,8,-,-
Hyochang-dong,Yongsan-gu,5,21,2,14,1,5,-,-,2,5,1,1,-,-
Yongmun-dong,Yongsan-gu,2,13,1,2,-,-,-,-,1,1,-,-,-,-
Ichon 1(il)-dong,Yongsan-gu,-,-,-,-,1,9,-,-,-,-,-,-,-,-
Ichon 2(i)-dong,Yongsan-gu,2,2,1,3,-,-,-,-,-,-,-,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,1,2,2,13,2,4,-,-,1,3,-,-,-,-
Itaewon 2(i)-dong,Yongsan-gu,1,46,-,-,1,1,-,-,-,-,-,-,-,-
Seobinggo-dong,Yongsan-gu,-,-,1,200,1,1,1,5,2,14,-,-,-,-
Cheongpa-dong,Yongsan-gu,15,105,11,117,3,19,-,-,12,29,4,36,1,2
Wonhyoro 1(il)-dong,Yongsan-gu,19,80,8,38,-,-,-,-,34,109,17,95,1,6
Hangangno-dong,Yongsan-gu,13,111,29,496,-,-,1,1,8,35,3,10,-,-
Hannam-dong,Yongsan-gu,2,13,4,42,2,7,-,-,2,12,-,-,-,-
Wangsimni 2(i)-dong,Seongdong-gu,1,6,1,2,-,-,-,-,3,3,1,14,-,-
Majang-dong,Seongdong-gu,1,1,-,-,2,3,-,-,12,23,-,-,-,-
Sageun-dong,Seongdong-gu,1,1,1,4,-,-,-,-,3,4,-,-,-,-
Haengdang 1(il)-dong,Seongdong-gu,3,17,1,12,-,-,-,-,2,3,-,-,-,-
Eungbong-dong,Seongdong-gu,1,1,1,1,1,1,-,-,-,-,-,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,3,4,-,-,-,-,-,-,1,1,-,-,-,-
Geumho 4(sa)-ga-dong,Seongdong-gu,-,-,-,-,-,-,-,-,2,9,-,-,-,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,-,-,1,1,1,2,-,-,12,230,6,36,-,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,4,24,4,42,3,12,-,-,47,391,6,116,1,3
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,2,28,1,9,-,-,-,-,32,281,16,111,-,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,22,190,7,63,3,9,1,2,220,2219,52,440,1,1
Songjeong-dong,Seongdong-gu,1,2,-,-,-,-,-,-,7,22,1,10,-,-
Yongdap-dong,Seongdong-gu,6,11,3,4,1,1,-,-,2,12,2,6,-,-
WangsimniDoseon-dong,Seongdong-gu,2,3,4,22,-,-,-,-,6,14,1,1,-,-
Oksu-dong,Seongdong-gu,-,-,2,14,1,1,-,-,-,-,-,-,1,1
Hwayang-dong,Gwangjin-gu,3,11,-,-,-,-,-,-,5,9,-,-,-,-
Gunja-dong,Gwangjin-gu,7,46,1,7,1,1,-,-,3,23,-,-,1,5
Junggok 1(il)-dong,Gwangjin-gu,3,9,2,31,-,-,-,-,10,44,-,-,1,7
Junggok 2(i)-dong,Gwangjin-gu,2,2,1,8,2,2,-,-,-,-,1,6,-,-
Junggok 3(sam)-dong,Gwangjin-gu,1,10,-,-,-,-,-,-,1,2,1,4,-,-
Junggok 4(sa)-dong,Gwangjin-gu,-,-,-,-,-,-,-,-,1,2,-,-,-,-
