Dong,산업_유통업체현황_Gu_Gu_Gu_Gu,산업_유통업체현황_Total_Total_Number_Number,산업_유통업체현황_Total_Total_Floor space_Business,산업_유통업체현황_Total_Total_Floor space_Store,산업_유통업체현황_Total_Total_Floor space_Establish ment,산업_유통업체현황_Discounter Store_Discounter Store_Number_Number,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Business,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Store,산업_유통업체현황_Discounter Store_Discounter Store_Floor space_Establish ment,산업_유통업체현황_Department Store_Department Store_Number_Number,산업_유통업체현황_Department Store_Department Store_Floor space_Business,산업_유통업체현황_Department Store_Department Store_Floor space_Store,산업_유통업체현황_Department Store_Department Store_Floor space_Establish ment,산업_유통업체현황_Specialty Store_Specialty Store_Number_Number,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Business,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Store,산업_유통업체현황_Specialty Store_Specialty Store_Floor space_Establish ment,산업_유통업체현황_Shopping centers_Shopping centers_Number_Number,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Business,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Store,산업_유통업체현황_Shopping centers_Shopping centers_Floor space_Establish ment,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Number_Number,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Business,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Store,산업_유통업체현황_Other Large-scale Store_Other Large-scale Store_Floor space_Establish ment
Haengun-dong,Gwanak-gu,1,6536,6000,7870,-,-,-,-,-,-,-,-,-,-,-,-,1,6536,6000,7870,-,-,-,-
Namhyeon-dong,Gwanak-gu,1,17536,14784,32282,1,17536,14784,32282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sewon-dong,Gwanak-gu,1,28089,16037,37758,-,-,-,-,-,-,-,-,-,-,-,-,1,28089,16037,37758,-,-,-,-
Sillim-dong,Gwanak-gu,1,7100,5163,22988,-,-,-,-,-,-,-,-,-,-,-,-,1,7100,5163,22988,-,-,-,-
Cheongnyong-dong,Gwanak-gu,1,7150,3224,26450,-,-,-,-,-,-,-,-,-,-,-,-,1,7150,3224,26450,-,-,-,-
Nangok-dong,Gwanak-gu,1,4374,4226,4850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4374,4226,4850
Seocho 1(il)-dong,Seocho-gu,2,70318,36737,136990,-,-,-,-,-,-,-,-,1,67131,33736,107508,-,-,-,-,1,3187,3001,29482
Seocho 2(i)-dong,Seocho-gu,3,15424,11856,22687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,15424,11856,22687
Seocho 4(sa)-dong,Seocho-gu,4,25070,17483,363833,-,-,-,-,-,-,-,-,1,6948,5546,92717,-,-,-,-,3,18122,11937,271116
Jamwon-dong,Seocho-gu,3,15497,8921,16920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,15497,8921,16920
Banpobon-dong,Seocho-gu,1,5449,2803,23710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5449,2803,23710
Banpo 1(il)-dong,Seocho-gu,1,1844,1256,1844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1844,1256,1844
Banpo 2(i)-dong,Seocho-gu,1,10078,9564,12329,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,10078,9564,12329
Banpo 3(sam)-dong,Seocho-gu,3,51180,31412,66959,1,4664,3752,17048,1,18785,12595,18952,1,27731,15065,30959,-,-,-,-,-,-,-,-
Banpo 4(sa)-dong,Seocho-gu,2,163028,109391,377459,-,-,-,-,1,93192,53012,266756,-,-,-,-,-,-,-,-,1,69836,56379,110703
Bangbae 2(i)-dong,Seocho-gu,1,3605,3080,3605,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3605,3080,3605
Bangbae 4(sa)-dong,Seocho-gu,1,4877,6446,21498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4877,6446,21498
Yangjae 2(i)-dong,Seocho-gu,3,150940,53992,351794,2,46395,19227,191715,-,-,-,-,-,-,-,-,-,-,-,-,1,104545,34765,160079
Sinsa-dong,Gangnam-gu,-,…,…,-,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,-,…,…,-
Nonhyeon 1(il)-dong,Gangnam-gu,1,…,…,21736,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,21736
Nonhyeon 2(i)-dong,Gangnam-gu,1,…,…,4780,-,-,-,-,-,…,…,-,-,-,-,-,-,-,-,-,1,…,…,4780
Samseong 1(il)-dong,Gangnam-gu,4,…,…,469320,-,-,-,-,1,…,…,98529,-,-,-,-,3,90216,83555,370791,-,…,…,-
