Jangwi 1(il)-dong,Jangwi 1-dong
Jangwi 2(i)-dong,Jangwi 2-dong
Jangwi 3(sam)-dong,Jangwi 3-dong
Seongbuk-dong,Seongbuk-dong
Samseon-dong,Samseon-dong
Dongseon-dong,Dongseon-dong
Jongam-dong,Jongam-dong
Seokgwan-dong,Seokgwan-dong
Beon 1(il)-dong,Beon 1-dong
Beon 2(i)-dong,Beon 2-dong
Beon 3(sam)-dong,Beon 3-dong
Suyu 1(il)-dong,Suyu 1-dong
Suyu 2(i)-dong,Suyu 2-dong
Suyu 3(sam)-dong,Suyu 3-dong
Samyang-dong,Samyang-dong
Mia-dong,Mia-dong
Songjung-dong,Songjung-dong
Songcheon-dong,Songcheon-dong
Samgaksan-dong,Samgaksan-dong
Ui-dong,Ui-dong
Insu-dong,Insu-dong
Ssangmun 1(il)-dong,Ssangmun 1-dong
Ssangmun 2(i)-dong,Ssangmun 2-dong
Ssangmun 3(sam)-dong,Ssangmun 3-dong
Ssangmun 4(sa)-dong,Ssangmun 4-dong
Banghak 1(il)-dong,Banghak 1-dong
Banghak 2(i)-dong,Banghak 2-dong
Banghak 3(sam)-dong,Banghak 3-dong
Chang 1(il)-dong,Chang 1-dong
Chang 2(i)-dong,Chang 2-dong
Chang 3(sam)-dong,Chang 3-dong
Chang 4(sa)-dong,Chang 4-dong
Chang 5(o)-dong,Chang 5-dong
Dobong 1(il)-dong,Dobong 1-dong
Dobong 2(i)-dong,Dobong 2-dong
Wolgye 1(il)-dong,Wolgye 1-dong
Wolgye 2(i)-dong,Wolgye 2-dong
Wolgye 3(sam)-dong,Wolgye 3-dong
Gongneung 2(i)-dong,Gongneung 2-dong
Hagye 1(il)-dong,Hagye 1-dong
Hagye 2(i)-dong,Hagye 2-dong
Junggyebon-dong,Junggyebon-dong
Junggye 1(il)-dong,Junggye 1-dong
Junggye 4(sa)-dong,Junggye 4-dong
Sanggye 1(il)-dong,Sanggye 1-dong
Sanggye 2(i)-dong,Sanggye 2-dong
Sanggye 5(o)-dong,Sanggye 5-dong
Sanggye 8(pal)-dong,Sanggye 8-dong
Sanggye 9(gu)-dong,Sanggye 9-dong
Sanggye 10(sip)-dong,Sanggye 10-dong
Sanggye 3.4(sam.sa)-dong,Gongneung 1.3-dong
Sanggye 6.7(yuk.chil)-dong,Sanggye 3.4-dong
Junggye 2.3(i.sam)-dong,Sanggye 6.7-dong
Gongneung 1(il)-dong,Junggye 2.3-dong
Nokbeon-dong,Nokbeon-dong
Bulgwang 1(il)-dong,Bulgwang 1-dong
Galhyeon 1(il)-dong,Galhyeon 1-dong
Galhyeon 2(i)-dong,Galhyeon 2-dong
Gusan-dong,Gusan-dong
Daejo-dong,Daejo-dong
Eungam 1(il)-dong,Eungam 1-dong
Eungam 2(i)-dong,Eungam 2-dong
Sinsa 1(il)-dong,Sinsa 1-dong
Sinsa 2(i)-dong,Sinsa 2-dong
Jeungsan-dong,Jeungsan-dong
Susaek-dong,Susaek-dong
Jingwan-dong,Jingwan-dong
