Dong,사업_사업체현황산업대분류별_Autonomous Gu_Autonomous Gu_Autonomous Gu,사업_사업체현황산업대분류별_Total_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Total_No.of establishments_Woman representative,사업_사업체현황산업대분류별_Total_No. of wokers_Total,사업_사업체현황산업대분류별_Total_No. of wokers_Male,사업_사업체현황산업대분류별_Total_No. of wokers_Female,"사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Agriculture and Forestry, Fishery_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Mining_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Mining_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Manufacturing_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Manufacturing_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Electricity gas steam and watersupply_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Sewage·waste treatment, materials recycling and environment remediation_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Construction industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Construction industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Wholesale and Retail trade_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Wholesale and Retail trade_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Transport_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Transport_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Accomodations and Restaurants_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Accomodations and Restaurants_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Publishing, video, broadcasting, communications and information services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Finance and Insurance_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Finance and Insurance_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Real estate, Renting & leasing_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Real estate, Renting & leasing_No. of wokers_No. of wokers","사업_사업체현황산업대분류별_Professional, scientific and technical services_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Professional, scientific and technical services_No. of wokers_No. of wokers",사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Service Maintanance and project supporting service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Public administration and defense; compulsory social security_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Education_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Education_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Health and social welfare service industry_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Health and social welfare service industry_No. of wokers_No. of wokers,사업_사업체현황산업대분류별_Art sports and recreation related service_No.of establishments_No.of establishments,사업_사업체현황산업대분류별_Art sports and recreation related service_No. of wokers_No. of wokers,"사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No.of establishments_No.of establishments","사업_사업체현황산업대분류별_Other association and community, repair and personal service activities_No. of wokers_No. of wokers"
Bogwang-dong,Yongsan-gu,772.0,303.0,2091.0,1128.0,963.0,-,-,-,-,19.0,40.0,-,-,1,35,20.0,52.0,192.0,411.0,105.0,115.0,162.0,416.0,3,7,4,29,42.0,79.0,12,43,6,49,1,20,31.0,301.0,25.0,132.0,16.0,42.0,133.0,320.0
Cheongpa-dong,Yongsan-gu,1890.0,644.0,10019.0,4445.0,5574.0,-,-,-,-,388.0,1369.0,1,1,-,-,27.0,173.0,387.0,1096.0,128.0,282.0,412.0,1193.0,55,444,12,80,73.0,198.0,34,455,25,154,3,25,60.0,3147.0,37.0,581.0,34.0,107.0,214.0,714.0
Wonhyoro 1(il)-dong,Yongsan-gu,1725.0,489.0,8110.0,5388.0,2722.0,-,-,-,-,119.0,406.0,-,-,-,-,32.0,318.0,745.0,3363.0,86.0,230.0,284.0,844.0,67,316,6,48,79.0,342.0,71,699,20,307,3,417,28.0,279.0,32.0,192.0,39.0,84.0,114.0,265.0
Hangangno-dong,Yongsan-gu,4988.0,1234.0,33136.0,19926.0,13210.0,-,-,-,-,102.0,393.0,-,-,-,-,66.0,1149.0,3013.0,11746.0,104.0,1033.0,572.0,2221.0,143,2986,58,1186,204.0,1014.0,184,4681,94,3235,15,637,40.0,557.0,51.0,540.0,55.0,280.0,287.0,1478.0
Hannam-dong,Yongsan-gu,1660.0,611.0,15937.0,8562.0,7375.0,-,-,-,-,37.0,131.0,-,-,-,-,60.0,934.0,360.0,2449.0,113.0,245.0,456.0,3204.0,48,1722,21,169,122.0,363.0,102,2160,37,957,2,58,37.0,625.0,43.0,1888.0,54.0,329.0,168.0,703.0
Wangsimni 2(i)-dong,Seongdong-gu,746.0,254.0,1926.0,912.0,1014.0,-,-,-,-,139.0,449.0,-,-,-,-,17.0,23.0,136.0,279.0,105.0,112.0,82.0,186.0,5,18,5,48,58.0,190.0,14,48,7,25,2,22,35.0,169.0,25.0,153.0,25.0,47.0,91.0,157.0
Majang-dong,Seongdong-gu,3146.0,765.0,10974.0,7387.0,3587.0,-,-,-,-,310.0,1011.0,2,157,1,16,46.0,211.0,1553.0,4441.0,531.0,978.0,247.0,626.0,9,16,14,153,69.0,299.0,48,352,13,1040,5,309,52.0,374.0,44.0,395.0,34.0,129.0,168.0,467.0
Sageun-dong,Seongdong-gu,963.0,321.0,9219.0,4452.0,4767.0,-,-,-,-,40.0,144.0,-,-,2,5,6.0,17.0,150.0,438.0,79.0,143.0,393.0,1389.0,11,49,9,56,35.0,65.0,36,161,23,92,2,64,39.0,4271.0,12.0,1992.0,57.0,141.0,69.0,192.0
Haengdang 1(il)-dong,Seongdong-gu,1400.0,550.0,8526.0,4529.0,3997.0,-,-,-,-,80.0,216.0,2,158,-,-,18.0,256.0,467.0,1497.0,127.0,266.0,293.0,1302.0,14,328,14,114,51.0,195.0,25,625,11,39,5,2106,60.0,401.0,58.0,386.0,36.0,188.0,139.0,449.0
Haengdang 2(i)-dong,Seongdong-gu,571.0,237.0,2107.0,859.0,1248.0,-,-,-,-,15.0,40.0,-,-,-,-,19.0,46.0,124.0,346.0,93.0,101.0,64.0,261.0,1,2,5,51,39.0,166.0,9,22,5,31,2,49,69.0,585.0,38.0,192.0,8.0,28.0,80.0,187.0
Eungbong-dong,Seongdong-gu,384.0,127.0,1024.0,548.0,476.0,-,-,-,-,8.0,14.0,-,-,1,2,19.0,24.0,65.0,129.0,112.0,126.0,42.0,115.0,4,6,3,19,23.0,161.0,1,1,-,-,2,45,34.0,204.0,15.0,85.0,8.0,10.0,47.0,83.0
Geumho 1(il)-ga-dong,Seongdong-gu,571.0,199.0,1658.0,796.0,862.0,-,-,-,-,60.0,189.0,1,5,-,-,16.0,44.0,91.0,237.0,115.0,152.0,72.0,176.0,4,5,4,29,37.0,110.0,6,9,5,31,2,48,39.0,242.0,30.0,173.0,15.0,54.0,74.0,154.0
Geumho 4(sa)-ga-dong,Seongdong-gu,616.0,239.0,1963.0,1043.0,920.0,-,-,-,-,33.0,92.0,-,-,1,2,12.0,103.0,138.0,336.0,71.0,303.0,100.0,226.0,1,1,6,67,46.0,114.0,15,36,3,15,2,16,36.0,261.0,39.0,190.0,24.0,44.0,89.0,157.0
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,1336.0,323.0,6683.0,4304.0,2379.0,-,-,-,-,444.0,2117.0,1,89,-,-,29.0,341.0,276.0,1037.0,140.0,194.0,113.0,283.0,32,256,5,45,62.0,180.0,36,329,15,293,1,16,45.0,492.0,23.0,169.0,24.0,640.0,90.0,202.0
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,1946.0,458.0,12598.0,8205.0,4393.0,-,-,-,-,489.0,2636.0,-,-,6,63,62.0,550.0,405.0,2476.0,199.0,876.0,229.0,618.0,96,1173,9,124,90.0,355.0,81,935,16,1455,2,17,53.0,381.0,27.0,168.0,43.0,93.0,139.0,678.0
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,2351.0,646.0,14571.0,9193.0,5378.0,-,-,-,-,636.0,3863.0,-,-,-,-,49.0,530.0,561.0,2681.0,203.0,488.0,314.0,779.0,84,1455,8,244,71.0,203.0,86,950,28,1098,5,807,37.0,550.0,41.0,220.0,58.0,130.0,170.0,573.0
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,4690.0,1008.0,43517.0,28098.0,15419.0,-,-,-,-,1484.0,14815.0,-,-,3,9,141.0,1689.0,1072.0,6364.0,386.0,1927.0,394.0,1234.0,208,2295,35,642,161.0,1224.0,308,4059,71,5568,3,66,38.0,680.0,40.0,370.0,74.0,172.0,272.0,2403.0
Songjeong-dong,Seongdong-gu,712.0,201.0,2156.0,1319.0,837.0,-,-,-,-,125.0,369.0,-,-,2,6,36.0,238.0,149.0,412.0,115.0,150.0,79.0,172.0,2,9,2,3,23.0,33.0,56,208,6,15,2,48,17.0,118.0,11.0,123.0,7.0,8.0,80.0,244.0
Yongdap-dong,Seongdong-gu,2050.0,535.0,13485.0,8552.0,4933.0,-,-,1,2,174.0,1158.0,3,346,6,289,36.0,391.0,740.0,2590.0,159.0,1830.0,258.0,708.0,25,87,132,616,78.0,221.0,41,494,34,3241,2,42,35.0,198.0,44.0,385.0,42.0,122.0,240.0,765.0
WangsimniDoseon-dong,Seongdong-gu,1588.0,497.0,8254.0,4301.0,3953.0,-,-,-,-,285.0,1223.0,1,1,1,4,40.0,416.0,403.0,1420.0,80.0,179.0,300.0,802.0,26,111,28,788,84.0,405.0,54,256,22,1006,3,61,44.0,388.0,56.0,834.0,40.0,64.0,121.0,296.0
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,974.0,413.0,2422.0,1054.0,1368.0,-,-,-,-,94.0,320.0,-,-,-,-,13.0,31.0,198.0,382.0,146.0,186.0,206.0,441.0,1,6,9,59,57.0,109.0,3,17,4,49,2,46,45.0,173.0,45.0,309.0,21.0,79.0,130.0,215.0
Oksu-dong,Seongdong-gu,759.0,317.0,2720.0,1272.0,1448.0,-,-,-,-,39.0,167.0,-,-,1,3,37.0,121.0,127.0,404.0,76.0,102.0,125.0,416.0,7,34,7,52,72.0,221.0,20,77,3,8,2,45,67.0,543.0,34.0,194.0,25.0,92.0,117.0,241.0
Hwayang-dong,Gwangjin-gu,2456.0,888.0,14197.0,7337.0,6860.0,-,-,-,-,79.0,344.0,-,-,1,18,33.0,210.0,466.0,1448.0,100.0,221.0,933.0,3720.0,47,240,12,98,111.0,308.0,66,224,52,343,2,85,83.0,3261.0,61.0,2573.0,154.0,361.0,256.0,743.0
Gunja-dong,Gwangjin-gu,1572.0,551.0,7832.0,4276.0,3556.0,-,-,-,-,135.0,460.0,-,-,1,3,40.0,134.0,372.0,1294.0,133.0,470.0,339.0,1090.0,43,251,15,220,61.0,143.0,41,197,26,354,2,30,66.0,2202.0,58.0,461.0,59.0,134.0,181.0,389.0
Junggok 1(il)-dong,Gwangjin-gu,1601.0,553.0,6943.0,3973.0,2970.0,-,-,-,-,280.0,1799.0,-,-,1,2,46.0,365.0,424.0,1268.0,171.0,338.0,276.0,576.0,13,65,11,103,59.0,102.0,29,275,17,1177,2,44,34.0,98.0,39.0,243.0,44.0,82.0,155.0,406.0
Junggok 2(i)-dong,Gwangjin-gu,1748.0,639.0,5699.0,2711.0,2988.0,-,-,-,-,212.0,992.0,-,-,1,16,55.0,274.0,422.0,1261.0,193.0,267.0,239.0,580.0,25,128,13,112,78.0,146.0,48,242,34,242,3,59,77.0,320.0,71.0,591.0,57.0,100.0,220.0,369.0
Junggok 3(sam)-dong,Gwangjin-gu,1359.0,522.0,4778.0,2582.0,2196.0,-,-,-,-,246.0,965.0,-,-,-,-,41.0,490.0,272.0,694.0,180.0,435.0,234.0,538.0,4,15,2,18,42.0,58.0,16,48,5,98,1,13,46.0,242.0,49.0,672.0,49.0,135.0,172.0,357.0
Junggok 4(sa)-dong,Gwangjin-gu,1572.0,539.0,4959.0,2800.0,2159.0,-,-,-,-,201.0,796.0,-,-,1,23,44.0,629.0,365.0,819.0,302.0,355.0,206.0,440.0,4,11,7,80,45.0,73.0,10,53,12,24,3,79,71.0,686.0,59.0,375.0,58.0,134.0,184.0,382.0
Neung-dong,Gwangjin-gu,698.0,224.0,4466.0,2175.0,2291.0,-,-,-,-,33.0,148.0,-,-,-,-,21.0,152.0,200.0,1279.0,65.0,124.0,122.0,514.0,19,146,10,428,31.0,69.0,22,151,9,83,3,68,25.0,449.0,25.0,255.0,46.0,423.0,67.0,177.0
Guui 1(il)-dong,Gwangjin-gu,1838.0,645.0,6361.0,3741.0,2620.0,-,-,-,-,96.0,296.0,-,-,-,-,75.0,619.0,373.0,1036.0,131.0,295.0,394.0,970.0,40,175,13,110,94.0,181.0,177,629,34,564,3,354,60.0,365.0,45.0,262.0,91.0,157.0,212.0,348.0
Guui 2(i)-dong,Gwangjin-gu,1314.0,421.0,5211.0,2977.0,2234.0,-,-,-,-,89.0,512.0,1,94,-,-,37.0,325.0,299.0,1014.0,241.0,467.0,210.0,558.0,14,113,11,269,54.0,140.0,18,333,8,37,1,17,67.0,415.0,54.0,524.0,40.0,82.0,170.0,311.0
Guui 3(sam)-dong,Gwangjin-gu,2596.0,845.0,19699.0,13156.0,6543.0,-,-,-,-,50.0,408.0,-,-,2,6,73.0,5006.0,1093.0,3062.0,148.0,770.0,366.0,1453.0,45,1041,26,255,128.0,611.0,85,2374,50,2194,1,18,155.0,922.0,76.0,488.0,75.0,236.0,223.0,855.0
Gwangjang-dong,Gwangjin-gu,1361.0,521.0,10953.0,6030.0,4923.0,-,-,-,-,47.0,261.0,1,8,2,30,75.0,654.0,365.0,1318.0,73.0,146.0,221.0,2937.0,31,176,24,754,94.0,495.0,52,377,27,274,2,75,108.0,1449.0,58.0,352.0,38.0,1304.0,143.0,343.0
Jayang 1(il)-dong,Gwangjin-gu,1694.0,619.0,8364.0,5018.0,3346.0,-,-,-,-,100.0,387.0,1,12,1,26,67.0,406.0,472.0,1062.0,170.0,1561.0,249.0,607.0,25,92,13,222,83.0,168.0,56,318,30,578,3,1065,69.0,420.0,74.0,905.0,54.0,107.0,227.0,428.0
Jayang 2(i)-dong,Gwangjin-gu,1517.0,469.0,7311.0,4263.0,3048.0,-,-,-,-,93.0,435.0,-,-,3,4,83.0,423.0,289.0,887.0,243.0,409.0,204.0,534.0,27,1116,16,366,77.0,221.0,57,306,18,289,4,728,92.0,784.0,52.0,318.0,52.0,129.0,207.0,362.0
Jayang 3(sam)-dong,Gwangjin-gu,1317.0,508.0,6244.0,3137.0,3107.0,-,-,-,-,51.0,152.0,-,-,-,-,22.0,163.0,283.0,1430.0,232.0,652.0,218.0,1018.0,12,200,15,160,95.0,429.0,25,130,11,232,2,37,117.0,683.0,44.0,435.0,39.0,102.0,151.0,421.0
Jayang 4(sa)-dong,Gwangjin-gu,2033.0,762.0,6948.0,4010.0,2938.0,-,-,-,-,183.0,657.0,-,-,-,-,58.0,476.0,541.0,1155.0,205.0,1085.0,401.0,1075.0,13,23,14,62,81.0,199.0,39,203,35,236,4,74,62.0,301.0,66.0,677.0,98.0,213.0,233.0,512.0
Hoegi-dong,Dongdaemun-gu,990.0,409.0,10029.0,4817.0,5212.0,-,-,-,-,25.0,53.0,-,-,-,-,12.0,26.0,224.0,632.0,51.0,87.0,402.0,1445.0,16,269,11,75,28.0,59.0,12,290,17,31,2,18,51.0,3901.0,17.0,2810.0,51.0,108.0,71.0,225.0
Hwigyeong 1(il)-dong,Dongdaemun-gu,1041.0,367.0,3869.0,1927.0,1942.0,-,-,-,-,70.0,215.0,-,-,1,3,19.0,57.0,285.0,1098.0,101.0,137.0,236.0,700.0,11,23,5,35,46.0,163.0,14,49,16,632,1,14,42.0,136.0,32.0,186.0,35.0,102.0,127.0,319.0
Hwigyeong 2(i)-dong,Dongdaemun-gu,1092.0,277.0,4462.0,2137.0,2325.0,-,-,-,-,40.0,262.0,-,-,1,3,22.0,52.0,157.0,553.0,489.0,509.0,110.0,248.0,3,3,3,17,42.0,151.0,4,14,9,30,6,199,55.0,989.0,41.0,1234.0,18.0,45.0,92.0,153.0
Cheongnyangni-dong,Dongdaemun-gu,1687.0,629.0,8301.0,4555.0,3746.0,-,-,-,-,78.0,184.0,-,-,2,10,39.0,97.0,454.0,970.0,170.0,184.0,345.0,875.0,13,101,25,645,59.0,196.0,75,1486,23,112,5,1066,59.0,931.0,77.0,902.0,65.0,196.0,198.0,346.0
Yongsin-dong,Dongdaemun-gu,5504.0,1691.0,27882.0,16050.0,11832.0,-,-,-,-,831.0,2854.0,1,1,3,9,135.0,1180.0,2345.0,6967.0,235.0,596.0,723.0,1698.0,80,477,101,1893,209.0,566.0,142,3350,75,2799,8,1371,79.0,1357.0,85.0,1345.0,78.0,513.0,374.0,906.0
Jegi-dong,Dongdaemun-gu,4697.0,1661.0,11249.0,6174.0,5075.0,-,-,-,-,322.0,682.0,-,-,-,-,55.0,154.0,2820.0,5601.0,177.0,256.0,589.0,1151.0,15,103,29,430,122.0,335.0,48,420,29,276,3,83,55.0,433.0,150.0,767.0,30.0,59.0,253.0,499.0
Jeonnong 1(il)-dong,Dongdaemun-gu,2244.0,849.0,7761.0,3798.0,3963.0,-,-,-,-,130.0,375.0,-,-,3,12,55.0,154.0,749.0,2342.0,253.0,693.0,479.0,1608.0,12,87,11,113,86.0,138.0,25,85,16,43,4,51,66.0,335.0,52.0,1036.0,62.0,154.0,241.0,535.0
Jeonnong 2(i)-dong,Dongdaemun-gu,845.0,311.0,4362.0,1954.0,2408.0,-,-,-,-,44.0,152.0,-,-,-,-,16.0,40.0,163.0,422.0,184.0,185.0,120.0,383.0,3,8,5,42,27.0,105.0,29,157,2,3,2,149,71.0,2213.0,42.0,221.0,32.0,77.0,105.0,205.0
Dapsimni 1(il)-dong,Dongdaemun-gu,2095.0,551.0,10111.0,6323.0,3788.0,-,-,1,2,128.0,524.0,-,-,-,-,59.0,2414.0,685.0,1682.0,438.0,1578.0,249.0,638.0,9,38,25,245,104.0,298.0,35,249,33,580,3,62,56.0,380.0,60.0,892.0,47.0,89.0,163.0,440.0
Dapsimni 2(i)-dong,Dongdaemun-gu,2003.0,516.0,5735.0,3479.0,2256.0,-,-,-,-,153.0,482.0,-,-,-,-,54.0,234.0,811.0,2201.0,329.0,462.0,183.0,425.0,11,22,6,39,64.0,513.0,16,44,7,13,2,20,62.0,257.0,62.0,423.0,47.0,127.0,196.0,473.0
Jangan 1(il)-dong,Dongdaemun-gu,4376.0,1271.0,20752.0,11494.0,9258.0,-,-,-,-,789.0,3657.0,-,-,2,5,123.0,1256.0,1419.0,5157.0,415.0,1002.0,553.0,1586.0,43,668,59,1053,150.0,899.0,93,615,42,1657,9,251,71.0,852.0,94.0,949.0,87.0,277.0,427.0,868.0
Jangan 2(i)-dong,Dongdaemun-gu,3190.0,1130.0,10088.0,4930.0,5158.0,-,-,-,-,430.0,1991.0,-,-,3,59,61.0,206.0,879.0,2491.0,438.0,761.0,544.0,1666.0,13,58,13,90,108.0,180.0,32,89,19,72,2,53,146.0,882.0,102.0,785.0,109.0,198.0,291.0,507.0
Imun 1(il)-dong,Dongdaemun-gu,1476.0,594.0,5316.0,2778.0,2538.0,-,-,-,-,41.0,109.0,-,-,1,2,48.0,133.0,303.0,769.0,171.0,173.0,422.0,1148.0,6,26,8,73,68.0,115.0,11,40,15,30,3,61,64.0,1854.0,58.0,279.0,64.0,151.0,193.0,353.0
Imun 2(i)-dong,Dongdaemun-gu,732.0,276.0,2183.0,1291.0,892.0,-,-,-,-,27.0,126.0,-,-,1,32,20.0,81.0,124.0,279.0,184.0,580.0,129.0,279.0,2,2,3,10,49.0,108.0,2,2,3,17,2,55,48.0,223.0,36.0,208.0,14.0,23.0,88.0,158.0
Myeonmok 2(i)-dong,Jungnang-gu,2018.0,645.0,6140.0,3511.0,2629.0,-,-,-,-,433.0,1813.0,-,-,-,-,88.0,262.0,445.0,1092.0,339.0,941.0,227.0,455.0,12,86,2,15,69.0,153.0,24,74,7,20,2,56,64.0,322.0,50.0,338.0,43.0,83.0,213.0,430.0
Myeonmok 4(sa)-dong,Jungnang-gu,1058.0,395.0,3407.0,1908.0,1499.0,-,-,-,-,138.0,646.0,-,-,1,2,41.0,176.0,178.0,431.0,232.0,756.0,145.0,276.0,4,9,3,7,49.0,116.0,13,36,4,33,4,71,50.0,321.0,29.0,192.0,30.0,120.0,137.0,215.0
Myeonmok 5(o)-dong,Jungnang-gu,1002.0,284.0,3740.0,2242.0,1498.0,-,-,-,-,223.0,1072.0,-,-,3,23,54.0,205.0,234.0,822.0,170.0,678.0,107.0,228.0,3,6,3,25,22.0,44.0,7,17,11,72,2,67,7.0,41.0,19.0,173.0,24.0,50.0,113.0,217.0
Myeonmok 7(chil)-dong,Jungnang-gu,1507.0,534.0,4122.0,1989.0,2133.0,-,-,-,-,217.0,1024.0,-,-,1,8,39.0,127.0,351.0,765.0,264.0,420.0,223.0,524.0,2,9,10,75,70.0,145.0,16,65,5,15,2,17,34.0,172.0,54.0,278.0,46.0,134.0,173.0,344.0
Sangbong 1(il)-dong,Jungnang-gu,1100.0,365.0,6159.0,3186.0,2973.0,-,-,-,-,87.0,583.0,-,-,-,-,30.0,119.0,265.0,1079.0,272.0,1258.0,110.0,569.0,8,270,19,532,49.0,221.0,11,66,12,60,1,20,51.0,737.0,42.0,291.0,24.0,58.0,119.0,296.0
Sangbong 2(i)-dong,Jungnang-gu,2164.0,778.0,9971.0,5491.0,4480.0,-,-,-,-,254.0,1101.0,-,-,2,28,52.0,221.0,484.0,2236.0,155.0,475.0,563.0,1543.0,26,170,28,474,70.0,878.0,34,302,30,722,2,16,29.0,344.0,58.0,505.0,165.0,557.0,212.0,399.0
Junghwa 1(il)-dong,Jungnang-gu,1100.0,358.0,3655.0,1738.0,1917.0,-,-,-,-,108.0,535.0,1,24,2,4,45.0,314.0,221.0,611.0,248.0,290.0,99.0,203.0,6,154,3,28,51.0,120.0,16,55,10,42,2,16,80.0,627.0,43.0,344.0,15.0,27.0,150.0,261.0
Junghwa 2(i)-dong,Jungnang-gu,2286.0,834.0,6673.0,3534.0,3139.0,-,-,1,3,276.0,1040.0,-,-,4,27,67.0,323.0,572.0,1330.0,344.0,638.0,429.0,1115.0,15,61,15,144,72.0,152.0,36,215,23,296,3,103,28.0,93.0,59.0,335.0,81.0,197.0,261.0,601.0
Muk 1(il)-dong,Jungnang-gu,1503.0,501.0,5870.0,3147.0,2723.0,-,-,-,-,61.0,347.0,1,85,-,-,46.0,710.0,317.0,1095.0,371.0,385.0,229.0,743.0,11,44,11,98,85.0,227.0,17,112,17,160,2,52,62.0,638.0,61.0,447.0,47.0,240.0,165.0,487.0
Muk 2(i)-dong,Jungnang-gu,1752.0,521.0,5333.0,3058.0,2275.0,-,-,1,1,156.0,694.0,-,-,-,-,63.0,266.0,350.0,929.0,530.0,534.0,239.0,554.0,5,48,5,36,53.0,167.0,22,57,15,203,3,771,42.0,282.0,41.0,253.0,48.0,126.0,179.0,412.0
Mangu 3(sam)-dong,Jungnang-gu,1072.0,365.0,3543.0,1849.0,1694.0,-,-,-,-,212.0,1134.0,-,-,-,-,51.0,183.0,185.0,408.0,239.0,505.0,131.0,276.0,1,5,2,16,29.0,46.0,5,44,10,93,1,20,45.0,380.0,26.0,207.0,18.0,60.0,117.0,166.0
Sinnae 1(il)-dong,Jungnang-gu,1574.0,466.0,7895.0,4561.0,3334.0,-,-,-,-,95.0,351.0,-,-,2,59,45.0,306.0,255.0,856.0,486.0,2007.0,204.0,631.0,9,103,10,76,66.0,257.0,15,56,5,275,1,21,103.0,412.0,65.0,1993.0,48.0,126.0,165.0,366.0
Sinnae 2(i)-dong,Jungnang-gu,1074.0,402.0,5172.0,2601.0,2571.0,-,-,-,-,12.0,21.0,-,-,-,-,14.0,46.0,206.0,554.0,340.0,382.0,115.0,417.0,4,51,3,35,45.0,178.0,25,66,9,25,7,1905,93.0,660.0,68.0,566.0,22.0,62.0,111.0,204.0
Myeonmokbon-dong,Jungnang-gu,2454.0,945.0,6842.0,3151.0,3691.0,-,-,-,-,427.0,1877.0,-,-,1,3,75.0,251.0,573.0,1213.0,330.0,552.0,398.0,919.0,4,20,13,80,93.0,146.0,21,71,21,91,3,60,68.0,424.0,76.0,516.0,64.0,143.0,287.0,476.0
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,3043.0,789.0,7685.0,4319.0,3366.0,-,-,-,-,272.0,1049.0,-,-,1,5,44.0,106.0,435.0,982.0,1296.0,1713.0,425.0,967.0,8,23,8,85,73.0,161.0,17,52,15,36,2,19,64.0,1228.0,53.0,680.0,102.0,183.0,228.0,396.0
Mangubon-dong,Jungnang-gu,2783.0,970.0,9831.0,4933.0,4898.0,-,-,-,-,319.0,1354.0,-,-,3,73,94.0,334.0,695.0,1893.0,464.0,1084.0,477.0,1035.0,12,44,21,205,87.0,226.0,35,119,30,174,4,108,78.0,939.0,94.0,1255.0,88.0,411.0,282.0,577.0
Donam 1(il)-dong,Seongbuk_gu,382.0,122.0,1383.0,618.0,765.0,-,-,-,-,13.0,22.0,-,-,-,-,12.0,37.0,69.0,140.0,99.0,101.0,28.0,88.0,-,-,3,10,30.0,86.0,3,9,1,9,1,14,42.0,643.0,17.0,117.0,8.0,17.0,56.0,90.0
Donam 2(i)-dong,Seongbuk_gu,363.0,146.0,1716.0,589.0,1127.0,-,-,-,-,4.0,6.0,-,-,-,-,10.0,23.0,52.0,132.0,77.0,77.0,29.0,55.0,2,2,6,46,32.0,107.0,2,8,1,560,2,58,52.0,359.0,21.0,122.0,8.0,42.0,65.0,119.0
Anam-dong,Seongbuk_gu,1329.0,434.0,13134.0,7692.0,5442.0,-,-,-,-,71.0,282.0,-,-,-,-,33.0,140.0,265.0,1313.0,84.0,144.0,438.0,1753.0,27,315,10,69,50.0,127.0,42,301,29,195,1,14,49.0,5378.0,34.0,2566.0,64.0,165.0,132.0,372.0
Bomun-dong,Seongbuk_gu,1239.0,366.0,4121.0,2285.0,1836.0,-,-,-,-,159.0,449.0,1,1,1,17,30.0,227.0,283.0,864.0,262.0,360.0,162.0,339.0,15,79,8,73,55.0,115.0,29,124,9,289,5,117,30.0,317.0,33.0,349.0,20.0,52.0,137.0,349.0
Jeongneung 1(il)-dong,Seongbuk_gu,787.0,270.0,1937.0,983.0,954.0,-,-,-,-,57.0,159.0,-,-,1,5,22.0,73.0,134.0,298.0,177.0,193.0,112.0,257.0,3,3,4,27,43.0,117.0,7,24,5,15,3,52,62.0,151.0,33.0,373.0,18.0,40.0,106.0,150.0
Jeongneung 2(i)-dong,Seongbuk_gu,957.0,327.0,2832.0,1555.0,1277.0,-,-,-,-,50.0,109.0,-,-,-,-,22.0,156.0,175.0,542.0,236.0,420.0,132.0,350.0,5,10,5,56,53.0,111.0,6,13,4,26,2,34,60.0,274.0,47.0,420.0,35.0,95.0,125.0,216.0
Jeongneung 3(sam)-dong,Seongbuk_gu,674.0,243.0,4343.0,2487.0,1856.0,-,-,-,-,31.0,115.0,-,-,-,-,16.0,27.0,122.0,279.0,138.0,380.0,149.0,419.0,5,21,2,15,14.0,30.0,12,31,5,80,2,20,40.0,2456.0,18.0,163.0,19.0,44.0,101.0,263.0
