Dong,사업_사업체창업률_Period,사업_사업체창업률_Gu,사업_사업체창업률_No. of establishments,사업_사업체창업률_No. of employee,사업_사업체창업률_Average worker,사업_사업체창업률_Rate of establishing a business
Guui 3(sam)-dong,2013.0,Gwangjin-gu,2596.0,19699.0,8.0,13.6
Gwangjang-dong,2013.0,Gwangjin-gu,1361.0,10953.0,8.0,15.72
Jayang 1(il)-dong,2013.0,Gwangjin-gu,1694.0,8364.0,5.0,14.52
Jayang 2(i)-dong,2013.0,Gwangjin-gu,1517.0,7311.0,5.0,11.54
Jayang 3(sam)-dong,2013.0,Gwangjin-gu,1317.0,6244.0,5.0,12.53
Jayang 4(sa)-dong,2013.0,Gwangjin-gu,2033.0,6948.0,3.0,14.02
Hoegi-dong,2013.0,Dongdaemun-gu,990.0,10029.0,10.0,17.88
Hwigyeong 1(il)-dong,2013.0,Dongdaemun-gu,1041.0,3869.0,4.0,14.99
Hwigyeong 2(i)-dong,2013.0,Dongdaemun-gu,1092.0,4462.0,4.0,10.9
Cheongnyangni-dong,2013.0,Dongdaemun-gu,1687.0,8301.0,5.0,10.97
Yongsin-dong,2013.0,Dongdaemun-gu,5504.0,27882.0,5.0,12.25
Jegi-dong,2013.0,Dongdaemun-gu,4697.0,11249.0,2.0,9.33
Jeonnong 1(il)-dong,2013.0,Dongdaemun-gu,2244.0,7761.0,3.0,18.05
Jeonnong 2(i)-dong,2013.0,Dongdaemun-gu,845.0,4362.0,5.0,11.83
Dapsimni 1(il)-dong,2013.0,Dongdaemun-gu,2095.0,10111.0,5.0,10.64
Dapsimni 2(i)-dong,2013.0,Dongdaemun-gu,2003.0,5735.0,3.0,11.58
Jangan 1(il)-dong,2013.0,Dongdaemun-gu,4376.0,20752.0,5.0,12.43
Jangan 2(i)-dong,2013.0,Dongdaemun-gu,3190.0,10088.0,3.0,13.73
Imun 1(il)-dong,2013.0,Dongdaemun-gu,1476.0,5316.0,4.0,14.63
Imun 2(i)-dong,2013.0,Dongdaemun-gu,732.0,2183.0,3.0,11.75
Myeonmok 2(i)-dong,2013.0,Jungnang-gu,2018.0,6140.0,3.0,12.04
Myeonmok 4(sa)-dong,2013.0,Jungnang-gu,1058.0,3407.0,3.0,11.34
Myeonmok 5(o)-dong,2013.0,Jungnang-gu,1002.0,3740.0,4.0,14.77
Myeonmok 7(chil)-dong,2013.0,Jungnang-gu,1507.0,4122.0,3.0,12.01
Sangbong 1(il)-dong,2013.0,Jungnang-gu,1100.0,6159.0,6.0,20.45
Sangbong 2(i)-dong,2013.0,Jungnang-gu,2164.0,9971.0,5.0,14.56
Junghwa 1(il)-dong,2013.0,Jungnang-gu,1100.0,3655.0,3.0,12.09
Junghwa 2(i)-dong,2013.0,Jungnang-gu,2286.0,6673.0,3.0,13.78
Muk 1(il)-dong,2013.0,Jungnang-gu,1503.0,5870.0,4.0,13.77
Muk 2(i)-dong,2013.0,Jungnang-gu,1752.0,5333.0,3.0,13.81
Mangu 3(sam)-dong,2013.0,Jungnang-gu,1072.0,3543.0,3.0,13.25
Sinnae 1(il)-dong,2013.0,Jungnang-gu,1574.0,7895.0,5.0,12.96
Sinnae 2(i)-dong,2013.0,Jungnang-gu,1074.0,5172.0,5.0,10.71
Myeonmokbon-dong,2013.0,Jungnang-gu,2454.0,6842.0,3.0,13.81
Myeonmok 3.8(sam.pal)-dong,2013.0,Jungnang-gu,3043.0,7685.0,3.0,10.52
Mangubon-dong,2013.0,Jungnang-gu,2783.0,9831.0,4.0,12.25
Donam 1(il)-dong,2013.0,Seongbuk_gu,382.0,1383.0,4.0,12.04
Donam 2(i)-dong,2013.0,Seongbuk_gu,363.0,1716.0,5.0,9.09
Anam-dong,2013.0,Seongbuk_gu,1329.0,13134.0,10.0,13.77
Bomun-dong,2013.0,Seongbuk_gu,1239.0,4121.0,3.0,11.46
Jeongneung 1(il)-dong,2013.0,Seongbuk_gu,787.0,1937.0,2.0,12.33
Jeongneung 2(i)-dong,2013.0,Seongbuk_gu,957.0,2832.0,3.0,15.67
Jeongneung 3(sam)-dong,2013.0,Seongbuk_gu,674.0,4343.0,6.0,11.28
Jeongneung 4(sa)-dong,2013.0,Seongbuk_gu,871.0,3870.0,4.0,12.97
Gireum 1(il)-dong,2013.0,Seongbuk_gu,1151.0,3619.0,3.0,13.47
Gireum 2(i)-dong,2013.0,Seongbuk_gu,1116.0,4612.0,4.0,15.23
Wolgok 1(il)-dong,2013.0,Seongbuk_gu,1192.0,4899.0,4.0,12.67
Wolgok 2(i)-dong,2013.0,Seongbuk_gu,1798.0,8745.0,5.0,15.24
Jangwi 1(il)-dong,2013.0,Seongbuk_gu,1131.0,2838.0,3.0,13.88
Jangwi 2(i)-dong,2013.0,Seongbuk_gu,1663.0,5078.0,3.0,11.91
Jangwi 3(sam)-dong,2013.0,Seongbuk_gu,1212.0,4452.0,4.0,10.4
Seongbuk-dong,2013.0,Seongbuk_gu,1021.0,5115.0,5.0,9.5
Samseon-dong,2013.0,Seongbuk_gu,1866.0,9510.0,5.0,14.42
Dongseon-dong,2013.0,Seongbuk_gu,1974.0,10170.0,5.0,16.67
Jongam-dong,2013.0,Seongbuk_gu,2093.0,7550.0,4.0,12.23
Seokgwan-dong,2013.0,Seongbuk_gu,2255.0,8217.0,4.0,12.68
Beon 1(il)-dong,2013.0,Gangbuk-gu,1693.0,8783.0,5.0,15.18
Beon 2(i)-dong,2013.0,Gangbuk-gu,653.0,3128.0,5.0,11.03
Beon 3(sam)-dong,2013.0,Gangbuk-gu,831.0,2556.0,3.0,8.78
Suyu 1(il)-dong,2013.0,Gangbuk-gu,1578.0,5125.0,3.0,13.5
Suyu 2(i)-dong,2013.0,Gangbuk-gu,1365.0,4357.0,3.0,12.75
Suyu 3(sam)-dong,2013.0,Gangbuk-gu,2379.0,8413.0,4.0,15.3
Samyang-dong,2013.0,Gangbuk-gu,1228.0,3331.0,3.0,13.03
Mia-dong,2013.0,Gangbuk-gu,1967.0,6580.0,3.0,14.13
Songjung-dong,2013.0,Gangbuk-gu,2009.0,8463.0,4.0,15.08
Songcheon-dong,2013.0,Gangbuk-gu,2268.0,7272.0,3.0,16.01
Samgaksan-dong,2013.0,Gangbuk-gu,714.0,2190.0,3.0,14.57
Ui-dong,2013.0,Gangbuk-gu,994.0,3478.0,3.0,12.58
Insu-dong,2013.0,Gangbuk-gu,1569.0,5792.0,4.0,12.17
Ssangmun 1(il)-dong,2013.0,Dobong-gu,911.0,3803.0,4.0,10.98
Ssangmun 2(i)-dong,2013.0,Dobong-gu,1227.0,4299.0,4.0,15.08
Ssangmun 3(sam)-dong,2013.0,Dobong-gu,897.0,3182.0,4.0,14.38
Ssangmun 4(sa)-dong,2013.0,Dobong-gu,594.0,1933.0,3.0,10.94
Banghak 1(il)-dong,2013.0,Dobong-gu,2278.0,9931.0,4.0,18.88
Banghak 2(i)-dong,2013.0,Dobong-gu,1289.0,2837.0,2.0,13.5
Banghak 3(sam)-dong,2013.0,Dobong-gu,888.0,3161.0,4.0,12.39
Chang 1(il)-dong,2013.0,Dobong-gu,1078.0,3390.0,3.0,13.45
Chang 2(i)-dong,2013.0,Dobong-gu,1331.0,4447.0,3.0,15.7
Chang 3(sam)-dong,2013.0,Dobong-gu,964.0,1939.0,2.0,14.83
Chang 4(sa)-dong,2013.0,Dobong-gu,1140.0,6738.0,6.0,15.18
Chang 5(o)-dong,2013.0,Dobong-gu,2062.0,6654.0,3.0,11.06
Dobong 1(il)-dong,2013.0,Dobong-gu,1660.0,5496.0,3.0,13.01
Dobong 2(i)-dong,2013.0,Dobong-gu,1394.0,6126.0,4.0,15.28
Wolgye 1(il)-dong,2013.0,Nowon-gu,1379.0,5506.0,4.0,13.85
Wolgye 2(i)-dong,2013.0,Nowon-gu,1047.0,3592.0,3.0,9.93
Wolgye 3(sam)-dong,2013.0,Nowon-gu,950.0,3746.0,4.0,7.47
Gongneung 2(i)-dong,2013.0,Nowon-gu,1813.0,10912.0,6.0,10.98
Hagye 1(il)-dong,2013.0,Nowon-gu,914.0,6791.0,7.0,10.83
Hagye 2(i)-dong,2013.0,Nowon-gu,380.0,1064.0,3.0,6.05
Junggyebon-dong,2013.0,Nowon-gu,1158.0,5241.0,5.0,12.87
Junggye 1(il)-dong,2013.0,Nowon-gu,910.0,4012.0,4.0,10.11
Junggye 4(sa)-dong,2013.0,Nowon-gu,1002.0,3711.0,4.0,12.57
Sanggye 1(il)-dong,2013.0,Nowon-gu,2827.0,7954.0,3.0,7.43
Sanggye 2(i)-dong,2013.0,Nowon-gu,2176.0,8370.0,4.0,15.72
Sanggye 5(o)-dong,2013.0,Nowon-gu,1349.0,3319.0,2.0,14.31
Sanggye 8(pal)-dong,2013.0,Nowon-gu,600.0,1885.0,3.0,7.5
Sanggye 9(gu)-dong,2013.0,Nowon-gu,730.0,2360.0,3.0,8.22
Sanggye 10(sip)-dong,2013.0,Nowon-gu,484.0,2139.0,4.0,14.26
Sanggye 3.4(sam.sa)-dong,2013.0,Nowon-gu,1699.0,4773.0,3.0,11.12
Sanggye 6.7(yuk.chil)-dong,2013.0,Nowon-gu,1939.0,14042.0,7.0,11.86
Junggye 2.3(i.sam)-dong,2013.0,Nowon-gu,1233.0,4835.0,4.0,14.6
Gongneung 1(il)-dong,2013.0,Nowon-gu,2583.0,10273.0,4.0,12.5
Nokbeon-dong,2013.0,Eunpyeong-gu,1564.0,8097.0,5.0,11.38
Bulgwang 1(il)-dong,2013.0,Eunpyeong-gu,1672.0,6914.0,4.0,14.71
Galhyeon 1(il)-dong,2013.0,Eunpyeong-gu,1461.0,5136.0,4.0,14.31
Galhyeon 2(i)-dong,2013.0,Eunpyeong-gu,1561.0,5495.0,4.0,15.7
Gusan-dong,2013.0,Eunpyeong-gu,1181.0,5389.0,5.0,9.99
Daejo-dong,2013.0,Eunpyeong-gu,2566.0,7174.0,3.0,14.19
Eungam 1(il)-dong,2013.0,Eunpyeong-gu,1615.0,7074.0,4.0,10.77
Eungam 2(i)-dong,2013.0,Eunpyeong-gu,944.0,2214.0,2.0,10.28
Sinsa 1(il)-dong,2013.0,Eunpyeong-gu,1559.0,3927.0,3.0,8.6
Sinsa 2(i)-dong,2013.0,Eunpyeong-gu,1216.0,2933.0,2.0,7.15
Jeungsan-dong,2013.0,Eunpyeong-gu,1108.0,3825.0,3.0,11.82
Susaek-dong,2013.0,Eunpyeong-gu,848.0,3003.0,4.0,6.6
Jingwan-dong,2013.0,Eunpyeong-gu,1007.0,5234.0,5.0,19.86
Bulgwang 2(i)-dong,2013.0,Eunpyeong-gu,1295.0,4088.0,3.0,9.96
Eungam 3(sam)-dong,2013.0,Eunpyeong-gu,1909.0,5272.0,3.0,13.2
Yeokchon-dong,2013.0,Eunpyeong-gu,2447.0,7428.0,3.0,13.36
Cheonyeon-dong,2013.0,Seodaemun-gu,809.0,2475.0,3.0,14.83
Hongje 1(il)-dong,2013.0,Seodaemun-gu,1132.0,4016.0,4.0,14.22
Hongje 3(sam)-dong,2013.0,Seodaemun-gu,1271.0,3848.0,3.0,11.25
Hongje 2(i)-dong,2013.0,Seodaemun-gu,592.0,1666.0,3.0,13.34
Hongeun 1(il)-dong,2013.0,Seodaemun-gu,1029.0,2398.0,2.0,11.47
Hongeun 2(i)-dong,2013.0,Seodaemun-gu,1148.0,5636.0,5.0,13.68
Namgajwa 1(il)-dong,2013.0,Seodaemun-gu,640.0,1253.0,2.0,7.5
Namgajwa 2(i)-dong,2013.0,Seodaemun-gu,1554.0,4268.0,3.0,15.06
Bukgajwa 1(il)-dong,2013.0,Seodaemun-gu,504.0,2025.0,4.0,17.46
Bukgajwa 2(i)-dong,2013.0,Seodaemun-gu,2261.0,6294.0,3.0,10.53
Chunghyeon-dong,2013.0,Seodaemun-gu,1709.0,21801.0,13.0,12.05
Bugahyeon-dong,2013.0,Seodaemun-gu,699.0,1862.0,3.0,13.45
Sinchon-dong,2013.0,Seodaemun-gu,3725.0,30866.0,8.0,20.21
Yeonhui-dong,2013.0,Seodaemun-gu,2138.0,10258.0,5.0,15.11
Yonggang-dong,2013.0,Mapo-gu,2390.0,15534.0,6.0,14.64
Daeheung-dong,2013.0,Mapo-gu,1628.0,10395.0,6.0,14.25
Yeomni-dong,2013.0,Mapo-gu,787.0,4964.0,6.0,16.26
Sinsu-dong,2013.0,Mapo-gu,1382.0,5800.0,4.0,9.99
Seogyo-dong,2013.0,Mapo-gu,8274.0,52524.0,6.0,20.41
Hapjeong-dong,2013.0,Mapo-gu,1843.0,9941.0,5.0,18.18
Mangwon 1(il)-dong,2013.0,Mapo-gu,1380.0,4690.0,3.0,15.51
Mangwon 2(i)-dong,2013.0,Mapo-gu,1246.0,3392.0,3.0,13.88
Yeonnam-dong,2013.0,Mapo-gu,1220.0,5242.0,4.0,19.92
Seongsan 1(il)-dong,2013.0,Mapo-gu,1600.0,9378.0,6.0,19.38
Seongsan 2(i)-dong,2013.0,Mapo-gu,1675.0,8434.0,5.0,13.49
Sangam-dong,2013.0,Mapo-gu,1761.0,28598.0,16.0,20.56
Dohwa-dong,2013.0,Mapo-gu,1855.0,14318.0,8.0,13.64
Seogang-dong,2013.0,Mapo-gu,1395.0,10170.0,7.0,18.57
gongdeok-dong,2013.0,Mapo-gu,2622.0,18749.0,7.0,12.97
Ahyeon-dong,2013.0,Mapo-gu,1735.0,12492.0,7.0,12.51
Mok 1(il)-dong,2013.0,Yangcheon-gu,2617.0,22037.0,8.0,16.16
Mok 2(i)-dong,2013.0,Yangcheon-gu,1156.0,3604.0,3.0,12.89
Mok 3(sam)-dong,2013.0,Yangcheon-gu,1227.0,3917.0,3.0,12.55
Mok 4(sa)-dong,2013.0,Yangcheon-gu,1373.0,3666.0,3.0,15.29
Sinwol 1(il)-dong,2013.0,Yangcheon-gu,1779.0,5028.0,3.0,13.27
Sinwol 2(i)-dong,2013.0,Yangcheon-gu,1101.0,3715.0,3.0,11.08
Sinwol 3(sam)-dong,2013.0,Yangcheon-gu,1005.0,4187.0,4.0,11.64
Sinwol 4(sa)-dong,2013.0,Yangcheon-gu,1150.0,3786.0,3.0,10.61
Sinwol 5(o)-dong,2013.0,Yangcheon-gu,951.0,3393.0,4.0,11.67
Sinwol 6(yuk)-dong,2013.0,Yangcheon-gu,1638.0,3473.0,2.0,4.21
Sinwol 7(chil)-dong,2013.0,Yangcheon-gu,1367.0,5355.0,4.0,9.51
Sinjeong 1(il)-dong,2013.0,Yangcheon-gu,1054.0,4451.0,4.0,11.29
Sinjeong 2(i)-dong,2013.0,Yangcheon-gu,1103.0,3708.0,3.0,13.33
Sinjeong 3(sam)-dong,2013.0,Yangcheon-gu,1991.0,7934.0,4.0,10.85
Sinjeong 6(yuk)-dong,2013.0,Yangcheon-gu,693.0,5130.0,7.0,16.31
Sinjeong 7(chil)-dong,2013.0,Yangcheon-gu,1016.0,4365.0,4.0,11.02
Mok 5(o)-dong,2013.0,Yangcheon-gu,1489.0,9703.0,7.0,16.59
Sinjeong 4(sa)-dong,2013.0,Yangcheon-gu,3010.0,12547.0,4.0,15.18
Yeomchang-dong,2013.0,Gangseo-gu,2157.0,15145.0,7.0,12.19
Deungchon 1(il)-dong,2013.0,Gangseo-gu,1742.0,10265.0,6.0,17.11
Deungchon 2(i)-dong,2013.0,Gangseo-gu,712.0,3351.0,5.0,13.06
Deungchon 3(sam)-dong,2013.0,Gangseo-gu,2296.0,19501.0,8.0,15.07
Hwagokbon-dong,2013.0,Gangseo-gu,1368.0,3954.0,3.0,16.08
Hwagok 2(i)-dong,2013.0,Gangseo-gu,842.0,2340.0,3.0,11.64
Hwagok 3(sam)-dong,2013.0,Gangseo-gu,1177.0,3975.0,3.0,15.21
Hwagok 4(sa)-dong,2013.0,Gangseo-gu,1445.0,3549.0,2.0,14.26
Hwagok 6(yuk)-dong,2013.0,Gangseo-gu,1831.0,11125.0,6.0,18.95
Hwagok 8(pal)-dong,2013.0,Gangseo-gu,1214.0,3156.0,3.0,14.0
Gayang 1(il)-dong,2013.0,Gangseo-gu,1225.0,9936.0,8.0,17.71
Gayang 2(i)-dong,2013.0,Gangseo-gu,651.0,3293.0,5.0,15.51
Gayang 3(sam)-dong,2013.0,Gangseo-gu,861.0,6785.0,8.0,11.03
Balsan 1(il)-dong,2013.0,Gangseo-gu,2147.0,10930.0,5.0,13.04
Gonghang-dong,2013.0,Gangseo-gu,1822.0,33019.0,18.0,13.61
Banghwa 1(il)-dong,2013.0,Gangseo-gu,1957.0,7140.0,4.0,13.18
Banghwa 2(i)-dong,2013.0,Gangseo-gu,3160.0,12658.0,4.0,10.47
Banghwa 3(sam)-dong,2013.0,Gangseo-gu,853.0,3824.0,4.0,11.37
Hwagok 1(il)-dong,2013.0,Gangseo-gu,2987.0,8395.0,3.0,17.31
Ujangsan-dong,2013.0,Gangseo-gu,1574.0,5940.0,4.0,16.84
Sindorim-dong,2013.0,Guro-gu,2569.0,13854.0,5.0,11.87
Guro 1(il)-dong,2013.0,Guro-gu,675.0,2971.0,4.0,11.41
Guro 3(sam)-dong,2013.0,Guro-gu,5737.0,78879.0,14.0,14.26
Guro 4(sa)-dong,2013.0,Guro-gu,2011.0,5476.0,3.0,13.82
Guro 5(o)-dong,2013.0,Guro-gu,4619.0,24401.0,5.0,11.54
Gocheok 1(il)-dong,2013.0,Guro-gu,2456.0,7829.0,3.0,10.02
Gocheok 2(i)-dong,2013.0,Guro-gu,1155.0,3432.0,3.0,13.42
Gaebong 2(i)-dong,2013.0,Guro-gu,1170.0,2703.0,2.0,14.44
Gaebong 3(sam)-dong,2013.0,Guro-gu,1002.0,3803.0,4.0,12.77
Oryu 1(il)-dong,2013.0,Guro-gu,1080.0,4353.0,4.0,11.48
Oryu 2(i)-dong,2013.0,Guro-gu,1406.0,6306.0,4.0,13.37
Sugung-dong,2013.0,Guro-gu,1091.0,5602.0,5.0,9.44
Garibong-dong,2013.0,Guro-gu,1032.0,2877.0,3.0,11.34
Guro 2(i)-dong,2013.0,Guro-gu,7577.0,25793.0,3.0,9.33
Gaebong 1(il)-dong,2013.0,Guro-gu,1772.0,5381.0,3.0,12.92
Gasan-dong,2013.0,Geumcheon-gu,11813.0,140007.0,12.0,14.98
Doksan 1(il)-dong,2013.0,Geumcheon-gu,3233.0,18814.0,6.0,11.38
Doksan 2(i)-dong,2013.0,Geumcheon-gu,1237.0,3323.0,3.0,13.66
Doksan 3(sam)-dong,2013.0,Geumcheon-gu,2226.0,8511.0,4.0,13.88
Doksan 4(sa)-dong,2013.0,Geumcheon-gu,1060.0,3096.0,3.0,14.34
Siheung 1(il)-dong,2013.0,Geumcheon-gu,3018.0,13368.0,4.0,14.81
Siheung 2(i)-dong,2013.0,Geumcheon-gu,551.0,1787.0,3.0,10.71
Siheung 3(sam)-dong,2013.0,Geumcheon-gu,3182.0,9142.0,3.0,9.4
Siheung 4(sa)-dong,2013.0,Geumcheon-gu,882.0,1956.0,2.0,13.61
Siheung 5(o)-dong,2013.0,Geumcheon-gu,1204.0,3451.0,3.0,13.46
Yeouido-dong,2013.0,Yeongdeungpo-gu,7564.0,150020.0,20.0,14.64
Dangsan 1(il)-dong,2013.0,Yeongdeungpo-gu,3092.0,16953.0,5.0,14.23
Dangsan2(i)-dong,2013.0,Yeongdeungpo-gu,2164.0,16477.0,8.0,16.77
Yangpyeong 1(il)-dong,2013.0,Yeongdeungpo-gu,3186.0,19922.0,6.0,11.77
Yangpyeong 2(i)-dong,2013.0,Yeongdeungpo-gu,2074.0,18234.0,9.0,14.8
Singil 1(il)-dong,2013.0,Yeongdeungpo-gu,1177.0,4035.0,3.0,13.42
Singil 3(sam)-dong,2013.0,Yeongdeungpo-gu,1007.0,3056.0,3.0,12.41
Singil 4(sa)-dong,2013.0,Yeongdeungpo-gu,595.0,1567.0,3.0,12.61
Singil 5(o)-dong,2013.0,Yeongdeungpo-gu,689.0,2079.0,3.0,14.66
Singil 6(yuk)-dong,2013.0,Yeongdeungpo-gu,1232.0,3974.0,3.0,13.96
Singil 7(chil)-dong,2013.0,Yeongdeungpo-gu,591.0,3030.0,5.0,13.71
Daerim 1(il)-dong,2013.0,Yeongdeungpo-gu,1129.0,4079.0,4.0,11.96
Daerim 2(i)-dong,2013.0,Yeongdeungpo-gu,1408.0,4437.0,3.0,18.47
Daerim 3(sam)-dong,2013.0,Yeongdeungpo-gu,2907.0,10781.0,4.0,14.24
Yeongdeungpobon-dong,2013.0,Yeongdeungpo-gu,1240.0,4537.0,4.0,17.98
Yeongdeungpo-dong,2013.0,Yeongdeungpo-gu,6076.0,34547.0,6.0,11.54
Dorim-dong,2013.0,Yeongdeungpo-gu,1025.0,3138.0,3.0,15.32
Mullae-dong,2013.0,Yeongdeungpo-gu,4995.0,36161.0,7.0,10.07
Noryangjin 2(i)-dong,2013.0,Dongjak-gu,1035.0,5138.0,5.0,11.21
Sangdo 1(il)-dong,2013.0,Dongjak-gu,1724.0,6250.0,4.0,13.86
Sangdo 2(i)-dong,2013.0,Dongjak-gu,1261.0,4090.0,3.0,11.18
