Dong,사업_사업체평균연령_Period,사업_사업체평균연령_Gu,사업_사업체평균연령_No. of establishments,사업_사업체평균연령_No. of workers,사업_사업체평균연령_Average worker,사업_사업체평균연령_Rate of establishing a business
Sanggye 10(sip)-dong,2013.0,Nowon-gu,484.0,2139.0,4.42,10년3개월
Sanggye 3.4(sam.sa)-dong,2013.0,Nowon-gu,1699.0,4773.0,2.81,9년9개월
Sanggye 6.7(yuk.chil)-dong,2013.0,Nowon-gu,1939.0,14042.0,7.24,9년2개월
Junggye 2.3(i.sam)-dong,2013.0,Nowon-gu,1233.0,4835.0,3.92,8년4개월
Gongneung 1(il)-dong,2013.0,Nowon-gu,2583.0,10273.0,3.98,8년6개월
Nokbeon-dong,2013.0,Eunpyeong-gu,1564.0,8097.0,5.18,9년10개월
Bulgwang 1(il)-dong,2013.0,Eunpyeong-gu,1672.0,6914.0,4.14,9년6개월
Galhyeon 1(il)-dong,2013.0,Eunpyeong-gu,1461.0,5136.0,3.52,8년12개월
Galhyeon 2(i)-dong,2013.0,Eunpyeong-gu,1561.0,5495.0,3.52,8년10개월
Gusan-dong,2013.0,Eunpyeong-gu,1181.0,5389.0,4.56,12년6개월
Daejo-dong,2013.0,Eunpyeong-gu,2566.0,7174.0,2.8,8년8개월
Eungam 1(il)-dong,2013.0,Eunpyeong-gu,1615.0,7074.0,4.38,9년9개월
Eungam 2(i)-dong,2013.0,Eunpyeong-gu,944.0,2214.0,2.35,12년11개월
Sinsa 1(il)-dong,2013.0,Eunpyeong-gu,1559.0,3927.0,2.52,14년10개월
Sinsa 2(i)-dong,2013.0,Eunpyeong-gu,1216.0,2933.0,2.41,15년7개월
Jeungsan-dong,2013.0,Eunpyeong-gu,1108.0,3825.0,3.45,10년11개월
Susaek-dong,2013.0,Eunpyeong-gu,848.0,3003.0,3.54,12년11개월
Jingwan-dong,2013.0,Eunpyeong-gu,1007.0,5234.0,5.2,8년4개월
Bulgwang 2(i)-dong,2013.0,Eunpyeong-gu,1295.0,4088.0,3.16,11년10개월
Eungam 3(sam)-dong,2013.0,Eunpyeong-gu,1909.0,5272.0,2.76,9년12개월
Yeokchon-dong,2013.0,Eunpyeong-gu,2447.0,7428.0,3.04,9년4개월
Cheonyeon-dong,2013.0,Seodaemun-gu,809.0,2475.0,3.06,10년1개월
Hongje 1(il)-dong,2013.0,Seodaemun-gu,1132.0,4016.0,3.55,10년3개월
Hongje 3(sam)-dong,2013.0,Seodaemun-gu,1271.0,3848.0,3.03,11년6개월
Hongje 2(i)-dong,2013.0,Seodaemun-gu,592.0,1666.0,2.81,9년5개월
Hongeun 1(il)-dong,2013.0,Seodaemun-gu,1029.0,2398.0,2.33,11년3개월
Hongeun 2(i)-dong,2013.0,Seodaemun-gu,1148.0,5636.0,4.91,10년9개월
Namgajwa 1(il)-dong,2013.0,Seodaemun-gu,640.0,1253.0,1.96,13년4개월
Namgajwa 2(i)-dong,2013.0,Seodaemun-gu,1554.0,4268.0,2.75,9년7개월
Bukgajwa 1(il)-dong,2013.0,Seodaemun-gu,504.0,2025.0,4.02,11년6개월
Bukgajwa 2(i)-dong,2013.0,Seodaemun-gu,2261.0,6294.0,2.78,14년5개월
Chunghyeon-dong,2013.0,Seodaemun-gu,1709.0,21801.0,12.76,10년6개월
Bugahyeon-dong,2013.0,Seodaemun-gu,699.0,1862.0,2.66,10년12개월
Sinchon-dong,2013.0,Seodaemun-gu,3725.0,30866.0,8.29,6년10개월
Yeonhui-dong,2013.0,Seodaemun-gu,2138.0,10258.0,4.8,10년0개월
Yonggang-dong,2013.0,Mapo-gu,2390.0,15534.0,6.5,8년3개월
Daeheung-dong,2013.0,Mapo-gu,1628.0,10395.0,6.39,8년11개월
Yeomni-dong,2013.0,Mapo-gu,787.0,4964.0,6.31,10년2개월
Sinsu-dong,2013.0,Mapo-gu,1382.0,5800.0,4.2,9년12개월
Seogyo-dong,2013.0,Mapo-gu,8274.0,52524.0,6.35,5년11개월
Hapjeong-dong,2013.0,Mapo-gu,1843.0,9941.0,5.39,7년0개월
Mangwon 1(il)-dong,2013.0,Mapo-gu,1380.0,4690.0,3.4,7년6개월
Mangwon 2(i)-dong,2013.0,Mapo-gu,1246.0,3392.0,2.72,7년12개월
Yeonnam-dong,2013.0,Mapo-gu,1220.0,5242.0,4.3,7년5개월
Seongsan 1(il)-dong,2013.0,Mapo-gu,1600.0,9378.0,5.86,8년0개월
Seongsan 2(i)-dong,2013.0,Mapo-gu,1675.0,8434.0,5.04,8년6개월
Sangam-dong,2013.0,Mapo-gu,1761.0,28598.0,16.24,5년12개월
Dohwa-dong,2013.0,Mapo-gu,1855.0,14318.0,7.72,8년9개월
Seogang-dong,2013.0,Mapo-gu,1395.0,10170.0,7.29,7년1개월
gongdeok-dong,2013.0,Mapo-gu,2622.0,18749.0,7.15,9년2개월
Ahyeon-dong,2013.0,Mapo-gu,1735.0,12492.0,7.2,8년10개월
Mok 1(il)-dong,2013.0,Yangcheon-gu,2617.0,22037.0,8.42,6년10개월
Mok 2(i)-dong,2013.0,Yangcheon-gu,1156.0,3604.0,3.12,9년7개월
Mok 3(sam)-dong,2013.0,Yangcheon-gu,1227.0,3917.0,3.19,8년7개월
Mok 4(sa)-dong,2013.0,Yangcheon-gu,1373.0,3666.0,2.67,8년5개월
Sinwol 1(il)-dong,2013.0,Yangcheon-gu,1779.0,5028.0,2.83,9년8개월
Sinwol 2(i)-dong,2013.0,Yangcheon-gu,1101.0,3715.0,3.37,11년6개월
Sinwol 3(sam)-dong,2013.0,Yangcheon-gu,1005.0,4187.0,4.17,10년1개월
Sinwol 4(sa)-dong,2013.0,Yangcheon-gu,1150.0,3786.0,3.29,11년6개월
Sinwol 5(o)-dong,2013.0,Yangcheon-gu,951.0,3393.0,3.57,9년11개월
Sinwol 6(yuk)-dong,2013.0,Yangcheon-gu,1638.0,3473.0,2.12,19년6개월
Sinwol 7(chil)-dong,2013.0,Yangcheon-gu,1367.0,5355.0,3.92,11년0개월
Sinjeong 1(il)-dong,2013.0,Yangcheon-gu,1054.0,4451.0,4.22,8년5개월
Sinjeong 2(i)-dong,2013.0,Yangcheon-gu,1103.0,3708.0,3.36,8년1개월
Sinjeong 3(sam)-dong,2013.0,Yangcheon-gu,1991.0,7934.0,3.98,11년2개월
Sinjeong 6(yuk)-dong,2013.0,Yangcheon-gu,693.0,5130.0,7.4,7년12개월
Sinjeong 7(chil)-dong,2013.0,Yangcheon-gu,1016.0,4365.0,4.3,9년10개월
Mok 5(o)-dong,2013.0,Yangcheon-gu,1489.0,9703.0,6.52,7년2개월
Sinjeong 4(sa)-dong,2013.0,Yangcheon-gu,3010.0,12547.0,4.17,8년4개월
Yeomchang-dong,2013.0,Gangseo-gu,2157.0,15145.0,7.02,8년7개월
Deungchon 1(il)-dong,2013.0,Gangseo-gu,1742.0,10265.0,5.89,7년6개월
Deungchon 2(i)-dong,2013.0,Gangseo-gu,712.0,3351.0,4.71,8년6개월
Deungchon 3(sam)-dong,2013.0,Gangseo-gu,2296.0,19501.0,8.49,7년10개월
Hwagokbon-dong,2013.0,Gangseo-gu,1368.0,3954.0,2.89,8년2개월
Hwagok 2(i)-dong,2013.0,Gangseo-gu,842.0,2340.0,2.78,8년2개월
Hwagok 3(sam)-dong,2013.0,Gangseo-gu,1177.0,3975.0,3.38,7년1개월
Hwagok 4(sa)-dong,2013.0,Gangseo-gu,1445.0,3549.0,2.46,7년6개월
Hwagok 6(yuk)-dong,2013.0,Gangseo-gu,1831.0,11125.0,6.08,7년0개월
Hwagok 8(pal)-dong,2013.0,Gangseo-gu,1214.0,3156.0,2.6,7년6개월
Gayang 1(il)-dong,2013.0,Gangseo-gu,1225.0,9936.0,8.11,8년6개월
Gayang 2(i)-dong,2013.0,Gangseo-gu,651.0,3293.0,5.06,7년10개월
Gayang 3(sam)-dong,2013.0,Gangseo-gu,861.0,6785.0,7.88,9년8개월
Balsan 1(il)-dong,2013.0,Gangseo-gu,2147.0,10930.0,5.09,7년8개월
Gonghang-dong,2013.0,Gangseo-gu,1822.0,33019.0,18.12,7년9개월
Banghwa 1(il)-dong,2013.0,Gangseo-gu,1957.0,7140.0,3.65,8년1개월
Banghwa 2(i)-dong,2013.0,Gangseo-gu,3160.0,12658.0,4.01,10년2개월
Banghwa 3(sam)-dong,2013.0,Gangseo-gu,853.0,3824.0,4.48,10년2개월
Hwagok 1(il)-dong,2013.0,Gangseo-gu,2987.0,8395.0,2.81,7년3개월
Ujangsan-dong,2013.0,Gangseo-gu,1574.0,5940.0,3.77,7년3개월
Sindorim-dong,2013.0,Guro-gu,2569.0,13854.0,5.39,9년2개월
Guro 1(il)-dong,2013.0,Guro-gu,675.0,2971.0,4.4,11년8개월
Guro 3(sam)-dong,2013.0,Guro-gu,5737.0,78879.0,13.75,7년11개월
Guro 4(sa)-dong,2013.0,Guro-gu,2011.0,5476.0,2.72,8년12개월
Guro 5(o)-dong,2013.0,Guro-gu,4619.0,24401.0,5.28,11년8개월
Gocheok 1(il)-dong,2013.0,Guro-gu,2456.0,7829.0,3.19,10년8개월
Gocheok 2(i)-dong,2013.0,Guro-gu,1155.0,3432.0,2.97,8년7개월
Gaebong 2(i)-dong,2013.0,Guro-gu,1170.0,2703.0,2.31,10년4개월
Gaebong 3(sam)-dong,2013.0,Guro-gu,1002.0,3803.0,3.8,10년4개월
Oryu 1(il)-dong,2013.0,Guro-gu,1080.0,4353.0,4.03,10년1개월
Oryu 2(i)-dong,2013.0,Guro-gu,1406.0,6306.0,4.49,10년8개월
Sugung-dong,2013.0,Guro-gu,1091.0,5602.0,5.13,12년2개월
Garibong-dong,2013.0,Guro-gu,1032.0,2877.0,2.79,10년4개월
Guro 2(i)-dong,2013.0,Guro-gu,7577.0,25793.0,3.4,10년6개월
Gaebong 1(il)-dong,2013.0,Guro-gu,1772.0,5381.0,3.04,9년10개월
Gasan-dong,2013.0,Geumcheon-gu,11813.0,140007.0,11.85,7년5개월
Doksan 1(il)-dong,2013.0,Geumcheon-gu,3233.0,18814.0,5.82,9년2개월
Doksan 2(i)-dong,2013.0,Geumcheon-gu,1237.0,3323.0,2.69,7년9개월
Doksan 3(sam)-dong,2013.0,Geumcheon-gu,2226.0,8511.0,3.82,8년2개월
Doksan 4(sa)-dong,2013.0,Geumcheon-gu,1060.0,3096.0,2.92,7년11개월
Siheung 1(il)-dong,2013.0,Geumcheon-gu,3018.0,13368.0,4.43,8년6개월
Siheung 2(i)-dong,2013.0,Geumcheon-gu,551.0,1787.0,3.24,8년6개월
Siheung 3(sam)-dong,2013.0,Geumcheon-gu,3182.0,9142.0,2.87,10년3개월
Siheung 4(sa)-dong,2013.0,Geumcheon-gu,882.0,1956.0,2.22,8년2개월
Siheung 5(o)-dong,2013.0,Geumcheon-gu,1204.0,3451.0,2.87,8년6개월
Yeouido-dong,2013.0,Yeongdeungpo-gu,7564.0,150020.0,19.83,9년2개월
Dangsan 1(il)-dong,2013.0,Yeongdeungpo-gu,3092.0,16953.0,5.48,8년9개월
Dangsan2(i)-dong,2013.0,Yeongdeungpo-gu,2164.0,16477.0,7.61,7년11개월
Yangpyeong 1(il)-dong,2013.0,Yeongdeungpo-gu,3186.0,19922.0,6.25,10년9개월
