Dong,사업_사업체및종사자밀도_Period,사업_사업체및종사자밀도_Gu,사업_사업체및종사자밀도_No. of establishments,사업_사업체및종사자밀도_No. of employee,사업_사업체및종사자밀도_Average worker,사업_사업체및종사자밀도_Establishments density,사업_사업체및종사자밀도_종사자밀도,사업_사업체및종사자밀도_Population density,사업_사업체및종사자밀도_종사자밀도비
Seongsu 1(il)-ga1(il)-dong,2013.0,Seongdong-gu,1336.0,6683.0,5.0,675.0,3375.0,9172.0,36.8
Seongsu 1(il)-ga2(i)-dong,2013.0,Seongdong-gu,1946.0,12598.0,6.47,2187.0,14155.0,20828.0,67.96
Seongsu 2(i)-ga1(il)-dong,2013.0,Seongdong-gu,2351.0,14571.0,6.2,1992.0,12348.0,17755.0,69.55
Seongsu 2(i)-ga 3(sam)-dong,2013.0,Seongdong-gu,4690.0,43517.0,9.28,4553.0,42250.0,12069.0,350.07
Songjeong-dong,2013.0,Seongdong-gu,712.0,2156.0,3.03,1047.0,3171.0,18438.0,17.2
Yongdap-dong,2013.0,Seongdong-gu,2050.0,13485.0,6.58,884.0,5813.0,7495.0,77.55
WangsimniDoseon-dong,2013.0,Seongdong-gu,1588.0,8254.0,5.2,2206.0,11464.0,18046.0,63.53
Geumho 2.3(i.sam)-ga-dong,2013.0,Seongdong-gu,974.0,2422.0,2.49,1522.0,3784.0,36745.0,10.3
Oksu-dong,2013.0,Seongdong-gu,759.0,2720.0,3.58,389.0,1395.0,12148.0,11.48
Hwayang-dong,2013.0,Gwangjin-gu,2456.0,14197.0,5.78,2117.0,12239.0,20942.0,58.44
Gunja-dong,2013.0,Gwangjin-gu,1572.0,7832.0,4.98,2124.0,10584.0,29914.0,35.38
Junggok 1(il)-dong,2013.0,Gwangjin-gu,1601.0,6943.0,4.34,2582.0,11198.0,27453.0,40.79
Junggok 2(i)-dong,2013.0,Gwangjin-gu,1748.0,5699.0,3.26,3178.0,10362.0,42102.0,24.61
Junggok 3(sam)-dong,2013.0,Gwangjin-gu,1359.0,4778.0,3.52,2265.0,7963.0,31405.0,25.36
Junggok 4(sa)-dong,2013.0,Gwangjin-gu,1572.0,4959.0,3.15,678.0,2138.0,13778.0,15.51
Neung-dong,2013.0,Gwangjin-gu,698.0,4466.0,6.4,635.0,4060.0,10301.0,39.41
Guui 1(il)-dong,2013.0,Gwangjin-gu,1838.0,6361.0,3.46,3282.0,11359.0,41475.0,27.39
Guui 2(i)-dong,2013.0,Gwangjin-gu,1314.0,5211.0,3.97,945.0,3749.0,19991.0,18.75
Guui 3(sam)-dong,2013.0,Gwangjin-gu,2596.0,19699.0,7.59,2545.0,19313.0,29224.0,66.09
Gwangjang-dong,2013.0,Gwangjin-gu,1361.0,10953.0,8.05,569.0,4583.0,15687.0,29.21
Jayang 1(il)-dong,2013.0,Gwangjin-gu,1694.0,8364.0,4.94,2972.0,14674.0,44516.0,32.96
Jayang 2(i)-dong,2013.0,Gwangjin-gu,1517.0,7311.0,4.82,903.0,4352.0,17021.0,25.57
Jayang 3(sam)-dong,2013.0,Gwangjin-gu,1317.0,6244.0,4.74,1098.0,5203.0,26608.0,19.56
Jayang 4(sa)-dong,2013.0,Gwangjin-gu,2033.0,6948.0,3.42,1753.0,5990.0,24552.0,24.4
Hoegi-dong,2013.0,Dongdaemun-gu,990.0,10029.0,10.13,1303.0,13196.0,16803.0,78.54
Hwigyeong 1(il)-dong,2013.0,Dongdaemun-gu,1041.0,3869.0,3.72,1652.0,6141.0,27543.0,22.3
Hwigyeong 2(i)-dong,2013.0,Dongdaemun-gu,1092.0,4462.0,4.09,1040.0,4250.0,24889.0,17.07
Cheongnyangni-dong,2013.0,Dongdaemun-gu,1687.0,8301.0,4.92,1406.0,6918.0,20684.0,33.44
Yongsin-dong,2013.0,Dongdaemun-gu,5504.0,27882.0,5.07,3419.0,17318.0,20407.0,84.86
Jegi-dong,2013.0,Dongdaemun-gu,4697.0,11249.0,2.39,3981.0,9533.0,24530.0,38.86
Jeonnong 1(il)-dong,2013.0,Dongdaemun-gu,2244.0,7761.0,3.46,1886.0,6522.0,27754.0,23.5
Jeonnong 2(i)-dong,2013.0,Dongdaemun-gu,845.0,4362.0,5.16,983.0,5072.0,25108.0,20.2
Dapsimni 1(il)-dong,2013.0,Dongdaemun-gu,2095.0,10111.0,4.83,2436.0,11757.0,23598.0,49.82
Dapsimni 2(i)-dong,2013.0,Dongdaemun-gu,2003.0,5735.0,2.86,2504.0,7169.0,39454.0,18.17
Jangan 1(il)-dong,2013.0,Dongdaemun-gu,4376.0,20752.0,4.74,3501.0,16602.0,30392.0,54.62
Jangan 2(i)-dong,2013.0,Dongdaemun-gu,3190.0,10088.0,3.16,2954.0,9341.0,30261.0,30.87
Imun 1(il)-dong,2013.0,Dongdaemun-gu,1476.0,5316.0,3.6,1419.0,5112.0,31917.0,16.01
Imun 2(i)-dong,2013.0,Dongdaemun-gu,732.0,2183.0,2.98,1061.0,3164.0,33659.0,9.4
Myeonmok 2(i)-dong,2013.0,Jungnang-gu,2018.0,6140.0,3.04,2764.0,8411.0,38678.0,21.75
Myeonmok 4(sa)-dong,2013.0,Jungnang-gu,1058.0,3407.0,3.22,962.0,3097.0,20215.0,15.32
Myeonmok 5(o)-dong,2013.0,Jungnang-gu,1002.0,3740.0,3.73,1566.0,5844.0,21736.0,26.89
Myeonmok 7(chil)-dong,2013.0,Jungnang-gu,1507.0,4122.0,2.74,1732.0,4738.0,29152.0,16.25
Sangbong 1(il)-dong,2013.0,Jungnang-gu,1100.0,6159.0,5.6,1294.0,7246.0,30782.0,23.54
Sangbong 2(i)-dong,2013.0,Jungnang-gu,2164.0,9971.0,4.61,3182.0,14663.0,27360.0,53.59
Junghwa 1(il)-dong,2013.0,Jungnang-gu,1100.0,3655.0,3.32,1618.0,5375.0,31715.0,16.95
Junghwa 2(i)-dong,2013.0,Jungnang-gu,2286.0,6673.0,2.92,2333.0,6809.0,31059.0,21.92
Muk 1(il)-dong,2013.0,Jungnang-gu,1503.0,5870.0,3.91,1253.0,4892.0,30308.0,16.14
Muk 2(i)-dong,2013.0,Jungnang-gu,1752.0,5333.0,3.04,2503.0,7619.0,28599.0,26.64
Mangu 3(sam)-dong,2013.0,Jungnang-gu,1072.0,3543.0,3.31,1083.0,3579.0,19401.0,18.45
Sinnae 1(il)-dong,2013.0,Jungnang-gu,1574.0,7895.0,5.02,622.0,3121.0,13162.0,23.71
Sinnae 2(i)-dong,2013.0,Jungnang-gu,1074.0,5172.0,4.82,1085.0,5224.0,25129.0,20.79
Myeonmokbon-dong,2013.0,Jungnang-gu,2454.0,6842.0,2.79,2430.0,6774.0,36829.0,18.39
Myeonmok 3.8(sam.pal)-dong,2013.0,Jungnang-gu,3043.0,7685.0,2.53,1822.0,4602.0,17438.0,26.39
Mangubon-dong,2013.0,Jungnang-gu,2783.0,9831.0,3.53,966.0,3414.0,12023.0,28.39
Donam 1(il)-dong,2013.0,Seongbuk_gu,382.0,1383.0,3.62,780.0,2822.0,33416.0,8.45
Donam 2(i)-dong,2013.0,Seongbuk_gu,363.0,1716.0,4.73,756.0,3575.0,49577.0,7.21
Anam-dong,2013.0,Seongbuk_gu,1329.0,13134.0,9.88,999.0,9875.0,13726.0,71.95
Bomun-dong,2013.0,Seongbuk_gu,1239.0,4121.0,3.33,2213.0,7359.0,25509.0,28.85
Jeongneung 1(il)-dong,2013.0,Seongbuk_gu,787.0,1937.0,2.46,1789.0,4402.0,45889.0,9.59
Jeongneung 2(i)-dong,2013.0,Seongbuk_gu,957.0,2832.0,2.96,818.0,2421.0,20668.0,11.71
