Dong,사업_사업체현황조직형태별_Gu_Gu_Gu,사업_사업체현황조직형태별_합계_사업체수_사업체수,사업_사업체현황조직형태별_합계_사업체수_여성대표자,사업_사업체현황조직형태별_합계_종사자수_계,사업_사업체현황조직형태별_합계_종사자수_남,사업_사업체현황조직형태별_합계_종사자수_여,사업_사업체현황조직형태별_개인_사업체수_사업체수,사업_사업체현황조직형태별_개인_종사자수_종사자수,사업_사업체현황조직형태별_회사법인_사업체수_사업체수,사업_사업체현황조직형태별_회사법인_종사자수_종사자수,사업_사업체현황조직형태별_회사이외의 법인_사업체수_사업체수,사업_사업체현황조직형태별_회사이외의 법인_종사자수_종사자수,사업_사업체현황조직형태별_비법인단체_사업체수_사업체수,사업_사업체현황조직형태별_비법인단체_종사자수_종사자수
Samgaksan-dong,Gangbuk-gu,714.0,283.0,2190.0,883.0,1307.0,665.0,1441.0,16.0,145.0,8.0,378.0,25.0,226.0
Ui-dong,Gangbuk-gu,994.0,388.0,3478.0,2168.0,1310.0,895.0,1812.0,34.0,1190.0,16.0,206.0,49.0,270.0
Insu-dong,Gangbuk-gu,1569.0,528.0,5792.0,2923.0,2869.0,1418.0,2613.0,55.0,1414.0,28.0,1485.0,68.0,280.0
Ssangmun 1(il)-dong,Dobong-gu,911.0,296.0,3803.0,1948.0,1855.0,804.0,1725.0,36.0,692.0,23.0,1196.0,48.0,190.0
Ssangmun 2(i)-dong,Dobong-gu,1227.0,455.0,4299.0,2326.0,1973.0,1082.0,2467.0,67.0,1116.0,15.0,422.0,63.0,294.0
Ssangmun 3(sam)-dong,Dobong-gu,897.0,329.0,3182.0,1552.0,1630.0,810.0,1698.0,44.0,577.0,9.0,811.0,34.0,96.0
Ssangmun 4(sa)-dong,Dobong-gu,594.0,230.0,1933.0,867.0,1066.0,550.0,1080.0,9.0,90.0,11.0,621.0,24.0,142.0
Banghak 1(il)-dong,Dobong-gu,2278.0,912.0,9931.0,5618.0,4313.0,2007.0,4605.0,148.0,3020.0,27.0,1882.0,96.0,424.0
Banghak 2(i)-dong,Dobong-gu,1289.0,462.0,2837.0,1359.0,1478.0,1203.0,2288.0,24.0,206.0,9.0,227.0,53.0,116.0
Banghak 3(sam)-dong,Dobong-gu,888.0,258.0,3161.0,1688.0,1473.0,797.0,1646.0,28.0,705.0,13.0,479.0,50.0,331.0
Chang 1(il)-dong,Dobong-gu,1078.0,386.0,3390.0,1482.0,1908.0,969.0,2210.0,57.0,516.0,13.0,427.0,39.0,237.0
Chang 2(i)-dong,Dobong-gu,1331.0,438.0,4447.0,2311.0,2136.0,1202.0,2814.0,66.0,1049.0,9.0,363.0,54.0,221.0
Chang 3(sam)-dong,Dobong-gu,964.0,346.0,1939.0,883.0,1056.0,917.0,1554.0,11.0,83.0,8.0,182.0,28.0,120.0
Chang 4(sa)-dong,Dobong-gu,1140.0,382.0,6738.0,3738.0,3000.0,930.0,2392.0,146.0,2630.0,22.0,1380.0,42.0,336.0
Chang 5(o)-dong,Dobong-gu,2062.0,477.0,6654.0,3623.0,3031.0,1840.0,4056.0,128.0,1747.0,28.0,594.0,66.0,257.0
Dobong 1(il)-dong,Dobong-gu,1660.0,602.0,5496.0,3313.0,2183.0,1458.0,3005.0,82.0,1572.0,24.0,560.0,96.0,359.0
Dobong 2(i)-dong,Dobong-gu,1394.0,479.0,6126.0,3639.0,2487.0,1213.0,2426.0,92.0,2199.0,31.0,1153.0,58.0,348.0
Wolgye 1(il)-dong,Nowon-gu,1379.0,468.0,5506.0,3499.0,2007.0,1242.0,2703.0,66.0,1058.0,16.0,1504.0,55.0,241.0
Wolgye 2(i)-dong,Nowon-gu,1047.0,265.0,3592.0,2033.0,1559.0,941.0,1672.0,39.0,571.0,23.0,1144.0,44.0,205.0
Wolgye 3(sam)-dong,Nowon-gu,950.0,287.0,3746.0,1991.0,1755.0,857.0,1483.0,50.0,1314.0,14.0,651.0,29.0,298.0
Gongneung 2(i)-dong,Nowon-gu,1813.0,601.0,10912.0,5414.0,5498.0,1583.0,3154.0,105.0,1271.0,49.0,6037.0,76.0,450.0
Hagye 1(il)-dong,Nowon-gu,914.0,308.0,6791.0,3550.0,3241.0,728.0,2004.0,92.0,1461.0,38.0,3003.0,56.0,323.0
Hagye 2(i)-dong,Nowon-gu,380.0,120.0,1064.0,458.0,606.0,354.0,574.0,6.0,45.0,5.0,304.0,15.0,141.0
Junggyebon-dong,Nowon-gu,1158.0,407.0,5241.0,2598.0,2643.0,1025.0,2773.0,59.0,1322.0,22.0,831.0,52.0,315.0
Junggye 1(il)-dong,Nowon-gu,910.0,346.0,4012.0,1791.0,2221.0,794.0,2280.0,58.0,919.0,16.0,512.0,42.0,301.0
Junggye 4(sa)-dong,Nowon-gu,1002.0,412.0,3711.0,1671.0,2040.0,884.0,2223.0,51.0,435.0,20.0,868.0,47.0,185.0
Sanggye 1(il)-dong,Nowon-gu,2827.0,652.0,7954.0,4658.0,3296.0,2545.0,4590.0,170.0,2189.0,36.0,851.0,76.0,324.0
Sanggye 2(i)-dong,Nowon-gu,2176.0,887.0,8370.0,3754.0,4616.0,1927.0,5759.0,149.0,1631.0,24.0,540.0,76.0,440.0
Sanggye 5(o)-dong,Nowon-gu,1349.0,535.0,3319.0,1582.0,1737.0,1210.0,2508.0,43.0,319.0,11.0,147.0,85.0,345.0
Sanggye 8(pal)-dong,Nowon-gu,600.0,240.0,1885.0,782.0,1103.0,555.0,1203.0,18.0,122.0,11.0,395.0,16.0,165.0
Sanggye 9(gu)-dong,Nowon-gu,730.0,263.0,2360.0,1066.0,1294.0,686.0,1291.0,17.0,227.0,14.0,705.0,13.0,137.0
Sanggye 10(sip)-dong,Nowon-gu,484.0,153.0,2139.0,1249.0,890.0,431.0,876.0,23.0,464.0,16.0,701.0,14.0,98.0
Sanggye 3.4(sam.sa)-dong,Nowon-gu,1699.0,596.0,4773.0,2811.0,1962.0,1513.0,2730.0,48.0,1239.0,17.0,336.0,121.0,468.0
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,1939.0,665.0,14042.0,5560.0,8482.0,1564.0,4391.0,266.0,4680.0,50.0,4039.0,59.0,932.0
Junggye 2.3(i.sam)-dong,Nowon-gu,1233.0,524.0,4835.0,1962.0,2873.0,1116.0,2333.0,59.0,1056.0,30.0,1221.0,28.0,225.0
Gongneung 1(il)-dong,Nowon-gu,2583.0,844.0,10273.0,5274.0,4999.0,2195.0,4846.0,248.0,4081.0,45.0,727.0,95.0,619.0
Nokbeon-dong,Eunpyeong-gu,1564.0,557.0,8097.0,4302.0,3795.0,1248.0,3482.0,154.0,1914.0,71.0,2347.0,91.0,354.0
Bulgwang 1(il)-dong,Eunpyeong-gu,1672.0,680.0,6914.0,2772.0,4142.0,1455.0,3209.0,106.0,1882.0,39.0,1419.0,72.0,404.0
Galhyeon 1(il)-dong,Eunpyeong-gu,1461.0,572.0,5136.0,2165.0,2971.0,1303.0,2973.0,104.0,1680.0,13.0,368.0,41.0,115.0
Galhyeon 2(i)-dong,Eunpyeong-gu,1561.0,663.0,5495.0,2278.0,3217.0,1406.0,3296.0,73.0,952.0,32.0,1010.0,50.0,237.0
Gusan-dong,Eunpyeong-gu,1181.0,366.0,5389.0,2672.0,2717.0,1040.0,2035.0,52.0,1211.0,37.0,1957.0,52.0,186.0
Daejo-dong,Eunpyeong-gu,2566.0,1181.0,7174.0,3005.0,4169.0,2330.0,5379.0,165.0,1197.0,22.0,467.0,49.0,131.0
Eungam 1(il)-dong,Eunpyeong-gu,1615.0,638.0,7074.0,3588.0,3486.0,1391.0,3492.0,147.0,2518.0,29.0,816.0,48.0,248.0
Eungam 2(i)-dong,Eunpyeong-gu,944.0,296.0,2214.0,1165.0,1049.0,882.0,1535.0,17.0,116.0,14.0,496.0,31.0,67.0
Sinsa 1(il)-dong,Eunpyeong-gu,1559.0,445.0,3927.0,2347.0,1580.0,1440.0,2578.0,51.0,719.0,24.0,554.0,44.0,76.0
Sinsa 2(i)-dong,Eunpyeong-gu,1216.0,260.0,2933.0,1800.0,1133.0,1123.0,1764.0,34.0,490.0,19.0,574.0,40.0,105.0
Jeungsan-dong,Eunpyeong-gu,1108.0,381.0,3825.0,2351.0,1474.0,967.0,1885.0,84.0,1492.0,18.0,353.0,39.0,95.0
Susaek-dong,Eunpyeong-gu,848.0,291.0,3003.0,1902.0,1101.0,755.0,1475.0,57.0,1149.0,21.0,343.0,15.0,36.0
Jingwan-dong,Eunpyeong-gu,1007.0,447.0,5234.0,2679.0,2555.0,838.0,1813.0,56.0,1199.0,36.0,1832.0,77.0,390.0
Bulgwang 2(i)-dong,Eunpyeong-gu,1295.0,564.0,4088.0,1857.0,2231.0,1175.0,2407.0,44.0,478.0,33.0,974.0,43.0,229.0
Eungam 3(sam)-dong,Eunpyeong-gu,1909.0,749.0,5272.0,2410.0,2862.0,1752.0,3846.0,75.0,638.0,22.0,587.0,60.0,201.0
Yeokchon-dong,Eunpyeong-gu,2447.0,927.0,7428.0,3434.0,3994.0,2162.0,4842.0,169.0,1686.0,29.0,610.0,87.0,290.0
Cheonyeon-dong,Seodaemun-gu,809.0,317.0,2475.0,1140.0,1335.0,693.0,1499.0,39.0,201.0,36.0,576.0,41.0,199.0
Hongje 1(il)-dong,Seodaemun-gu,1132.0,444.0,4016.0,1944.0,2072.0,975.0,2222.0,78.0,928.0,17.0,618.0,62.0,248.0
Hongje 3(sam)-dong,Seodaemun-gu,1271.0,518.0,3848.0,1807.0,2041.0,1144.0,2171.0,56.0,657.0,27.0,587.0,44.0,433.0
Hongje 2(i)-dong,Seodaemun-gu,592.0,264.0,1666.0,862.0,804.0,505.0,958.0,33.0,185.0,13.0,267.0,41.0,256.0
Hongeun 1(il)-dong,Seodaemun-gu,1029.0,353.0,2398.0,1187.0,1211.0,918.0,1548.0,45.0,275.0,23.0,333.0,43.0,242.0
Hongeun 2(i)-dong,Seodaemun-gu,1148.0,389.0,5636.0,3021.0,2615.0,990.0,2151.0,71.0,1536.0,27.0,1683.0,60.0,266.0
Namgajwa 1(il)-dong,Seodaemun-gu,640.0,322.0,1253.0,509.0,744.0,601.0,985.0,17.0,115.0,9.0,106.0,13.0,47.0
Namgajwa 2(i)-dong,Seodaemun-gu,1554.0,585.0,4268.0,2217.0,2051.0,1403.0,2735.0,66.0,583.0,23.0,741.0,62.0,209.0
Bukgajwa 1(il)-dong,Seodaemun-gu,504.0,138.0,2025.0,1322.0,703.0,435.0,783.0,45.0,933.0,8.0,221.0,16.0,88.0
Bukgajwa 2(i)-dong,Seodaemun-gu,2261.0,619.0,6294.0,3777.0,2517.0,2102.0,3624.0,85.0,2266.0,17.0,174.0,57.0,230.0
Chunghyeon-dong,Seodaemun-gu,1709.0,549.0,21801.0,12687.0,9114.0,1035.0,2604.0,477.0,13134.0,125.0,5484.0,72.0,579.0
Bugahyeon-dong,Seodaemun-gu,699.0,245.0,1862.0,967.0,895.0,634.0,1237.0,20.0,100.0,24.0,455.0,21.0,70.0
Sinchon-dong,Seodaemun-gu,3725.0,1538.0,30866.0,13401.0,17465.0,2935.0,8987.0,585.0,6295.0,134.0,15161.0,71.0,423.0
Yeonhui-dong,Seodaemun-gu,2138.0,765.0,10258.0,5787.0,4471.0,1755.0,3872.0,256.0,3661.0,55.0,2446.0,72.0,279.0
Yonggang-dong,Mapo-gu,2390.0,689.0,15534.0,9221.0,6313.0,1252.0,3167.0,953.0,10373.0,95.0,1646.0,90.0,348.0
Daeheung-dong,Mapo-gu,1628.0,551.0,10395.0,5257.0,5138.0,1290.0,3746.0,222.0,3382.0,63.0,3018.0,53.0,249.0
Yeomni-dong,Mapo-gu,787.0,284.0,4964.0,2812.0,2152.0,625.0,1228.0,98.0,1573.0,24.0,1894.0,40.0,269.0
Sinsu-dong,Mapo-gu,1382.0,344.0,5800.0,2931.0,2869.0,1147.0,2336.0,167.0,2507.0,36.0,824.0,32.0,133.0
Seogyo-dong,Mapo-gu,8274.0,2736.0,52524.0,26876.0,25648.0,5731.0,18354.0,2307.0,31320.0,120.0,2279.0,116.0,571.0
Hapjeong-dong,Mapo-gu,1843.0,569.0,9941.0,5523.0,4418.0,1301.0,3200.0,460.0,5933.0,40.0,615.0,42.0,193.0
Mangwon 1(il)-dong,Mapo-gu,1380.0,466.0,4690.0,2343.0,2347.0,1208.0,2413.0,120.0,1963.0,18.0,234.0,34.0,80.0
Mangwon 2(i)-dong,Mapo-gu,1246.0,468.0,3392.0,1960.0,1432.0,1052.0,1862.0,134.0,1158.0,14.0,200.0,46.0,172.0
Yeonnam-dong,Mapo-gu,1220.0,387.0,5242.0,3087.0,2155.0,926.0,2133.0,245.0,2680.0,20.0,301.0,29.0,128.0
Seongsan 1(il)-dong,Mapo-gu,1600.0,456.0,9378.0,5702.0,3676.0,1099.0,2446.0,406.0,6046.0,45.0,676.0,50.0,210.0
Seongsan 2(i)-dong,Mapo-gu,1675.0,574.0,8434.0,4502.0,3932.0,1336.0,2961.0,237.0,1974.0,36.0,2815.0,66.0,684.0
Sangam-dong,Mapo-gu,1761.0,593.0,28598.0,18458.0,10140.0,1122.0,3039.0,493.0,22039.0,92.0,3146.0,54.0,374.0
Dohwa-dong,Mapo-gu,1855.0,586.0,14318.0,8139.0,6179.0,1189.0,2979.0,569.0,10133.0,43.0,817.0,54.0,389.0
Seogang-dong,Mapo-gu,1395.0,463.0,10170.0,5459.0,4711.0,1052.0,2640.0,258.0,4651.0,45.0,2661.0,40.0,218.0
gongdeok-dong,Mapo-gu,2622.0,850.0,18749.0,10575.0,8174.0,1910.0,4515.0,501.0,11367.0,101.0,2443.0,110.0,424.0
Ahyeon-dong,Mapo-gu,1735.0,594.0,12492.0,7541.0,4951.0,1223.0,2867.0,417.0,7728.0,52.0,1665.0,43.0,232.0
Mok 1(il)-dong,Yangcheon-gu,2617.0,1003.0,22037.0,12656.0,9381.0,1758.0,5973.0,746.0,13654.0,59.0,2095.0,54.0,315.0
Mok 2(i)-dong,Yangcheon-gu,1156.0,439.0,3604.0,1885.0,1719.0,997.0,2124.0,95.0,924.0,13.0,256.0,51.0,300.0
Mok 3(sam)-dong,Yangcheon-gu,1227.0,533.0,3917.0,1758.0,2159.0,1089.0,2371.0,81.0,1107.0,18.0,282.0,39.0,157.0
Mok 4(sa)-dong,Yangcheon-gu,1373.0,584.0,3666.0,1764.0,1902.0,1238.0,2556.0,68.0,667.0,11.0,327.0,56.0,116.0
Sinwol 1(il)-dong,Yangcheon-gu,1779.0,634.0,5028.0,2836.0,2192.0,1593.0,3376.0,107.0,1323.0,14.0,175.0,65.0,154.0
Sinwol 2(i)-dong,Yangcheon-gu,1101.0,315.0,3715.0,2111.0,1604.0,949.0,2167.0,88.0,1017.0,11.0,376.0,53.0,155.0
Sinwol 3(sam)-dong,Yangcheon-gu,1005.0,297.0,4187.0,2580.0,1607.0,842.0,1869.0,114.0,1533.0,22.0,689.0,27.0,96.0
Sinwol 4(sa)-dong,Yangcheon-gu,1150.0,378.0,3786.0,2310.0,1476.0,1023.0,1992.0,63.0,1267.0,11.0,256.0,53.0,271.0
Sinwol 5(o)-dong,Yangcheon-gu,951.0,333.0,3393.0,1697.0,1696.0,853.0,2140.0,56.0,666.0,14.0,483.0,28.0,104.0
Sinwol 6(yuk)-dong,Yangcheon-gu,1638.0,260.0,3473.0,2353.0,1120.0,1541.0,2338.0,57.0,825.0,13.0,228.0,27.0,82.0
Sinwol 7(chil)-dong,Yangcheon-gu,1367.0,417.0,5355.0,3472.0,1883.0,1195.0,2309.0,94.0,1793.0,14.0,949.0,64.0,304.0
Sinjeong 1(il)-dong,Yangcheon-gu,1054.0,475.0,4451.0,2205.0,2246.0,926.0,2132.0,65.0,779.0,25.0,1254.0,38.0,286.0
Sinjeong 2(i)-dong,Yangcheon-gu,1103.0,452.0,3708.0,1672.0,2036.0,973.0,2429.0,70.0,696.0,20.0,414.0,40.0,169.0
Sinjeong 3(sam)-dong,Yangcheon-gu,1991.0,629.0,7934.0,4610.0,3324.0,1686.0,3412.0,199.0,2921.0,35.0,1032.0,71.0,569.0
Sinjeong 6(yuk)-dong,Yangcheon-gu,693.0,278.0,5130.0,2616.0,2514.0,566.0,1548.0,75.0,772.0,23.0,2634.0,29.0,176.0
Sinjeong 7(chil)-dong,Yangcheon-gu,1016.0,359.0,4365.0,2501.0,1864.0,866.0,1808.0,79.0,751.0,30.0,1534.0,41.0,272.0
Mok 5(o)-dong,Yangcheon-gu,1489.0,666.0,9703.0,4239.0,5464.0,1221.0,3191.0,183.0,2371.0,36.0,3783.0,49.0,358.0
Sinjeong 4(sa)-dong,Yangcheon-gu,3010.0,1115.0,12547.0,6821.0,5726.0,2522.0,6986.0,332.0,4398.0,52.0,856.0,104.0,307.0
Yeomchang-dong,Gangseo-gu,2157.0,701.0,15145.0,9222.0,5923.0,1480.0,3580.0,554.0,9900.0,34.0,1106.0,89.0,559.0
Deungchon 1(il)-dong,Gangseo-gu,1742.0,568.0,10265.0,5964.0,4301.0,1194.0,3442.0,471.0,6067.0,23.0,536.0,54.0,220.0
Deungchon 2(i)-dong,Gangseo-gu,712.0,240.0,3351.0,1921.0,1430.0,590.0,1427.0,67.0,892.0,22.0,909.0,33.0,123.0
Deungchon 3(sam)-dong,Gangseo-gu,2296.0,755.0,19501.0,9766.0,9735.0,1564.0,4449.0,586.0,12129.0,66.0,2294.0,80.0,629.0
Hwagokbon-dong,Gangseo-gu,1368.0,533.0,3954.0,1732.0,2222.0,1233.0,2910.0,67.0,550.0,23.0,336.0,45.0,158.0
Hwagok 2(i)-dong,Gangseo-gu,842.0,308.0,2340.0,1177.0,1163.0,742.0,1475.0,55.0,470.0,6.0,208.0,39.0,187.0
Hwagok 3(sam)-dong,Gangseo-gu,1177.0,478.0,3975.0,1542.0,2433.0,1030.0,2185.0,89.0,1369.0,18.0,304.0,40.0,117.0
Hwagok 4(sa)-dong,Gangseo-gu,1445.0,567.0,3549.0,1772.0,1777.0,1324.0,2598.0,59.0,425.0,17.0,433.0,45.0,93.0
Hwagok 6(yuk)-dong,Gangseo-gu,1831.0,671.0,11125.0,6069.0,5056.0,1454.0,4041.0,279.0,4656.0,52.0,2254.0,46.0,174.0
Hwagok 8(pal)-dong,Gangseo-gu,1214.0,493.0,3156.0,1586.0,1570.0,1114.0,2138.0,39.0,827.0,16.0,85.0,45.0,106.0
Gayang 1(il)-dong,Gangseo-gu,1225.0,332.0,9936.0,6648.0,3288.0,828.0,2334.0,320.0,6813.0,29.0,585.0,48.0,204.0
Gayang 2(i)-dong,Gangseo-gu,651.0,223.0,3293.0,1671.0,1622.0,474.0,1160.0,108.0,1129.0,27.0,753.0,42.0,251.0
Gayang 3(sam)-dong,Gangseo-gu,861.0,178.0,6785.0,4285.0,2500.0,492.0,1212.0,325.0,4552.0,21.0,830.0,23.0,191.0
Balsan 1(il)-dong,Gangseo-gu,2147.0,715.0,10930.0,6219.0,4711.0,1631.0,4085.0,379.0,4480.0,56.0,2057.0,81.0,308.0
Gonghang-dong,Gangseo-gu,1822.0,596.0,33019.0,17128.0,15891.0,1292.0,3062.0,446.0,28041.0,36.0,1772.0,48.0,144.0
Banghwa 1(il)-dong,Gangseo-gu,1957.0,719.0,7140.0,3605.0,3535.0,1693.0,3450.0,152.0,2784.0,12.0,375.0,100.0,531.0
Banghwa 2(i)-dong,Gangseo-gu,3160.0,829.0,12658.0,8202.0,4456.0,2661.0,4666.0,390.0,6798.0,33.0,844.0,76.0,350.0
Banghwa 3(sam)-dong,Gangseo-gu,853.0,236.0,3824.0,2386.0,1438.0,695.0,1211.0,81.0,1359.0,31.0,938.0,46.0,316.0
Hwagok 1(il)-dong,Gangseo-gu,2987.0,1150.0,8395.0,4296.0,4099.0,2677.0,6188.0,179.0,1332.0,23.0,491.0,108.0,384.0
Ujangsan-dong,Gangseo-gu,1574.0,622.0,5940.0,2795.0,3145.0,1325.0,3508.0,148.0,1548.0,31.0,640.0,70.0,244.0
Sindorim-dong,Guro-gu,2569.0,725.0,13854.0,7452.0,6402.0,1973.0,4819.0,515.0,8164.0,27.0,552.0,54.0,319.0
Guro 1(il)-dong,Guro-gu,675.0,236.0,2971.0,1517.0,1454.0,573.0,1263.0,69.0,1081.0,10.0,512.0,23.0,115.0
Guro 3(sam)-dong,Guro-gu,5737.0,1153.0,78879.0,50506.0,28373.0,2351.0,8685.0,3191.0,66825.0,114.0,2105.0,81.0,1264.0
Guro 4(sa)-dong,Guro-gu,2011.0,906.0,5476.0,2483.0,2993.0,1787.0,3562.0,129.0,1078.0,41.0,442.0,54.0,394.0
Guro 5(o)-dong,Guro-gu,4619.0,1255.0,24401.0,12768.0,11633.0,3570.0,7904.0,899.0,13982.0,64.0,1871.0,86.0,644.0
Gocheok 1(il)-dong,Guro-gu,2456.0,636.0,7829.0,4694.0,3135.0,2096.0,4458.0,275.0,1939.0,31.0,1258.0,54.0,174.0
Gocheok 2(i)-dong,Guro-gu,1155.0,515.0,3432.0,1624.0,1808.0,1026.0,2198.0,59.0,514.0,22.0,544.0,48.0,176.0
Gaebong 2(i)-dong,Guro-gu,1170.0,421.0,2703.0,1317.0,1386.0,1080.0,2029.0,44.0,427.0,10.0,115.0,36.0,132.0
Gaebong 3(sam)-dong,Guro-gu,1002.0,374.0,3803.0,2174.0,1629.0,902.0,1686.0,44.0,1648.0,10.0,357.0,46.0,112.0
Oryu 1(il)-dong,Guro-gu,1080.0,414.0,4353.0,2114.0,2239.0,932.0,2344.0,95.0,1510.0,21.0,303.0,32.0,196.0
Oryu 2(i)-dong,Guro-gu,1406.0,439.0,6306.0,4013.0,2293.0,1185.0,2518.0,113.0,1345.0,42.0,2060.0,66.0,383.0
Sugung-dong,Guro-gu,1091.0,316.0,5602.0,3667.0,1935.0,900.0,2097.0,100.0,2207.0,30.0,1094.0,61.0,204.0
Garibong-dong,Guro-gu,1032.0,455.0,2877.0,1238.0,1639.0,948.0,1838.0,48.0,455.0,10.0,165.0,26.0,419.0
Guro 2(i)-dong,Guro-gu,7577.0,1629.0,25793.0,15750.0,10043.0,5922.0,12106.0,1522.0,9376.0,58.0,3904.0,75.0,407.0
Gaebong 1(il)-dong,Guro-gu,1772.0,636.0,5381.0,2719.0,2662.0,1561.0,3728.0,109.0,936.0,31.0,498.0,71.0,219.0
Gasan-dong,Geumcheon-gu,11813.0,2346.0,140007.0,91899.0,48108.0,5101.0,18734.0,6462.0,117831.0,164.0,2720.0,86.0,722.0
Doksan 1(il)-dong,Geumcheon-gu,3233.0,934.0,18814.0,11888.0,6926.0,2568.0,7825.0,546.0,9721.0,44.0,793.0,75.0,475.0
Doksan 2(i)-dong,Geumcheon-gu,1237.0,428.0,3323.0,1690.0,1633.0,1105.0,2225.0,60.0,672.0,15.0,254.0,57.0,172.0
Doksan 3(sam)-dong,Geumcheon-gu,2226.0,806.0,8511.0,4517.0,3994.0,2002.0,4819.0,104.0,2560.0,40.0,893.0,80.0,239.0
Doksan 4(sa)-dong,Geumcheon-gu,1060.0,429.0,3096.0,1531.0,1565.0,961.0,1956.0,46.0,432.0,16.0,621.0,37.0,87.0
Siheung 1(il)-dong,Geumcheon-gu,3018.0,1188.0,13368.0,6624.0,6744.0,2635.0,6190.0,220.0,4602.0,44.0,2074.0,119.0,502.0
Siheung 2(i)-dong,Geumcheon-gu,551.0,169.0,1787.0,743.0,1044.0,487.0,894.0,13.0,98.0,16.0,553.0,35.0,242.0
Siheung 3(sam)-dong,Geumcheon-gu,3182.0,513.0,9142.0,6649.0,2493.0,2452.0,4663.0,679.0,3838.0,22.0,561.0,29.0,80.0
Siheung 4(sa)-dong,Geumcheon-gu,882.0,312.0,1956.0,939.0,1017.0,793.0,1377.0,11.0,77.0,14.0,288.0,64.0,214.0
Siheung 5(o)-dong,Geumcheon-gu,1204.0,485.0,3451.0,1745.0,1706.0,1088.0,2125.0,29.0,844.0,14.0,200.0,73.0,282.0
Yeouido-dong,Yeongdeungpo-gu,7564.0,2137.0,150020.0,93140.0,56880.0,3617.0,12506.0,3314.0,110671.0,390.0,24696.0,243.0,2147.0
Dangsan 1(il)-dong,Yeongdeungpo-gu,3092.0,881.0,16953.0,9502.0,7451.0,2323.0,5132.0,619.0,7995.0,73.0,3524.0,77.0,302.0
Dangsan2(i)-dong,Yeongdeungpo-gu,2164.0,732.0,16477.0,8491.0,7986.0,1490.0,3945.0,562.0,10772.0,53.0,1399.0,59.0,361.0
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,3186.0,486.0,19922.0,12808.0,7114.0,2478.0,4507.0,612.0,14372.0,44.0,730.0,52.0,313.0
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,2074.0,570.0,18234.0,11812.0,6422.0,1306.0,3842.0,689.0,13100.0,32.0,952.0,47.0,340.0
Singil 1(il)-dong,Yeongdeungpo-gu,1177.0,470.0,4035.0,1982.0,2053.0,1027.0,2049.0,92.0,929.0,22.0,847.0,36.0,210.0
Singil 3(sam)-dong,Yeongdeungpo-gu,1007.0,392.0,3056.0,1737.0,1319.0,915.0,1661.0,55.0,914.0,14.0,378.0,23.0,103.0
Singil 4(sa)-dong,Yeongdeungpo-gu,595.0,209.0,1567.0,766.0,801.0,534.0,988.0,29.0,302.0,8.0,166.0,24.0,111.0
Singil 5(o)-dong,Yeongdeungpo-gu,689.0,213.0,2079.0,1243.0,836.0,596.0,980.0,41.0,349.0,20.0,615.0,32.0,135.0
Singil 6(yuk)-dong,Yeongdeungpo-gu,1232.0,443.0,3974.0,1919.0,2055.0,1073.0,2214.0,82.0,1077.0,30.0,557.0,47.0,126.0
Singil 7(chil)-dong,Yeongdeungpo-gu,591.0,200.0,3030.0,1516.0,1514.0,458.0,998.0,84.0,1121.0,22.0,783.0,27.0,128.0
Daerim 1(il)-dong,Yeongdeungpo-gu,1129.0,479.0,4079.0,1757.0,2322.0,990.0,2243.0,81.0,477.0,17.0,1196.0,41.0,163.0
Daerim 2(i)-dong,Yeongdeungpo-gu,1408.0,590.0,4437.0,2365.0,2072.0,1272.0,2727.0,96.0,1385.0,13.0,263.0,27.0,62.0
Daerim 3(sam)-dong,Yeongdeungpo-gu,2907.0,739.0,10781.0,6212.0,4569.0,2460.0,5392.0,334.0,4357.0,35.0,671.0,78.0,361.0
Yeongdeungpobon-dong,Yeongdeungpo-gu,1240.0,494.0,4537.0,2151.0,2386.0,1042.0,2339.0,123.0,1333.0,28.0,638.0,47.0,227.0
Yeongdeungpo-dong,Yeongdeungpo-gu,6076.0,1898.0,34547.0,18701.0,15846.0,4779.0,10882.0,1103.0,19242.0,98.0,3945.0,96.0,478.0
Dorim-dong,Yeongdeungpo-gu,1025.0,355.0,3138.0,1935.0,1203.0,859.0,1991.0,115.0,816.0,10.0,80.0,41.0,251.0
Mullae-dong,Yeongdeungpo-gu,4995.0,993.0,36161.0,22972.0,13189.0,3657.0,8814.0,1172.0,25471.0,73.0,1335.0,93.0,541.0
Noryangjin 2(i)-dong,Dongjak-gu,1035.0,428.0,5138.0,2476.0,2662.0,899.0,1967.0,83.0,1737.0,17.0,1307.0,36.0,127.0
Sangdo 1(il)-dong,Dongjak-gu,1724.0,676.0,6250.0,3245.0,3005.0,1456.0,3398.0,153.0,1168.0,40.0,1353.0,75.0,331.0
Sangdo 2(i)-dong,Dongjak-gu,1261.0,541.0,4090.0,1888.0,2202.0,1110.0,2533.0,82.0,771.0,23.0,610.0,46.0,176.0
Sangdo 3(sam)-dong,Dongjak-gu,989.0,393.0,2720.0,1260.0,1460.0,895.0,1927.0,41.0,449.0,10.0,237.0,43.0,107.0
Sangdo 4(sa)-dong,Dongjak-gu,1006.0,366.0,2879.0,1324.0,1555.0,899.0,1846.0,36.0,254.0,19.0,608.0,52.0,171.0
