Dong,사업_사업체현황종사상지위별_Gu_Gu,사업_사업체현황종사상지위별_total_No. of establishments,사업_사업체현황종사상지위별_total_No. of workers,사업_사업체현황종사상지위별_total_Female employee,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Sub total,사업_사업체현황종사상지위별_Self-employee unpaid family workers_Female employee,사업_사업체현황종사상지위별_Regular workers_Sub total,사업_사업체현황종사상지위별_Regular workers_Female employee,사업_사업체현황종사상지위별_Temporary and dayworkers_Sub total,사업_사업체현황종사상지위별_Temporary and dayworkers_Female employee,사업_사업체현황종사상지위별_Other workers_Sub total,사업_사업체현황종사상지위별_Other workers_Female employee
Jeonnong 2(i)-dong,Dongdaemun-gu,845.0,4362.0,2408.0,871.0,380.0,3151.0,1808.0,313.0,215.0,27,5
Dapsimni 1(il)-dong,Dongdaemun-gu,2095.0,10111.0,3788.0,2103.0,715.0,6153.0,2504.0,1501.0,364.0,354,205
Dapsimni 2(i)-dong,Dongdaemun-gu,2003.0,5735.0,2256.0,2032.0,657.0,3049.0,1236.0,347.0,194.0,307,169
Jangan 1(il)-dong,Dongdaemun-gu,4376.0,20752.0,9258.0,4261.0,1541.0,13292.0,5681.0,1999.0,1073.0,1200,963
Jangan 2(i)-dong,Dongdaemun-gu,3190.0,10088.0,5158.0,3418.0,1420.0,5222.0,2681.0,1196.0,902.0,252,155
Imun 1(il)-dong,Dongdaemun-gu,1476.0,5316.0,2538.0,1633.0,725.0,2599.0,1265.0,1044.0,524.0,40,24
Imun 2(i)-dong,Dongdaemun-gu,732.0,2183.0,892.0,800.0,344.0,997.0,403.0,220.0,133.0,166,12
Myeonmok 2(i)-dong,Jungnang-gu,2018.0,6140.0,2629.0,2370.0,965.0,2360.0,985.0,1053.0,628.0,357,51
Myeonmok 4(sa)-dong,Jungnang-gu,1058.0,3407.0,1499.0,1230.0,529.0,1598.0,631.0,538.0,313.0,41,26
Myeonmok 5(o)-dong,Jungnang-gu,1002.0,3740.0,1498.0,1240.0,478.0,1823.0,678.0,641.0,336.0,36,6
Myeonmok 7(chil)-dong,Jungnang-gu,1507.0,4122.0,2133.0,1991.0,881.0,1325.0,726.0,784.0,517.0,22,9
Sangbong 1(il)-dong,Jungnang-gu,1100.0,6159.0,2973.0,1053.0,421.0,3134.0,1165.0,1007.0,603.0,965,784
