Dong,사업_사업체분포다수업종상위10_Gu_Gu_Gu,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_택시운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_한식음식점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_용달 및 개별화물 자동차운송업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_부동산자문 및 중개업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타주점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_두발미용업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 기타 의복 소매점_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_셔츠 및 외의 도매업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_비알콜 음료점업_종사자수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_사업체수,사업_사업체분포다수업종상위10_다수업종 상위10_기타음·식료품 위주 종합소매업_종사자수
Yeomchang-dong,Gangseo-gu,154,719,115,408,116,144.0,68.0,91.0,35,77,48,77,12,13,5,152,34,103,12,25
Deungchon 1(il)-dong,Gangseo-gu,109,258,121,423,71,80.0,60.0,88.0,41,93,33,65,40,77,8,31,21,76,16,33
Deungchon 2(i)-dong,Gangseo-gu,87,302,35,83,52,54.0,26.0,39.0,22,36,18,27,5,6,-,-,10,25,9,18
Deungchon 3(sam)-dong,Gangseo-gu,208,407,120,572,125,128.0,50.0,94.0,39,86,43,97,53,116,11,320,41,165,27,59
Hwagokbon-dong,Gangseo-gu,141,141,100,284,128,128.0,51.0,86.0,49,96,42,65,19,32,-,-,10,25,30,61
Hwagok 2(i)-dong,Gangseo-gu,72,72,22,50,83,85.0,23.0,30.0,12,17,30,34,9,18,X,2,5,6,20,39
Hwagok 3(sam)-dong,Gangseo-gu,98,98,88,276,73,74.0,46.0,99.0,38,71,49,66,26,34,X,1,18,55,13,32
Hwagok 4(sa)-dong,Gangseo-gu,87,87,105,257,115,118.0,40.0,53.0,58,99,57,69,27,38,-,-,12,33,21,36
Hwagok 6(yuk)-dong,Gangseo-gu,74,660,191,642,74,81.0,48.0,76.0,130,347,41,105,21,26,4,36,23,134,25,54
Hwagok 8(pal)-dong,Gangseo-gu,107,107,75,169,99,99.0,70.0,78.0,34,58,50,69,28,39,-,-,12,29,20,32
Gayang 1(il)-dong,Gangseo-gu,146,537,79,322,69,69.0,35.0,58.0,20,41,20,37,4,6,X,1,11,51,14,23
Gayang 2(i)-dong,Gangseo-gu,52,52,31,60,66,66.0,18.0,34.0,9,14,17,32,33,59,X,6,4,24,6,10
Gayang 3(sam)-dong,Gangseo-gu,132,132,20,73,77,77.0,14.0,27.0,4,11,15,36,12,32,4,48,3,19,10,18
Balsan 1(il)-dong,Gangseo-gu,151,901,87,236,136,146.0,51.0,91.0,20,38,50,104,30,47,X,3,24,68,26,59
Gonghang-dong,Gangseo-gu,78,714,144,526,81,94.0,37.0,52.0,74,162,39,66,29,43,X,39,17,84,26,51
Banghwa 1(il)-dong,Gangseo-gu,190,190,139,374,163,186.0,63.0,87.0,53,84,71,92,28,39,X,5,22,42,22,41
Banghwa 2(i)-dong,Gangseo-gu,1271,1764,133,424,118,133.0,47.0,58.0,57,82,43,55,168,691,X,3,30,140,27,42
Banghwa 3(sam)-dong,Gangseo-gu,212,639,35,82,105,107.0,28.0,44.0,14,25,26,39,10,13,-,-,8,17,15,28
Hwagok 1(il)-dong,Gangseo-gu,227,227,226,645,203,222.0,116.0,183.0,143,261,83,127,44,69,X,2,28,78,48,88
Ujangsan-dong,Gangseo-gu,155,155,92,313,105,105.0,86.0,122.0,30,57,52,79,16,20,-,-,23,45,22,50
Sindorim-dong,Guro-gu,88,88,125,670,86,88.0,63.0,98.0,20,64,43,95,63,313,X,7,38,189,25,66
Guro 1(il)-dong,Guro-gu,101,101,16,54,60,64.0,26.0,46.0,18,34,18,44,4,15,X,1,7,22,6,17
Guro 3(sam)-dong,Guro-gu,63,63,283,1326,54,54.0,109.0,180.0,89,327,37,71,14,28,22,509,84,345,39,79
Guro 4(sa)-dong,Guro-gu,56,56,149,324,98,98.0,68.0,108.0,91,158,60,87,33,55,X,4,23,38,52,96
Guro 5(o)-dong,Guro-gu,1238,1495,236,674,110,133.0,86.0,128.0,63,133,44,94,237,455,5,8,47,184,32,68
Gocheok 1(il)-dong,Guro-gu,135,312,112,392,118,126.0,29.0,35.0,68,122,36,56,72,135,3,7,20,51,33,64
Gocheok 2(i)-dong,Guro-gu,-,-,83,207,X,1.0,42.0,52.0,34,53,53,69,24,30,3,5,15,38,22,51
Gaebong 2(i)-dong,Guro-gu,150,150,73,158,133,135.0,38.0,47.0,36,44,52,100,8,9,3,3,15,27,17,32
Gaebong 3(sam)-dong,Guro-gu,102,102,65,139,114,114.0,35.0,52.0,35,49,45,52,14,17,X,1,8,11,17,38
Oryu 1(il)-dong,Guro-gu,77,77,76,185,64,64.0,34.0,55.0,33,79,35,67,11,22,-,-,10,30,20,74
Oryu 2(i)-dong,Guro-gu,181,552,78,179,184,192.0,45.0,65.0,18,28,42,53,4,5,5,7,8,13,25,61
Sugung-dong,Guro-gu,160,566,71,144,124,126.0,30.0,48.0,18,29,30,34,X,4,X,6,8,15,20,46
Garibong-dong,Guro-gu,27,27,78,149,42,42.0,20.0,22.0,63,123,30,32,10,13,X,3,16,36,46,85
Guro 2(i)-dong,Guro-gu,139,139,271,642,144,149.0,94.0,114.0,92,130,68,92,24,49,25,71,45,74,93,148
Gaebong 1(il)-dong,Guro-gu,141,247,110,270,184,197.0,37.0,46.0,47,71,56,77,19,36,5,18,16,31,42,100
Gasan-dong,Geumcheon-gu,78,221,442,1764,216,324.0,152.0,299.0,91,239,35,105,376,1458,80,1030,138,532,80,150
Doksan 1(il)-dong,Geumcheon-gu,193,1522,191,544,143,154.0,51.0,65.0,63,96,43,68,38,74,9,36,24,80,52,80
Doksan 2(i)-dong,Geumcheon-gu,113,268,89,225,101,105.0,36.0,47.0,40,54,48,52,10,14,X,4,5,11,21,49
Doksan 3(sam)-dong,Geumcheon-gu,97,236,132,295,128,138.0,57.0,74.0,76,104,73,87,29,33,11,28,15,36,60,128
Doksan 4(sa)-dong,Geumcheon-gu,74,74,90,174,73,76.0,29.0,31.0,56,88,37,50,X,3,X,8,10,18,28,53
Siheung 1(il)-dong,Geumcheon-gu,147,318,255,859,147,156.0,70.0,88.0,122,229,84,138,85,149,7,16,38,96,52,96
Siheung 2(i)-dong,Geumcheon-gu,134,134,9,22,98,108.0,16.0,30.0,4,8,19,29,3,5,-,-,8,17,10,37
Siheung 3(sam)-dong,Geumcheon-gu,77,222,74,170,109,146.0,28.0,35.0,19,28,15,19,6,6,7,38,7,8,20,31
Siheung 4(sa)-dong,Geumcheon-gu,138,138,29,56,125,125.0,25.0,32.0,22,34,38,42,11,15,X,2,8,13,22,69
Siheung 5(o)-dong,Geumcheon-gu,102,102,77,167,126,126.0,32.0,46.0,31,49,49,57,18,27,X,1,11,18,35,65
Yeouido-dong,Yeongdeungpo-gu,10,10,650,3252,18,39.0,129.0,293.0,162,568,50,155,38,113,17,742,214,1085,90,167
Dangsan 1(il)-dong,Yeongdeungpo-gu,36,36,222,583,68,93.0,68.0,100.0,150,245,38,54,8,11,X,5,52,116,36,57
Dangsan2(i)-dong,Yeongdeungpo-gu,48,346,137,505,61,62.0,82.0,123.0,70,150,36,89,13,21,6,13,45,137,24,42
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,52,291,128,311,1091,1127.0,39.0,74.0,30,46,19,24,5,5,5,45,23,37,20,27
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,66,795,126,374,78,112.0,47.0,83.0,43,97,24,34,6,7,5,28,35,117,27,45
Singil 1(il)-dong,Yeongdeungpo-gu,47,47,91,227,68,70.0,36.0,51.0,49,83,48,60,30,37,X,1,10,18,38,69
Singil 3(sam)-dong,Yeongdeungpo-gu,61,61,53,138,80,88.0,29.0,33.0,36,61,35,44,37,50,-,-,6,10,19,33
Singil 4(sa)-dong,Yeongdeungpo-gu,37,37,41,64,49,50.0,24.0,25.0,28,49,28,30,3,3,-,-,-,-,25,43
Singil 5(o)-dong,Yeongdeungpo-gu,50,50,39,83,72,73.0,15.0,16.0,24,36,21,22,4,5,-,-,5,20,24,33
Singil 6(yuk)-dong,Yeongdeungpo-gu,94,94,82,227,76,79.0,60.0,71.0,34,64,38,54,11,14,X,4,14,36,35,55
Singil 7(chil)-dong,Yeongdeungpo-gu,29,29,39,112,36,36.0,14.0,22.0,17,29,15,16,X,3,-,-,10,18,11,26
Daerim 1(il)-dong,Yeongdeungpo-gu,40,40,81,171,49,49.0,33.0,43.0,48,83,44,52,17,20,X,4,9,12,23,40
Daerim 2(i)-dong,Yeongdeungpo-gu,37,37,90,226,53,53.0,48.0,67.0,64,99,51,57,17,24,3,5,18,31,44,73
Daerim 3(sam)-dong,Yeongdeungpo-gu,654,654,131,365,135,161.0,61.0,87.0,86,145,50,67,6,8,4,11,18,39,44,112
Yeongdeungpobon-dong,Yeongdeungpo-gu,68,68,90,267,89,89.0,35.0,56.0,29,48,29,59,65,196,-,-,20,97,36,68
Yeongdeungpo-dong,Yeongdeungpo-gu,19,19,451,1581,49,92.0,95.0,154.0,126,329,46,182,182,508,6,13,95,460,111,180
Dorim-dong,Yeongdeungpo-gu,43,184,55,146,81,97.0,40.0,56.0,34,72,29,43,X,2,X,2,5,9,28,50
Mullae-dong,Yeongdeungpo-gu,74,215,223,733,80,83.0,59.0,118.0,33,75,28,83,40,66,7,31,51,154,42,83
Noryangjin 2(i)-dong,Dongjak-gu,31,31,73,182,46,47.0,38.0,53.0,52,92,28,42,21,26,-,-,21,51,27,48
Sangdo 1(il)-dong,Dongjak-gu,109,109,117,334,95,95.0,71.0,106.0,58,107,53,94,21,39,4,14,55,128,26,64
Sangdo 2(i)-dong,Dongjak-gu,63,63,86,255,56,63.0,70.0,96.0,28,47,45,83,23,34,X,1,9,19,17,28
Sangdo 3(sam)-dong,Dongjak-gu,103,103,57,156,76,76.0,39.0,56.0,19,42,46,75,21,32,-,-,8,15,16,32
Sangdo 4(sa)-dong,Dongjak-gu,131,131,55,135,110,110.0,37.0,64.0,19,34,43,54,15,21,-,-,9,12,16,32
Sadang 1(il)-dong,Dongjak-gu,54,54,153,422,79,89.0,80.0,142.0,83,158,46,85,17,42,X,22,35,109,23,42
Sadang 3(sam)-dong,Dongjak-gu,83,83,54,155,68,84.0,45.0,63.0,21,38,32,36,7,9,X,2,15,34,13,22
Sadang 4(sa)-dong,Dongjak-gu,51,51,30,78,50,54.0,21.0,29.0,11,29,29,44,16,20,-,-,5,16,10,21
Sadang 5(o)-dong,Dongjak-gu,55,55,24,82,45,54.0,19.0,25.0,6,16,23,31,5,6,X,11,6,15,12,23
Daebang-dong,Dongjak-gu,110,239,87,283,71,82.0,54.0,95.0,41,99,37,73,16,26,-,-,23,91,24,45
Sindaebang 1(il)-dong,Dongjak-gu,46,46,62,193,48,58.0,43.0,54.0,25,38,39,50,25,32,4,15,13,27,21,38
Sindaebang 2(i)-dong,Dongjak-gu,45,45,122,365,45,48.0,41.0,65.0,30,60,35,52,14,30,3,184,34,105,18,35
Heukseok-dong,Dongjak-gu,80,80,148,455,72,79.0,73.0,113.0,77,206,52,123,28,36,X,2,50,162,42,79
Noryangjin 1(il)-dong,Dongjak-gu,88,88,166,637,67,67.0,69.0,97.0,53,162,48,92,29,47,-,-,79,229,50,109
Sadang 2(i)-dong,Dongjak-gu,64,64,129,443,60,61.0,62.0,89.0,91,290,59,141,17,35,-,-,25,118,19,29
Boramae-dong,Gwanak-gu,98,98,100,288,75,75.0,39.0,50.0,50,87,47,69,98,170,-,-,17,49,18,52
Cheongnim-dong,Gwanak-gu,47,47,15,30,34,34.0,21.0,27.0,15,22,20,27,5,5,-,-,3,7,10,15
Haengun-dong,Gwanak-gu,81,81,97,258,60,63.0,59.0,117.0,40,92,55,125,27,52,-,-,31,75,20,36
Nagseongdae-dong,Gwanak-gu,35,289,128,525,36,38.0,34.0,84.0,96,224,32,90,12,15,3,8,31,107,24,68
Jungang-dong,Gwanak-gu,488,488,94,254,42,42.0,43.0,56.0,35,55,33,51,16,19,X,10,13,30,17,33
Inheon-dong,Gwanak-gu,87,87,73,177,70,70.0,46.0,71.0,31,63,39,66,27,41,-,-,16,34,20,38
Namhyeon-dong,Gwanak-gu,47,47,86,343,36,44.0,30.0,49.0,45,199,20,39,14,21,3,10,15,78,7,21
Sewon-dong,Gwanak-gu,60,60,136,563,54,54.0,38.0,78.0,123,474,34,136,45,166,-,-,41,222,26,56
Sinwon-dong,Gwanak-gu,55,55,60,135,37,37.0,31.0,38.0,28,45,38,48,13,14,X,1,6,9,23,38
Serim-dong,Gwanak-gu,101,462,65,166,57,60.0,30.0,45.0,22,37,26,33,11,15,-,-,15,42,27,60
Sinsa-dong,Gwanak-gu,63,63,94,244,84,93.0,53.0,82.0,38,78,60,84,14,16,X,8,12,30,28,54
Sillim-dong,Gwanak-gu,30,30,194,665,27,32.0,95.0,159.0,116,273,42,111,56,85,-,-,33,109,28,66
Nanhyang-dong,Gwanak-gu,70,70,12,33,52,54.0,14.0,20.0,6,9,16,24,X,2,-,-,X,1,10,18
Jowon-dong,Gwanak-gu,51,51,153,485,349,376.0,50.0,69.0,71,171,50,89,27,40,X,2,18,64,39,80
Daehak-dong,Gwanak-gu,63,63,174,482,46,46.0,37.0,57.0,71,173,42,76,7,12,-,-,58,203,28,86
Euncheon-dong,Gwanak-gu,160,462,123,305,107,112.0,53.0,83.0,50,76,49,85,14,58,X,2,15,47,22,39
Seonghyeon-dong,Gwanak-gu,144,144,21,51,71,76.0,32.0,52.0,17,30,34,46,6,8,-,-,5,5,13,23
Cheongnyong-dong,Gwanak-gu,59,59,165,467,64,64.0,83.0,149.0,74,144,66,117,65,114,3,14,41,127,31,57
Nangok-dong,Gwanak-gu,138,138,35,74,115,115.0,25.0,27.0,19,30,44,47,12,14,-,-,7,11,33,52
Samseong-dong,Gwanak-gu,186,186,68,107,117,137.0,32.0,45.0,29,38,36,46,25,34,-,-,3,5,28,49
Miseong-dong,Gwanak-gu,168,168,79,200,156,165.0,40.0,47.0,30,49,54,61,38,53,3,27,14,30,29,50
Seocho 1(il)-dong,Seocho-gu,14,14,178,783,17,19.0,82.0,152.0,33,97,37,81,8,16,6,25,70,210,15,42
Seocho 2(i)-dong,Seocho-gu,13,89,219,1246,12,12.0,158.0,322.0,34,123,49,144,25,40,18,75,85,348,24,39
Seocho 3(sam)-dong,Seocho-gu,25,25,451,2141,28,159.0,191.0,519.0,96,335,46,114,24,45,30,591,141,450,34,68
Seocho 4(sa)-dong,Seocho-gu,4,4,181,1180,3,3.0,93.0,297.0,75,497,35,213,26,130,6,91,65,422,13,39
Jamwon-dong,Seocho-gu,6,6,173,688,15,15.0,105.0,197.0,69,163,33,86,7,9,6,66,41,135,17,34
Banpobon-dong,Seocho-gu,4,4,25,72,X,2.0,30.0,37.0,17,30,20,38,65,70,X,8,15,57,11,31
Banpo 1(il)-dong,Seocho-gu,10,10,113,370,15,15.0,80.0,184.0,45,98,49,117,11,36,5,17,32,121,25,52
Banpo 2(i)-dong,Seocho-gu,X,2,8,43,7,7.0,39.0,46.0,3,5,20,49,7,11,-,-,7,15,X,7
Banpo 3(sam)-dong,Seocho-gu,5,5,36,136,7,7.0,65.0,91.0,6,11,16,72,38,68,3,5,8,35,9,11
Banpo 4(sa)-dong,Seocho-gu,13,13,141,1044,7,7.0,37.0,82.0,39,154,34,161,305,670,5,26,80,392,33,72
Bangbaebon-dong,Seocho-gu,13,13,108,342,15,79.0,47.0,68.0,38,89,47,69,13,19,5,15,40,132,14,34
Bangbae 1(il)-dong,Seocho-gu,28,28,115,354,20,20.0,53.0,112.0,29,53,36,97,14,17,X,8,35,131,8,13
Bangbae 2(i)-dong,Seocho-gu,56,56,140,633,60,65.0,75.0,148.0,48,154,30,38,14,22,3,13,34,110,12,19
Bangbae 3(sam)-dong,Seocho-gu,29,261,36,137,35,36.0,49.0,65.0,7,13,23,27,4,7,7,337,15,32,16,27
Bangbae 4(sa)-dong,Seocho-gu,42,42,125,321,37,46.0,90.0,150.0,26,42,54,83,15,26,11,108,24,55,14,26
Yangjae 1(il)-dong,Seocho-gu,91,91,195,760,81,81.0,80.0,166.0,57,160,38,108,14,27,15,166,64,194,18,35
Yangjae 2(i)-dong,Seocho-gu,48,230,314,1056,78,121.0,103.0,282.0,57,118,38,57,49,116,27,87,64,197,34,55
Naegok-dong,Seocho-gu,23,183,32,185,27,27.0,9.0,11.0,X,2,X,1,-,-,-,-,4,8,11,23
Sinsa-dong,Gangnam-gu,7,7,220,1110,16,21.0,92.0,233.0,68,219,77,290,194,662,48,233,128,651,18,39
Nonhyeon 1(il)-dong,Gangnam-gu,21,21,323,1577,22,53.0,154.0,554.0,86,362,85,401,43,112,19,138,83,417,36,83
Nonhyeon 2(i)-dong,Gangnam-gu,19,19,368,1921,19,19.0,134.0,391.0,100,304,64,207,39,201,28,604,109,445,33,97
Samseong 1(il)-dong,Gangnam-gu,15,15,226,1420,31,45.0,85.0,375.0,47,194,33,139,43,131,24,687,88,430,23,60
Samseong 2(i)-dong,Gangnam-gu,22,22,171,801,21,174.0,140.0,380.0,21,67,59,143,14,23,12,251,62,210,21,43
Daechi 1(il)-dong,Gangnam-gu,4,4,52,254,5,5.0,60.0,94.0,7,11,30,172,16,26,X,3,21,91,6,12
Daechi 4(sa)-dong,Gangnam-gu,14,14,249,1104,23,27.0,144.0,694.0,66,209,71,222,23,58,14,450,84,329,17,40
Yeoksam 1(il)-dong,Gangnam-gu,28,28,911,4427,22,22.0,438.0,2011.0,211,760,147,651,141,603,66,1180,337,1436,70,152
Yeoksam 2(i)-dong,Gangnam-gu,42,42,179,819,25,25.0,130.0,323.0,26,61,32,80,21,58,15,322,76,250,23,51
Dogok 1(il)-dong,Gangnam-gu,12,12,79,419,32,45.0,68.0,126.0,17,58,32,94,21,44,10,229,33,104,13,38
Dogok 2(i)-dong,Gangnam-gu,19,172,109,494,7,11.0,76.0,157.0,31,90,22,72,9,18,11,106,34,190,10,22
Gaepo 1(il)-dong,Gangnam-gu,73,73,7,18,72,73.0,44.0,73.0,-,-,19,24,X,1,-,-,4,6,13,32
Gaepo 4(sa)-dong,Gangnam-gu,1067,1067,109,273,66,69.0,53.0,88.0,21,38,32,53,12,44,25,113,24,70,16,43
Irwonbon-dong,Gangnam-gu,81,81,15,97,44,44.0,30.0,54.0,3,4,18,24,3,3,-,-,11,95,11,25
Irwon 1(il)-dong,Gangnam-gu,22,22,89,293,29,29.0,20.0,30.0,30,63,22,42,9,13,-,-,13,42,15,34
Irwon 2(i)-dong,Gangnam-gu,73,84,27,65,24,24.0,23.0,28.0,4,7,12,20,7,7,-,-,7,15,X,7
Suseo-dong,Gangnam-gu,51,444,81,334,36,36.0,28.0,65.0,14,42,20,39,7,7,6,26,18,70,9,57
Segok-dong,Gangnam-gu,58,335,28,95,69,69.0,18.0,29.0,X,2,6,9,-,-,-,-,X,4,10,27
Apgujeong -dong,Gangnam-gu,3,3,206,1333,5,5.0,76.0,140.0,74,317,114,1059,152,554,31,398,93,433,27,80
Cheongdam -dong,Gangnam-gu,13,13,186,1152,20,21.0,100.0,245.0,50,201,103,1500,61,254,35,949,76,342,17,43
Daechi 2(i)-dong,Gangnam-gu,23,23,205,1070,30,33.0,126.0,475.0,46,156,57,133,90,200,20,2373,79,385,35,84
Gaepo 2(i)-dong,Gangnam-gu,72,72,52,151,49,57.0,66.0,113.0,20,39,34,52,4,6,X,2,12,30,17,32
Pungnap 1(il)-dong,Songpa-gu,61,203,69,116,71,71.0,29.0,30.0,23,28,31,36,11,11,X,3,8,15,15,19
Pungnap 2(i)-dong,Songpa-gu,116,355,65,204,66,84.0,44.0,56.0,21,36,30,45,15,24,4,13,15,44,14,32
Geoyeo 1(il)-dong,Songpa-gu,102,102,48,109,67,67.0,21.0,23.0,23,40,27,49,6,8,3,8,9,13,12,18
Geoyeo 2(i)-dong,Songpa-gu,162,162,72,189,108,114.0,47.0,64.0,35,50,45,53,7,9,-,-,17,31,16,31
Macheon 1(il)-dong,Songpa-gu,119,285,54,104,118,127.0,42.0,52.0,34,52,36,45,9,11,-,-,10,20,25,64
Macheon 2(i)-dong,Songpa-gu,142,363,101,217,134,134.0,34.0,50.0,29,46,37,51,46,67,X,44,10,22,25,41
Bangi 1(il)-dong,Songpa-gu,40,252,108,544,39,39.0,40.0,63.0,41,77,40,71,10,12,11,452,30,92,4,7
Bangi 2(i)-dong,Songpa-gu,87,274,268,1021,54,62.0,91.0,213.0,118,257,38,59,19,34,6,31,34,147,20,74
Oryun-dong,Songpa-gu,4,4,11,44,5,5.0,21.0,43.0,X,2,12,30,58,71,-,-,11,65,8,16
Ogeum-dong,Songpa-gu,939,939,120,477,134,148.0,61.0,94.0,47,105,51,82,15,53,7,97,46,129,26,70
Songpa 1(il)-dong,Songpa-gu,69,69,131,435,403,406.0,75.0,123.0,62,126,56,102,14,20,5,20,34,126,16,49
Songpa 2(i)-dong,Songpa-gu,46,46,32,71,47,47.0,40.0,56.0,9,19,29,50,10,17,X,4,24,53,14,37
Seokchon-dong,Songpa-gu,95,105,210,646,97,97.0,95.0,145.0,101,168,65,92,30,43,12,39,40,141,34,73
Samjeon-dong,Songpa-gu,89,378,114,387,101,101.0,83.0,147.0,57,117,71,142,12,13,5,25,26,77,18,54
Garakbon-dong,Songpa-gu,82,82,252,840,84,91.0,76.0,108.0,92,196,57,85,37,144,18,143,49,188,17,42
Garak 1(il)-dong,Songpa-gu,X,2,58,189,6,26.0,36.0,52.0,X,1,X,1,X,1,-,-,X,4,28,57
Garak 2(i)-dong,Songpa-gu,82,233,98,290,83,83.0,64.0,82.0,40,80,64,102,32,37,6,152,30,48,21,53
Munjeong 1(il)-dong,Songpa-gu,48,48,67,177,69,77.0,70.0,90.0,18,41,44,55,49,148,8,154,19,40,12,28
Munjeong 2(i)-dong,Songpa-gu,11,11,63,308,12,27.0,97.0,171.0,12,31,24,99,94,200,11,41,38,181,17,51
Jangji-dong,Songpa-gu,150,1205,74,232,152,154.0,52.0,80.0,23,38,44,67,6,9,3,11,18,32,17,86
Jamsilbon-dong,Songpa-gu,52,52,322,1222,47,53.0,106.0,201.0,162,459,85,241,40,66,9,38,59,221,24,58
Jamsil 4(sa)-dong,Songpa-gu,53,53,14,41,28,28.0,50.0,93.0,4,10,22,66,X,2,X,1,4,10,5,21
Jamsil 6(yuk)-dong,Songpa-gu,10,10,111,369,435,435.0,49.0,88.0,7,20,22,70,35,45,11,62,42,181,11,33
Jamsil 7(chil)-dong,Songpa-gu,-,-,-,-,X,1.0,16.0,25.0,-,-,8,10,11,11,-,-,X,5,6,12
Jamsil 2(i)-dong,Songpa-gu,46,46,19,54,20,20.0,64.0,166.0,X,4,27,80,58,120,X,2,21,42,7,19
Jamsil 3(sam)-dong,Songpa-gu,37,37,29,183,16,16.0,89.0,150.0,7,11,25,109,116,350,X,3,27,163,14,51
Gangil-dong,Gangdong-gu,92,416,19,84,114,114.0,17.0,32.0,5,14,16,29,-,-,-,-,10,44,12,49
Sangil-dong,Gangdong-gu,234,234,76,198,164,164.0,52.0,75.0,39,84,24,30,4,7,-,-,16,39,27,52
Myeongil 1(il)-dong,Gangdong-gu,114,114,121,366,89,95.0,54.0,70.0,46,88,59,97,72,103,3,49,36,93,15,23
Myeongil 2(i)-dong,Gangdong-gu,32,32,64,251,22,22.0,34.0,51.0,29,73,36,99,71,91,5,14,19,86,10,24
Godeok 1(il)-dong,Gangdong-gu,85,85,36,70,84,94.0,28.0,38.0,13,23,17,20,X,2,-,-,3,3,11,25
Godeok 2(i)-dong,Gangdong-gu,1302,1463,36,92,119,125.0,38.0,50.0,20,35,22,25,10,14,-,-,4,10,18,32
Amsa 2(i)-dong,Gangdong-gu,98,337,53,171,74,82.0,41.0,55.0,16,31,24,50,8,15,3,236,14,34,14,24
Amsa 3(sam)-dong,Gangdong-gu,99,99,19,50,60,65.0,27.0,44.0,3,7,14,25,12,13,-,-,X,1,11,29
Cheonho 1(il)-dong,Gangdong-gu,222,391,77,199,135,144.0,50.0,70.0,39,58,56,74,28,55,X,2,21,62,34,66
Cheonho 3(sam)-dong,Gangdong-gu,128,298,120,315,114,116.0,64.0,94.0,61,154,53,100,90,127,3,11,16,57,33,54
Seongnae 1(il)-dong,Gangdong-gu,79,79,141,416,77,87.0,41.0,63.0,42,70,24,26,11,17,11,414,38,128,15,28
Seongnae 2(i)-dong,Gangdong-gu,112,407,138,454,102,116.0,88.0,104.0,72,132,70,117,15,20,X,3,29,103,27,59
Seongnae 3(sam)-dong,Gangdong-gu,125,125,195,589,81,85.0,71.0,103.0,104,178,69,136,48,74,10,65,40,97,11,24
Dunchon 1(il)-dong,Gangdong-gu,54,54,X,4,30,30.0,42.0,58.0,X,1,12,13,32,40,-,-,6,7,7,10
Dunchon 2(i)-dong,Gangdong-gu,130,421,108,354,127,136.0,61.0,81.0,45,65,55,69,17,25,4,721,27,69,19,73
Amsa 1(il)-dong,Gangdong-gu,217,448,126,296,173,186.0,63.0,92.0,67,119,80,99,41,63,X,6,23,45,36,67
Cheonho 2(i)-dong,Gangdong-gu,143,216,293,1044,173,189.0,91.0,130.0,143,403,81,170,160,374,5,26,46,196,63,112
Gil-dong,Gangdong-gu,321,474,292,931,251,270.0,129.0,216.0,163,406,110,160,48,71,11,59,48,142,30,63
