Dong,사업_사업체현황종사자규모별_Gu_Gu_Gu,사업_사업체현황종사자규모별_합계_사업체수_사업체수,사업_사업체현황종사자규모별_합계_사업체수_여성대표자,사업_사업체현황종사자규모별_합계_종사자수_계,사업_사업체현황종사자규모별_합계_종사자수_남,사업_사업체현황종사자규모별_합계_종사자수_여,사업_사업체현황종사자규모별_1~4명_사업체수_사업체수,사업_사업체현황종사자규모별_1~4명_종사자수_종사자수,사업_사업체현황종사자규모별_5~9명_사업체수_사업체수,사업_사업체현황종사자규모별_5~9명_종사자수_종사자수,사업_사업체현황종사자규모별_10~19명_사업체수_사업체수,사업_사업체현황종사자규모별_10~19명_종사자수_종사자수,사업_사업체현황종사자규모별_20~49명_사업체수_사업체수,사업_사업체현황종사자규모별_20~49명_종사자수_종사자수,사업_사업체현황종사자규모별_50~99명_사업체수_사업체수,사업_사업체현황종사자규모별_50~99명_종사자수_종사자수,사업_사업체현황종사자규모별_100~299명_사업체수_사업체수,사업_사업체현황종사자규모별_100~299명_종사자수_종사자수,사업_사업체현황종사자규모별_300~499명_사업체수_사업체수,사업_사업체현황종사자규모별_300~499명_종사자수_종사자수,사업_사업체현황종사자규모별_500~999명_사업체수_사업체수,사업_사업체현황종사자규모별_500~999명_종사자수_종사자수,"사업_사업체현황종사자규모별_1,000명 이상_사업체수_사업체수","사업_사업체현황종사자규모별_1,000명 이상_종사자수_종사자수"
Changsin 1(il)-dong,Jongno-gu,2250.0,680.0,6408.0,3370.0,3038.0,2091.0,4019.0,106.0,624.0,30.0,377.0,16,469,5,336,1,143,1,440,-,-,-,-
Changsin 2(i)-dong,Jongno-gu,858.0,280.0,2331.0,1038.0,1293.0,745.0,1466.0,100.0,617.0,11.0,145.0,1,26,1,77,-,-,-,-,-,-,-,-
Changsin 3(sam)-dong,Jongno-gu,269.0,77.0,794.0,415.0,379.0,241.0,407.0,16.0,100.0,6.0,77.0,4,107,2,103,-,-,-,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,531.0,163.0,1659.0,722.0,937.0,451.0,926.0,66.0,423.0,10.0,138.0,3,104,1,68,-,-,-,-,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,1683.0,479.0,5682.0,2838.0,2844.0,1479.0,2600.0,131.0,815.0,35.0,452.0,28,804,8,476,1,115,1,420,-,-,-,-
Cheongunhyoja-dong,Jongno-gu,795.0,336.0,5625.0,3241.0,2384.0,669.0,1073.0,56.0,359.0,35.0,465.0,16,496,10,689,6,819,-,-,3,1724,-,-
Hyehwa-dong,Jongno-gu,1612.0,612.0,8753.0,4290.0,4463.0,1236.0,2407.0,239.0,1520.0,93.0,1224.0,28,899,7,483,8,1225,-,-,1,995,-,-
Sogong-dong,Jung-gu,3823.0,947.0,61868.0,37241.0,24627.0,2317.0,5604.0,801.0,5067.0,317.0,4222.0,203,6261,87,5996,63,9882,18,6554,8,5584,9,12698
Hoehyeon-dong,Jung-gu,9869.0,4958.0,47252.0,25510.0,21742.0,9030.0,15630.0,483.0,2994.0,150.0,2035.0,108,3373,39,2808,36,6176,12,4404,9,6288,2,3544
Myeong-dong,Jung-gu,6855.0,1935.0,103320.0,58825.0,44495.0,4477.0,10250.0,1368.0,8634.0,482.0,6384.0,295,8706,104,7187,79,13421,24,9508,15,9935,11,29295
Pil-dong,Jung-gu,3196.0,755.0,21901.0,13226.0,8675.0,2484.0,5696.0,466.0,2894.0,119.0,1538.0,81,2336,18,1239,21,3389,4,1504,2,1514,1,1791
Jangchung-dong,Jung-gu,844.0,239.0,9297.0,4725.0,4572.0,621.0,1505.0,125.0,803.0,48.0,618.0,22,647,14,984,9,1716,3,1166,1,660,1,1198
Gwanghui-dong ,Jung-gu,10372.0,3558.0,36642.0,19996.0,16646.0,9426.0,16826.0,613.0,3689.0,182.0,2386.0,108,3200,24,1600,9,1130,4,1651,4,2783,2,3377
Euljiro-dong,Jung-gu,9814.0,1964.0,27740.0,18949.0,8791.0,9029.0,15807.0,543.0,3303.0,148.0,1878.0,65,2082,17,1204,8,1468,3,1327,1,671,-,-
Sindang 5(o)-dong,Jung-gu,1156.0,406.0,4043.0,2110.0,1933.0,979.0,1870.0,122.0,786.0,43.0,544.0,10,293,1,95,-,-,1,455,-,-,-,-
Hwanghak-dong,Jung-gu,2055.0,632.0,5702.0,3488.0,2214.0,1943.0,2922.0,62.0,386.0,37.0,472.0,10,266,-,-,1,230,-,-,2,1426,-,-
Jungnim-dong,Jung-gu,1045.0,309.0,8292.0,4330.0,3962.0,803.0,1553.0,125.0,789.0,53.0,718.0,29,935,20,1422,13,2027,1,340,1,508,-,-
Sindang-dong,Jung-gu,12219.0,6254.0,26112.0,11853.0,14259.0,11853.0,21155.0,272.0,1658.0,60.0,769.0,19,582,7,456,7,1157,1,335,-,-,-,-
Dasan-dong,Jung-gu,1119.0,345.0,7855.0,3647.0,4208.0,874.0,1530.0,146.0,937.0,49.0,632.0,35,1029,9,589,1,165,1,302,3,1589,1,1082
Yaksu-dong,Jung-gu,834.0,360.0,3478.0,1616.0,1862.0,693.0,1225.0,82.0,521.0,38.0,476.0,16,480,1,59,3,396,1,321,-,-,-,-
Cheonggu-dong,Jung-gu,702.0,218.0,3274.0,2059.0,1215.0,574.0,950.0,82.0,498.0,26.0,332.0,14,367,4,275,1,152,-,-,1,700,-,-
Donghwa-dong,Jung-gu,943.0,282.0,3294.0,1714.0,1580.0,797.0,1499.0,100.0,590.0,30.0,423.0,10,279,4,269,2,234,-,-,-,-,-,-
Huam-dong,Yongsan-gu,819.0,303.0,5239.0,2153.0,3086.0,712.0,1243.0,64.0,404.0,24.0,322.0,9,295,7,458,-,-,1,375,1,532,1,1610
Yongsan 2-ga-dong,Yongsan-gu,511.0,154.0,2934.0,1548.0,1386.0,439.0,660.0,43.0,270.0,15.0,199.0,5,164,5,301,3,538,-,-,1,802,-,-
Namyeong-dong,Yongsan-gu,1612.0,597.0,20356.0,13110.0,7246.0,1121.0,2389.0,251.0,1542.0,112.0,1528.0,83,2497,23,1488,13,2013,5,1652,1,533,3,6714
Wonhyoro 2(i)-dong,Yongsan-gu,1190.0,296.0,6812.0,4574.0,2238.0,945.0,1738.0,140.0,923.0,62.0,848.0,27,797,6,444,8,1289,2,773,-,-,-,-
Hyochang-dong,Yongsan-gu,535.0,151.0,2603.0,1483.0,1120.0,407.0,727.0,71.0,462.0,39.0,505.0,13,368,3,198,2,343,-,-,-,-,-,-
Yongmun-dong,Yongsan-gu,637.0,262.0,1600.0,852.0,748.0,561.0,907.0,57.0,343.0,13.0,161.0,6,189,-,-,-,-,-,-,-,-,-,-
Ichon 1(il)-dong,Yongsan-gu,805.0,384.0,3486.0,1559.0,1927.0,610.0,1187.0,134.0,851.0,41.0,527.0,14,357,3,206,3,358,-,-,-,-,-,-
Ichon 2(i)-dong,Yongsan-gu,337.0,89.0,876.0,579.0,297.0,296.0,455.0,26.0,161.0,10.0,123.0,5,137,-,-,-,-,-,-,-,-,-,-
Itaewon 1(il)-dong,Yongsan-gu,1584.0,690.0,7121.0,3945.0,3176.0,1300.0,2136.0,182.0,1147.0,67.0,865.0,27,760,4,258,3,329,-,-,-,-,1,1626
Itaewon 2(i)-dong,Yongsan-gu,597.0,231.0,2215.0,1269.0,946.0,499.0,850.0,69.0,436.0,21.0,269.0,5,168,1,62,1,101,1,329,-,-,-,-
Seobinggo-dong,Yongsan-gu,405.0,124.0,4616.0,2780.0,1836.0,301.0,469.0,47.0,302.0,24.0,301.0,15,447,7,445,7,1097,4,1555,-,-,-,-
Bogwang-dong,Yongsan-gu,772.0,303.0,2091.0,1128.0,963.0,703.0,1231.0,47.0,287.0,13.0,158.0,6,180,3,235,-,-,-,-,-,-,-,-
Cheongpa-dong,Yongsan-gu,1890.0,644.0,10019.0,4445.0,5574.0,1548.0,2986.0,237.0,1451.0,58.0,750.0,27,802,12,849,7,1173,-,-,-,-,1,2008
Wonhyoro 1(il)-dong,Yongsan-gu,1725.0,489.0,8110.0,5388.0,2722.0,1332.0,2599.0,253.0,1615.0,95.0,1226.0,29,839,11,802,3,354,2,675,-,-,-,-
Hangangno-dong,Yongsan-gu,4988.0,1234.0,33136.0,19926.0,13210.0,3932.0,7401.0,631.0,3982.0,258.0,3321.0,99,3053,26,1792,31,5086,7,2846,2,1210,2,4445
Hannam-dong,Yongsan-gu,1660.0,611.0,15937.0,8562.0,7375.0,1106.0,2204.0,309.0,1966.0,133.0,1775.0,80,2348,13,866,15,2076,-,-,1,903,3,3799
Wangsimni 2(i)-dong,Seongdong-gu,746.0,254.0,1926.0,912.0,1014.0,661.0,1053.0,61.0,388.0,16.0,204.0,6,146,2,135,-,-,-,-,-,-,-,-
Majang-dong,Seongdong-gu,3146.0,765.0,10974.0,7387.0,3587.0,2735.0,4759.0,288.0,1804.0,77.0,1000.0,24,694,15,1007,5,778,2,932,-,-,-,-
Sageun-dong,Seongdong-gu,963.0,321.0,9219.0,4452.0,4767.0,772.0,1536.0,134.0,834.0,33.0,452.0,13,373,3,223,4,458,1,402,1,940,2,4001
Haengdang 1(il)-dong,Seongdong-gu,1400.0,550.0,8526.0,4529.0,3997.0,1127.0,2055.0,156.0,955.0,73.0,970.0,30,824,5,353,6,899,-,-,2,1038,1,1432
Haengdang 2(i)-dong,Seongdong-gu,571.0,237.0,2107.0,859.0,1248.0,479.0,846.0,61.0,377.0,19.0,250.0,7,185,3,221,2,228,-,-,-,-,-,-
Eungbong-dong,Seongdong-gu,384.0,127.0,1024.0,548.0,476.0,344.0,491.0,23.0,149.0,11.0,138.0,4,118,2,128,-,-,-,-,-,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,571.0,199.0,1658.0,796.0,862.0,487.0,783.0,54.0,350.0,23.0,295.0,6,136,1,94,-,-,-,-,-,-,-,-
Geumho 4(sa)-ga-dong,Seongdong-gu,616.0,239.0,1963.0,1043.0,920.0,543.0,900.0,47.0,293.0,18.0,229.0,4,100,3,239,1,202,-,-,-,-,-,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,1336.0,323.0,6683.0,4304.0,2379.0,1037.0,1852.0,190.0,1227.0,61.0,818.0,35,1006,4,266,9,1514,-,-,-,-,-,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,1946.0,458.0,12598.0,8205.0,4393.0,1376.0,2578.0,298.0,1912.0,162.0,2105.0,86,2477,12,817,8,1054,3,935,1,720,-,-
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,2351.0,646.0,14571.0,9193.0,5378.0,1748.0,3183.0,346.0,2269.0,140.0,1920.0,77,2285,28,1914,9,1411,1,302,2,1287,-,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,4690.0,1008.0,43517.0,28098.0,15419.0,2930.0,5914.0,890.0,5780.0,507.0,6766.0,253,7387,75,5423,27,4498,4,1428,1,538,3,5783
Songjeong-dong,Seongdong-gu,712.0,201.0,2156.0,1319.0,837.0,635.0,1050.0,56.0,335.0,9.0,121.0,7,220,4,291,1,139,-,-,-,-,-,-
Yongdap-dong,Seongdong-gu,2050.0,535.0,13485.0,8552.0,4933.0,1668.0,2985.0,237.0,1460.0,76.0,997.0,42,1230,14,986,6,1029,2,640,3,1810,2,2348
WangsimniDoseon-dong,Seongdong-gu,1588.0,497.0,8254.0,4301.0,3953.0,1242.0,2438.0,232.0,1429.0,65.0,884.0,31,998,7,406,9,1391,2,708,-,-,-,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,974.0,413.0,2422.0,1054.0,1368.0,884.0,1487.0,66.0,418.0,16.0,205.0,6,151,2,161,-,-,-,-,-,-,-,-
Oksu-dong,Seongdong-gu,759.0,317.0,2720.0,1272.0,1448.0,607.0,1068.0,103.0,652.0,37.0,471.0,8,216,4,313,-,-,-,-,-,-,-,-
Hwayang-dong,Gwangjin-gu,2456.0,888.0,14197.0,7337.0,6860.0,1928.0,4022.0,386.0,2402.0,89.0,1111.0,33,1010,15,1009,3,451,-,-,-,-,2,4192
Gunja-dong,Gwangjin-gu,1572.0,551.0,7832.0,4276.0,3556.0,1299.0,2459.0,181.0,1120.0,60.0,749.0,18,559,9,597,4,652,-,-,-,-,1,1696
Junggok 1(il)-dong,Gwangjin-gu,1601.0,553.0,6943.0,3973.0,2970.0,1335.0,2368.0,182.0,1133.0,49.0,628.0,23,667,3,196,8,1569,1,382,-,-,-,-
Junggok 2(i)-dong,Gwangjin-gu,1748.0,639.0,5699.0,2711.0,2988.0,1460.0,2618.0,200.0,1295.0,63.0,821.0,21,547,1,50,3,368,-,-,-,-,-,-
Junggok 3(sam)-dong,Gwangjin-gu,1359.0,522.0,4778.0,2582.0,2196.0,1156.0,1940.0,137.0,857.0,41.0,511.0,20,551,1,72,3,522,1,325,-,-,-,-
Junggok 4(sa)-dong,Gwangjin-gu,1572.0,539.0,4959.0,2800.0,2159.0,1390.0,2200.0,131.0,830.0,24.0,294.0,18,503,8,620,-,-,-,-,1,512,-,-
Neung-dong,Gwangjin-gu,698.0,224.0,4466.0,2175.0,2291.0,507.0,1047.0,100.0,650.0,48.0,607.0,30,860,8,549,4,433,1,320,-,-,-,-
Guui 1(il)-dong,Gwangjin-gu,1838.0,645.0,6361.0,3741.0,2620.0,1585.0,2813.0,173.0,1096.0,57.0,715.0,15,421,4,321,2,341,2,654,-,-,-,-
Guui 2(i)-dong,Gwangjin-gu,1314.0,421.0,5211.0,2977.0,2234.0,1115.0,1851.0,120.0,762.0,46.0,596.0,17,512,13,932,3,558,-,-,-,-,-,-
Guui 3(sam)-dong,Gwangjin-gu,2596.0,845.0,19699.0,13156.0,6543.0,2112.0,4006.0,288.0,1822.0,119.0,1530.0,41,1170,13,976,15,2660,4,1344,2,1266,2,4925
Gwangjang-dong,Gwangjin-gu,1361.0,521.0,10953.0,6030.0,4923.0,999.0,1920.0,204.0,1295.0,98.0,1289.0,38,1207,11,792,8,1085,1,333,-,-,2,3032
Jayang 1(il)-dong,Gwangjin-gu,1694.0,619.0,8364.0,5018.0,3346.0,1463.0,2437.0,149.0,926.0,40.0,528.0,29,868,4,326,5,870,1,351,2,1031,1,1027
Jayang 2(i)-dong,Gwangjin-gu,1517.0,469.0,7311.0,4263.0,3048.0,1295.0,2211.0,125.0,800.0,51.0,662.0,27,860,12,839,4,601,2,709,1,629,-,-
Jayang 3(sam)-dong,Gwangjin-gu,1317.0,508.0,6244.0,3137.0,3107.0,1056.0,1875.0,163.0,1048.0,55.0,720.0,29,826,6,444,7,1001,1,330,-,-,-,-
Jayang 4(sa)-dong,Gwangjin-gu,2033.0,762.0,6948.0,4010.0,2938.0,1774.0,3126.0,184.0,1155.0,47.0,593.0,21,595,2,155,3,523,2,801,-,-,-,-
Hoegi-dong,Dongdaemun-gu,990.0,409.0,10029.0,4817.0,5212.0,810.0,1655.0,117.0,739.0,34.0,420.0,10,328,11,779,4,618,1,319,1,622,2,4549
Hwigyeong 1(il)-dong,Dongdaemun-gu,1041.0,367.0,3869.0,1927.0,1942.0,875.0,1530.0,120.0,723.0,32.0,424.0,10,289,1,77,2,296,-,-,1,530,-,-
Hwigyeong 2(i)-dong,Dongdaemun-gu,1092.0,277.0,4462.0,2137.0,2325.0,972.0,1336.0,71.0,435.0,22.0,275.0,12,390,9,636,5,614,-,-,1,776,-,-
Cheongnyangni-dong,Dongdaemun-gu,1687.0,629.0,8301.0,4555.0,3746.0,1475.0,2444.0,125.0,794.0,54.0,705.0,14,409,6,384,9,1479,3,1319,1,767,-,-
Yongsin-dong,Dongdaemun-gu,5504.0,1691.0,27882.0,16050.0,11832.0,4596.0,7618.0,542.0,3418.0,205.0,2687.0,100,3080,34,2360,18,2898,3,1152,4,2454,2,2215
Jegi-dong,Dongdaemun-gu,4697.0,1661.0,11249.0,6174.0,5075.0,4338.0,6808.0,244.0,1540.0,72.0,914.0,28,811,13,923,2,253,-,-,-,-,-,-
Jeonnong 1(il)-dong,Dongdaemun-gu,2244.0,849.0,7761.0,3798.0,3963.0,1996.0,3557.0,160.0,999.0,55.0,725.0,23,655,4,248,5,862,-,-,1,715,-,-
Jeonnong 2(i)-dong,Dongdaemun-gu,845.0,311.0,4362.0,1954.0,2408.0,740.0,1194.0,61.0,374.0,27.0,356.0,9,301,6,414,1,133,-,-,-,-,1,1590
Dapsimni 1(il)-dong,Dongdaemun-gu,2095.0,551.0,10111.0,6323.0,3788.0,1826.0,2905.0,149.0,953.0,74.0,885.0,23,695,13,831,6,1077,2,880,1,884,1,1001
Dapsimni 2(i)-dong,Dongdaemun-gu,2003.0,516.0,5735.0,3479.0,2256.0,1743.0,2852.0,183.0,1161.0,55.0,715.0,16,446,5,355,1,206,-,-,-,-,-,-
Jangan 1(il)-dong,Dongdaemun-gu,4376.0,1271.0,20752.0,11494.0,9258.0,3501.0,6390.0,554.0,3518.0,192.0,2414.0,81,2360,29,1835,15,2556,4,1679,-,-,-,-
Jangan 2(i)-dong,Dongdaemun-gu,3190.0,1130.0,10088.0,4930.0,5158.0,2802.0,5017.0,261.0,1599.0,74.0,944.0,37,1068,10,640,6,820,-,-,-,-,-,-
Imun 1(il)-dong,Dongdaemun-gu,1476.0,594.0,5316.0,2778.0,2538.0,1313.0,2311.0,119.0,711.0,23.0,290.0,16,445,4,291,-,-,-,-,-,-,1,1268
Imun 2(i)-dong,Dongdaemun-gu,732.0,276.0,2183.0,1291.0,892.0,651.0,994.0,54.0,339.0,17.0,207.0,6,161,1,92,3,390,-,-,-,-,-,-
Myeonmok 2(i)-dong,Jungnang-gu,2018.0,645.0,6140.0,3511.0,2629.0,1741.0,3004.0,209.0,1340.0,52.0,655.0,9,294,4,289,3,558,-,-,-,-,-,-
Myeonmok 4(sa)-dong,Jungnang-gu,1058.0,395.0,3407.0,1908.0,1499.0,924.0,1552.0,84.0,515.0,37.0,426.0,10,251,2,178,-,-,1,485,-,-,-,-
Myeonmok 5(o)-dong,Jungnang-gu,1002.0,284.0,3740.0,2242.0,1498.0,832.0,1584.0,109.0,660.0,47.0,616.0,9,242,1,50,4,588,-,-,-,-,-,-
Myeonmok 7(chil)-dong,Jungnang-gu,1507.0,534.0,4122.0,1989.0,2133.0,1316.0,2316.0,130.0,821.0,54.0,644.0,5,132,1,56,1,153,-,-,-,-,-,-
Sangbong 1(il)-dong,Jungnang-gu,1100.0,365.0,6159.0,3186.0,2973.0,889.0,1559.0,107.0,679.0,54.0,698.0,32,955,9,696,9,1572,-,-,-,-,-,-
Sangbong 2(i)-dong,Jungnang-gu,2164.0,778.0,9971.0,5491.0,4480.0,1822.0,3311.0,214.0,1348.0,83.0,1130.0,27,809,8,534,7,1332,2,780,1,727,-,-
Junghwa 1(il)-dong,Jungnang-gu,1100.0,358.0,3655.0,1738.0,1917.0,943.0,1502.0,98.0,610.0,40.0,513.0,11,321,6,420,2,289,-,-,-,-,-,-
Junghwa 2(i)-dong,Jungnang-gu,2286.0,834.0,6673.0,3534.0,3139.0,2023.0,3601.0,176.0,1145.0,59.0,764.0,24,756,3,271,1,136,-,-,-,-,-,-
Muk 1(il)-dong,Jungnang-gu,1503.0,501.0,5870.0,3147.0,2723.0,1252.0,1981.0,157.0,1023.0,53.0,677.0,25,723,12,953,4,513,-,-,-,-,-,-
Muk 2(i)-dong,Jungnang-gu,1752.0,521.0,5333.0,3058.0,2275.0,1555.0,2494.0,133.0,835.0,40.0,511.0,20,560,3,211,-,-,-,-,1,722,-,-
Mangu 3(sam)-dong,Jungnang-gu,1072.0,365.0,3543.0,1849.0,1694.0,906.0,1401.0,104.0,645.0,44.0,578.0,13,378,4,305,1,236,-,-,-,-,-,-
Sinnae 1(il)-dong,Jungnang-gu,1574.0,466.0,7895.0,4561.0,3334.0,1336.0,2177.0,147.0,934.0,48.0,649.0,29,805,4,274,9,1893,-,-,-,-,1,1163
Sinnae 2(i)-dong,Jungnang-gu,1074.0,402.0,5172.0,2601.0,2571.0,940.0,1454.0,83.0,525.0,33.0,420.0,8,237,5,373,4,527,-,-,-,-,1,1636
Myeonmokbon-dong,Jungnang-gu,2454.0,945.0,6842.0,3151.0,3691.0,2168.0,3980.0,218.0,1361.0,49.0,616.0,14,383,3,231,2,271,-,-,-,-,-,-
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,3043.0,789.0,7685.0,4319.0,3366.0,2804.0,4050.0,187.0,1169.0,36.0,462.0,8,226,3,234,3,409,1,398,1,737,-,-
Mangubon-dong,Jungnang-gu,2783.0,970.0,9831.0,4933.0,4898.0,2412.0,3902.0,229.0,1448.0,84.0,1075.0,34,967,15,1006,9,1433,-,-,-,-,-,-
Donam 1(il)-dong,Seongbuk_gu,382.0,122.0,1383.0,618.0,765.0,332.0,482.0,25.0,165.0,13.0,163.0,7,199,5,374,-,-,-,-,-,-,-,-
Donam 2(i)-dong,Seongbuk_gu,363.0,146.0,1716.0,589.0,1127.0,316.0,453.0,21.0,143.0,17.0,223.0,7,214,-,-,1,123,-,-,1,560,-,-
Anam-dong,Seongbuk_gu,1329.0,434.0,13134.0,7692.0,5442.0,986.0,2081.0,236.0,1487.0,61.0,794.0,34,1007,6,401,4,504,-,-,-,-,2,6860
Bomun-dong,Seongbuk_gu,1239.0,366.0,4121.0,2285.0,1836.0,1078.0,1702.0,96.0,601.0,41.0,545.0,16,529,7,472,1,272,-,-,-,-,-,-
Jeongneung 1(il)-dong,Seongbuk_gu,787.0,270.0,1937.0,983.0,954.0,713.0,1107.0,49.0,299.0,18.0,219.0,5,151,1,54,1,107,-,-,-,-,-,-
Jeongneung 2(i)-dong,Seongbuk_gu,957.0,327.0,2832.0,1555.0,1277.0,852.0,1277.0,65.0,423.0,24.0,329.0,11,244,3,209,2,350,-,-,-,-,-,-
Jeongneung 3(sam)-dong,Seongbuk_gu,674.0,243.0,4343.0,2487.0,1856.0,594.0,1003.0,43.0,257.0,24.0,321.0,4,132,6,417,2,313,-,-,-,-,1,1900
Jeongneung 4(sa)-dong,Seongbuk_gu,871.0,288.0,3870.0,2417.0,1453.0,763.0,1268.0,62.0,365.0,31.0,397.0,6,190,3,234,4,483,2,933,-,-,-,-
Gireum 1(il)-dong,Seongbuk_gu,1151.0,491.0,3619.0,1516.0,2103.0,998.0,1720.0,97.0,593.0,38.0,498.0,13,368,4,312,1,128,-,-,-,-,-,-
Gireum 2(i)-dong,Seongbuk_gu,1116.0,529.0,4612.0,1978.0,2634.0,923.0,1698.0,128.0,777.0,34.0,452.0,22,670,6,447,3,568,-,-,-,-,-,-
Wolgok 1(il)-dong,Seongbuk_gu,1192.0,449.0,4899.0,2639.0,2260.0,972.0,1780.0,146.0,895.0,42.0,550.0,21,602,7,474,4,598,-,-,-,-,-,-
Wolgok 2(i)-dong,Seongbuk_gu,1798.0,568.0,8745.0,4226.0,4519.0,1546.0,2643.0,191.0,1207.0,36.0,451.0,16,477,4,281,3,435,-,-,-,-,2,3251
Jangwi 1(il)-dong,Seongbuk_gu,1131.0,381.0,2838.0,1356.0,1482.0,1016.0,1584.0,80.0,539.0,23.0,272.0,9,232,3,211,-,-,-,-,-,-,-,-
Jangwi 2(i)-dong,Seongbuk_gu,1663.0,593.0,5078.0,2729.0,2349.0,1446.0,2448.0,179.0,1157.0,25.0,302.0,7,250,2,147,4,774,-,-,-,-,-,-
Jangwi 3(sam)-dong,Seongbuk_gu,1212.0,360.0,4452.0,2582.0,1870.0,1032.0,1696.0,126.0,767.0,30.0,428.0,16,442,4,286,3,472,1,361,-,-,-,-
Seongbuk-dong,Seongbuk_gu,1021.0,380.0,5115.0,2482.0,2633.0,796.0,1392.0,120.0,773.0,64.0,795.0,26,791,12,792,3,572,-,-,-,-,-,-
Samseon-dong,Seongbuk_gu,1866.0,705.0,9510.0,4960.0,4550.0,1603.0,2663.0,167.0,1038.0,62.0,819.0,22,624,5,425,3,361,-,-,2,1176,2,2404
Dongseon-dong,Seongbuk_gu,1974.0,774.0,10170.0,4497.0,5673.0,1536.0,3002.0,299.0,1882.0,93.0,1220.0,32,923,7,472,6,1152,-,-,-,-,1,1519
Jongam-dong,Seongbuk_gu,2093.0,769.0,7550.0,3905.0,3645.0,1816.0,3191.0,191.0,1201.0,53.0,690.0,15,421,8,560,10,1487,-,-,-,-,-,-
Seokgwan-dong,Seongbuk_gu,2255.0,746.0,8217.0,4834.0,3383.0,1942.0,3134.0,214.0,1370.0,62.0,787.0,23,673,11,765,1,207,1,421,1,860,-,-
Beon 1(il)-dong,Gangbuk-gu,1693.0,637.0,8783.0,3806.0,4977.0,1387.0,2410.0,155.0,962.0,64.0,807.0,65,2188,13,837,8,1273,1,306,-,-,-,-
Beon 2(i)-dong,Gangbuk-gu,653.0,160.0,3128.0,2001.0,1127.0,558.0,807.0,43.0,262.0,26.0,337.0,15,441,6,399,5,882,-,-,-,-,-,-
Beon 3(sam)-dong,Gangbuk-gu,831.0,195.0,2556.0,1491.0,1065.0,742.0,1086.0,54.0,352.0,19.0,262.0,12,383,1,62,3,411,-,-,-,-,-,-
Suyu 1(il)-dong,Gangbuk-gu,1578.0,595.0,5125.0,2500.0,2625.0,1414.0,2292.0,102.0,631.0,30.0,373.0,22,676,5,373,5,780,-,-,-,-,-,-
Suyu 2(i)-dong,Gangbuk-gu,1365.0,494.0,4357.0,2074.0,2283.0,1188.0,1945.0,107.0,679.0,48.0,638.0,16,471,4,242,2,382,-,-,-,-,-,-
Suyu 3(sam)-dong,Gangbuk-gu,2379.0,967.0,8413.0,3779.0,4634.0,2042.0,3695.0,238.0,1508.0,59.0,752.0,32,929,7,465,-,-,-,-,-,-,1,1064
Samyang-dong,Gangbuk-gu,1228.0,451.0,3331.0,1540.0,1791.0,1096.0,1660.0,87.0,535.0,33.0,410.0,7,205,4,328,1,193,-,-,-,-,-,-
Mia-dong,Gangbuk-gu,1967.0,627.0,6580.0,3085.0,3495.0,1746.0,2779.0,133.0,854.0,48.0,626.0,25,799,11,756,3,448,1,318,-,-,-,-
Songjung-dong,Gangbuk-gu,2009.0,748.0,8463.0,3917.0,4546.0,1659.0,2945.0,216.0,1366.0,83.0,1007.0,29,914,15,1046,6,773,1,412,-,-,-,-
Songcheon-dong,Gangbuk-gu,2268.0,874.0,7272.0,3324.0,3948.0,1934.0,3188.0,226.0,1402.0,72.0,951.0,24,770,9,629,3,332,-,-,-,-,-,-
Samgaksan-dong,Gangbuk-gu,714.0,283.0,2190.0,883.0,1307.0,614.0,1013.0,64.0,385.0,27.0,336.0,6,154,1,91,2,211,-,-,-,-,-,-
Ui-dong,Gangbuk-gu,994.0,388.0,3478.0,2168.0,1310.0,892.0,1469.0,63.0,391.0,23.0,297.0,11,338,-,-,5,983,-,-,-,-,-,-
Insu-dong,Gangbuk-gu,1569.0,528.0,5792.0,2923.0,2869.0,1415.0,2031.0,84.0,532.0,31.0,414.0,25,710,7,485,5,853,2,767,-,-,-,-
Ssangmun 1(il)-dong,Dobong-gu,911.0,296.0,3803.0,1948.0,1855.0,797.0,1136.0,66.0,418.0,25.0,325.0,10,293,10,685,2,313,-,-,1,633,-,-
Ssangmun 2(i)-dong,Dobong-gu,1227.0,455.0,4299.0,2326.0,1973.0,1056.0,1697.0,102.0,634.0,39.0,499.0,23,638,4,283,3,548,-,-,-,-,-,-
Ssangmun 3(sam)-dong,Dobong-gu,897.0,329.0,3182.0,1552.0,1630.0,790.0,1289.0,71.0,453.0,22.0,277.0,9,222,4,251,-,-,-,-,1,690,-,-
Ssangmun 4(sa)-dong,Dobong-gu,594.0,230.0,1933.0,867.0,1066.0,522.0,814.0,43.0,262.0,22.0,282.0,-,-,6,463,1,112,-,-,-,-,-,-
Banghak 1(il)-dong,Dobong-gu,2278.0,912.0,9931.0,5618.0,4313.0,1980.0,3264.0,176.0,1141.0,74.0,985.0,24,711,9,632,14,2166,-,-,-,-,1,1032
