Dong,사업_대표자연령대별사업체현황_Gu_Gu,사업_대표자연령대별사업체현황_total_No. of establishments,사업_대표자연령대별사업체현황_total_No. of employee,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of establishments,사업_대표자연령대별사업체현황_20대 이하(29세 이하)_No. of employee,사업_대표자연령대별사업체현황_30대(30~39세)_No. of establishments,사업_대표자연령대별사업체현황_30대(30~39세)_No. of employee,사업_대표자연령대별사업체현황_40대(40~49세)_No. of establishments,사업_대표자연령대별사업체현황_40대(40~49세)_No. of employee,사업_대표자연령대별사업체현황_50대(50~59세)_No. of establishments,사업_대표자연령대별사업체현황_50대(50~59세)_No. of employee,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of establishments,사업_대표자연령대별사업체현황_60대 이상(60세 이상)_No. of employee
Oksu-dong,Seongdong-gu,759.0,2720.0,14,22,108.0,335.0,237.0,846.0,258.0,910.0,142.0,607.0
Hwayang-dong,Gwangjin-gu,2456.0,14197.0,96,368,425.0,1694.0,699.0,2767.0,843.0,5446.0,393.0,3922.0
Gunja-dong,Gwangjin-gu,1572.0,7832.0,27,70,186.0,812.0,496.0,1820.0,598.0,4155.0,265.0,975.0
Junggok 1(il)-dong,Gwangjin-gu,1601.0,6943.0,26,51,151.0,449.0,505.0,1863.0,641.0,3347.0,278.0,1233.0
Junggok 2(i)-dong,Gwangjin-gu,1748.0,5699.0,45,130,189.0,659.0,531.0,1926.0,698.0,2159.0,285.0,825.0
Junggok 3(sam)-dong,Gwangjin-gu,1359.0,4778.0,28,50,148.0,370.0,386.0,1227.0,554.0,2183.0,243.0,948.0
Junggok 4(sa)-dong,Gwangjin-gu,1572.0,4959.0,24,42,159.0,422.0,437.0,1139.0,650.0,2644.0,302.0,712.0
Neung-dong,Gwangjin-gu,698.0,4466.0,8,16,96.0,394.0,201.0,1130.0,268.0,1864.0,125.0,1062.0
Guui 1(il)-dong,Gwangjin-gu,1838.0,6361.0,39,97,250.0,697.0,519.0,1808.0,695.0,2711.0,335.0,1048.0
Guui 2(i)-dong,Gwangjin-gu,1314.0,5211.0,20,37,136.0,468.0,359.0,1707.0,475.0,1821.0,324.0,1178.0
Guui 3(sam)-dong,Gwangjin-gu,2596.0,19699.0,69,213,472.0,1797.0,848.0,3826.0,856.0,8444.0,351.0,5419.0
Gwangjang-dong,Gwangjin-gu,1361.0,10953.0,24,161,147.0,690.0,488.0,2349.0,502.0,3131.0,200.0,4622.0
Jayang 1(il)-dong,Gwangjin-gu,1694.0,8364.0,29,338,170.0,527.0,555.0,1633.0,628.0,3435.0,312.0,2431.0
Jayang 2(i)-dong,Gwangjin-gu,1517.0,7311.0,26,56,173.0,647.0,422.0,1382.0,621.0,4279.0,275.0,947.0
Jayang 3(sam)-dong,Gwangjin-gu,1317.0,6244.0,44,200,182.0,671.0,403.0,2291.0,467.0,2191.0,221.0,891.0
Jayang 4(sa)-dong,Gwangjin-gu,2033.0,6948.0,40,93,237.0,721.0,581.0,1935.0,757.0,2199.0,418.0,2000.0
Hoegi-dong,Dongdaemun-gu,990.0,10029.0,30,102,196.0,928.0,289.0,906.0,344.0,7597.0,131.0,496.0
Hwigyeong 1(il)-dong,Dongdaemun-gu,1041.0,3869.0,20,64,105.0,302.0,282.0,868.0,403.0,1358.0,231.0,1277.0
Hwigyeong 2(i)-dong,Dongdaemun-gu,1092.0,4462.0,8,16,124.0,328.0,278.0,728.0,370.0,2035.0,312.0,1355.0
Cheongnyangni-dong,Dongdaemun-gu,1687.0,8301.0,26,65,134.0,381.0,354.0,1396.0,666.0,4594.0,507.0,1865.0
Yongsin-dong,Dongdaemun-gu,5504.0,27882.0,59,171,495.0,1703.0,1399.0,5581.0,2177.0,12295.0,1374.0,8132.0
Jegi-dong,Dongdaemun-gu,4697.0,11249.0,39,74,291.0,677.0,1029.0,2752.0,1838.0,4411.0,1500.0,3335.0
Jeonnong 1(il)-dong,Dongdaemun-gu,2244.0,7761.0,35,62,241.0,659.0,655.0,1845.0,802.0,3919.0,511.0,1276.0
Jeonnong 2(i)-dong,Dongdaemun-gu,845.0,4362.0,10,24,82.0,206.0,239.0,678.0,319.0,2935.0,195.0,519.0
Dapsimni 1(il)-dong,Dongdaemun-gu,2095.0,10111.0,26,57,191.0,655.0,514.0,1989.0,812.0,3894.0,552.0,3516.0
Dapsimni 2(i)-dong,Dongdaemun-gu,2003.0,5735.0,20,43,174.0,413.0,603.0,1782.0,718.0,2136.0,488.0,1361.0
Jangan 1(il)-dong,Dongdaemun-gu,4376.0,20752.0,56,134,514.0,1516.0,1363.0,5853.0,1711.0,8514.0,732.0,4735.0
Jangan 2(i)-dong,Dongdaemun-gu,3190.0,10088.0,49,111,406.0,1234.0,968.0,3268.0,1212.0,3774.0,555.0,1701.0
Imun 1(il)-dong,Dongdaemun-gu,1476.0,5316.0,42,133,190.0,456.0,393.0,1014.0,509.0,1607.0,342.0,2106.0
Imun 2(i)-dong,Dongdaemun-gu,732.0,2183.0,8,13,67.0,184.0,191.0,430.0,287.0,1128.0,179.0,428.0
Myeonmok 2(i)-dong,Jungnang-gu,2018.0,6140.0,34,57,223.0,630.0,637.0,1891.0,763.0,2340.0,361.0,1222.0
