Dong,사업_사업체창설년도_Gu_Gu,사업_사업체창설년도_total_No. of establishments,사업_사업체창설년도_total_ratio (%),사업_사업체창설년도_after year 2010_Sub total,사업_사업체창설년도_after year 2010_ratio (%),사업_사업체창설년도_2005~2009_Sub total,사업_사업체창설년도_2005~2009_ratio (%),사업_사업체창설년도_2000~2004_Sub total,사업_사업체창설년도_2000~2004_ratio (%),사업_사업체창설년도_1990_Sub total,사업_사업체창설년도_1990_ratio (%),사업_사업체창설년도_prior to 1980_Sub total,사업_사업체창설년도_prior to 1980_ratio (%)
Jingwan-dong,Eunpyeong-gu,1007.0,100.0,614.0,60.97,141.0,14.0,36.0,3.57,116.0,11.52,100.0,9.93
Bulgwang 2(i)-dong,Eunpyeong-gu,1295.0,100.0,407.0,31.43,252.0,19.46,180.0,13.9,265.0,20.46,191.0,14.75
Eungam 3(sam)-dong,Eunpyeong-gu,1909.0,100.0,746.0,39.08,373.0,19.54,227.0,11.89,361.0,18.91,202.0,10.58
Yeokchon-dong,Eunpyeong-gu,2447.0,100.0,955.0,39.03,531.0,21.7,310.0,12.67,430.0,17.57,221.0,9.03
Cheonyeon-dong,Seodaemun-gu,809.0,100.0,326.0,40.3,187.0,23.11,109.0,13.47,100.0,12.36,87.0,10.75
Hongje 1(il)-dong,Seodaemun-gu,1132.0,100.0,430.0,37.99,217.0,19.17,173.0,15.28,194.0,17.14,118.0,10.42
Hongje 3(sam)-dong,Seodaemun-gu,1271.0,100.0,412.0,32.42,236.0,18.57,232.0,18.25,226.0,17.78,165.0,12.98
Hongje 2(i)-dong,Seodaemun-gu,592.0,100.0,227.0,38.34,140.0,23.65,92.0,15.54,72.0,12.16,61.0,10.3
Hongeun 1(il)-dong,Seodaemun-gu,1029.0,100.0,346.0,33.62,201.0,19.53,173.0,16.81,157.0,15.26,152.0,14.77
Hongeun 2(i)-dong,Seodaemun-gu,1148.0,100.0,405.0,35.28,213.0,18.55,187.0,16.29,204.0,17.77,139.0,12.11
Namgajwa 1(il)-dong,Seodaemun-gu,640.0,100.0,130.0,20.31,144.0,22.5,129.0,20.16,142.0,22.19,95.0,14.84
Namgajwa 2(i)-dong,Seodaemun-gu,1554.0,100.0,608.0,39.12,328.0,21.11,228.0,14.67,232.0,14.93,158.0,10.17
Bukgajwa 1(il)-dong,Seodaemun-gu,504.0,100.0,179.0,35.52,91.0,18.06,74.0,14.68,78.0,15.48,82.0,16.27
Bukgajwa 2(i)-dong,Seodaemun-gu,2261.0,100.0,611.0,27.02,369.0,16.32,258.0,11.41,525.0,23.22,498.0,22.03
Chunghyeon-dong,Seodaemun-gu,1709.0,100.0,632.0,36.98,394.0,23.05,257.0,15.04,234.0,13.69,192.0,11.23
Bugahyeon-dong,Seodaemun-gu,699.0,100.0,229.0,32.76,148.0,21.17,121.0,17.31,122.0,17.45,79.0,11.3
Sinchon-dong,Seodaemun-gu,3725.0,100.0,2017.0,54.15,824.0,22.12,413.0,11.09,317.0,8.51,154.0,4.13
Yeonhui-dong,Seodaemun-gu,2138.0,100.0,857.0,40.08,420.0,19.64,300.0,14.03,316.0,14.78,245.0,11.46
Yonggang-dong,Mapo-gu,2390.0,100.0,996.0,41.67,613.0,25.65,373.0,15.61,240.0,10.04,168.0,7.03
Daeheung-dong,Mapo-gu,1628.0,100.0,661.0,40.6,402.0,24.69,241.0,14.8,192.0,11.79,132.0,8.11
Yeomni-dong,Mapo-gu,787.0,100.0,309.0,39.26,153.0,19.44,131.0,16.65,112.0,14.23,82.0,10.42
Sinsu-dong,Mapo-gu,1382.0,100.0,471.0,34.08,311.0,22.5,252.0,18.23,224.0,16.21,124.0,8.97
Seogyo-dong,Mapo-gu,8274.0,100.0,4659.0,56.31,1819.0,21.98,925.0,11.18,599.0,7.24,272.0,3.29
Hapjeong-dong,Mapo-gu,1843.0,100.0,924.0,50.14,419.0,22.73,238.0,12.91,163.0,8.84,99.0,5.37
Mangwon 1(il)-dong,Mapo-gu,1380.0,100.0,618.0,44.78,330.0,23.91,209.0,15.14,158.0,11.45,65.0,4.71
Mangwon 2(i)-dong,Mapo-gu,1246.0,100.0,536.0,43.02,296.0,23.76,175.0,14.04,165.0,13.24,74.0,5.94
Yeonnam-dong,Mapo-gu,1220.0,100.0,565.0,46.31,279.0,22.87,171.0,14.02,145.0,11.89,60.0,4.92
Seongsan 1(il)-dong,Mapo-gu,1600.0,100.0,726.0,45.38,354.0,22.13,220.0,13.75,197.0,12.31,103.0,6.44
Seongsan 2(i)-dong,Mapo-gu,1675.0,100.0,648.0,38.69,397.0,23.7,277.0,16.54,258.0,15.4,95.0,5.67
Sangam-dong,Mapo-gu,1761.0,100.0,983.0,55.82,429.0,24.36,171.0,9.71,115.0,6.53,63.0,3.58
Dohwa-dong,Mapo-gu,1855.0,100.0,722.0,38.92,464.0,25.01,298.0,16.06,247.0,13.32,124.0,6.68
Seogang-dong,Mapo-gu,1395.0,100.0,718.0,51.47,318.0,22.8,162.0,11.61,126.0,9.03,71.0,5.09
gongdeok-dong,Mapo-gu,2622.0,100.0,1019.0,38.86,660.0,25.17,397.0,15.14,325.0,12.4,221.0,8.43
Ahyeon-dong,Mapo-gu,1735.0,100.0,664.0,38.27,463.0,26.69,270.0,15.56,203.0,11.7,135.0,7.78
Mok 1(il)-dong,Yangcheon-gu,2617.0,100.0,1254.0,47.92,655.0,25.03,398.0,15.21,211.0,8.06,99.0,3.78
