Dong,사업_사업체창설년도_Gu_Gu,사업_사업체창설년도_total_No. of establishments,사업_사업체창설년도_total_ratio (%),사업_사업체창설년도_after year 2010_Sub total,사업_사업체창설년도_after year 2010_ratio (%),사업_사업체창설년도_2005~2009_Sub total,사업_사업체창설년도_2005~2009_ratio (%),사업_사업체창설년도_2000~2004_Sub total,사업_사업체창설년도_2000~2004_ratio (%),사업_사업체창설년도_1990_Sub total,사업_사업체창설년도_1990_ratio (%),사업_사업체창설년도_prior to 1980_Sub total,사업_사업체창설년도_prior to 1980_ratio (%)
Daerim 3(sam)-dong,Yeongdeungpo-gu,2907.0,100.0,1047.0,36.02,650.0,22.36,478.0,16.44,552.0,18.99,180.0,6.19
Yeongdeungpobon-dong,Yeongdeungpo-gu,1240.0,100.0,539.0,43.47,269.0,21.69,211.0,17.02,166.0,13.39,55.0,4.44
Yeongdeungpo-dong,Yeongdeungpo-gu,6076.0,100.0,2134.0,35.12,1289.0,21.21,964.0,15.87,1097.0,18.05,592.0,9.74
Dorim-dong,Yeongdeungpo-gu,1025.0,100.0,433.0,42.24,228.0,22.24,159.0,15.51,144.0,14.05,61.0,5.95
Mullae-dong,Yeongdeungpo-gu,4995.0,100.0,1401.0,28.05,1120.0,22.42,865.0,17.32,1057.0,21.16,552.0,11.05
Noryangjin 2(i)-dong,Dongjak-gu,1035.0,100.0,390.0,37.68,229.0,22.13,163.0,15.75,163.0,15.75,90.0,8.7
Sangdo 1(il)-dong,Dongjak-gu,1724.0,100.0,723.0,41.94,399.0,23.14,241.0,13.98,221.0,12.82,140.0,8.12
Sangdo 2(i)-dong,Dongjak-gu,1261.0,100.0,458.0,36.32,310.0,24.58,192.0,15.23,183.0,14.51,118.0,9.36
Sangdo 3(sam)-dong,Dongjak-gu,989.0,100.0,371.0,37.51,185.0,18.71,146.0,14.76,149.0,15.07,138.0,13.95
Sangdo 4(sa)-dong,Dongjak-gu,1006.0,100.0,321.0,31.91,197.0,19.58,168.0,16.7,177.0,17.59,143.0,14.21
Sadang 1(il)-dong,Dongjak-gu,1744.0,100.0,733.0,42.03,388.0,22.25,241.0,13.82,270.0,15.48,112.0,6.42
Sadang 3(sam)-dong,Dongjak-gu,1037.0,100.0,378.0,36.45,214.0,20.64,167.0,16.1,163.0,15.72,115.0,11.09
Sadang 4(sa)-dong,Dongjak-gu,663.0,100.0,236.0,35.6,146.0,22.02,123.0,18.55,96.0,14.48,62.0,9.35
Sadang 5(o)-dong,Dongjak-gu,517.0,100.0,192.0,37.14,115.0,22.24,83.0,16.05,77.0,14.89,50.0,9.67
Daebang-dong,Dongjak-gu,1689.0,100.0,638.0,37.77,349.0,20.66,279.0,16.52,274.0,16.22,149.0,8.82
Sindaebang 1(il)-dong,Dongjak-gu,1050.0,100.0,414.0,39.43,250.0,23.81,152.0,14.48,153.0,14.57,81.0,7.71
Sindaebang 2(i)-dong,Dongjak-gu,1254.0,100.0,489.0,39.0,300.0,23.92,193.0,15.39,189.0,15.07,83.0,6.62
Heukseok-dong,Dongjak-gu,1622.0,100.0,668.0,41.18,299.0,18.43,247.0,15.23,222.0,13.69,186.0,11.47
Noryangjin 1(il)-dong,Dongjak-gu,2893.0,100.0,840.0,29.04,526.0,18.18,495.0,17.11,497.0,17.18,535.0,18.49
Sadang 2(i)-dong,Dongjak-gu,1551.0,100.0,669.0,43.13,352.0,22.7,207.0,13.35,201.0,12.96,122.0,7.87
Boramae-dong,Gwanak-gu,1316.0,100.0,573.0,43.54,261.0,19.83,194.0,14.74,181.0,13.75,107.0,8.13
Cheongnim-dong,Gwanak-gu,430.0,100.0,149.0,34.65,81.0,18.84,76.0,17.67,80.0,18.6,44.0,10.23
Haengun-dong,Gwanak-gu,1397.0,100.0,595.0,42.59,305.0,21.83,214.0,15.32,162.0,11.6,121.0,8.66
Nagseongdae-dong,Gwanak-gu,1277.0,100.0,596.0,46.67,284.0,22.24,162.0,12.69,157.0,12.29,78.0,6.11
Jungang-dong,Gwanak-gu,1469.0,100.0,435.0,29.61,207.0,14.09,193.0,13.14,281.0,19.13,353.0,24.03
Inheon-dong,Gwanak-gu,1123.0,100.0,434.0,38.65,225.0,20.04,170.0,15.14,191.0,17.01,103.0,9.17
Namhyeon-dong,Gwanak-gu,842.0,100.0,339.0,40.26,195.0,23.16,119.0,14.13,122.0,14.49,67.0,7.96
Sewon-dong,Gwanak-gu,1298.0,100.0,602.0,46.38,285.0,21.96,174.0,13.41,151.0,11.63,86.0,6.63
Sinwon-dong,Gwanak-gu,877.0,100.0,329.0,37.51,171.0,19.5,156.0,17.79,137.0,15.62,84.0,9.58
Serim-dong,Gwanak-gu,857.0,100.0,334.0,38.97,146.0,17.04,146.0,17.04,137.0,15.99,94.0,10.97
Sinsa-dong,Gwanak-gu,1451.0,100.0,614.0,42.32,315.0,21.71,220.0,15.16,215.0,14.82,87.0,6.0
Sillim-dong,Gwanak-gu,1744.0,100.0,927.0,53.15,348.0,19.95,240.0,13.76,150.0,8.6,79.0,4.53
Nanhyang-dong,Gwanak-gu,392.0,100.0,117.0,29.85,105.0,26.79,41.0,10.46,69.0,17.6,60.0,15.31
Jowon-dong,Gwanak-gu,2172.0,100.0,777.0,35.77,463.0,21.32,459.0,21.13,329.0,15.15,144.0,6.63
Daehak-dong,Gwanak-gu,1562.0,100.0,739.0,47.31,294.0,18.82,280.0,17.93,162.0,10.37,87.0,5.57
Euncheon-dong,Gwanak-gu,1673.0,100.0,614.0,36.7,343.0,20.5,304.0,18.17,228.0,13.63,184.0,11.0
Seonghyeon-dong,Gwanak-gu,834.0,100.0,267.0,32.01,152.0,18.23,168.0,20.14,128.0,15.35,119.0,14.27
Cheongnyong-dong,Gwanak-gu,1946.0,100.0,835.0,42.91,423.0,21.74,294.0,15.11,228.0,11.72,166.0,8.53
Nangok-dong,Gwanak-gu,935.0,100.0,251.0,26.84,185.0,19.79,174.0,18.61,187.0,20.0,138.0,14.76
Samseong-dong,Gwanak-gu,1139.0,100.0,271.0,23.79,189.0,16.59,241.0,21.16,251.0,22.04,187.0,16.42
Miseong-dong,Gwanak-gu,1575.0,100.0,537.0,34.1,352.0,22.35,250.0,15.87,251.0,15.94,185.0,11.75
Seocho 1(il)-dong,Seocho-gu,3047.0,100.0,1172.0,38.46,716.0,23.5,550.0,18.05,425.0,13.95,184.0,6.04
Seocho 2(i)-dong,Seocho-gu,4253.0,100.0,2009.0,47.24,1008.0,23.7,505.0,11.87,450.0,10.58,281.0,6.61
Seocho 3(sam)-dong,Seocho-gu,6884.0,100.0,2815.0,40.89,1635.0,23.75,1102.0,16.01,971.0,14.11,361.0,5.24
Seocho 4(sa)-dong,Seocho-gu,2704.0,100.0,1265.0,46.78,682.0,25.22,357.0,13.2,302.0,11.17,98.0,3.62
Jamwon-dong,Seocho-gu,2176.0,100.0,1006.0,46.23,490.0,22.52,320.0,14.71,251.0,11.53,109.0,5.01
Banpobon-dong,Seocho-gu,668.0,100.0,279.0,41.77,135.0,20.21,98.0,14.67,82.0,12.28,74.0,11.08
Banpo 1(il)-dong,Seocho-gu,1548.0,100.0,847.0,54.72,299.0,19.32,188.0,12.14,141.0,9.11,73.0,4.72
Banpo 2(i)-dong,Seocho-gu,428.0,100.0,189.0,44.16,92.0,21.5,53.0,12.38,47.0,10.98,47.0,10.98
Banpo 3(sam)-dong,Seocho-gu,887.0,100.0,348.0,39.23,191.0,21.53,135.0,15.22,113.0,12.74,100.0,11.27
Banpo 4(sa)-dong,Seocho-gu,3382.0,100.0,1260.0,37.26,782.0,23.12,597.0,17.65,537.0,15.88,206.0,6.09
Bangbaebon-dong,Seocho-gu,1606.0,100.0,725.0,45.14,397.0,24.72,238.0,14.82,162.0,10.09,84.0,5.23
Bangbae 1(il)-dong,Seocho-gu,1629.0,100.0,747.0,45.86,371.0,22.77,259.0,15.9,162.0,9.94,90.0,5.52
Bangbae 2(i)-dong,Seocho-gu,1771.0,100.0,735.0,41.5,412.0,23.26,292.0,16.49,246.0,13.89,86.0,4.86
Bangbae 3(sam)-dong,Seocho-gu,1103.0,100.0,376.0,34.09,247.0,22.39,195.0,17.68,179.0,16.23,106.0,9.61
Bangbae 4(sa)-dong,Seocho-gu,2265.0,100.0,917.0,40.49,533.0,23.53,406.0,17.92,268.0,11.83,141.0,6.23
Yangjae 1(il)-dong,Seocho-gu,3090.0,100.0,1220.0,39.48,705.0,22.82,531.0,17.18,475.0,15.37,159.0,5.15
Yangjae 2(i)-dong,Seocho-gu,4981.0,100.0,1943.0,39.01,1166.0,23.41,865.0,17.37,847.0,17.0,160.0,3.21
Naegok-dong,Seocho-gu,460.0,100.0,102.0,22.17,111.0,24.13,81.0,17.61,98.0,21.3,68.0,14.78
Sinsa-dong,Gangnam-gu,4334.0,100.0,2314.0,53.39,988.0,22.8,513.0,11.84,336.0,7.75,183.0,4.22
Nonhyeon 1(il)-dong,Gangnam-gu,4970.0,100.0,2404.0,48.37,1160.0,23.34,720.0,14.49,461.0,9.28,225.0,4.53
Nonhyeon 2(i)-dong,Gangnam-gu,5128.0,100.0,2409.0,46.98,1198.0,23.36,749.0,14.61,528.0,10.3,244.0,4.76
Samseong 1(il)-dong,Gangnam-gu,3170.0,100.0,1309.0,41.29,649.0,20.47,560.0,17.67,458.0,14.45,194.0,6.12
Samseong 2(i)-dong,Gangnam-gu,3008.0,100.0,1387.0,46.11,667.0,22.17,443.0,14.73,360.0,11.97,151.0,5.02
Daechi 1(il)-dong,Gangnam-gu,1004.0,100.0,459.0,45.72,257.0,25.6,147.0,14.64,74.0,7.37,67.0,6.67
Daechi 4(sa)-dong,Gangnam-gu,3242.0,100.0,1717.0,52.96,733.0,22.61,443.0,13.66,255.0,7.87,94.0,2.9
Yeoksam 1(il)-dong,Gangnam-gu,12516.0,100.0,6677.0,53.35,2500.0,19.97,1569.0,12.54,1202.0,9.6,568.0,4.54
Yeoksam 2(i)-dong,Gangnam-gu,2956.0,100.0,1427.0,48.27,620.0,20.97,379.0,12.82,349.0,11.81,181.0,6.12
Dogok 1(il)-dong,Gangnam-gu,1392.0,100.0,609.0,43.75,348.0,25.0,199.0,14.3,175.0,12.57,61.0,4.38
Dogok 2(i)-dong,Gangnam-gu,1646.0,100.0,635.0,38.58,448.0,27.22,285.0,17.31,219.0,13.3,59.0,3.58
Gaepo 1(il)-dong,Gangnam-gu,459.0,100.0,129.0,28.1,95.0,20.7,72.0,15.69,102.0,22.22,61.0,13.29
Gaepo 4(sa)-dong,Gangnam-gu,3257.0,100.0,993.0,30.49,684.0,21.0,590.0,18.11,758.0,23.27,232.0,7.12
Irwonbon-dong,Gangnam-gu,492.0,100.0,140.0,28.46,117.0,23.78,72.0,14.63,146.0,29.67,17.0,3.46
Irwon 1(il)-dong,Gangnam-gu,894.0,100.0,353.0,39.49,227.0,25.39,140.0,15.66,138.0,15.44,36.0,4.03
Irwon 2(i)-dong,Gangnam-gu,575.0,100.0,186.0,32.35,104.0,18.09,116.0,20.17,141.0,24.52,28.0,4.87
Suseo-dong,Gangnam-gu,1333.0,100.0,436.0,32.71,330.0,24.76,294.0,22.06,222.0,16.65,51.0,3.83
Segok-dong,Gangnam-gu,437.0,100.0,192.0,43.94,77.0,17.62,85.0,19.45,50.0,11.44,33.0,7.55
Apgujeong -dong,Gangnam-gu,3778.0,100.0,1778.0,47.06,962.0,25.46,523.0,13.84,332.0,8.79,183.0,4.84
Cheongdam -dong,Gangnam-gu,3793.0,100.0,1904.0,50.2,825.0,21.75,501.0,13.21,364.0,9.6,199.0,5.25
Daechi 2(i)-dong,Gangnam-gu,3220.0,100.0,1246.0,38.7,755.0,23.45,493.0,15.31,456.0,14.16,270.0,8.39
Gaepo 2(i)-dong,Gangnam-gu,1010.0,100.0,365.0,36.14,224.0,22.18,179.0,17.72,149.0,14.75,93.0,9.21
Pungnap 1(il)-dong,Songpa-gu,806.0,100.0,275.0,34.12,174.0,21.59,139.0,17.25,161.0,19.98,57.0,7.07
Pungnap 2(i)-dong,Songpa-gu,1236.0,100.0,439.0,35.52,280.0,22.65,251.0,20.31,181.0,14.64,85.0,6.88
Geoyeo 1(il)-dong,Songpa-gu,828.0,100.0,286.0,34.54,196.0,23.67,160.0,19.32,146.0,17.63,40.0,4.83
Geoyeo 2(i)-dong,Songpa-gu,1223.0,100.0,398.0,32.54,294.0,24.04,259.0,21.18,211.0,17.25,61.0,4.99
Macheon 1(il)-dong,Songpa-gu,910.0,100.0,296.0,32.53,220.0,24.18,172.0,18.9,150.0,16.48,72.0,7.91
Macheon 2(i)-dong,Songpa-gu,1340.0,100.0,446.0,33.28,306.0,22.84,269.0,20.07,240.0,17.91,79.0,5.9
Bangi 1(il)-dong,Songpa-gu,1312.0,100.0,594.0,45.27,305.0,23.25,203.0,15.47,170.0,12.96,40.0,3.05
Bangi 2(i)-dong,Songpa-gu,2771.0,100.0,1204.0,43.45,641.0,23.13,486.0,17.54,330.0,11.91,110.0,3.97
Oryun-dong,Songpa-gu,510.0,100.0,142.0,27.84,115.0,22.55,80.0,15.69,75.0,14.71,98.0,19.22
Ogeum-dong,Songpa-gu,3197.0,100.0,1065.0,33.31,699.0,21.86,602.0,18.83,599.0,18.74,232.0,7.26
Songpa 1(il)-dong,Songpa-gu,2442.0,100.0,936.0,38.33,479.0,19.62,424.0,17.36,515.0,21.09,88.0,3.6
Songpa 2(i)-dong,Songpa-gu,881.0,100.0,379.0,43.02,193.0,21.91,144.0,16.35,111.0,12.6,54.0,6.13
Seokchon-dong,Songpa-gu,2757.0,100.0,1131.0,41.02,663.0,24.05,457.0,16.58,358.0,12.99,148.0,5.37
Samjeon-dong,Songpa-gu,1972.0,100.0,843.0,42.75,471.0,23.88,320.0,16.23,246.0,12.47,92.0,4.67
Garakbon-dong,Songpa-gu,3460.0,100.0,1528.0,44.16,762.0,22.02,565.0,16.33,506.0,14.62,99.0,2.86
Garak 1(il)-dong,Songpa-gu,3322.0,100.0,387.0,11.65,932.0,28.06,805.0,24.23,508.0,15.29,690.0,20.77
Garak 2(i)-dong,Songpa-gu,1832.0,100.0,733.0,40.01,441.0,24.07,310.0,16.92,269.0,14.68,79.0,4.31
Munjeong 1(il)-dong,Songpa-gu,1434.0,100.0,613.0,42.75,367.0,25.59,227.0,15.83,184.0,12.83,43.0,3.0
Munjeong 2(i)-dong,Songpa-gu,2170.0,100.0,1423.0,65.58,284.0,13.09,214.0,9.86,183.0,8.43,66.0,3.04
Jangji-dong,Songpa-gu,1449.0,100.0,583.0,40.23,341.0,23.53,256.0,17.67,210.0,14.49,59.0,4.07
Jamsilbon-dong,Songpa-gu,3052.0,100.0,1401.0,45.9,677.0,22.18,490.0,16.06,357.0,11.7,127.0,4.16
Jamsil 4(sa)-dong,Songpa-gu,462.0,100.0,196.0,42.42,133.0,28.79,43.0,9.31,50.0,10.82,40.0,8.66
Jamsil 6(yuk)-dong,Songpa-gu,1959.0,100.0,601.0,30.68,426.0,21.75,418.0,21.34,330.0,16.85,184.0,9.39
Jamsil 7(chil)-dong,Songpa-gu,195.0,100.0,59.0,30.26,35.0,17.95,37.0,18.97,34.0,17.44,30.0,15.38
Jamsil 2(i)-dong,Songpa-gu,765.0,100.0,479.0,62.61,164.0,21.44,42.0,5.49,42.0,5.49,38.0,4.97
Jamsil 3(sam)-dong,Songpa-gu,1218.0,100.0,611.0,50.16,290.0,23.81,109.0,8.95,109.0,8.95,99.0,8.13
Gangil-dong,Gangdong-gu,683.0,100.0,359.0,52.56,92.0,13.47,83.0,12.15,79.0,11.57,70.0,10.25
Sangil-dong,Gangdong-gu,1238.0,100.0,380.0,30.69,209.0,16.88,191.0,15.43,236.0,19.06,222.0,17.93
Myeongil 1(il)-dong,Gangdong-gu,1665.0,100.0,712.0,42.76,377.0,22.64,237.0,14.23,195.0,11.71,144.0,8.65
Myeongil 2(i)-dong,Gangdong-gu,1267.0,100.0,540.0,42.62,326.0,25.73,181.0,14.29,164.0,12.94,56.0,4.42
Godeok 1(il)-dong,Gangdong-gu,550.0,100.0,149.0,27.09,106.0,19.27,100.0,18.18,116.0,21.09,79.0,14.36
Godeok 2(i)-dong,Gangdong-gu,1945.0,100.0,201.0,10.33,159.0,8.17,178.0,9.15,578.0,29.72,829.0,42.62
Amsa 2(i)-dong,Gangdong-gu,812.0,100.0,312.0,38.42,170.0,20.94,143.0,17.61,101.0,12.44,86.0,10.59
Amsa 3(sam)-dong,Gangdong-gu,603.0,100.0,244.0,40.46,116.0,19.24,82.0,13.6,77.0,12.77,84.0,13.93
Cheonho 1(il)-dong,Gangdong-gu,1558.0,100.0,599.0,38.45,312.0,20.03,238.0,15.28,217.0,13.93,192.0,12.32
Cheonho 3(sam)-dong,Gangdong-gu,1877.0,100.0,772.0,41.13,409.0,21.79,267.0,14.22,274.0,14.6,155.0,8.26
Seongnae 1(il)-dong,Gangdong-gu,2045.0,100.0,794.0,38.83,439.0,21.47,364.0,17.8,310.0,15.16,138.0,6.75
Seongnae 2(i)-dong,Gangdong-gu,1928.0,100.0,884.0,45.85,402.0,20.85,260.0,13.49,244.0,12.66,138.0,7.16
Seongnae 3(sam)-dong,Gangdong-gu,2384.0,100.0,1036.0,43.46,547.0,22.94,365.0,15.31,285.0,11.95,151.0,6.33
Dunchon 1(il)-dong,Gangdong-gu,404.0,100.0,119.0,29.46,67.0,16.58,67.0,16.58,73.0,18.07,78.0,19.31
Dunchon 2(i)-dong,Gangdong-gu,1610.0,100.0,636.0,39.5,338.0,20.99,258.0,16.02,238.0,14.78,140.0,8.7
Amsa 1(il)-dong,Gangdong-gu,1947.0,100.0,788.0,40.47,399.0,20.49,301.0,15.46,256.0,13.15,203.0,10.43
Cheonho 2(i)-dong,Gangdong-gu,3424.0,100.0,1531.0,44.71,706.0,20.62,488.0,14.25,437.0,12.76,262.0,7.65
Gil-dong,Gangdong-gu,3816.0,100.0,1619.0,42.43,774.0,20.28,589.0,15.44,513.0,13.44,321.0,8.41
