Dong,세금_지방세징수_2012_Gu_Gu_Gu,세금_지방세징수_2012_total_total_total,세금_지방세징수_2012_total_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_total_Gu taxes_Gu taxes,세금_지방세징수_2012_General tax_Metropolitan City taxes_Acquisition tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Leisure tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Auto mobile tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Tobacco Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Property tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Consumption tax,세금_지방세징수_2012_General tax_Metropolitan City taxes_Local Income tax,세금_지방세징수_2012_General tax_Gu taxes_Registration license tax,세금_지방세징수_2012_General tax_Gu taxes_Local Inhabitant tax,세금_지방세징수_2012_General tax_Gu taxes_Property tax,세금_지방세징수_2012_General tax_Gu taxes_Aggregate Land tax,세금_지방세징수_2012_General tax_Gu taxes_Local Income tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Regional Resource Facility tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Local Education tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_City Planning tax,세금_지방세징수_2012_Objective taxes_Metropolitan City taxes_Group Facilities tax,세금_지방세징수_2012_Objective taxes_Gu taxes_Business Office tax,세금_지방세징수_2012_Revenue from previous year_Metropolitan City taxes_Metropolitan City taxes,세금_지방세징수_2012_Revenue from previous year_Gu taxes_Gu taxes
Songpa 2(i)-dong,Songpa-gu,20628,17642.0,2986,7522.0,-,74,1589.0,-,3817,-,1853,329,-,2620,-,-,208,2340.0,-,-,-,239.0,37
Seokchon-dong,Songpa-gu,26021,21211.0,4810,5767.0,-,192,1887.0,-,5553,-,4553,720,1,4040,-,14,458,2390.0,-,-,-,411.0,35
Samjeon-dong,Songpa-gu,18345,15496.0,2849,5140.0,-,145,1690.0,-,3422,-,2495,566,-,2241,-,-,315,1855.0,-,-,-,434.0,42
Garakbon-dong,Songpa-gu,37436,31491.0,5945,6738.0,-,290,2128.0,-,7113,-,10951,687,2,4942,-,96,931,2892.0,-,-,-,448.0,218
Garak 1(il)-dong,Songpa-gu,21562,15615.0,5947,4733.0,-,235,866.0,-,3670,-,3933,3625,1,2295,-,-,241,1678.0,-,-,-,259.0,26
Garak 2(i)-dong,Songpa-gu,21580,17728.0,3852,4106.0,-,140,2289.0,-,5218,-,3031,316,-,3466,-,-,404,2102.0,-,-,-,438.0,70
Munjeong 1(il)-dong,Songpa-gu,24198,20243.0,3955,3761.0,-,125,1674.0,-,6078,-,5936,1254,4,2669,-,-,327,2084.0,-,-,-,258.0,28
Munjeong 2(i)-dong,Songpa-gu,33694,28488.0,5206,7491.0,-,186,1830.0,-,6824,-,7623,377,-,4804,-,-,1329,2922.0,-,-,-,283.0,25
Jangji-dong,Songpa-gu,19356,16587.0,2769,4701.0,-,161,2878.0,-,3704,-,2349,329,1,2416,-2,-,336,2042.0,-,-,-,416.0,25
Jamsilbon-dong,Songpa-gu,59468,49559.0,9909,14574.0,-,251,2550.0,-,12101,-,13255,931,5,8928,-,-,889,5289.0,-,-,-,650.0,45
Jamsil 4(sa)-dong,Songpa-gu,52513,45955.0,6558,7427.0,-,77,2584.0,-,23069,-,6035,209,1,6304,-,-,376,5987.0,-,-,-,400.0,44
Jamsil 6(yuk)-dong,Songpa-gu,62376,50368.0,12008,16704.0,-,224,1651.0,-,13665,-,11029,1096,1,10864,-,-,1012,5795.0,-,-,-,288.0,47
Jamsil 7(chil)-dong,Songpa-gu,32097,26151.0,5946,7644.0,-,34,1228.0,-,4623,-,9958,2208,-,3723,-,-,66,2441.0,-,-,-,157.0,15
Jamsil 2(i)-dong,Songpa-gu,26827,21278.0,5549,7349.0,-,82,2574.0,-,5443,-,2455,1482,-,4043,-,-,283,2781.0,-,-,-,311.0,24
Jamsil 3(sam)-dong,Songpa-gu,68339,49439.0,18900,14322.0,-,268,3420.0,-,18388,-,4589,415,-,18355,-,-,1169,6539.0,-,-,-,744.0,130
Gangil-dong,Gangdong-gu,…,17722.0,…,10314.0,-,74,1473.0,-,2351,-,1116,405,-,2169,…,…,252,1998.0,-,-,…,144.0,14
Sangil-dong,Gangdong-gu,…,24704.0,…,8920.0,-,109,1647.0,-,5455,-,5637,744,-,5033,…,…,396,2275.0,-,-,…,265.0,27
Myeongil 1(il)-dong,Gangdong-gu,…,16614.0,…,5342.0,-,101,1523.0,-,4445,-,2769,942,-,4101,…,…,226,1970.0,-,-,…,238.0,24
Myeongil 2(i)-dong,Gangdong-gu,…,12858.0,…,3293.0,-,97,1398.0,-,4158,-,1888,162,-,3837,…,…,283,1570.0,-,-,…,171.0,17
Godeok 1(il)-dong,Gangdong-gu,…,10114.0,…,3330.0,-,38,1053.0,-,2948,-,1095,519,-,2720,…,…,126,1283.0,-,-,…,241.0,24
Godeok 2(i)-dong,Gangdong-gu,…,6723.0,…,2127.0,-,47,799.0,-,2001,-,636,67,-,1846,…,…,52,879.0,-,-,…,182.0,19
Amsa 2(i)-dong,Gangdong-gu,…,13595.0,…,5377.0,-,54,1572.0,-,2685,-,1381,87,-,2478,…,…,184,1866.0,-,-,…,476.0,48
Amsa 3(sam)-dong,Gangdong-gu,…,10905.0,…,3421.0,-,50,998.0,-,3686,-,1207,109,-,3401,…,…,245,1178.0,-,-,…,120.0,14
Cheonho 1(il)-dong,Gangdong-gu,…,11310.0,…,3858.0,-,118,1448.0,-,2321,-,1691,1347,-,2142,…,…,272,1423.0,-,-,…,178.0,18
Cheonho 3(sam)-dong,Gangdong-gu,…,13908.0,…,2948.0,-,122,1148.0,-,3294,-,4372,89,6,3040,…,…,377,1341.0,-,-,…,306.0,31
Seongnae 1(il)-dong,Gangdong-gu,…,24800.0,…,8591.0,-,152,1443.0,-,3690,-,5568,1537,-,3405,…,…,360,4393.0,-,-,…,602.0,62
Seongnae 2(i)-dong,Gangdong-gu,…,14683.0,…,6151.0,-,123,1073.0,-,3118,-,1706,173,-,2878,…,…,310,1802.0,-,-,…,400.0,41
Seongnae 3(sam)-dong,Gangdong-gu,…,15352.0,…,4872.0,-,140,1398.0,-,3894,-,2598,235,-,3593,…,…,377,1781.0,-,-,…,292.0,30
Dunchon 1(il)-dong,Gangdong-gu,…,14973.0,…,4606.0,-,40,1023.0,-,4693,-,2661,946,-,4330,…,…,54,1600.0,-,-,…,296.0,30
Dunchon 2(i)-dong,Gangdong-gu,…,16775.0,…,5256.0,-,107,1273.0,-,3514,-,4099,175,-,3242,…,…,290,1889.0,-,-,…,347.0,35
Amsa 1(il)-dong,Gangdong-gu,…,29738.0,…,16808.0,-,105,2621.0,-,3210,-,1638,1168,-,2962,…,…,270,4250.0,-,-,…,836.0,84
Cheonho 2(i)-dong,Gangdong-gu,…,31564.0,…,3949.0,13822,231,1323.0,-,6774,-,2858,267,-,6251,…,…,786,1662.0,-,-,…,158.0,16
Gil-dong,Gangdong-gu,…,23459.0,…,5938.0,-,267,1747.0,-,7860,-,4700,2128,-,7253,…,…,787,1816.0,-,-,…,344.0,35
