Dong,의료_의료기관_Gu_Gu,의료_의료기관_Total_Number,의료_의료기관_Total_Beds,의료_의료기관_General hospitals_Number,의료_의료기관_General hospitals_Beds,의료_의료기관_Hospitals_Number,의료_의료기관_Hospitals_Beds,의료_의료기관_Clinics_Number,의료_의료기관_Clinics_Beds,의료_의료기관_Attached clinics_Number,의료_의료기관_Attached clinics_Beds,의료_의료기관_Long-term hospitals_Number,의료_의료기관_Long-term hospitals_Beds,의료_의료기관_Nursing Home _Number,의료_의료기관_Nursing Home _Beds,의료_의료기관_tuberculosis hospital_Number,의료_의료기관_tuberculosis hospital_Beds,의료_의료기관_mental hospital_Number,의료_의료기관_mental hospital_Beds,의료_의료기관_Dental hospital_Number,의료_의료기관_Dental hospital_Beds,의료_의료기관_Dental clinics_Number,의료_의료기관_Dental clinics_Beds,의료_의료기관_Oriental medicine hotpital_Number,의료_의료기관_Oriental medicine hotpital_Beds,의료_의료기관_Oriental medicine clinics_Number,의료_의료기관_Oriental medicine clinics_Beds,의료_의료기관_Midwife clinics_Number,의료_의료기관_Midwife clinics_Beds
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,20,310,-,-,-,-,7,80,-,-,1,230,-,-,-,-,-,-,-,-,8,-,-,-,4,-,-,-
Singil 1(il)-dong,Yeongdeungpo-gu,27,389,1,350,-,-,11,39,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,7,-,-,-
Singil 3(sam)-dong,Yeongdeungpo-gu,23,263,-,-,1,181,14,82,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
Singil 4(sa)-dong,Yeongdeungpo-gu,18,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
Singil 5(o)-dong,Yeongdeungpo-gu,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-
Singil 6(yuk)-dong,Yeongdeungpo-gu,31,29,-,-,-,-,15,29,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,5,-,-,-
Singil 7(chil)-dong,Yeongdeungpo-gu,12,10,-,-,-,-,4,10,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
Daerim 1(il)-dong,Yeongdeungpo-gu,22,877,2,877,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,9,-,-,-
Daerim 2(i)-dong,Yeongdeungpo-gu,27,476,1,235,1,137,10,46,-,-,-,-,-,-,-,-,-,-,-,-,7,-,1,58,7,-,-,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,32,506,-,-,2,261,12,51,-,-,1,194,-,-,-,-,-,-,-,-,9,-,-,-,8,-,-,-
Yeongdeungpobon-dong,Yeongdeungpo-gu,16,130,-,-,1,130,7,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,2,-,-,-
Yeongdeungpo-dong,Yeongdeungpo-gu,113,1213,2,311,2,166,55,94,-,-,4,612,-,-,-,-,-,-,-,-,29,-,1,30,20,-,-,-
Dorim-dong,Yeongdeungpo-gu,16,8,-,-,-,-,5,8,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,8,-,-,-
Mullae-dong,Yeongdeungpo-gu,47,149,-,-,-,-,21,34,-,-,1,115,-,-,-,-,-,-,-,-,16,-,-,-,9,-,-,-
Noryangjin 2(i)-dong,Dongjak-gu,17,62,-,-,1,56,6,6,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,7,-,-,-
Sangdo 1(il)-dong,Dongjak-gu,41,102,-,-,1,82,12,20,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,11,-,-,-
Sangdo 2(i)-dong,Dongjak-gu,52,38,-,-,-,-,25,38,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,12,-,-,-
Sangdo 3(sam)-dong,Dongjak-gu,31,34,-,-,-,-,14,34,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,9,-,-,-
Sangdo 4(sa)-dong,Dongjak-gu,24,366,-,-,1,166,9,-,-,-,1,177,-,-,-,-,-,-,-,-,7,-,-,-,6,23,-,-
Sadang 1(il)-dong,Dongjak-gu,62,165,-,-,2,105,26,60,-,-,-,-,-,-,-,-,-,-,1,-,20,-,-,-,13,-,-,-
Sadang 3(sam)-dong,Dongjak-gu,21,7,-,-,-,-,10,7,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,7,-,-,-
Sadang 4(sa)-dong,Dongjak-gu,30,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,8,-,-,-
Sadang 5(o)-dong,Dongjak-gu,6,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Daebang-dong,Dongjak-gu,50,245,-,-,-,-,25,70,-,-,1,155,-,-,-,-,-,-,-,-,15,-,-,-,9,20,-,-
Sindaebang 1(il)-dong,Dongjak-gu,39,117,-,-,-,-,21,58,-,-,-,-,-,-,-,-,-,-,-,-,10,-,1,59,7,-,-,-
Sindaebang 2(i)-dong,Dongjak-gu,33,813,1,786,-,-,15,27,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,8,-,-,-
Heukseok-dong,Dongjak-gu,40,896,1,870,-,-,21,26,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,6,-,-,-
Noryangjin 1(il)-dong,Dongjak-gu,32,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,7,-,-,-
Sadang 2(i)-dong,Dongjak-gu,58,26,-,-,-,-,23,26,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,16,-,-,-
Boramae-dong,Gwanak-gu,27,30,-,-,-,-,10,30,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,8,-,-,-
Cheongnim-dong,Gwanak-gu,9,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,2,-,-,-
Haengun-dong,Gwanak-gu,55,228,1,180,-,-,28,48,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,13,-,-,-
Nagseongdae-dong,Gwanak-gu,39,112,-,-,1,78,18,34,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,6,-,-,-
Jungang-dong,Gwanak-gu,57,126,-,-,1,54,28,72,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,9,-,-,-
Inheon-dong,Gwanak-gu,46,26,-,-,-,-,22,26,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,12,-,-,-
Namhyeon-dong,Gwanak-gu,27,10,-,-,-,-,12,10,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,7,-,-,-
Sewon-dong,Gwanak-gu,32,309,1,278,-,-,12,31,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,9,-,-,-
Sinwon-dong,Gwanak-gu,18,29,-,-,-,-,9,29,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,5,-,-,-
Serim-dong,Gwanak-gu,18,30,-,-,-,-,9,30,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
Sinsa-dong,Gwanak-gu,22,27,-,-,-,-,9,1,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5,26,-,-
Sillim-dong,Gwanak-gu,56,134,-,-,1,107,30,27,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,9,-,-,-
Nanhyang-dong,Gwanak-gu,12,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,-,-,-
Jowon-dong,Gwanak-gu,30,191,-,-,1,79,15,112,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,7,-,-,-
Daehak-dong,Gwanak-gu,30,16,-,-,-,-,14,16,2,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,3,-,-,-
Euncheon-dong,Gwanak-gu,33,391,-,-,-,-,14,99,-,-,1,266,-,-,-,-,-,-,-,-,7,-,-,-,11,26,-,-
Seonghyeon-dong,Gwanak-gu,23,28,-,-,-,-,9,28,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
Cheongnyong-dong,Gwanak-gu,50,256,-,-,1,35,20,54,-,-,1,167,-,-,-,-,-,-,-,-,16,-,-,-,12,-,-,-
Nangok-dong,Gwanak-gu,28,53,-,-,-,-,14,53,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,7,-,-,-
Samseong-dong,Gwanak-gu,16,35,-,-,-,-,6,35,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,6,-,-,-
Miseong-dong,Gwanak-gu,31,135,-,-,1,35,17,75,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,7,25,-,-
Seocho 1(il)-dong,Seocho-gu,93,151,-,-,1,68,38,48,-,-,-,-,-,-,-,-,-,-,-,-,24,5,1,30,29,-,-,-
Seocho 2(i)-dong,Seocho-gu,116,11,-,-,-,-,53,11,1,-,-,-,-,-,-,-,-,-,1,-,32,-,-,-,29,-,-,-
Seocho 3(sam)-dong,Seocho-gu,95,265,-,-,1,80,37,120,-,-,1,64,-,-,-,-,-,-,1,1,29,-,-,-,26,-,-,-
Seocho 4(sa)-dong,Seocho-gu,220,105,-,-,-,-,127,95,-,-,-,-,-,-,-,-,-,-,2,5,51,5,-,-,40,-,-,-
Jamwon-dong,Seocho-gu,137,63,-,-,-,-,73,13,-,-,-,-,-,-,-,-,-,-,-,-,33,-,1,50,30,-,-,-
Banpobon-dong,Seocho-gu,23,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,4,-,-,-
Banpo 1(il)-dong,Seocho-gu,72,81,-,-,1,59,41,22,-,-,-,-,-,-,-,-,-,-,1,-,18,-,-,-,11,-,-,-
Banpo 2(i)-dong,Seocho-gu,25,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,4,-,-,-
Banpo 3(sam)-dong,Seocho-gu,11,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-
Banpo 4(sa)-dong,Seocho-gu,62,1452,1,1335,-,-,23,19,-,-,1,98,-,-,-,-,-,-,-,-,20,-,-,-,17,-,-,-
Bangbaebon-dong,Seocho-gu,26,64,-,-,-,-,10,14,-,-,-,-,-,-,-,-,-,-,1,-,8,-,1,50,6,-,-,-
Bangbae 1(il)-dong,Seocho-gu,62,166,-,-,1,88,29,78,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,15,-,-,-
Bangbae 2(i)-dong,Seocho-gu,28,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,11,-,-,-
Bangbae 3(sam)-dong,Seocho-gu,21,271,-,-,2,271,7,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,3,-,-,-
Bangbae 4(sa)-dong,Seocho-gu,79,94,-,-,-,-,41,56,-,-,-,-,-,-,-,-,-,-,1,-,20,-,1,38,16,-,-,-
Yangjae 1(il)-dong,Seocho-gu,61,60,-,-,1,36,29,24,-,-,-,-,-,-,-,-,-,-,1,-,17,-,-,-,13,-,-,-
Yangjae 2(i)-dong,Seocho-gu,35,54,-,-,-,-,12,54,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,5,-,-,-
Naegok-dong,Seocho-gu,6,295,-,-,1,295,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
Sinsa-dong,Gangnam-gu,649,604,-,…,7,244,451,…,-,-,-,-,-,-,-,-,-,-,4,-,114,2,1,99,72,-,-,-
Nonhyeon 1(il)-dong,Gangnam-gu,195,446,-,…,4,201,129,…,-,-,-,-,-,-,-,-,-,-,2,19,34,4,-,-,26,17,-,-
Nonhyeon 2(i)-dong,Gangnam-gu,162,446,-,…,5,300,91,…,-,-,-,-,-,-,-,-,-,-,1,-,42,-,-,-,23,10,-,-
Samseong 1(il)-dong,Gangnam-gu,84,210,-,…,2,81,41,…,-,-,-,-,-,-,-,-,-,-,2,2,28,-,2,97,9,-,-,-
Samseong 2(i)-dong,Gangnam-gu,75,44,-,…,-,-,38,…,-,-,-,-,-,-,-,-,-,-,1,-,22,-,-,-,14,-,-,-
Daechi 1(il)-dong,Gangnam-gu,87,49,-,…,1,30,38,…,-,-,-,-,-,-,-,-,-,-,1,-,26,-,-,-,21,-,-,-
Daechi 4(sa)-dong,Gangnam-gu,99,213,1,…,1,50,46,…,-,-,-,-,-,-,-,-,-,-,-,-,28,-,1,45,22,-,-,-
Yeoksam 1(il)-dong,Gangnam-gu,356,586,1,…,3,138,203,…,-,-,-,-,-,-,-,-,-,-,4,-,96,9,-,-,49,-,-,-
Yeoksam 2(i)-dong,Gangnam-gu,82,173,-,…,2,121,39,…,-,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,14,-,-,-
Dogok 1(il)-dong,Gangnam-gu,87,1329,1,…,4,294,45,…,-,-,-,-,-,-,-,-,-,-,-,-,17,-,2,120,18,-,-,-
Dogok 2(i)-dong,Gangnam-gu,37,25,-,…,-,-,15,…,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,6,-,-,-
Gaepo 1(il)-dong,Gangnam-gu,4,-,-,…,-,-,2,…,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
Gaepo 4(sa)-dong,Gangnam-gu,37,165,-,…,-,-,17,…,-,-,-,-,1,131,-,-,-,-,-,-,10,-,-,-,9,-,-,-
Irwonbon-dong,Gangnam-gu,16,1983,1,…,-,-,3,…,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,5,-,-,-
Irwon 1(il)-dong,Gangnam-gu,30,13,-,…,-,-,14,…,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,8,-,-,-
Irwon 2(i)-dong,Gangnam-gu,21,-,-,…,-,-,10,…,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,4,-,-,-
Suseo-dong,Gangnam-gu,26,114,-,…,-,-,16,…,-,-,1,113,-,-,-,-,-,-,-,-,6,-,-,-,3,-,-,-
Segok-dong,Gangnam-gu,7,-,-,…,-,-,4,…,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Apgujeong -dong,Gangnam-gu,14,-,-,…,-,-,5,…,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,4,-,-,-
Cheongdam -dong,Gangnam-gu,225,551,-,…,4,415,151,…,-,-,-,-,-,-,-,-,-,-,2,-,40,4,1,30,27,-,-,-
Daechi 2(i)-dong,Gangnam-gu,84,201,-,…,1,50,30,…,-,-,-,-,-,-,-,-,-,-,2,-,28,-,1,70,22,-,-,-
Gaepo 2(i)-dong,Gangnam-gu,30,5,-,…,-,-,11,…,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,10,2,-,-
Pungnap 1(il)-dong,Songpa-gu,20,64,-,-,1,64,5,-,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,6,-,-,-
Pungnap 2(i)-dong,Songpa-gu,27,2739,1,2700,-,-,12,39,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,8,-,-,-
Geoyeo 1(il)-dong,Songpa-gu,21,115,-,-,-,-,5,5,-,-,1,110,-,-,-,-,-,-,-,-,8,-,-,-,7,-,-,-
Geoyeo 2(i)-dong,Songpa-gu,37,28,-,-,-,-,26,28,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,5,-,-,-
Macheon 1(il)-dong,Songpa-gu,28,27,-,-,-,-,13,27,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,10,-,-,-
Macheon 2(i)-dong,Songpa-gu,26,250,-,-,1,104,14,41,-,-,1,105,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-
Bangi 1(il)-dong,Songpa-gu,61,21,-,-,-,-,18,21,2,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,20,-,-,-
Bangi 2(i)-dong,Songpa-gu,46,298,-,-,2,138,25,63,-,-,1,97,-,-,-,-,-,-,-,-,13,-,-,-,4,-,1,-
Oryun-dong,Songpa-gu,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
Ogeum-dong,Songpa-gu,37,358,-,-,-,-,9,-,-,-,1,106,1,218,-,-,-,-,-,-,15,-,1,30,10,4,-,-
Songpa 1(il)-dong,Songpa-gu,50,378,-,-,1,114,22,129,-,-,1,135,-,-,-,-,-,-,-,-,13,-,-,-,13,-,-,-
Songpa 2(i)-dong,Songpa-gu,26,58,-,-,-,-,14,58,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,3,-,-,-
Seokchon-dong,Songpa-gu,66,316,-,-,2,237,29,79,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,-,17,-,-,-
Samjeon-dong,Songpa-gu,45,82,-,-,1,60,21,22,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,10,-,-,-
Garakbon-dong,Songpa-gu,72,1206,1,500,4,389,21,33,-,-,1,284,-,-,-,-,-,-,-,-,25,-,-,-,20,-,-,-
Garak 1(il)-dong,Songpa-gu,5,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-
Garak 2(i)-dong,Songpa-gu,42,48,-,-,-,-,23,20,1,28,-,-,-,-,-,-,-,-,-,-,16,-,-,-,2,-,-,-
Munjeong 1(il)-dong,Songpa-gu,45,97,-,-,-,-,18,97,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,14,-,-,-
Munjeong 2(i)-dong,Songpa-gu,28,11,-,-,-,-,16,11,-,-,-,-,-,-,-,-,-,-,1,-,6,-,-,-,5,-,-,-
Jangji-dong,Songpa-gu,22,6,-,-,-,-,12,6,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,5,-,-,-
Jamsilbon-dong,Songpa-gu,130,135,-,-,1,46,61,89,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,28,-,-,-
Jamsil 4(sa)-dong,Songpa-gu,49,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,12,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,26,3,-,-,-,-,15,3,-,-,-,-,-,-,-,-,-,-,1,-,8,-,-,-,2,-,-,-
Jamsil 7(chil)-dong,Songpa-gu,6,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,35,16,-,-,-,-,18,16,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,9,-,-,-
Jamsil 3(sam)-dong,Songpa-gu,29,17,-,-,-,-,18,17,-,-,-,-,-,-,-,-,-,-,1,-,7,-,-,-,3,-,-,-
Gangil-dong,Gangdong-gu,18,24,-,-,-,-,10,24,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,2,-,-,-
Sangil-dong,Gangdong-gu,19,761,1,637,-,-,7,22,1,-,-,-,-,-,-,-,-,-,1,10,5,-,1,92,3,-,-,-
Myeongil 1(il)-dong,Gangdong-gu,76,224,-,-,2,165,33,59,-,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,20,-,-,-
Myeongil 2(i)-dong,Gangdong-gu,40,28,-,-,-,-,22,28,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,4,-,-,-
Godeok 1(il)-dong,Gangdong-gu,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Godeok 2(i)-dong,Gangdong-gu,16,4,-,-,-,-,11,4,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,-,-,-
Amsa 2(i)-dong,Gangdong-gu,32,3,-,-,-,-,19,3,-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,5,-,-,-
Amsa 3(sam)-dong,Gangdong-gu,14,1,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,4,-,-,-
Cheonho 1(il)-dong,Gangdong-gu,29,51,-,-,-,-,13,51,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,10,-,-,-
Cheonho 3(sam)-dong,Gangdong-gu,41,132,-,-,1,74,16,58,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,14,-,-,-
Seongnae 1(il)-dong,Gangdong-gu,26,221,-,-,1,119,8,55,-,-,-,-,-,-,-,-,-,-,-,-,12,-,1,47,4,-,-,-
Seongnae 2(i)-dong,Gangdong-gu,58,195,-,-,3,149,27,46,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-,12,-,-,-
Seongnae 3(sam)-dong,Gangdong-gu,85,155,-,-,-,-,39,155,-,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,24,-,-,-
Dunchon 1(il)-dong,Gangdong-gu,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-
Dunchon 2(i)-dong,Gangdong-gu,25,1010,1,961,-,-,7,49,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,7,-,-,-
Amsa 1(il)-dong,Gangdong-gu,35,221,-,-,-,-,12,58,-,-,1,163,-,-,-,-,-,-,-,-,10,-,-,-,12,-,-,-
Cheonho 2(i)-dong,Gangdong-gu,102,1016,-,-,2,214,59,190,-,-,2,362,1,250,-,-,-,-,1,-,23,-,-,-,14,-,-,-
Gil-dong,Gangdong-gu,98,1653,1,547,3,209,43,178,-,-,3,663,-,-,-,-,-,-,-,-,26,-,1,37,21,19,-,-
