Dong,의료_의료기관종사의료인력_Autonomous Gu_Autonomous Gu,의료_의료기관종사의료인력_Total_Total,의료_의료기관종사의료인력_Physicians_Full－time,의료_의료기관종사의료인력_Physicians_Part－time,의료_의료기관종사의료인력_Dentists_Dentists,의료_의료기관종사의료인력_Oriental medical doctors_Oriental medical doctors,의료_의료기관종사의료인력_Pharmacists_Pharmacists,의료_의료기관종사의료인력_Midwives_Midwives,의료_의료기관종사의료인력_Nurses_Nurses,의료_의료기관종사의료인력_Nurse aids_Nurse aids,의료_의료기관종사의료인력_Medical technicians_Medical technicians,의료_의료기관종사의료인력_Medical record technicians_Medical record technicians
Bangi 2(i)-dong,Songpa-gu,204,24,1,13,8,1,1,40,64,51,1
Oryun-dong,Songpa-gu,23,-,-,4,-,-,-,2,13,4,-
Ogeum-dong,Songpa-gu,180,26,-,16,19,2,-,55,29,31,2
Songpa 1(il)-dong,Songpa-gu,214,48,-,14,10,3,-,50,47,41,1
Songpa 2(i)-dong,Songpa-gu,113,13,-,15,11,1,-,35,22,16,-
Seokchon-dong,Songpa-gu,253,68,1,25,21,2,-,12,71,51,2
Samjeon-dong,Songpa-gu,147,13,-,15,13,1,-,13,55,34,3
Garakbon-dong,Songpa-gu,959,178,-,27,23,19,1,256,292,142,21
Garak 1(il)-dong,Songpa-gu,30,8,-,5,2,-,-,2,9,4,-
Garak 2(i)-dong,Songpa-gu,132,26,-,33,9,-,-,10,32,22,-
Munjeong 1(il)-dong,Songpa-gu,134,17,-,15,14,1,-,21,42,24,-
Munjeong 2(i)-dong,Songpa-gu,115,19,-,8,5,-,-,12,43,28,-
Jangji-dong,Songpa-gu,73,12,-,9,5,-,-,15,22,10,-
Jamsilbon-dong,Songpa-gu,346,61,4,45,44,1,-,30,94,67,-
Jamsil 4(sa)-dong,Songpa-gu,113,18,-,20,12,-,-,12,40,11,-
Jamsil 6(yuk)-dong,Songpa-gu,157,15,-,27,2,-,-,12,29,72,-
Jamsil 7(chil)-dong,Songpa-gu,26,2,-,5,-,-,-,3,12,4,-
Jamsil 2(i)-dong,Songpa-gu,97,18,-,10,9,-,-,27,19,14,-
Jamsil 3(sam)-dong,Songpa-gu,84,18,-,21,3,-,-,11,28,3,-
Gangil-dong,Gangdong-gu,47,11,-,7,2,-,-,2,15,10,-
Sangil-dong,Gangdong-gu,1190,277,-,40,72,35,-,577,14,163,12
Myeongil 1(il)-dong,Gangdong-gu,296,43,-,29,25,2,-,33,88,76,-
Myeongil 2(i)-dong,Gangdong-gu,138,23,-,21,4,-,-,10,45,35,-
Godeok 1(il)-dong,Gangdong-gu,10,2,-,2,1,-,-,-,4,1,-
Godeok 2(i)-dong,Gangdong-gu,50,12,-,3,2,-,-,3,25,5,-
Amsa 2(i)-dong,Gangdong-gu,79,23,-,9,5,-,-,3,34,5,-
Amsa 3(sam)-dong,Gangdong-gu,39,6,-,8,4,-,-,1,14,6,-
Cheonho 1(il)-dong,Gangdong-gu,100,14,-,12,12,-,-,5,32,25,-
Cheonho 3(sam)-dong,Gangdong-gu,172,34,-,14,15,1,-,16,66,26,-
Seongnae 1(il)-dong,Gangdong-gu,188,19,-,12,9,1,-,56,35,56,-
Seongnae 2(i)-dong,Gangdong-gu,285,55,-,23,14,3,-,57,75,58,-
Seongnae 3(sam)-dong,Gangdong-gu,263,55,-,27,27,-,-,25,84,45,-
Dunchon 1(il)-dong,Gangdong-gu,9,1,-,2,1,-,-,-,4,1,-
Dunchon 2(i)-dong,Gangdong-gu,1255,237,-,52,9,57,-,598,65,230,7
Amsa 1(il)-dong,Gangdong-gu,169,18,-,16,13,1,-,31,44,46,-
Cheonho 2(i)-dong,Gangdong-gu,607,99,-,31,15,5,-,159,163,135,-
Gil-dong,Gangdong-gu,1471,347,-,48,29,34,-,663,133,206,11
