Dong,가구_주택종류별주택_2010_Gu_Gu_Gu,가구_주택종류별주택_2010_No.of houses by type of housing unit_Total_Total,가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_total,가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_Detached dwelling (Include Business),가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_Multy familyhouse,가구_주택종류별주택_2010_No.of houses by type of housing unit_Detached dwelling_dwelling and business,가구_주택종류별주택_2010_No.of houses by type of housing unit_Apartment_Apartment,가구_주택종류별주택_2010_No.of houses by type of housing unit_Row house_Row house,가구_주택종류별주택_2010_No.of houses by type of housing unit_Apartment units in a private house_Apartment units in a private house,가구_주택종류별주택_2010_No.of houses by type of housing unit_House within commercial building_House within commercial building
Jamsil 6(yuk)-dong,Songpa-gu,5107.0,-,-,-,-,5107,-,-,-
Jamsil 7(chil)-dong,Songpa-gu,3198.0,-,-,-,-,3198,-,-,-
Jamsil 2(i)-dong,Songpa-gu,11245.0,-,-,-,-,11245,-,-,-
Jamsil 3(sam)-dong,Songpa-gu,11456.0,-,-,-,-,11456,-,-,-
Gangil-dong,Gangdong-gu,6471.0,57,37,14,6,6412,-,-,2
Sangil-dong,Gangdong-gu,7577.0,299,13,164,122,6248,639,360,31
Myeongil 1(il)-dong,Gangdong-gu,7318.0,328,41,211,76,6294,122,495,79
Myeongil 2(i)-dong,Gangdong-gu,4510.0,172,10,104,58,4223,-,89,26
Godeok 1(il)-dong,Gangdong-gu,6391.0,359,33,254,72,5699,-,304,29
Godeok 2(i)-dong,Gangdong-gu,3724.0,603,11,499,93,2772,51,270,28
Amsa 2(i)-dong,Gangdong-gu,4309.0,299,35,218,46,3655,111,217,27
Amsa 3(sam)-dong,Gangdong-gu,5232.0,226,91,118,17,4728,14,243,21
Cheonho 1(il)-dong,Gangdong-gu,5803.0,1428,98,1160,170,2550,488,1301,36
Cheonho 3(sam)-dong,Gangdong-gu,5250.0,1363,185,1064,114,3053,286,503,45
Seongnae 1(il)-dong,Gangdong-gu,5395.0,294,38,178,78,3010,425,1557,109
Seongnae 2(i)-dong,Gangdong-gu,4683.0,1623,166,1205,252,1734,265,989,72
Seongnae 3(sam)-dong,Gangdong-gu,4898.0,795,39,567,189,2261,291,1478,73
Dunchon 1(il)-dong,Gangdong-gu,5934.0,4,3,1,-,5930,-,-,-
Dunchon 2(i)-dong,Gangdong-gu,6870.0,707,74,512,121,4874,345,876,68
Amsa 1(il)-dong,Gangdong-gu,7268.0,1614,112,1326,176,2758,359,2393,144
Cheonho 2(i)-dong,Gangdong-gu,6723.0,2075,247,1563,265,2551,409,1571,117
Gil-dong,Gangdong-gu,11436.0,1127,86,826,215,7523,716,1929,141
